MJD,Mag,Mag_err,band,Instr,source
57811.21,17.4,0.03,LT_IOO_u,LT,2019MNRAS.485.1559P
57812.25,17.43,0.03,LT_IOO_u,LT,2019MNRAS.485.1559P
57813.26,17.47,0.02,LT_IOO_u,LT,2019MNRAS.485.1559P
57816.19,17.56,0.03,LT_IOO_u,LT,2019MNRAS.485.1559P
57823.2,18.04,0.06,LT_IOO_u,LT,2019MNRAS.485.1559P
57811.21,16.4,0.03,LT_IOO_g,LT,2019MNRAS.485.1559P
57812.25,16.37,0.03,LT_IOO_g,LT,2019MNRAS.485.1559P
57813.26,16.34,0.03,LT_IOO_g,LT,2019MNRAS.485.1559P
57816.19,16.29,0.03,LT_IOO_g,LT,2019MNRAS.485.1559P
57820.23,16.44,0.04,LT_IOO_g,LT,2019MNRAS.485.1559P
57823.2,16.51,0.04,LT_IOO_g,LT,2019MNRAS.485.1559P
57823.22,16.49,0.04,LT_IOO_g,LT,2019MNRAS.485.1559P
57827.09,16.78,0.04,LT_IOO_g,LT,2019MNRAS.485.1559P
57834.18,17.18,0.03,LT_IOO_g,LT,2019MNRAS.485.1559P
57839.16,17.47,0.03,LT_IOO_g,LT,2019MNRAS.485.1559P
57843.13,17.59,0.03,LT_IOO_g,LT,2019MNRAS.485.1559P
57855.13,17.69,0.03,LT_IOO_g,LT,2019MNRAS.485.1559P
57861.0,17.84,0.04,LT_IOO_g,LT,2019MNRAS.485.1559P
57867.05,18.02,0.03,LT_IOO_g,LT,2019MNRAS.485.1559P
57874.05,18.12,0.04,LT_IOO_g,LT,2019MNRAS.485.1559P
57879.94,17.99,0.05,LT_IOO_g,LT,2019MNRAS.485.1559P
57883.18,18.05,0.04,LT_IOO_g,LT,2019MNRAS.485.1559P
57889.03,18.2,0.05,LT_IOO_g,LT,2019MNRAS.485.1559P
57899.11,18.28,0.04,LT_IOO_g,LT,2019MNRAS.485.1559P
57909.08,18.06,0.07,LT_IOO_g,LT,2019MNRAS.485.1559P
57918.92,18.06,0.07,LT_IOO_g,LT,2019MNRAS.485.1559P
57928.9,18.46,0.05,LT_IOO_g,LT,2019MNRAS.485.1559P
57929.9,18.42,0.05,LT_IOO_g,LT,2019MNRAS.485.1559P
57940.97,18.32,0.07,LT_IOO_g,LT,2019MNRAS.485.1559P
57949.03,18.55,0.05,LT_IOO_g,LT,2019MNRAS.485.1559P
57977.98,18.79,0.06,LT_IOO_g,LT,2019MNRAS.485.1559P
57999.92,18.87,0.07,LT_IOO_g,LT,2019MNRAS.485.1559P
57811.21,16.05,0.02,LT_IOO_r,LT,2019MNRAS.485.1559P
57812.25,15.99,0.02,LT_IOO_r,LT,2019MNRAS.485.1559P
57813.26,15.93,0.02,LT_IOO_r,LT,2019MNRAS.485.1559P
57816.19,15.81,0.02,LT_IOO_r,LT,2019MNRAS.485.1559P
57820.23,15.79,0.02,LT_IOO_r,LT,2019MNRAS.485.1559P
57823.2,15.8,0.02,LT_IOO_r,LT,2019MNRAS.485.1559P
57823.22,15.78,0.02,LT_IOO_r,LT,2019MNRAS.485.1559P
57827.09,15.94,0.02,LT_IOO_r,LT,2019MNRAS.485.1559P
57834.18,16.23,0.02,LT_IOO_r,LT,2019MNRAS.485.1559P
57839.16,16.5,0.02,LT_IOO_r,LT,2019MNRAS.485.1559P
57843.13,16.63,0.02,LT_IOO_r,LT,2019MNRAS.485.1559P
57855.13,16.86,0.05,LT_IOO_r,LT,2019MNRAS.485.1559P
57861.0,16.99,0.04,LT_IOO_r,LT,2019MNRAS.485.1559P
57867.05,17.22,0.02,LT_IOO_r,LT,2019MNRAS.485.1559P
57874.05,17.32,0.02,LT_IOO_r,LT,2019MNRAS.485.1559P
57879.94,17.33,0.02,LT_IOO_r,LT,2019MNRAS.485.1559P
57883.18,17.32,0.04,LT_IOO_r,LT,2019MNRAS.485.1559P
57889.03,17.47,0.03,LT_IOO_r,LT,2019MNRAS.485.1559P
