MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57811.21,17.4,0.03,3.874518809923737e-16,1.0705691105106492e-17,LT_IOO_u,LT,GeneralFilters
57812.25,17.43,0.03,3.7689274158249417e-16,1.0413931301106077e-17,LT_IOO_u,LT,GeneralFilters
57813.26,17.47,0.02,3.632601631304168e-16,6.691499492021464e-18,LT_IOO_u,LT,GeneralFilters
57816.19,17.56,0.03,3.3436266158837956e-16,9.23878176272657e-18,LT_IOO_u,LT,GeneralFilters
57823.2,18.04,0.06,2.148907757322787e-16,1.1875303123753697e-17,LT_IOO_u,LT,GeneralFilters
57811.21,16.4,0.03,1.4226553500618966e-15,3.930942001824899e-17,LT_IOO_g,LT,GeneralFilters
57812.25,16.37,0.03,1.4625128864804516e-15,4.041072444865889e-17,LT_IOO_g,LT,GeneralFilters
57813.26,16.34,0.03,1.5034870835218987e-15,4.1542883352319333e-17,LT_IOO_g,LT,GeneralFilters
57816.19,16.29,0.03,1.574344246781566e-15,4.350073912656208e-17,LT_IOO_g,LT,GeneralFilters
57820.23,16.44,0.04,1.3711965170035727e-15,5.0516746553884535e-17,LT_IOO_g,LT,GeneralFilters
57823.2,16.51,0.04,1.2855817583716453e-15,4.736258228242599e-17,LT_IOO_g,LT,GeneralFilters
57823.22,16.49,0.04,1.309482507716832e-15,4.824311842888371e-17,LT_IOO_g,LT,GeneralFilters
57827.09,16.78,0.04,1.0025353647176461e-15,3.693476777597122e-17,LT_IOO_g,LT,GeneralFilters
57834.18,17.18,0.03,6.935850147531804e-16,1.9164462188336742e-17,LT_IOO_g,LT,GeneralFilters
57839.16,17.47,0.03,5.310063338995291e-16,1.4672247224669695e-17,LT_IOO_g,LT,GeneralFilters
57843.13,17.59,0.03,4.754443616573011e-16,1.3137013196402031e-17,LT_IOO_g,LT,GeneralFilters
57855.13,17.69,0.03,4.3361041134210896e-16,1.1981098431880277e-17,LT_IOO_g,LT,GeneralFilters
57861.0,17.84,0.04,3.776588805048564e-16,1.3913467335796833e-17,LT_IOO_g,LT,GeneralFilters
57867.05,18.02,0.03,3.199629567573619e-16,8.840903214477599e-18,LT_IOO_g,LT,GeneralFilters
57874.05,18.12,0.04,2.918096847550803e-16,1.0750666081733417e-17,LT_IOO_g,LT,GeneralFilters
57879.94,17.99,0.05,3.2892713434330453e-16,1.5147654324402856e-17,LT_IOO_g,LT,GeneralFilters
57883.18,18.05,0.04,3.1124307789719264e-16,1.1466618743418567e-17,LT_IOO_g,LT,GeneralFilters
57889.03,18.2,0.05,2.7108138847431974e-16,1.248375928178191e-17,LT_IOO_g,LT,GeneralFilters
57899.11,18.28,0.04,2.5182549797427655e-16,9.277594202741926e-18,LT_IOO_g,LT,GeneralFilters
57909.08,18.06,0.07,3.0838958420728748e-16,1.9882611264049262e-17,LT_IOO_g,LT,GeneralFilters
57918.92,18.06,0.07,3.0838958420728748e-16,1.9882611264049262e-17,LT_IOO_g,LT,GeneralFilters
57928.9,18.46,0.05,2.1335346546341434e-16,9.825290182293557e-18,LT_IOO_g,LT,GeneralFilters
57929.9,18.42,0.05,2.2136028303153932e-16,1.0194017757787287e-17,LT_IOO_g,LT,GeneralFilters
57940.97,18.32,0.07,2.4271672383616715e-16,1.5648525483514314e-17,LT_IOO_g,LT,GeneralFilters
57949.03,18.55,0.05,1.9638110591785492e-16,9.043684140642731e-18,LT_IOO_g,LT,GeneralFilters
57977.98,18.79,0.06,1.574344246781566e-16,8.700147825312415e-18,LT_IOO_g,LT,GeneralFilters
57999.92,18.87,0.07,1.4625128864804518e-16,9.429169038020409e-18,LT_IOO_g,LT,GeneralFilters
57811.21,16.05,0.02,9.620510995757943e-16,1.7721636164654e-17,LT_IOO_r,LT,GeneralFilters
57812.25,15.99,0.02,1.0167124467899525e-15,1.8728535390720335e-17,LT_IOO_r,LT,GeneralFilters
57813.26,15.93,0.02,1.0744795156030817e-15,1.979264412284096e-17,LT_IOO_r,LT,GeneralFilters
57816.19,15.81,0.02,1.2000466814701421e-15,2.2105676797200943e-17,LT_IOO_r,LT,GeneralFilters
57820.23,15.79,0.02,1.222357215008409e-15,2.2516652012736642e-17,LT_IOO_r,LT,GeneralFilters
57823.2,15.8,0.02,1.2111505767004872e-15,2.231021810625347e-17,LT_IOO_r,LT,GeneralFilters
57823.22,15.78,0.02,1.2336675470638962e-15,2.2724996028638813e-17,LT_IOO_r,LT,GeneralFilters
57827.09,15.94,0.02,1.0646286281924414e-15,1.9611184070804896e-17,LT_IOO_r,LT,GeneralFilters
