MJD	band	Flux	Flux_err	FilterSet	Instr
57274.0	lascumbres_B	8.712166141613611e-16	4.8145209324880687e-17	GeneralFilters	LCO(SKP)
57276.93	lascumbres_B	2.3775307840595994e-15	8.759147106416127e-17	GeneralFilters	LCO(SKP)
57278.35	lascumbres_B	3.163196335531006e-15	1.1653645965451318e-16	GeneralFilters	LCO(SKP)
57279.61	lascumbres_B	3.5985384617167615e-15	1.3257505629623586e-16	GeneralFilters	LCO(SKP)
57280.66	lascumbres_B	3.838187165365001e-15	2.4745707143053424e-16	GeneralFilters	LCO(SKP)
57282.31	lascumbres_B	4.488757552514649e-15	2.480579094356321e-16	GeneralFilters	LCO(SKP)
57283.42	lascumbres_B	4.53029151477392e-15	2.086276341767169e-16	GeneralFilters	LCO(SKP)
57284.93	lascumbres_B	4.2867301830992106e-15	1.5792897627667013e-16	GeneralFilters	LCO(SKP)
57287.58	lascumbres_B	3.5655468627942505e-15	1.9703940131140106e-16	GeneralFilters	LCO(SKP)
57288.63	lascumbres_B	3.3122731860245125e-15	1.8304298068953412e-16	GeneralFilters	LCO(SKP)
57289.67	lascumbres_B	3.048780435605771e-15	8.42409165940529e-17	GeneralFilters	LCO(SKP)
57289.92	lascumbres_B	2.9656927046410377e-15	8.194511774529176e-17	GeneralFilters	LCO(SKP)
57291.24	lascumbres_B	2.5830103647407185e-15	1.427424278616262e-16	GeneralFilters	LCO(SKP)
57292.28	lascumbres_B	2.2705242718146464e-15	8.364920546498507e-17	GeneralFilters	LCO(SKP)
57293.29	lascumbres_B	2.014309258218479e-15	9.276236941307529e-17	GeneralFilters	LCO(SKP)
57296.3	lascumbres_B	1.4194697730229132e-15	5.229519902909125e-17	GeneralFilters	LCO(SKP)
57297.31	lascumbres_B	1.270943220527399e-15	5.852909827256465e-17	GeneralFilters	LCO(SKP)
57299.35	lascumbres_B	1.0571245259632407e-15	4.8682383498427104e-17	GeneralFilters	LCO(SKP)
57300.53	lascumbres_B	9.820331512605265e-16	3.6179438318695285e-17	GeneralFilters	LCO(SKP)
57301.52	lascumbres_B	9.039119935251699e-16	4.1626685633391647e-17	GeneralFilters	LCO(SKP)
57316.22	lascumbres_B	5.396673561008667e-16	1.9882080149333847e-17	GeneralFilters	LCO(SKP)
57330.25	lascumbres_B	4.48875755251464e-16	2.0671492452969306e-17	GeneralFilters	LCO(SKP)
57335.85	lascumbres_B	4.2867301830992213e-16	3.158579525533409e-17	GeneralFilters	LCO(SKP)
57355.21	lascumbres_B	3.2220045460962243e-16	1.1870303419840318e-17	GeneralFilters	LCO(SKP)
57361.09	lascumbres_B	2.8848693450151657e-16	1.59423771577618e-17	GeneralFilters	LCO(SKP)
57367.05	lascumbres_B	2.9656927046410377e-16	1.6389023549058352e-17	GeneralFilters	LCO(SKP)
57373.14	lascumbres_B	2.755028836130006e-16	1.2687376657683378e-17	GeneralFilters	LCO(SKP)
57385.49	lascumbres_B	2.4667557479439135e-16	1.1359830026546044e-17	GeneralFilters	LCO(SKP)
57397.46	lascumbres_B	2.249707980168339e-16	8.28823049396058e-18	GeneralFilters	LCO(SKP)
57415.05	lascumbres_B	1.8885398307047004e-16	8.697047323412265e-18	GeneralFilters	LCO(SKP)
57422.04	lascumbres_B	1.6754294647828221e-16	6.172510255955072e-18	GeneralFilters	LCO(SKP)
57274.0	lascumbres_V	5.976543132229311e-16	2.2018398598251456e-17	GeneralFilters	LCO(SKP)
57276.93	lascumbres_V	1.6460766641524545e-15	6.06437054208448e-17	GeneralFilters	LCO(SKP)
57278.35	lascumbres_V	2.3144620181595845e-15	1.492188807568249e-16	GeneralFilters	LCO(SKP)
57279.61	lascumbres_V	2.7570843820155177e-15	2.5393685592622474e-17	GeneralFilters	LCO(SKP)
57280.66	lascumbres_V	3.601223355911635e-15	6.633698572691299e-16	GeneralFilters	LCO(SKP)
57282.31	lascumbres_V	3.3454154489287485e-15	1.2324965988120508e-16	GeneralFilters	LCO(SKP)
57283.42	lascumbres_V	3.5354936220217735e-15	1.3025239856708545e-16	GeneralFilters	LCO(SKP)
57284.93	lascumbres_V	3.4076113657420194e-15	6.277052106779725e-17	GeneralFilters	LCO(SKP)
57286.02	lascumbres_V	3.568207141731181e-15	6.572880458612089e-17	GeneralFilters	LCO(SKP)
57287.58	lascumbres_V	3.2244085057575425e-15	1.1879159934528838e-16	GeneralFilters	LCO(SKP)
57288.63	lascumbres_V	3.284354735533076e-15	6.050005003314278e-17	GeneralFilters	LCO(SKP)
57289.67	lascumbres_V	3.0510551515717344e-15	8.430376931894101e-17	GeneralFilters	LCO(SKP)
57289.92	lascumbres_V	3.1655564179836084e-15	8.746755622896823e-17	GeneralFilters	LCO(SKP)
57291.24	lascumbres_V	2.9679054282818154e-15	1.3667709593155607e-16	GeneralFilters	LCO(SKP)
57292.28	lascumbres_V	2.7318072804659066e-15	1.006434995349344e-16	GeneralFilters	LCO(SKP)
57293.29	lascumbres_V	2.514490841417042e-15	9.263726604667077e-17	GeneralFilters	LCO(SKP)
57296.3	lascumbres_V	2.015812148153269e-15	1.4853052808364845e-16	GeneralFilters	LCO(SKP)
57297.31	lascumbres_V	1.8215875868017257e-15	6.710976676724229e-17	GeneralFilters	LCO(SKP)
57299.35	lascumbres_V	1.5432989407966318e-15	4.2642925621341896e-17	GeneralFilters	LCO(SKP)
57300.53	lascumbres_V	1.4738390464755169e-15	4.0723677814645014e-17	GeneralFilters	LCO(SKP)
57301.52	lascumbres_V	1.3318338786989803e-15	2.4533286683493703e-17	GeneralFilters	LCO(SKP)
57302.52	lascumbres_V	1.271891479969703e-15	3.5143660340212397e-17	GeneralFilters	LCO(SKP)
57308.71	lascumbres_V	9.385341033348049e-16	3.457687416968402e-17	GeneralFilters	LCO(SKP)
57315.06	lascumbres_V	7.593640942472498e-16	3.497000887137288e-17	GeneralFilters	LCO(SKP)
57316.22	lascumbres_V	7.119509241899041e-16	1.3114620679864059e-17	GeneralFilters	LCO(SKP)
57330.25	lascumbres_V	5.400700056117636e-16	1.4922685729138293e-17	GeneralFilters	LCO(SKP)
57335.85	lascumbres_V	4.791263523998519e-16	1.3238750360358132e-17	GeneralFilters	LCO(SKP)
57347.79	lascumbres_V	3.5354936220217805e-16	2.6050479713417152e-17	GeneralFilters	LCO(SKP)
57355.21	lascumbres_V	3.5354936220217805e-16	1.628154982088572e-17	GeneralFilters	LCO(SKP)
57361.09	lascumbres_V	3.948662889198688e-16	7.27370584474216e-17	GeneralFilters	LCO(SKP)
57367.05	lascumbres_V	2.8083424076595134e-16	1.2932894727799606e-17	GeneralFilters	LCO(SKP)
57373.14	lascumbres_V	2.731807280465906e-16	7.548262465120082e-17	GeneralFilters	LCO(SKP)
57378.88	lascumbres_V	2.2513865027019654e-16	1.8662432398882364e-17	GeneralFilters	LCO(SKP)
57385.49	lascumbres_V	2.2722183255260587e-16	2.0927904177536745e-17	GeneralFilters	LCO(SKP)
57397.46	lascumbres_V	1.7396026401843285e-16	6.408932971234417e-18	GeneralFilters	LCO(SKP)
57406.07	lascumbres_V	1.5432989407966315e-16	1.1371446832357842e-17	GeneralFilters	LCO(SKP)
57415.05	lascumbres_V	1.4075053623730254e-16	3.8890810388511735e-18	GeneralFilters	LCO(SKP)
57421.04	lascumbres_V	1.3441571858516525e-16	1.114213067561823e-17	GeneralFilters	LCO(SKP)
57422.04	lascumbres_V	1.3318338786989807e-16	4.90665733669874e-18	GeneralFilters	LCO(SKP)
57433.1	lascumbres_V	1.4738390464755167e-16	6.787279635774166e-18	GeneralFilters	LCO(SKP)
57276.39	lascumbres_u'	1.3868803251499507e-15	3.832091954948414e-16	GeneralFilters	LCO(SKP)
57276.94	lascumbres_u'	2.198057186088414e-15	6.073456452282744e-16	GeneralFilters	LCO(SKP)
57278.35	lascumbres_u'	4.592392374290435e-15	8.45949937777655e-16	GeneralFilters	LCO(SKP)
57279.61	lascumbres_u'	3.819785599622959e-15	7.036305104100105e-16	GeneralFilters	LCO(SKP)
57280.67	lascumbres_u'	3.17715927514607e-15	8.778815502022928e-16	GeneralFilters	LCO(SKP)
