"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"684","2015ap","","31.3055","6.1023","SN Ib/c","0.0114","2084","2015-09-08 20:14:24.00","2457274.3433333","","Ekar","AFOSC","Elias de la Rosa, Cappellaro","Unknown","Asiago","Y","Asiago","","SN2015ap_2015-09-08_20-14-24_Ekar_AFOSC_Asiago.ascii","SN2015ap_2015-09-08_20-14-24_Ekar_AFOSC_Asiago.fits","Object","","","Air","Angstrom","1","Other","","1800","1.69","","","","","","","3552.0623968787","8156.7988146759","4.6987106304053","","","Data was ingested from the &lt;a href=&#039;http://graspa.oapd.inaf.it/cgi-bin/output_class.cgi?sn=2011&#039;&gt;Asiago SN classification Program&lt;/a&gt;; AKA: PSN J02051332+0606084; Discoverer: KAIT;  See also: &lt;a href=&quot;http://adsabs.harvard.edu/abs/2014AN....335..841T&quot;&gt;2014AN....335..841T&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2015-09-14 14:52:46"
"684","2015ap","","31.3055","6.1023","SN Ib/c","0.0114","53476","2015-09-09 14:42:56.00","2457275.11315382","","FTN","FLOYDS-N","Unknown","","","Y","","","2015ap_2457275.11315382_FTN_FLOYDS-N_None.ascii","2015ap_2457275.11315382_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800","","","","","","","","3251.5092555633","9887.8160441419","1.721480360202","Prentice et al. 2019","2019MNRAS.485.1559P",""," Simon Prentice","2019-08-16 13:22:08"
"684","2015ap","","31.3055","6.1023","SN Ib/c","0.0114","53470","2015-09-12 13:52:19.00","2457278.07800058","","FTN","FLOYDS-N","Unknown","","","Y","","","2015ap_2457278.07800058_FTN_FLOYDS-N_None.ascii","2015ap_2457278.07800058_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800","","","","","","","","3262.7526181994","9887.0849958257","1.7219475897131","Prentice et al. 2019","2019MNRAS.485.1559P",""," Simon Prentice","2019-08-16 13:18:37"
"684","2015ap","psnj0205+0606","31.3055","6.1023","SN Ib/c","0.0114","48660","2015-09-15 09:00:00.00","2457280.875","","Lick-3m","KAST","Pat Kelly, Minkyu Kim","Heechan Yuk","UCB-SNDB","Y","UCB-SNDB","","SN_2015ap_2015-09-15_09-00-00_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3389.4685218437","10747.818795928","1.9769882520377","","2019MNRAS.482.1545S","SNR: 38.9115;","WIS_Bot1","2019-01-23 10:48:35"
"684","2015ap","psnj0205+0606","31.3055","6.1023","SN Ib/c","0.0114","48662","2015-09-16 00:00:00.00","2457281.5","","Keck1","LRIS","WeiKang Zheng; Melissa Graham; Alex Filippenko","Melissa Graham","UCB-SNDB","Y","UCB-SNDB","","SN_2015ap_2015-09-16_00-00-00_Keck1_LRIS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3068.1161513285","10202.947463547","0.60403245108521","","2019MNRAS.482.1545S","SNR: 97.728;","WIS_Bot1","2019-01-23 10:48:35"
"684","2015ap","","31.3055","6.1023","SN Ib/c","0.0114","53466","2015-09-17 14:20:26.00","2457283.09752693","","FTN","FLOYDS-N","Unknown","","","Y","","","2015ap_2457283.09752693_FTN_FLOYDS-N_None.ascii","2015ap_2457283.09752693_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800","","","","","","","","3163.6395868351","9887.4222167943","1.721398522775","Prentice et al. 2019","2019MNRAS.485.1559P",""," Simon Prentice","2019-08-16 13:18:37"
"684","2015ap","","31.3055","6.1023","SN Ib/c","0.0114","53464","2015-09-20 15:28:45.00","2457286.14496539","","FTS","FLOYDS-S","Unknown","","","Y","","","2015ap_2457286.14496539_FTS_FLOYDS-S_None.ascii","2015ap_2457286.14496539_FTS_FLOYDS-S_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800","","","","","","","","3212.7769308786","9887.5358450288","1.7163175402803","Prentice et al. 2019","2019MNRAS.485.1559P",""," Simon Prentice","2019-08-16 13:07:52"
"684","2015ap","psnj0205+0606","31.3055","6.1023","SN Ib/c","0.0114","48661","2015-09-21 08:51:21.00","2457286.8689931","","Lick-3m","KAST","Isaac Shivvers","Heechan Yuk","UCB-SNDB","Y","UCB-SNDB","","SN_2015ap_2015-09-21_08-51-21_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3401.3336391897","10724.088561236","1.9769856700989","","2019MNRAS.482.1545S","SNR: 72.2773;","WIS_Bot1","2019-01-23 10:48:35"
"684","2015ap","","31.3055","6.1023","SN Ib/c","0.0114","53472","2015-09-23 14:36:28.00","2457289.10866084","","FTN","FLOYDS-N","Unknown","","","Y","","","2015ap_2457289.10866084_FTN_FLOYDS-N_None.ascii","2015ap_2457289.10866084_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800","","","","","","","","3955.5165383192","9886.9209245233","1.7212432925723","Prentice et al. 2019","2019MNRAS.485.1559P",""," Simon Prentice","2019-08-16 13:22:08"
"684","2015ap","","31.3055","6.1023","SN Ib/c","0.0114","53465","2015-10-03 17:41:05.00","2457299.23687391","","FTS","FLOYDS-S","Unknown","","","Y","","","2015ap_2457299.23687391_FTS_FLOYDS-S_None.ascii","2015ap_2457299.23687391_FTS_FLOYDS-S_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800","","","","","","","","3361.2638673034","9887.6364778713","1.716563022243","Prentice et al. 2019","2019MNRAS.485.1559P",""," Simon Prentice","2019-08-16 13:07:52"
