#wls	flux	flux_err
4020.0000	5.2662e-01	6.0262e-01
4029.2000	6.0354e-01	6.0262e-01
4038.4000	6.5562e-01	6.0262e-01
4047.6000	7.4372e-01	6.3220e-01
4056.8000	8.1649e-01	4.9769e-01
4066.0000	8.1856e-01	4.6034e-01
4075.2000	8.2276e-01	3.6763e-01
4084.4000	7.9420e-01	2.0406e-01
4102.8000	7.8440e-01	1.7866e-01
4112.0000	7.4057e-01	1.6835e-01
4121.2000	7.4065e-01	1.6710e-01
4130.4000	7.1303e-01	2.4406e-01
4139.6000	7.3745e-01	2.1712e-01
4148.8000	6.5682e-01	2.9552e-01
4158.0000	5.8583e-01	3.0205e-01
4167.2000	5.7376e-01	3.0248e-01
4176.4000	6.0895e-01	2.6002e-01
4185.6000	6.0233e-01	2.5893e-01
4194.8000	6.0090e-01	1.7161e-01
4204.0000	5.9718e-01	2.6365e-01
4213.2000	6.2364e-01	2.6142e-01
4222.4000	5.7625e-01	2.3129e-01
4231.6000	5.7003e-01	2.3287e-01
4240.8000	5.0924e-01	1.6943e-01
4250.0000	4.9291e-01	9.5041e-02
4259.2000	5.3872e-01	1.3961e-01
4268.4000	5.5076e-01	1.2936e-01
4277.6000	5.1391e-01	1.3323e-01
4286.8000	5.0719e-01	1.0103e-01
4296.0000	4.7903e-01	2.3460e-01
4305.2000	4.8265e-01	2.0179e-01
4314.4000	4.8245e-01	1.9816e-01
4323.6000	5.0733e-01	3.2534e-01
4332.8000	5.1392e-01	3.2111e-01
4342.0000	5.4463e-01	2.5719e-01
4351.2000	5.3232e-01	2.5764e-01
4360.4000	5.4967e-01	2.3698e-01
4369.6000	5.1604e-01	9.6462e-02
4378.8000	4.7760e-01	3.4681e-02
4388.0000	4.7727e-01	6.8718e-02
4397.2000	4.7791e-01	6.9428e-02
4406.4000	4.8587e-01	1.7215e-01
4415.6000	5.2905e-01	1.4618e-01
4424.8000	5.2914e-01	1.9343e-01
4434.0000	5.3988e-01	1.9381e-01
4443.2000	5.2905e-01	2.2299e-01
4452.4000	5.7724e-01	1.4233e-01
4461.6000	6.1748e-01	1.5097e-01
4470.8000	6.4849e-01	1.2143e-01
4480.0000	6.8518e-01	1.1890e-01
4489.2000	7.1004e-01	5.8759e-02
4498.4000	7.3803e-01	4.9935e-02
4507.6000	7.3368e-01	3.5083e-02
4516.8000	7.3423e-01	3.4349e-02
4526.0000	7.2117e-01	1.5890e-02
4535.2000	7.4861e-01	2.1361e-02
4544.4000	7.8667e-01	5.3531e-02
4553.6000	8.1318e-01	5.4811e-02
4562.8000	8.5547e-01	5.6993e-02
4572.0000	8.6255e-01	6.8586e-02
4581.2000	8.8609e-01	1.2947e-01
4590.4000	8.9558e-01	1.2122e-01
4599.6000	8.9324e-01	1.1468e-01
4608.8000	8.9259e-01	1.1659e-01
4618.0000	8.9232e-01	1.0882e-01
4627.2000	8.8130e-01	5.4327e-02
4636.4000	8.7914e-01	5.3602e-02
4645.6000	8.7759e-01	5.6471e-02
4654.8000	8.7222e-01	6.6187e-02
4664.0000	8.4893e-01	1.1434e-01
4673.2000	8.4294e-01	1.0157e-01
4682.4000	8.5792e-01	1.0738e-01
4691.6000	8.7633e-01	1.1348e-01
4700.8000	9.1195e-01	9.8173e-02
4710.0000	9.2305e-01	5.5211e-02
4719.2000	9.3742e-01	5.0507e-02
4728.4000	9.4423e-01	7.4017e-02
4737.6000	9.3421e-01	9.6333e-02
4746.8000	9.1852e-01	9.6261e-02
4756.0000	9.1018e-01	8.6051e-02
4765.2000	8.9042e-01	9.1386e-02
4774.4000	8.6260e-01	8.5374e-02
4783.6000	8.5198e-01	3.0423e-02
4792.8000	8.3277e-01	2.6069e-02
4802.0000	8.0183e-01	3.4926e-02
4811.2000	7.6065e-01	7.1021e-02
4820.4000	7.1723e-01	7.2927e-02
4829.6000	6.9372e-01	7.2917e-02
4838.8000	6.9404e-01	7.4121e-02
4848.0000	7.0402e-01	7.6957e-02
4857.2000	7.1973e-01	5.7399e-02
4866.4000	7.2021e-01	5.1540e-02
4875.6000	7.1747e-01	1.0286e-01
4884.8000	7.2717e-01	1.4002e-01
4894.0000	7.2856e-01	1.5159e-01
4903.2000	7.2163e-01	1.4515e-01
4912.4000	6.7757e-01	1.0090e-01
4921.6000	6.6038e-01	1.1633e-01
4930.8000	6.4800e-01	1.0382e-01
4940.0000	6.7020e-01	4.4745e-02
4949.2000	7.1670e-01	5.5367e-02
4958.4000	7.1574e-01	4.8625e-02
4967.6000	7.0741e-01	6.3895e-02
4976.8000	7.5339e-01	6.1728e-02
4986.0000	8.5320e-01	1.2750e-01
4995.2000	9.9151e-01	1.7809e-01
5004.4000	1.1140e+00	1.9651e-01
5013.6000	1.2030e+00	2.6510e-01
5022.8000	1.2624e+00	2.5182e-01
5032.0000	1.3007e+00	4.1714e-01
5041.2000	1.3000e+00	4.2162e-01
5050.4000	1.2566e+00	4.3182e-01
5059.6000	1.2014e+00	3.9005e-01
5068.8000	1.1208e+00	4.0122e-01
5078.0000	1.0324e+00	2.1380e-01
5087.2000	9.6144e-01	9.5777e-02
5096.4000	9.0003e-01	8.5020e-02
5105.6000	8.4463e-01	6.3006e-02
5114.8000	7.7015e-01	5.6676e-02
5124.0000	7.3252e-01	6.1643e-02
5133.2000	7.2912e-01	9.0424e-02
5142.4000	7.8165e-01	8.5673e-02
5151.6000	8.5451e-01	8.6228e-02
5160.8000	8.4694e-01	8.0160e-02
5170.0000	8.2849e-01	4.9036e-02
5179.2000	8.2815e-01	1.3573e-02
5188.4000	8.3743e-01	7.4545e-03
5197.6000	8.3562e-01	2.3521e-02
5206.8000	8.3505e-01	3.8852e-02
5216.0000	8.2606e-01	4.4673e-02
5225.2000	8.2581e-01	4.7664e-02
5234.4000	8.3425e-01	5.3353e-02
5243.6000	8.4460e-01	5.7837e-02
5252.8000	8.5348e-01	5.0385e-02
5262.0000	8.6924e-01	4.4856e-02
5271.2000	8.7834e-01	5.3377e-02
5280.4000	8.8795e-01	4.5843e-02
5289.6000	9.0274e-01	3.9293e-02
5298.8000	9.1023e-01	3.9257e-02
5308.0000	9.3117e-01	4.3394e-02
5317.2000	9.4696e-01	3.7300e-02
5326.4000	9.5624e-01	4.3207e-02
5335.6000	9.8124e-01	4.1470e-02
5344.8000	9.8784e-01	4.2796e-02
5354.0000	1.0066e+00	4.0681e-02
5363.2000	1.0185e+00	3.7917e-02
5372.4000	1.0416e+00	1.9046e-02
5381.6000	1.0643e+00	5.7876e-02
5390.8000	1.0900e+00	5.9860e-02
5400.0000	1.1010e+00	5.8547e-02
5409.2000	1.1124e+00	5.8671e-02
5418.4000	1.1008e+00	7.4631e-02
5427.6000	1.0988e+00	4.6051e-02
5436.8000	1.0998e+00	4.8419e-02
5446.0000	1.0929e+00	5.2904e-02
5455.2000	1.0884e+00	5.7918e-02
5464.4000	1.0809e+00	1.4900e-02
5473.6000	1.0804e+00	2.4879e-02
5482.8000	1.0847e+00	3.3858e-02
5492.0000	1.0938e+00	4.3974e-02
5501.2000	1.0803e+00	6.7796e-02
5510.4000	1.0862e+00	6.7550e-02
5519.6000	1.0872e+00	7.2926e-02
5528.8000	1.0782e+00	7.5035e-02
5538.0000	1.0663e+00	6.8914e-02
5547.2000	1.0358e+00	4.2849e-02
5556.4000	1.0076e+00	5.2620e-02
5565.6000	9.7739e-01	4.0888e-02
5574.8000	9.4904e-01	6.3557e-02
5584.0000	9.2703e-01	7.0472e-02
5593.2000	9.0789e-01	7.2316e-02
5602.4000	8.9716e-01	7.2363e-02
5611.6000	8.9654e-01	7.2494e-02
5620.8000	8.9499e-01	4.4616e-02
5630.0000	9.0671e-01	3.5286e-02
5639.2000	9.1308e-01	2.3837e-02
5648.4000	9.1315e-01	1.7489e-02
5657.6000	8.9954e-01	2.3936e-02
5666.8000	8.8368e-01	2.3479e-02
5676.0000	8.6049e-01	3.5376e-02
5685.2000	8.3716e-01	4.3214e-02
5694.4000	8.0622e-01	4.0451e-02
5703.6000	7.4929e-01	3.9540e-02
5712.8000	7.1141e-01	3.6323e-02
5722.0000	6.8302e-01	3.1469e-02
5731.2000	6.5420e-01	2.4030e-02
5740.4000	6.2350e-01	2.7081e-02
5749.6000	6.1450e-01	2.0123e-02
5758.8000	6.1512e-01	1.9853e-02
5768.0000	6.3425e-01	2.4653e-02
5777.2000	6.7215e-01	3.3491e-02
5786.4000	7.0495e-01	5.1206e-02
5795.6000	7.6396e-01	5.3699e-02
5804.8000	8.4248e-01	5.3472e-02
5814.0000	9.3151e-01	6.5026e-02
5823.2000	1.0359e+00	6.2021e-02
5832.4000	1.1259e+00	5.8374e-02
5841.6000	1.2122e+00	5.3623e-02
5850.8000	1.3036e+00	5.3008e-02
5860.0000	1.3807e+00	6.9556e-02
5869.2000	1.4544e+00	8.6278e-02
5878.4000	1.5018e+00	8.5182e-02
5887.6000	1.5379e+00	8.5651e-02
5896.8000	1.5640e+00	8.7098e-02
5906.0000	1.5683e+00	7.3554e-02
5915.2000	1.5773e+00	4.9354e-02
5924.4000	1.5879e+00	5.7848e-02
5933.6000	1.5876e+00	5.7222e-02
5942.8000	1.5706e+00	5.5558e-02
5952.0000	1.5731e+00	5.5915e-02
5961.2000	1.5545e+00	5.5837e-02
5970.4000	1.5465e+00	4.8536e-02
5979.6000	1.5338e+00	4.7753e-02
5988.8000	1.5077e+00	5.2318e-02
5998.0000	1.4875e+00	2.8839e-02
6007.2000	1.4650e+00	4.1772e-02
6016.4000	1.4308e+00	4.1896e-02
6025.6000	1.4020e+00	4.3118e-02
6034.8000	1.3579e+00	5.6408e-02
6044.0000	1.3179e+00	6.3234e-02
6053.2000	1.2822e+00	6.1187e-02
6062.4000	1.2553e+00	6.4035e-02
6071.6000	1.2317e+00	6.6212e-02
6080.8000	1.2027e+00	3.9254e-02
6090.0000	1.1830e+00	4.4342e-02
6099.2000	1.1692e+00	4.4042e-02
6108.4000	1.1512e+00	2.9923e-02
