#wls	flux	flux_err
4020.0000	9.1709e-01	4.5387e-01
4029.2000	9.9027e-01	4.5387e-01
4038.4000	1.1200e+00	4.5387e-01
4047.6000	1.1965e+00	4.4764e-01
4056.8000	1.2852e+00	5.5659e-01
4066.0000	1.3359e+00	3.8284e-01
4075.2000	1.3580e+00	5.1836e-01
4084.4000	1.3546e+00	6.0466e-01
4093.6000	1.3079e+00	5.9995e-01
4102.8000	1.2612e+00	5.2852e-01
4112.0000	1.1718e+00	5.2571e-01
4121.2000	1.1162e+00	5.0501e-01
4130.4000	1.0639e+00	3.7028e-01
4139.6000	9.5744e-01	3.7006e-01
4148.8000	9.9468e-01	2.6769e-01
4158.0000	9.7652e-01	2.2328e-01
4167.2000	9.8815e-01	1.0991e-01
4176.4000	1.0411e+00	9.3512e-02
4185.6000	9.8573e-01	1.5037e-01
4194.8000	9.0376e-01	1.6208e-01
4204.0000	8.7571e-01	1.7967e-01
4213.2000	9.2345e-01	1.7912e-01
4222.4000	9.5035e-01	2.2749e-01
4231.6000	9.0532e-01	1.9348e-01
4240.8000	9.2150e-01	1.9967e-01
4250.0000	8.8257e-01	2.4694e-01
4259.2000	8.7809e-01	2.6494e-01
4268.4000	8.6871e-01	2.5305e-01
4277.6000	8.4919e-01	2.5293e-01
4286.8000	8.2890e-01	2.5310e-01
4296.0000	8.2513e-01	1.6710e-01
4305.2000	8.3620e-01	1.4876e-01
4314.4000	8.4460e-01	9.0975e-02
4323.6000	8.8233e-01	8.9151e-02
4332.8000	8.6967e-01	4.4637e-02
4342.0000	8.8512e-01	4.7443e-02
4351.2000	8.9728e-01	9.8345e-02
4360.4000	9.1644e-01	1.0011e-01
4369.6000	9.0142e-01	1.2258e-01
4378.8000	9.2605e-01	1.2386e-01
4388.0000	9.3107e-01	1.3837e-01
4397.2000	9.1017e-01	1.0566e-01
4406.4000	8.9391e-01	1.0967e-01
4415.6000	8.7145e-01	1.2613e-01
4424.8000	8.6014e-01	1.7240e-01
4434.0000	8.3907e-01	1.6841e-01
4443.2000	8.2644e-01	1.6846e-01
4452.4000	8.1502e-01	1.6621e-01
4461.6000	8.2937e-01	1.5810e-01
4470.8000	8.4136e-01	9.6376e-02
4480.0000	8.5599e-01	8.4745e-02
4489.2000	8.5725e-01	1.2078e-01
4498.4000	8.7356e-01	1.1812e-01
4507.6000	8.8653e-01	8.8699e-02
4516.8000	9.0877e-01	8.5940e-02
4526.0000	9.2062e-01	8.3159e-02
4535.2000	9.2213e-01	4.5486e-02
4544.4000	9.6336e-01	6.5022e-02
4553.6000	9.6694e-01	9.2504e-02
4562.8000	1.0029e+00	1.1024e-01
4572.0000	1.0323e+00	1.1031e-01
4581.2000	1.0259e+00	1.0648e-01
4590.4000	1.0661e+00	1.0442e-01
4599.6000	1.1005e+00	6.6526e-02
4608.8000	1.1425e+00	5.2310e-02
4618.0000	1.1556e+00	6.3177e-02
4627.2000	1.1637e+00	5.3712e-02
4636.4000	1.1611e+00	3.8323e-02
4645.6000	1.1538e+00	3.8867e-02
4654.8000	1.1404e+00	1.0187e-01
4664.0000	1.1332e+00	1.4138e-01
4673.2000	1.1002e+00	1.4122e-01
4682.4000	1.0850e+00	1.4122e-01
4691.6000	1.0645e+00	1.4189e-01
4700.8000	1.0447e+00	1.0419e-01
4710.0000	1.0375e+00	4.4015e-02
4719.2000	1.0371e+00	4.7827e-02
4728.4000	1.0360e+00	4.6998e-02
4737.6000	1.0349e+00	4.3215e-02
4746.8000	1.0260e+00	3.4121e-02
4756.0000	1.0283e+00	3.1990e-02
4765.2000	1.0402e+00	2.8484e-02
4774.4000	1.0441e+00	3.2109e-02
4783.6000	1.0069e+00	4.3097e-02
4792.8000	1.0155e+00	7.1328e-02
4802.0000	1.0273e+00	8.5256e-02
4811.2000	9.9414e-01	9.9294e-02
4820.4000	9.1833e-01	1.1763e-01
4829.6000	8.9880e-01	1.3448e-01
4838.8000	9.2124e-01	1.2629e-01
4848.0000	9.6129e-01	1.3106e-01
4857.2000	1.0259e+00	1.1581e-01
4866.4000	1.1009e+00	8.4681e-02
4875.6000	1.1666e+00	9.7460e-02
4884.8000	1.2183e+00	3.3082e-01
4894.0000	1.2546e+00	3.7829e-01
4903.2000	1.2525e+00	4.0495e-01
4912.4000	1.1734e+00	3.6494e-01
4921.6000	1.0819e+00	3.6654e-01
4930.8000	1.0125e+00	2.9202e-01
4940.0000	9.8148e-01	8.5032e-02
4949.2000	9.9492e-01	8.7261e-02
4958.4000	8.9933e-01	1.0588e-01
4967.6000	7.8247e-01	1.2657e-01
4976.8000	8.0824e-01	1.2140e-01
4986.0000	9.2655e-01	1.7294e-01
4995.2000	1.1460e+00	1.9597e-01
5004.4000	1.3884e+00	3.7569e-01
5013.6000	1.5580e+00	4.5972e-01
5022.8000	1.6646e+00	4.2603e-01
5032.0000	1.7629e+00	8.5941e-01
5041.2000	1.7951e+00	9.0569e-01
5050.4000	1.7472e+00	8.9866e-01
5059.6000	1.6503e+00	8.4124e-01
5068.8000	1.5108e+00	8.5520e-01
5078.0000	1.3622e+00	4.7186e-01
5087.2000	1.2298e+00	1.9906e-01
5096.4000	1.1036e+00	1.3141e-01
5105.6000	9.8748e-01	1.3151e-01
5114.8000	8.4742e-01	1.0541e-01
5124.0000	7.5094e-01	1.0634e-01
5133.2000	7.4139e-01	9.2545e-02
5142.4000	8.3295e-01	7.8680e-02
5151.6000	9.8614e-01	1.0139e-01
5160.8000	9.8245e-01	9.2958e-02
5170.0000	9.3707e-01	6.3836e-02
5179.2000	9.5957e-01	6.3891e-02
5188.4000	9.7897e-01	6.2388e-02
5197.6000	9.9352e-01	5.7937e-02
5206.8000	9.8968e-01	4.6083e-02
5216.0000	9.7790e-01	3.8247e-02
5225.2000	9.8595e-01	4.0508e-02
5234.4000	9.9453e-01	3.5996e-02
5243.6000	9.9847e-01	3.6025e-02
5252.8000	1.0038e+00	2.6581e-02
5262.0000	1.0049e+00	3.0222e-02
5271.2000	1.0025e+00	3.9324e-02
5280.4000	1.0161e+00	4.4613e-02
5289.6000	1.0321e+00	4.7782e-02
5298.8000	1.0354e+00	5.7946e-02
5308.0000	1.0450e+00	5.2873e-02
5317.2000	1.0625e+00	5.3868e-02
5326.4000	1.0696e+00	5.4812e-02
5335.6000	1.0700e+00	5.3140e-02
5344.8000	1.0584e+00	3.5057e-02
5354.0000	1.0586e+00	3.4177e-02
5363.2000	1.0514e+00	3.7828e-02
5372.4000	1.0423e+00	3.1898e-02
5381.6000	1.0439e+00	4.2453e-02
5390.8000	1.0606e+00	4.7665e-02
5400.0000	1.0713e+00	5.4178e-02
5409.2000	1.0797e+00	4.2270e-02
5418.4000	1.0865e+00	6.4789e-02
5427.6000	1.0998e+00	6.3720e-02
5436.8000	1.1045e+00	5.5432e-02
5446.0000	1.0962e+00	5.5032e-02
5455.2000	1.0834e+00	5.6550e-02
5464.4000	1.0692e+00	4.6418e-02
5473.6000	1.0478e+00	3.8445e-02
5482.8000	1.0325e+00	3.2783e-02
5492.0000	1.0161e+00	2.7580e-02
5501.2000	1.0130e+00	2.7985e-02
5510.4000	1.0295e+00	2.5235e-02
5519.6000	1.0719e+00	1.6538e-02
5528.8000	1.1101e+00	2.4500e-02
5538.0000	1.1634e+00	2.6538e-02
5547.2000	1.1997e+00	5.5963e-02
5556.4000	1.2359e+00	4.9961e-02
5565.6000	1.2501e+00	4.7917e-02
5574.8000	1.2433e+00	4.9470e-02
5584.0000	1.2198e+00	4.3384e-02
5593.2000	1.1856e+00	4.3147e-02
5602.4000	1.1299e+00	4.1418e-02
5611.6000	1.0712e+00	4.3491e-02
5620.8000	1.0175e+00	4.4093e-02
5630.0000	9.6555e-01	4.7382e-02
5639.2000	9.2371e-01	4.1655e-02
5648.4000	8.9061e-01	3.9487e-02
5657.6000	8.6727e-01	2.5267e-03
5666.8000	8.5276e-01	3.5028e-03
5676.0000	8.3636e-01	1.1554e-02
