#wls	flux	fluxerr	mangling_mask
3.681200E+03	1.207425E-14	1.886075E-15	3.077025E+00
3.683100E+03	1.202925E-14	1.879388E-15	3.077400E+00
3.685100E+03	1.197909E-14	1.872031E-15	3.077795E+00
3.687000E+03	1.192606E-14	1.864421E-15	3.078170E+00
3.688900E+03	1.186287E-14	1.855621E-15	3.078545E+00
3.690800E+03	1.178580E-14	1.845203E-15	3.078920E+00
3.692700E+03	1.170501E-14	1.834382E-15	3.079294E+00
3.694700E+03	1.161104E-14	1.821979E-15	3.079688E+00
3.696600E+03	1.151204E-14	1.809100E-15	3.080062E+00
3.698500E+03	1.141671E-14	1.796703E-15	3.080436E+00
3.700400E+03	1.131612E-14	1.783742E-15	3.080809E+00
3.702300E+03	1.120873E-14	1.770046E-15	3.081183E+00
3.704300E+03	1.109244E-14	1.755320E-15	3.081575E+00
3.706200E+03	1.097081E-14	1.740112E-15	3.081948E+00
3.708100E+03	1.084576E-14	1.730340E-15	3.082321E+00
3.710000E+03	1.070866E-14	1.709317E-15	3.082693E+00
3.712000E+03	1.055957E-14	1.646773E-15	3.083085E+00
3.713900E+03	1.040790E-14	1.613799E-15	3.083457E+00
3.715800E+03	1.025280E-14	1.546457E-15	3.083828E+00
3.717700E+03	1.009582E-14	1.477564E-15	3.084200E+00
3.719600E+03	9.941573E-15	1.445163E-15	3.084571E+00
3.721600E+03	9.786424E-15	1.423532E-15	3.084962E+00
3.723500E+03	9.624386E-15	1.389743E-15	3.085332E+00
3.725400E+03	9.456753E-15	1.362373E-15	3.085703E+00
3.727300E+03	9.288771E-15	1.344821E-15	3.086073E+00
3.729200E+03	9.118896E-15	1.315983E-15	3.086443E+00
3.731200E+03	8.946874E-15	1.293354E-15	3.086832E+00
3.733100E+03	8.773518E-15	1.289640E-15	3.087202E+00
3.735000E+03	8.600737E-15	1.271764E-15	3.087571E+00
3.736900E+03	8.424209E-15	1.250051E-15	3.087940E+00
3.738800E+03	8.258446E-15	1.228780E-15	3.088309E+00
3.740800E+03	8.093929E-15	1.212127E-15	3.088696E+00
3.742700E+03	7.934571E-15	1.190088E-15	3.089065E+00
3.744600E+03	7.779809E-15	1.171559E-15	3.089432E+00
3.746500E+03	7.628098E-15	1.156538E-15	3.089800E+00
3.748400E+03	7.477587E-15	1.137995E-15	3.090167E+00
3.750400E+03	7.326158E-15	1.106713E-15	3.090554E+00
3.752300E+03	7.175881E-15	1.082577E-15	3.090921E+00
3.754200E+03	7.043189E-15	1.062735E-15	3.091287E+00
3.756100E+03	6.920976E-15	1.043154E-15	3.091654E+00
3.758100E+03	6.802176E-15	1.018281E-15	3.092039E+00
3.760000E+03	6.685160E-15	9.869804E-16	3.092405E+00
3.761900E+03	6.581105E-15	9.592019E-16	3.092770E+00
3.763800E+03	6.496202E-15	9.404992E-16	3.093135E+00
3.765700E+03	6.424271E-15	9.268789E-16	3.093500E+00
3.767700E+03	6.365356E-15	8.897956E-16	3.093884E+00
3.769600E+03	6.315979E-15	8.741824E-16	3.094248E+00
3.771500E+03	6.283300E-15	8.827770E-16	3.094612E+00
3.773400E+03	6.255565E-15	8.928424E-16	3.094976E+00
3.775300E+03	6.238965E-15	8.914205E-16	3.095339E+00
3.777300E+03	6.244379E-15	8.890146E-16	3.095721E+00
3.779200E+03	6.282883E-15	8.921295E-16	3.096084E+00
3.781100E+03	6.333781E-15	8.868226E-16	3.096447E+00
3.783000E+03	6.400175E-15	8.814696E-16	3.096809E+00
3.784900E+03	6.455742E-15	8.846236E-16	3.097171E+00
3.786900E+03	6.515389E-15	8.923600E-16	3.097551E+00
3.788800E+03	6.595456E-15	9.106035E-16	3.097912E+00
3.790700E+03	6.667175E-15	9.244740E-16	3.098273E+00
3.792600E+03	6.745416E-15	9.396923E-16	3.098634E+00
3.794500E+03	6.864892E-15	9.497014E-16	3.098994E+00
3.796500E+03	6.995905E-15	9.516674E-16	3.099373E+00
3.798400E+03	7.137135E-15	9.649368E-16	3.099733E+00
3.800300E+03	7.301957E-15	9.798743E-16	3.100092E+00
3.802200E+03	7.475188E-15	1.000948E-15	3.100451E+00
3.804100E+03	7.653109E-15	1.021972E-15	3.100810E+00
3.806100E+03	7.833909E-15	1.042901E-15	3.101187E+00
3.808000E+03	8.046649E-15	1.066370E-15	3.101545E+00
3.809900E+03	8.256335E-15	1.090146E-15	3.101903E+00
3.811800E+03	8.487784E-15	1.115957E-15	3.102260E+00
3.813800E+03	8.727715E-15	1.139849E-15	3.102636E+00
3.815700E+03	8.979440E-15	1.167112E-15	3.102993E+00
3.817600E+03	9.264117E-15	1.202213E-15	3.103349E+00
3.819500E+03	9.569032E-15	1.241113E-15	3.103705E+00
3.821400E+03	9.877741E-15	1.281439E-15	3.104060E+00
3.823400E+03	1.019186E-14	1.322318E-15	3.104434E+00
3.825300E+03	1.052244E-14	1.365665E-15	3.104789E+00
3.827200E+03	1.084285E-14	1.404250E-15	3.105144E+00
3.829100E+03	1.115836E-14	1.441641E-15	3.105498E+00
3.831000E+03	1.148047E-14	1.483388E-15	3.105852E+00
3.833000E+03	1.182757E-14	1.531694E-15	3.106224E+00
3.834900E+03	1.220201E-14	1.578890E-15	3.106577E+00
3.836800E+03	1.261320E-14	1.627697E-15	3.106930E+00
3.838700E+03	1.303878E-14	1.674837E-15	3.107282E+00
3.840600E+03	1.346041E-14	1.725347E-15	3.107634E+00
3.842600E+03	1.389899E-14	1.778431E-15	3.108004E+00
3.844500E+03	1.431988E-14	1.829709E-15	3.108355E+00
3.846400E+03	1.472159E-14	1.878721E-15	3.108706E+00
3.848300E+03	1.512090E-14	1.929514E-15	3.109057E+00
3.850200E+03	1.552123E-14	1.975081E-15	3.109407E+00
3.852200E+03	1.591521E-14	2.020870E-15	3.109775E+00
3.854100E+03	1.630389E-14	2.066519E-15	3.110124E+00
3.856000E+03	1.667400E-14	2.109365E-15	3.110473E+00
3.857900E+03	1.703144E-14	2.149180E-15	3.110822E+00
3.859800E+03	1.739237E-14	2.190437E-15	3.111170E+00
3.861800E+03	1.774571E-14	2.229721E-15	3.111536E+00
3.863700E+03	1.808440E-14	2.264708E-15	3.111883E+00
3.865600E+03	1.840542E-14	2.300701E-15	3.112230E+00
3.867500E+03	1.873149E-14	2.338489E-15	3.112576E+00
3.869500E+03	1.904840E-14	2.376282E-15	3.112941E+00
3.871400E+03	1.936402E-14	2.412073E-15	3.113286E+00
3.873300E+03	1.967815E-14	2.448654E-15	3.113632E+00
3.875200E+03	1.998862E-14	2.483853E-15	3.113977E+00
3.877100E+03	2.030039E-14	2.519279E-15	3.114321E+00
3.879100E+03	2.060612E-14	2.551588E-15	3.114683E+00
3.881000E+03	2.090245E-14	2.584701E-15	3.115027E+00
3.882900E+03	2.118015E-14	2.615037E-15	3.115370E+00
3.884800E+03	2.145075E-14	2.644517E-15	3.115713E+00
3.886700E+03	2.171454E-14	2.676332E-15	3.116055E+00
3.888700E+03	2.196543E-14	2.709063E-15	3.116415E+00
3.890600E+03	2.221281E-14	2.735720E-15	3.116756E+00
3.892500E+03	2.245432E-14	2.761700E-15	3.117097E+00
3.894400E+03	2.268217E-14	2.781891E-15	3.117438E+00
3.896300E+03	2.291692E-14	2.804960E-15	3.117778E+00
3.898300E+03	2.314218E-14	2.824537E-15	3.118136E+00
3.900200E+03	2.335894E-14	2.847209E-15	3.118475E+00
3.902100E+03	2.356700E-14	2.868078E-15	3.118814E+00
3.904000E+03	2.376326E-14	2.894550E-15	3.119152E+00
3.905900E+03	2.395612E-14	2.938005E-15	3.119490E+00
3.907900E+03	2.413949E-14	2.996391E-15	3.119845E+00
3.909800E+03	2.431651E-14	3.044142E-15	3.120182E+00
3.911700E+03	2.448390E-14	3.074412E-15	3.120518E+00
3.913600E+03	2.465475E-14	3.084294E-15	3.120854E+00
3.915500E+03	2.482126E-14	3.104860E-15	3.121190E+00
3.917500E+03	2.498639E-14	3.128317E-15	3.121543E+00
3.919400E+03	2.515827E-14	3.156750E-15	3.121877E+00
3.921300E+03	2.531989E-14	3.174937E-15	3.122211E+00
3.923200E+03	2.547122E-14	3.192139E-15	3.122545E+00
3.925200E+03	2.561399E-14	3.206212E-15	3.122896E+00
3.927100E+03	2.575945E-14	3.221654E-15	3.123228E+00
3.929000E+03	2.590244E-14	3.243027E-15	3.123561E+00
3.930900E+03	2.603546E-14	3.263067E-15	3.123892E+00
3.932800E+03	2.616006E-14	3.280493E-15	3.124224E+00
3.934800E+03	2.628515E-14	3.295096E-15	3.124572E+00
3.936700E+03	2.641042E-14	3.312337E-15	3.124902E+00
3.938600E+03	2.653759E-14	3.322772E-15	3.125232E+00
3.940500E+03	2.664447E-14	3.330704E-15	3.125561E+00
3.942400E+03	2.673792E-14	3.337557E-15	3.125890E+00
3.944400E+03	2.682466E-14	3.343860E-15	3.126235E+00
3.946300E+03	2.688875E-14	3.346539E-15	3.126563E+00
3.948200E+03	2.692534E-14	3.347583E-15	3.126890E+00
3.950100E+03	2.694754E-14	3.346763E-15	3.127217E+00
