#wls	flux	fluxerr
1.570383E+03	2.294040E-02	2.051067E-04
1.609642E+03	2.358074E-02	2.107034E-04
1.648902E+03	2.426216E-02	2.166562E-04
1.688161E+03	2.498655E-02	2.229811E-04
1.727421E+03	2.575825E-02	2.297154E-04
1.766680E+03	2.657895E-02	2.368731E-04
1.805940E+03	2.745274E-02	2.444891E-04
1.845200E+03	2.838359E-02	2.525973E-04
1.884459E+03	2.937277E-02	2.612072E-04
1.923719E+03	3.042390E-02	2.703494E-04
1.962978E+03	3.154042E-02	2.800523E-04
2.002238E+03	3.272553E-02	2.903423E-04
2.041497E+03	3.397969E-02	3.012213E-04
2.080757E+03	3.530564E-02	3.127112E-04
2.120016E+03	3.670083E-02	3.247869E-04
2.159276E+03	3.816248E-02	3.374213E-04
2.198536E+03	3.967767E-02	3.504978E-04
2.237795E+03	4.123340E-02	3.638991E-04
2.277055E+03	4.284372E-02	3.777471E-04
2.316314E+03	4.453194E-02	3.922447E-04
2.355574E+03	4.631576E-02	4.075442E-04
2.394833E+03	4.820727E-02	4.237481E-04
2.434093E+03	5.021542E-02	4.409305E-04
2.473353E+03	5.235084E-02	4.591800E-04
2.512612E+03	5.461860E-02	4.785357E-04
2.551872E+03	5.702776E-02	4.990713E-04
2.591131E+03	5.958183E-02	5.208114E-04
2.630391E+03	6.227891E-02	5.437328E-04
2.669650E+03	6.512114E-02	5.678478E-04
2.708910E+03	6.810314E-02	5.931024E-04
2.748170E+03	7.121673E-02	6.194187E-04
2.787429E+03	7.444926E-02	6.466798E-04
2.826689E+03	7.778779E-02	6.747668E-04
2.865948E+03	8.123286E-02	7.036780E-04
2.905208E+03	8.480800E-02	7.336103E-04
2.944467E+03	8.854383E-02	7.648205E-04
2.954282E+03	8.950576E-02	7.728463E-04
2.964097E+03	9.048316E-02	7.809983E-04
2.973912E+03	9.147174E-02	7.892389E-04
2.983727E+03	9.247322E-02	7.975830E-04
2.993542E+03	9.349165E-02	8.060654E-04
3.003357E+03	9.452252E-02	8.146469E-04
3.013172E+03	9.556983E-02	8.233617E-04
3.022986E+03	9.663311E-02	8.322057E-04
3.032801E+03	9.771230E-02	8.411781E-04
3.042616E+03	9.880694E-02	8.502747E-04
3.052431E+03	9.992096E-02	8.595292E-04
3.062246E+03	1.010520E-01	8.689207E-04
3.072061E+03	1.022017E-01	8.784639E-04
3.081876E+03	1.033699E-01	8.881563E-04
3.091691E+03	1.045561E-01	8.979943E-04
3.101506E+03	1.057623E-01	9.079932E-04
3.111320E+03	1.069899E-01	9.181663E-04
3.121135E+03	1.082347E-01	9.284769E-04
3.130950E+03	1.095023E-01	9.389729E-04
3.140765E+03	1.107904E-01	9.496338E-04
3.150580E+03	1.121007E-01	9.604739E-04
3.160395E+03	1.134328E-01	9.714899E-04
3.170210E+03	1.147843E-01	9.826612E-04
3.180025E+03	1.161610E-01	9.940359E-04
3.189840E+03	1.175564E-01	1.005560E-03
3.199655E+03	1.189762E-01	1.017280E-03
3.209469E+03	1.204200E-01	1.029193E-03
3.219284E+03	1.218835E-01	1.041262E-03
3.229099E+03	1.233723E-01	1.053535E-03
3.238914E+03	1.248820E-01	1.065973E-03
3.248729E+03	1.264144E-01	1.078592E-03
3.258544E+03	1.279690E-01	1.091387E-03
3.268359E+03	1.295474E-01	1.104372E-03
3.278174E+03	1.311475E-01	1.117527E-03
3.287989E+03	1.327687E-01	1.130849E-03
3.297803E+03	1.344109E-01	1.144335E-03
3.307618E+03	1.360757E-01	1.157998E-03
3.317433E+03	1.377607E-01	1.171819E-03
3.327248E+03	1.394658E-01	1.185796E-03
3.337063E+03	1.411905E-01	1.199925E-03
3.346878E+03	1.429329E-01	1.214188E-03
3.356693E+03	1.446927E-01	1.228584E-03
3.366508E+03	1.464695E-01	1.243108E-03
3.376323E+03	1.482613E-01	1.257743E-03
3.386137E+03	1.500680E-01	1.272487E-03
3.395952E+03	1.518873E-01	1.287323E-03
3.405767E+03	1.537173E-01	1.302233E-03
3.415582E+03	1.555562E-01	1.317201E-03
3.425397E+03	1.573999E-01	1.332194E-03
3.435212E+03	1.592485E-01	1.347210E-03
3.445027E+03	1.610983E-01	1.362220E-03
3.454842E+03	1.629438E-01	1.377176E-03
3.464657E+03	1.647780E-01	1.392020E-03
3.474471E+03	1.665991E-01	1.406735E-03
3.484286E+03	1.684002E-01	1.421264E-03
3.494101E+03	1.701709E-01	1.435520E-03
3.503916E+03	1.719062E-01	1.449460E-03
3.513731E+03	1.735992E-01	1.463028E-03
3.523546E+03	1.752418E-01	1.476154E-03
3.533361E+03	1.768239E-01	1.488755E-03
