#wls	flux	fluxerr
1.570383E+03	1.917510E-02	6.687864E-04
1.609642E+03	1.949084E-02	6.788269E-04
1.648902E+03	1.981505E-02	6.891069E-04
1.688161E+03	2.015509E-02	6.998789E-04
1.727421E+03	2.050778E-02	7.110281E-04
1.766680E+03	2.087774E-02	7.227112E-04
1.805940E+03	2.126429E-02	7.348997E-04
1.845200E+03	2.166928E-02	7.476529E-04
1.884459E+03	2.209449E-02	7.610267E-04
1.923719E+03	2.254423E-02	7.751637E-04
1.962978E+03	2.302268E-02	7.902007E-04
2.002238E+03	2.352860E-02	8.060873E-04
2.041497E+03	2.407374E-02	8.232182E-04
2.080757E+03	2.465646E-02	8.415266E-04
2.120016E+03	2.528802E-02	8.613857E-04
2.159276E+03	2.597665E-02	8.830626E-04
2.198536E+03	2.672759E-02	9.067198E-04
2.237795E+03	2.754823E-02	9.325902E-04
2.277055E+03	2.844537E-02	9.608852E-04
2.316314E+03	2.942268E-02	9.917070E-04
2.355574E+03	3.048068E-02	1.025050E-03
2.394833E+03	3.161676E-02	1.060803E-03
2.434093E+03	3.282778E-02	1.098838E-03
2.473353E+03	3.411252E-02	1.139090E-03
2.512612E+03	3.546913E-02	1.181473E-03
2.551872E+03	3.689021E-02	1.225716E-03
2.591131E+03	3.837990E-02	1.271934E-03
2.630391E+03	3.992711E-02	1.319736E-03
2.669650E+03	4.153212E-02	1.369108E-03
2.708910E+03	4.318967E-02	1.419854E-03
2.748170E+03	4.489388E-02	1.471759E-03
2.787429E+03	4.663825E-02	1.524590E-03
2.826689E+03	4.842235E-02	1.578313E-03
2.865948E+03	5.024478E-02	1.632865E-03
2.905208E+03	5.211391E-02	1.688495E-03
2.944467E+03	5.404265E-02	1.745601E-03
2.954282E+03	5.453684E-02	1.760191E-03
2.964097E+03	5.503529E-02	1.774889E-03
2.973912E+03	5.553977E-02	1.789751E-03
2.983727E+03	5.605202E-02	1.804831E-03
2.993542E+03	5.656765E-02	1.819990E-03
3.003357E+03	5.709244E-02	1.835411E-03
3.013172E+03	5.762403E-02	1.851018E-03
3.022986E+03	5.816208E-02	1.866799E-03
3.032801E+03	5.870627E-02	1.882744E-03
3.042616E+03	5.926021E-02	1.898968E-03
3.052431E+03	5.982350E-02	1.915456E-03
3.062246E+03	6.039383E-02	1.932135E-03
3.072061E+03	6.097470E-02	1.949115E-03
3.081876E+03	6.156570E-02	1.966383E-03
3.091691E+03	6.216641E-02	1.983924E-03
3.101506E+03	6.277644E-02	2.001724E-03
