#wls	flux	fluxerr
1.570383E+03	1.115893E-02	1.027197E-04
1.609642E+03	1.150320E-02	1.057289E-04
1.648902E+03	1.183734E-02	1.086313E-04
1.688161E+03	1.216083E-02	1.114222E-04
1.727421E+03	1.246891E-02	1.140582E-04
1.766680E+03	1.275289E-02	1.164601E-04
1.805940E+03	1.300224E-02	1.185327E-04
1.845200E+03	1.320104E-02	1.201323E-04
1.884459E+03	1.333487E-02	1.211301E-04
1.923719E+03	1.339026E-02	1.214071E-04
1.962978E+03	1.337106E-02	1.210017E-04
2.002238E+03	1.330575E-02	1.201751E-04
2.041497E+03	1.326641E-02	1.195796E-04
2.080757E+03	1.335964E-02	1.201723E-04
2.120016E+03	1.369276E-02	1.229093E-04
2.159276E+03	1.432035E-02	1.282653E-04
2.198536E+03	1.523496E-02	1.361556E-04
2.237795E+03	1.637845E-02	1.460434E-04
2.277055E+03	1.768049E-02	1.572879E-04
2.316314E+03	1.908225E-02	1.693551E-04
2.355574E+03	2.054528E-02	1.818964E-04
2.394833E+03	2.205029E-02	1.947356E-04
2.434093E+03	2.359096E-02	2.078120E-04
2.473353E+03	2.517001E-02	2.211451E-04
2.512612E+03	2.679305E-02	2.347792E-04
2.551872E+03	2.846371E-02	2.487406E-04
2.591131E+03	3.018935E-02	2.630879E-04
2.630391E+03	3.197231E-02	2.778351E-04
2.669650E+03	3.381521E-02	2.929982E-04
2.708910E+03	3.571811E-02	3.085707E-04
2.748170E+03	3.767862E-02	3.245250E-04
2.787429E+03	3.969471E-02	3.408367E-04
2.826689E+03	4.176066E-02	3.574498E-04
2.865948E+03	4.388087E-02	3.743954E-04
2.905208E+03	4.606801E-02	3.917742E-04
2.944467E+03	4.834383E-02	4.097625E-04
2.954282E+03	4.892846E-02	4.143691E-04
2.964097E+03	4.952001E-02	4.190246E-04
2.973912E+03	5.011956E-02	4.237380E-04
2.983727E+03	5.072749E-02	4.285123E-04
2.993542E+03	5.134557E-02	4.333622E-04
3.003357E+03	5.197827E-02	4.383251E-04
3.013172E+03	5.262216E-02	4.433719E-04
3.022986E+03	5.327916E-02	4.485183E-04
3.032801E+03	5.394844E-02	4.537571E-04
3.042616E+03	5.463058E-02	4.590928E-04
3.052431E+03	5.532491E-02	4.645194E-04
3.062246E+03	5.603198E-02	4.700413E-04
3.072061E+03	5.675123E-02	4.756535E-04
3.081876E+03	5.748199E-02	4.813501E-04
3.091691E+03	5.822491E-02	4.871361E-04
3.101506E+03	5.898062E-02	4.930166E-04
3.111320E+03	5.974861E-02	4.989870E-04
3.121135E+03	6.052829E-02	5.050419E-04
3.130950E+03	6.132034E-02	5.111868E-04
3.140765E+03	6.212550E-02	5.174275E-04
3.150580E+03	6.294317E-02	5.237587E-04
3.160395E+03	6.377285E-02	5.301760E-04
3.170210E+03	6.461408E-02	5.366751E-04
3.180025E+03	6.546877E-02	5.432716E-04
3.189840E+03	6.633639E-02	5.499609E-04
3.199655E+03	6.721647E-02	5.567385E-04
3.209469E+03	6.810853E-02	5.636003E-04
3.219284E+03	6.901334E-02	5.705524E-04
3.229099E+03	6.992918E-02	5.775801E-04
3.238914E+03	7.085916E-02	5.847089E-04
3.248729E+03	7.180050E-02	5.919154E-04
3.258544E+03	7.275275E-02	5.991957E-04
3.268359E+03	7.371784E-02	6.065653E-04
3.278174E+03	7.469417E-02	6.140108E-04
3.287989E+03	7.568130E-02	6.215282E-04
3.297803E+03	7.667890E-02	6.291147E-04
3.307618E+03	7.768654E-02	6.367663E-04
3.317433E+03	7.870387E-02	6.444800E-04
3.327248E+03	7.972948E-02	6.522439E-04
3.337063E+03	8.076522E-02	6.600729E-04
3.346878E+03	8.180744E-02	6.679371E-04
3.356693E+03	8.285589E-02	6.758341E-04
3.366508E+03	8.391149E-02	6.837714E-04
3.376323E+03	8.497172E-02	6.917281E-04
3.386137E+03	8.603426E-02	6.996853E-04
3.395952E+03	8.710011E-02	7.076512E-04
3.405767E+03	8.816697E-02	7.156069E-04
3.415582E+03	8.923269E-02	7.235349E-04
3.425397E+03	9.029616E-02	7.314263E-04
3.435212E+03	9.135540E-02	7.392652E-04
3.445027E+03	9.240628E-02	7.470182E-04
3.454842E+03	9.344809E-02	7.546799E-04
3.464657E+03	9.447696E-02	7.622192E-04
3.474471E+03	9.549018E-02	7.696146E-04
3.484286E+03	9.648224E-02	7.768222E-04
3.494101E+03	9.745068E-02	7.838227E-04
3.503916E+03	9.839127E-02	7.905827E-04
3.513731E+03	9.929906E-02	7.970632E-04
3.523546E+03	1.001721E-01	8.032495E-04
3.533361E+03	1.010068E-01	8.091137E-04
3.543176E+03	1.017998E-01	8.146297E-04
3.552991E+03	1.025508E-01	8.197963E-04
3.562805E+03	1.032598E-01	8.246142E-04
3.572620E+03	1.039288E-01	8.291014E-04
3.582435E+03	1.045572E-01	8.332538E-04
3.592250E+03	1.051476E-01	8.370924E-04
3.602065E+03	1.057017E-01	8.406321E-04
3.611880E+03	1.062243E-01	8.439122E-04
3.621695E+03	1.067157E-01	8.469365E-04
3.631510E+03	1.071823E-01	8.497557E-04
3.641325E+03	1.076259E-01	8.523849E-04
3.651140E+03	9.860834E-02	7.801532E-04
3.652612E+03	9.902733E-02	7.833455E-04
3.654084E+03	9.946612E-02	7.866935E-04
3.655556E+03	9.986577E-02	7.897308E-04
3.657028E+03	1.003147E-01	7.931566E-04
3.658501E+03	1.006753E-01	7.958831E-04
3.659973E+03	1.010557E-01	7.987653E-04
3.661445E+03	1.015050E-01	8.021914E-04
3.662917E+03	1.019938E-01	8.059283E-04
3.664390E+03	1.022960E-01	8.081892E-04
3.665862E+03	1.026080E-01	8.105279E-04
3.667334E+03	1.029497E-01	8.130996E-04
3.668806E+03	1.032522E-01	8.153608E-04
3.670279E+03	1.033776E-01	8.162236E-04
3.671751E+03	1.037492E-01	8.190286E-04
3.673223E+03	1.039732E-01	8.206683E-04
3.674695E+03	1.039807E-01	8.205991E-04
3.676167E+03	1.041555E-01	8.218503E-04
3.677640E+03	1.041138E-01	8.213925E-04
3.679112E+03	1.041312E-01	8.214010E-04
3.680584E+03	1.040403E-01	8.205547E-04
3.682056E+03	1.040478E-01	8.204856E-04
3.683529E+03	1.039864E-01	8.198726E-04
3.685001E+03	1.039840E-01	8.197255E-04
3.686473E+03	1.040409E-01	8.200451E-04
3.687945E+03	1.040287E-01	8.198204E-04
3.689418E+03	1.039968E-01	8.194408E-04
3.690890E+03	1.038268E-01	8.179730E-04
3.692362E+03	1.038147E-01	8.177488E-04
3.693834E+03	1.037827E-01	8.173689E-04
3.695307E+03	1.036225E-01	8.159789E-04
3.696779E+03	1.035313E-01	8.151330E-04
3.698251E+03	1.034204E-01	8.141317E-04
3.699723E+03	1.033094E-01	8.131305E-04
3.701195E+03	1.031885E-01	8.120514E-04
3.702668E+03	1.032059E-01	8.120607E-04
3.704140E+03	1.029763E-01	8.101268E-04
3.705612E+03	1.027071E-01	8.078823E-04
3.707084E+03	1.025663E-01	8.066481E-04
3.708557E+03	1.025341E-01	8.062683E-04
3.710029E+03	1.025909E-01	8.065887E-04
3.711501E+03	1.025785E-01	8.063644E-04
3.712973E+03	1.024970E-01	8.055967E-04
3.714446E+03	1.025044E-01	8.055284E-04
3.715918E+03	1.024722E-01	8.051490E-04
3.717390E+03	1.023609E-01	8.041481E-04
3.718862E+03	1.022990E-01	8.035360E-04
3.720334E+03	1.024053E-01	8.042448E-04
3.721807E+03	1.025909E-01	8.055755E-04
3.723279E+03	1.026775E-01	8.061292E-04
3.724751E+03	1.026157E-01	8.055173E-04
3.726223E+03	1.024746E-01	8.042833E-04
3.727696E+03	1.022642E-01	8.025055E-04
3.729168E+03	1.021627E-01	8.015828E-04
3.730640E+03	1.022493E-01	8.021364E-04
3.732112E+03	1.022865E-01	8.023020E-04
3.733585E+03	1.022543E-01	8.019235E-04
3.735057E+03	1.022320E-01	8.016224E-04
3.736529E+03	1.024278E-01	8.030318E-04
3.738001E+03	1.026039E-01	8.042856E-04
3.739474E+03	1.028891E-01	8.063948E-04
3.740946E+03	1.031248E-01	8.081151E-04
3.742418E+03	1.032813E-01	8.092139E-04
3.743890E+03	1.035668E-01	8.113233E-04
3.745362E+03	1.037730E-01	8.128108E-04
3.746835E+03	1.041778E-01	8.158533E-04
3.748307E+03	1.046224E-01	8.192069E-04
3.749779E+03	1.048985E-01	8.212391E-04
3.751251E+03	1.050157E-01	8.220274E-04
3.752724E+03	1.049740E-01	8.215719E-04
3.754196E+03	1.050912E-01	8.223604E-04
3.755668E+03	1.052781E-01	8.236933E-04
3.757140E+03	1.056042E-01	8.261148E-04
3.758613E+03	1.058111E-01	8.276032E-04
3.760085E+03	1.059088E-01	8.282368E-04
3.761557E+03	1.059766E-01	8.286371E-04
3.763029E+03	1.060545E-01	8.291153E-04
3.764502E+03	1.063810E-01	8.315372E-04
3.765974E+03	1.069464E-01	8.358251E-04
3.767446E+03	1.073926E-01	8.391806E-04
3.768918E+03	1.076101E-01	8.407478E-04
3.770390E+03	1.078674E-01	8.426258E-04
3.771863E+03	1.082543E-01	8.455151E-04
3.773335E+03	1.085317E-01	8.475491E-04
3.774807E+03	1.086201E-01	8.481059E-04
3.776279E+03	1.086786E-01	8.484295E-04
3.777752E+03	1.088169E-01	8.493753E-04
3.779224E+03	1.090249E-01	8.508655E-04
3.780696E+03	1.090537E-01	8.509561E-04
3.782168E+03	1.091921E-01	8.519022E-04
3.783641E+03	1.095200E-01	8.543259E-04
3.785113E+03	1.098878E-01	8.570609E-04
3.786585E+03	1.102359E-01	8.596402E-04
3.788057E+03	1.103447E-01	8.603535E-04
3.789529E+03	1.104934E-01	8.613779E-04
3.791002E+03	1.105425E-01	8.616248E-04
3.792474E+03	1.109208E-01	8.644379E-04
3.793946E+03	1.113991E-01	8.680294E-04
3.795418E+03	1.113685E-01	8.676541E-04
3.796891E+03	1.113478E-01	8.673571E-04
3.798363E+03	1.113971E-01	8.676043E-04
3.799835E+03	1.112865E-01	8.666071E-04
3.801307E+03	1.114756E-01	8.679435E-04
3.802780E+03	1.117847E-01	8.702135E-04
3.804252E+03	1.120040E-01	8.717836E-04
3.805724E+03	1.119835E-01	8.714867E-04
3.807196E+03	1.122528E-01	8.734458E-04
3.808669E+03	1.125523E-01	8.756384E-04
3.810141E+03	1.127319E-01	8.768979E-04
3.811613E+03	1.125114E-01	8.750457E-04
3.813085E+03	1.122809E-01	8.731158E-04
3.814557E+03	1.125806E-01	8.753088E-04
3.816030E+03	1.128704E-01	8.774242E-04
3.817502E+03	1.128600E-01	8.772059E-04
3.818974E+03	1.130499E-01	8.785438E-04
3.820446E+03	1.134000E-01	8.811265E-04
3.821919E+03	1.135599E-01	8.822311E-04
3.823391E+03	1.137901E-01	8.838803E-04
3.824863E+03	1.140203E-01	8.855296E-04
3.826335E+03	1.141404E-01	8.863234E-04
3.827808E+03	1.142305E-01	8.868840E-04
3.829280E+03	1.144810E-01	8.886895E-04
3.830752E+03	1.145210E-01	8.888610E-04
3.832224E+03	1.144909E-01	8.884880E-04
3.833696E+03	1.145310E-01	8.886599E-04
3.835169E+03	1.145611E-01	8.887541E-04
3.836641E+03	1.143705E-01	8.871364E-04
3.838113E+03	1.143705E-01	8.869969E-04
3.839585E+03	1.147618E-01	8.898926E-04
3.841058E+03	1.152838E-01	8.938000E-04
3.842530E+03	1.157758E-01	8.974744E-04
3.844002E+03	1.159267E-01	8.985029E-04
3.845474E+03	1.161378E-01	8.999985E-04
3.846947E+03	1.166503E-01	9.038288E-04
3.848419E+03	1.168617E-01	9.053249E-04
3.849891E+03	1.170028E-01	9.062758E-04
3.851363E+03	1.172143E-01	9.077722E-04
3.852836E+03	1.172852E-01	9.081789E-04
3.854308E+03	1.175973E-01	9.104537E-04
3.855780E+03	1.177588E-01	9.115609E-04
3.857252E+03	1.177996E-01	9.117344E-04
3.858724E+03	1.177097E-01	9.108962E-04
3.860197E+03	1.178310E-01	9.116928E-04
3.861669E+03	1.179926E-01	9.128003E-04
3.863141E+03	1.179933E-01	9.126630E-04
3.864613E+03	1.179336E-01	9.120586E-04
3.866086E+03	1.180450E-01	9.127776E-04
3.867558E+03	1.177537E-01	9.103826E-04
3.869030E+03	1.173918E-01	9.074431E-04
3.870502E+03	1.175535E-01	9.085514E-04
3.871975E+03	1.174534E-01	9.076356E-04
3.873447E+03	1.173028E-01	9.063308E-04
3.874919E+03	1.169910E-01	9.037804E-04
3.876391E+03	1.170620E-01	9.041883E-04
3.877863E+03	1.170323E-01	9.038178E-04
3.879336E+03	1.168716E-01	9.024353E-04
3.880808E+03	1.167107E-01	9.010528E-04
3.882280E+03	1.165195E-01	8.994366E-04
3.883752E+03	1.163888E-01	8.982878E-04
3.885225E+03	1.162177E-01	8.968272E-04
3.886697E+03	1.160263E-01	8.952111E-04
3.888169E+03	1.158046E-01	8.933613E-04
3.889641E+03	1.155324E-01	8.911223E-04
3.891114E+03	1.154721E-01	8.905186E-04
3.892586E+03	1.152805E-01	8.889024E-04
3.894058E+03	1.151696E-01	8.879093E-04
3.895530E+03	1.151900E-01	8.879286E-04
3.897003E+03	1.152206E-01	8.880259E-04
3.898475E+03	1.149479E-01	8.857866E-04
3.899947E+03	1.148571E-01	8.849497E-04
3.901419E+03	1.149786E-01	8.857478E-04
3.902891E+03	1.150698E-01	8.863125E-04
3.904364E+03	1.150497E-01	8.860206E-04
3.905836E+03	1.149893E-01	8.854172E-04
3.907308E+03	1.149793E-01	8.852032E-04
3.908780E+03	1.151212E-01	8.861578E-04
3.910253E+03	1.150101E-01	8.851652E-04
3.911725E+03	1.148078E-01	8.834714E-04
3.913197E+03	1.149294E-01	8.842702E-04
3.914669E+03	1.151423E-01	8.857705E-04
3.916142E+03	1.149602E-01	8.842327E-04
3.917614E+03	1.146160E-01	8.814483E-04
3.919086E+03	1.144641E-01	8.801440E-04
3.920558E+03	1.144439E-01	8.798526E-04
3.922031E+03	1.144440E-01	8.797170E-04
3.923503E+03	1.147178E-01	8.816852E-04
3.924975E+03	1.150018E-01	8.837310E-04
3.926447E+03	1.149310E-01	8.830506E-04
3.927919E+03	1.150123E-01	8.835385E-04
3.929392E+03	1.154183E-01	8.865201E-04
3.930864E+03	1.158041E-01	8.893455E-04
3.932336E+03	1.159363E-01	8.902236E-04
3.933808E+03	1.161803E-01	8.919590E-04
3.935281E+03	1.163938E-01	8.934604E-04
3.936753E+03	1.165567E-01	8.945727E-04
3.938225E+03	1.167704E-01	8.960744E-04
3.939697E+03	1.170349E-01	8.979660E-04
3.941170E+03	1.174316E-01	9.008708E-04
3.942642E+03	1.175948E-01	9.019833E-04
3.944114E+03	1.176157E-01	9.020051E-04
3.945586E+03	1.180026E-01	9.048324E-04
3.947058E+03	1.183794E-01	9.075821E-04
3.948531E+03	1.188784E-01	9.112672E-04
3.950003E+03	1.191131E-01	9.129260E-04
3.951475E+03	1.192564E-01	9.138835E-04
3.952947E+03	1.196845E-01	9.170233E-04
3.954420E+03	1.199195E-01	9.186825E-04
3.955892E+03	1.201037E-01	9.199523E-04
3.957364E+03	1.204508E-01	9.224692E-04
3.958836E+03	1.207777E-01	9.248304E-04
3.960309E+03	1.211251E-01	9.273479E-04
3.961781E+03	1.214624E-01	9.297875E-04
3.963253E+03	1.218405E-01	9.325390E-04
3.964725E+03	1.223919E-01	9.366160E-04
3.966198E+03	1.227194E-01	9.389778E-04
3.967670E+03	1.229451E-01	9.405606E-04
3.969142E+03	1.230893E-01	9.415196E-04
3.970614E+03	1.233967E-01	9.437263E-04
3.972086E+03	1.237858E-01	9.465568E-04
3.973559E+03	1.243177E-01	9.504791E-04
3.975031E+03	1.248703E-01	9.545578E-04
3.976503E+03	1.254332E-01	9.587143E-04
3.977975E+03	1.257617E-01	9.610780E-04
3.979448E+03	1.260494E-01	9.631298E-04
3.980920E+03	1.263883E-01	9.655716E-04
3.982392E+03	1.267477E-01	9.681694E-04
3.983864E+03	1.270357E-01	9.702216E-04
3.985337E+03	1.273035E-01	9.721181E-04
3.986809E+03	1.274793E-01	9.733124E-04
3.988281E+03	1.276144E-01	9.741955E-04
3.989753E+03	1.279232E-01	9.764040E-04
3.991225E+03	1.284467E-01	9.802509E-04
3.992698E+03	1.288171E-01	9.829281E-04
3.994170E+03	1.291161E-01	9.850592E-04
3.995642E+03	1.295481E-01	9.882047E-04
3.997114E+03	1.299188E-01	9.908820E-04
3.998587E+03	1.301056E-01	9.921558E-04
4.000059E+03	1.303436E-01	9.938198E-04
4.001531E+03	1.305612E-01	9.953276E-04
4.003003E+03	1.304820E-01	9.945732E-04
4.004476E+03	1.304437E-01	9.941307E-04
4.005948E+03	1.304260E-01	9.938447E-04
4.007420E+03	1.304491E-01	9.938703E-04
4.008892E+03	1.306669E-01	9.953788E-04
4.010365E+03	1.307310E-01	9.957169E-04
4.011837E+03	1.305903E-01	9.944943E-04
4.013309E+03	1.307877E-01	9.958469E-04
4.014781E+03	1.307493E-01	9.954045E-04
4.016253E+03	1.305060E-01	9.934018E-04
4.017726E+03	1.304779E-01	9.930379E-04
4.019198E+03	1.303369E-01	9.918154E-04
4.020670E+03	1.301548E-01	9.902806E-04
4.022142E+03	1.300856E-01	9.896042E-04
4.023615E+03	1.300573E-01	9.892401E-04
4.025087E+03	1.299264E-01	9.880955E-04
4.026559E+03	1.299288E-01	9.879654E-04
4.028031E+03	1.300032E-01	9.883819E-04
4.029504E+03	1.301288E-01	9.891885E-04
4.030976E+03	1.301210E-01	9.889805E-04
4.032448E+03	1.302878E-01	9.900992E-04
4.033920E+03	1.304649E-01	9.912962E-04
4.035392E+03	1.303955E-01	9.906203E-04
4.036865E+03	1.301718E-01	9.887729E-04
4.038337E+03	1.300200E-01	9.874721E-04
4.039809E+03	1.301458E-01	9.882790E-04
4.041281E+03	1.301482E-01	9.881492E-04
4.042754E+03	1.297495E-01	9.849747E-04
4.044226E+03	1.295357E-01	9.832051E-04
4.045698E+03	1.294969E-01	9.827631E-04
4.047170E+03	1.294785E-01	9.824768E-04
4.048643E+03	1.294807E-01	9.823469E-04
