#wls	flux	fluxerr
1.570383E+03	1.569890E-03	3.243917E-05
1.609642E+03	1.600059E-03	3.304474E-05
1.648902E+03	1.627791E-03	3.359885E-05
1.688161E+03	1.652174E-03	3.408275E-05
1.727421E+03	1.672742E-03	3.448693E-05
1.766680E+03	1.689022E-03	3.480174E-05
1.805940E+03	1.699574E-03	3.499767E-05
1.845200E+03	1.702367E-03	3.503312E-05
1.884459E+03	1.695678E-03	3.487293E-05
1.923719E+03	1.679021E-03	3.450751E-05
1.962978E+03	1.652684E-03	3.394317E-05
2.002238E+03	1.621067E-03	3.327062E-05
2.041497E+03	1.592667E-03	3.266442E-05
2.080757E+03	1.580502E-03	3.239124E-05
2.120016E+03	1.595348E-03	3.267099E-05
2.159276E+03	1.642675E-03	3.361435E-05
2.198536E+03	1.719065E-03	3.514987E-05
2.237795E+03	1.815869E-03	3.709931E-05
2.277055E+03	1.923407E-03	3.926394E-05
2.316314E+03	2.034861E-03	4.150406E-05
2.355574E+03	2.146304E-03	4.373923E-05
2.394833E+03	2.255699E-03	4.592788E-05
2.434093E+03	2.361572E-03	4.803997E-05
2.473353E+03	2.465204E-03	5.010160E-05
2.512612E+03	2.566581E-03	5.211245E-05
2.551872E+03	2.666610E-03	5.409093E-05
2.591131E+03	2.765283E-03	5.603680E-05
2.630391E+03	2.863861E-03	5.797553E-05
2.669650E+03	2.962141E-03	5.990291E-05
2.708910E+03	3.061220E-03	6.184094E-05
2.748170E+03	3.161170E-03	6.379088E-05
2.787429E+03	3.262447E-03	6.576174E-05
2.826689E+03	3.365434E-03	6.776097E-05
2.865948E+03	3.470934E-03	6.980446E-05
2.905208E+03	3.579184E-03	7.189665E-05
2.944467E+03	3.690844E-03	7.405041E-05
2.954282E+03	3.719746E-03	7.460753E-05
2.964097E+03	3.748828E-03	7.516780E-05
2.973912E+03	3.777579E-03	7.572095E-05
2.983727E+03	3.807037E-03	7.628783E-05
2.993542E+03	3.837345E-03	7.687124E-05
3.003357E+03	3.868146E-03	7.746403E-05
3.013172E+03	3.899383E-03	7.806506E-05
3.022986E+03	3.931508E-03	7.868334E-05
3.032801E+03	3.963967E-03	7.930780E-05
3.042616E+03	3.997218E-03	7.994755E-05
3.052431E+03	4.030712E-03	8.059162E-05
3.062246E+03	4.064911E-03	8.124924E-05
3.072061E+03	4.099775E-03	8.191959E-05
3.081876E+03	4.134763E-03	8.259183E-05
3.091691E+03	4.170846E-03	8.328537E-05
3.101506E+03	4.206980E-03	8.397933E-05
3.111320E+03	4.243637E-03	8.468312E-05
3.121135E+03	4.281287E-03	8.540611E-05
3.130950E+03	4.318892E-03	8.612756E-05
3.140765E+03	4.357426E-03	8.686694E-05
3.150580E+03	4.396357E-03	8.761356E-05
3.160395E+03	4.435655E-03	8.836684E-05
3.170210E+03	4.475793E-03	8.913619E-05
3.180025E+03	4.516239E-03	8.991099E-05
3.189840E+03	4.557465E-03	9.070062E-05
3.199655E+03	4.598941E-03	9.149455E-05
3.209469E+03	4.641139E-03	9.230211E-05
3.219284E+03	4.684028E-03	9.312269E-05
3.229099E+03	4.727577E-03	9.395566E-05
3.238914E+03	4.771755E-03	9.480039E-05
3.248729E+03	4.816533E-03	9.565626E-05
3.258544E+03	4.861877E-03	9.652261E-05
3.268359E+03	4.908251E-03	9.740859E-05
3.278174E+03	4.955125E-03	9.830372E-05
3.287989E+03	5.002468E-03	9.920731E-05
3.297803E+03	5.050736E-03	1.001284E-04
3.307618E+03	5.099896E-03	1.010664E-04
3.317433E+03	5.149903E-03	1.020203E-04
3.327248E+03	5.200243E-03	1.029798E-04
3.337063E+03	5.251841E-03	1.039635E-04
3.346878E+03	5.304174E-03	1.049607E-04
3.356693E+03	5.357687E-03	1.059804E-04
3.366508E+03	5.411381E-03	1.070027E-04
3.376323E+03	5.466640E-03	1.080550E-04
3.386137E+03	5.522481E-03	1.091178E-04
3.395952E+03	5.579328E-03	1.101995E-04
3.405767E+03	5.637138E-03	1.112991E-04
3.415582E+03	5.695877E-03	1.124161E-04
3.425397E+03	5.755490E-03	1.135493E-04
3.435212E+03	5.816400E-03	1.147070E-04
