#wls	flux	fluxerr
1.570383E+03	1.232680E-16	1.154567E-18
1.609642E+03	1.280799E-16	1.199002E-18
1.648902E+03	1.327745E-16	1.242274E-18
1.688161E+03	1.373144E-16	1.284033E-18
1.727421E+03	1.416546E-16	1.323860E-18
1.766680E+03	1.456641E-16	1.360533E-18
1.805940E+03	1.491675E-16	1.392417E-18
1.845200E+03	1.519439E-16	1.417458E-18
1.884459E+03	1.537353E-16	1.433262E-18
1.923719E+03	1.543395E-16	1.437962E-18
1.962978E+03	1.537348E-16	1.431375E-18
2.002238E+03	1.522924E-16	1.416980E-18
2.041497E+03	1.509567E-16	1.403571E-18
2.080757E+03	1.512203E-16	1.405017E-18
2.120016E+03	1.546481E-16	1.435813E-18
2.159276E+03	1.622654E-16	1.505404E-18
2.198536E+03	1.741420E-16	1.614347E-18
2.237795E+03	1.895432E-16	1.755738E-18
2.277055E+03	2.074767E-16	1.920309E-18
2.316314E+03	2.270496E-16	2.099735E-18
2.355574E+03	2.476199E-16	2.288036E-18
2.394833E+03	2.688187E-16	2.481772E-18
2.434093E+03	2.904924E-16	2.679500E-18
2.473353E+03	3.126460E-16	2.881242E-18
2.512612E+03	3.353358E-16	3.087492E-18
2.551872E+03	3.586822E-16	3.299329E-18
2.591131E+03	3.827873E-16	3.517664E-18
2.630391E+03	4.077199E-16	3.743092E-18
2.669650E+03	4.335689E-16	3.976392E-18
2.708910E+03	4.603657E-16	4.217812E-18
2.748170E+03	4.881143E-16	4.467345E-18
2.787429E+03	5.167760E-16	4.724592E-18
2.826689E+03	5.463021E-16	4.989066E-18
2.865948E+03	5.767289E-16	5.261055E-18
2.905208E+03	6.082572E-16	5.542341E-18
2.944467E+03	6.411399E-16	5.835174E-18
2.954282E+03	6.495967E-16	5.910403E-18
2.964097E+03	6.581811E-16	5.986738E-18
2.973912E+03	6.668619E-16	6.063895E-18
2.983727E+03	6.756594E-16	6.142059E-18
2.993542E+03	6.846309E-16	6.221747E-18
3.003357E+03	6.937728E-16	6.302926E-18
3.013172E+03	7.031070E-16	6.385793E-18
3.022986E+03	7.126255E-16	6.470273E-18
3.032801E+03	7.223284E-16	6.556366E-18
3.042616E+03	7.321886E-16	6.643823E-18
3.052431E+03	7.422682E-16	6.733207E-18
3.062246E+03	7.525427E-16	6.824291E-18
3.072061E+03	7.630181E-16	6.917131E-18
3.081876E+03	7.736863E-16	7.011648E-18
3.091691E+03	7.845389E-16	7.107767E-18
3.101506E+03	7.955838E-16	7.205555E-18
3.111320E+03	8.068287E-16	7.305081E-18
3.121135E+03	8.182367E-16	7.406009E-18
3.130950E+03	8.298469E-16	7.508691E-18
3.140765E+03	8.416384E-16	7.612935E-18
3.150580E+03	8.536200E-16	7.718819E-18
3.160395E+03	8.657864E-16	7.826293E-18
3.170210E+03	8.781179E-16	7.935177E-18
3.180025E+03	8.906538E-16	8.045823E-18
3.189840E+03	9.033454E-16	8.157792E-18
3.199655E+03	9.162328E-16	8.271441E-18
3.209469E+03	9.293122E-16	8.386734E-18
3.219284E+03	9.425495E-16	8.503363E-18
3.229099E+03	9.559859E-16	8.621696E-18
3.238914E+03	9.695878E-16	8.741428E-18
3.248729E+03	9.833674E-16	8.862668E-18
3.258544E+03	9.973207E-16	8.985378E-18
3.268359E+03	1.011460E-15	9.109665E-18
3.278174E+03	1.025768E-15	9.235370E-18
3.287989E+03	1.040241E-15	9.362468E-18
3.297803E+03	1.054878E-15	9.490930E-18
3.307618E+03	1.069690E-15	9.620866E-18
3.317433E+03	1.084661E-15	9.752124E-18
3.327248E+03	1.099787E-15	9.884675E-18
3.337063E+03	1.115068E-15	1.001851E-17
3.346878E+03	1.130487E-15	1.015347E-17
3.356693E+03	1.146042E-15	1.028954E-17
3.366508E+03	1.161732E-15	1.042671E-17
3.376323E+03	1.177539E-15	1.056482E-17
3.386137E+03	1.193463E-15	1.070386E-17
3.395952E+03	1.209488E-15	1.084369E-17
3.405767E+03	1.225598E-15	1.098417E-17
3.415582E+03	1.241777E-15	1.112515E-17
