#wls	flux	fluxerr
1.570383E+03	1.270640E-17	1.586705E-19
1.609642E+03	1.301544E-17	1.623933E-19
1.648902E+03	1.329281E-17	1.657112E-19
1.688161E+03	1.353261E-17	1.685515E-19
1.727421E+03	1.373504E-17	1.709176E-19
1.766680E+03	1.388368E-17	1.726065E-19
1.805940E+03	1.397083E-17	1.735240E-19
1.845200E+03	1.397036E-17	1.733479E-19
1.884459E+03	1.387166E-17	1.719502E-19
1.923719E+03	1.365673E-17	1.691112E-19
1.962978E+03	1.333527E-17	1.649558E-19
2.002238E+03	1.294301E-17	1.599297E-19
2.041497E+03	1.256447E-17	1.550795E-19
2.080757E+03	1.232569E-17	1.519587E-19
2.120016E+03	1.234067E-17	1.519652E-19
2.159276E+03	1.268219E-17	1.559833E-19
2.198536E+03	1.333376E-17	1.637955E-19
2.237795E+03	1.423354E-17	1.746282E-19
2.277055E+03	1.529111E-17	1.873608E-19
2.316314E+03	1.642296E-17	2.009628E-19
2.355574E+03	1.757504E-17	2.147687E-19
2.394833E+03	1.872120E-17	2.284569E-19
2.434093E+03	1.984088E-17	2.417757E-19
2.473353E+03	2.093677E-17	2.547578E-19
2.512612E+03	2.201446E-17	2.674709E-19
2.551872E+03	2.307486E-17	2.799257E-19
2.591131E+03	2.413379E-17	2.923133E-19
2.630391E+03	2.519228E-17	3.046449E-19
2.669650E+03	2.626176E-17	3.170567E-19
2.708910E+03	2.734907E-17	3.296294E-19
2.748170E+03	2.846017E-17	3.424316E-19
2.787429E+03	2.959999E-17	3.555198E-19
2.826689E+03	3.077666E-17	3.689879E-19
2.865948E+03	3.199747E-17	3.829189E-19
2.905208E+03	3.326883E-17	3.973846E-19
2.944467E+03	3.459613E-17	4.124440E-19
2.954282E+03	3.494007E-17	4.163413E-19
2.964097E+03	3.528533E-17	4.202491E-19
2.973912E+03	3.563181E-17	4.241664E-19
2.983727E+03	3.598832E-17	4.281979E-19
2.993542E+03	3.634770E-17	4.322582E-19
3.003357E+03	3.671557E-17	4.364142E-19
3.013172E+03	3.708717E-17	4.406090E-19
3.022986E+03	3.747052E-17	4.449377E-19
3.032801E+03	3.786133E-17	4.493492E-19
3.042616E+03	3.825380E-17	4.537746E-19
3.052431E+03	3.865810E-17	4.583342E-19
3.062246E+03	3.906936E-17	4.629703E-19
3.072061E+03	3.948704E-17	4.676762E-19
3.081876E+03	3.991062E-17	4.724456E-19
3.091691E+03	4.034388E-17	4.773230E-19
3.101506E+03	4.077778E-17	4.822014E-19
3.111320E+03	4.122472E-17	4.872272E-19
3.121135E+03	4.167140E-17	4.922430E-19
3.130950E+03	4.213024E-17	4.973956E-19
3.140765E+03	4.258800E-17	5.025282E-19
3.150580E+03	4.305711E-17	5.077876E-19
3.160395E+03	4.352864E-17	5.130682E-19
3.170210E+03	4.400648E-17	5.184157E-19
3.180025E+03	4.449027E-17	5.238256E-19
3.189840E+03	4.497963E-17	5.292935E-19
3.199655E+03	4.547421E-17	5.348151E-19
3.209469E+03	4.597366E-17	5.403859E-19
3.219284E+03	4.647762E-17	5.460017E-19
3.229099E+03	4.699000E-17	5.517083E-19
3.238914E+03	4.750618E-17	5.574512E-19
3.248729E+03	4.802584E-17	5.632265E-19
3.258544E+03	4.855284E-17	5.690794E-19
3.268359E+03	4.908261E-17	5.749561E-19
3.278174E+03	4.961900E-17	5.809017E-19
3.287989E+03	5.016165E-17	5.869116E-19
3.297803E+03	5.071017E-17	5.929812E-19
3.307618E+03	5.126420E-17	5.991059E-19
3.317433E+03	5.182749E-17	6.053297E-19
3.327248E+03	5.239133E-17	6.115505E-19
3.337063E+03	5.295949E-17	6.178122E-19
3.346878E+03	5.353983E-17	6.242062E-19
3.356693E+03	5.411952E-17	6.305829E-19
3.366508E+03	5.471047E-17	6.370808E-19
3.376323E+03	5.530398E-17	6.435985E-19
3.386137E+03	5.590375E-17	6.501788E-19
3.395952E+03	5.650924E-17	6.568153E-19
3.405767E+03	5.712004E-17	6.635029E-19
3.415582E+03	5.773550E-17	6.702341E-19
3.425397E+03	5.835925E-17	6.770508E-19
3.435212E+03	5.898673E-17	6.838998E-19
