#wls	flux	fluxerr
1.600000E+03	3.099869E-16	8.976129E-18
1.640000E+03	3.157420E-16	9.127908E-18
1.680000E+03	3.217458E-16	9.285962E-18
1.720000E+03	3.279893E-16	9.449968E-18
1.760000E+03	3.345441E-16	9.621918E-18
1.800000E+03	3.413989E-16	9.801415E-18
1.840000E+03	3.485820E-16	9.989194E-18
1.880000E+03	3.561205E-16	1.018594E-17
1.920000E+03	3.639986E-16	1.039112E-17
1.960000E+03	3.723620E-16	1.060878E-17
2.000000E+03	3.811094E-16	1.083592E-17
2.040000E+03	3.904220E-16	1.107759E-17
2.080000E+03	4.003151E-16	1.133407E-17
2.120000E+03	4.108812E-16	1.160782E-17
2.160000E+03	4.222485E-16	1.190228E-17
2.200000E+03	4.345792E-16	1.222182E-17
2.240000E+03	4.480281E-16	1.257053E-17
2.280000E+03	4.627408E-16	1.295220E-17
2.320000E+03	4.788922E-16	1.337140E-17
2.360000E+03	4.964491E-16	1.382683E-17
2.400000E+03	5.154864E-16	1.432021E-17
2.440000E+03	5.358737E-16	1.484750E-17
2.480000E+03	5.576268E-16	1.540877E-17
2.520000E+03	5.807117E-16	1.600267E-17
2.560000E+03	6.050830E-16	1.662755E-17
2.600000E+03	6.307209E-16	1.728246E-17
2.640000E+03	6.575190E-16	1.796408E-17
2.680000E+03	6.855057E-16	1.867279E-17
2.720000E+03	7.145132E-16	1.940362E-17
2.760000E+03	7.445068E-16	2.015526E-17
2.800000E+03	7.754018E-16	2.092503E-17
2.840000E+03	8.070661E-16	2.170903E-17
2.880000E+03	8.395262E-16	2.250762E-17
2.920000E+03	8.728532E-16	2.332239E-17
2.960000E+03	9.072231E-16	2.415763E-17
3.000000E+03	9.428718E-16	2.501921E-17
3.010000E+03	9.520487E-16	2.524038E-17
3.020000E+03	9.612925E-16	2.546281E-17
3.030000E+03	9.706296E-16	2.568719E-17
3.040000E+03	9.801165E-16	2.591501E-17
3.050000E+03	9.897159E-16	2.614526E-17
3.060000E+03	9.994221E-16	2.637780E-17
3.070000E+03	1.009290E-15	2.661405E-17
3.080000E+03	1.019252E-15	2.685222E-17
3.090000E+03	1.029394E-15	2.709456E-17
3.100000E+03	1.039676E-15	2.734002E-17
3.110000E+03	1.050094E-15	2.758845E-17
3.120000E+03	1.060698E-15	2.784117E-17
3.130000E+03	1.071453E-15	2.809725E-17
3.140000E+03	1.082408E-15	2.835799E-17
3.150000E+03	1.093528E-15	2.862238E-17
3.160000E+03	1.104803E-15	2.889021E-17
3.170000E+03	1.116314E-15	2.916355E-17
3.180000E+03	1.127993E-15	2.944063E-17
3.190000E+03	1.139890E-15	2.972271E-17
3.200000E+03	1.151995E-15	3.000953E-17
3.210000E+03	1.164300E-15	3.030084E-17
3.220000E+03	1.176824E-15	3.059716E-17
3.230000E+03	1.189557E-15	3.089820E-17
3.240000E+03	1.202546E-15	3.120513E-17
3.250000E+03	1.215726E-15	3.151626E-17
3.260000E+03	1.229143E-15	3.183276E-17
3.270000E+03	1.242786E-15	3.215438E-17
