#wls	flux	fluxerr
1.600000E+03	5.709463E-17	2.356504E-18
1.640000E+03	5.758938E-17	2.375409E-18
1.680000E+03	5.810337E-17	2.395039E-18
1.720000E+03	5.862513E-17	2.414918E-18
1.760000E+03	5.916530E-17	2.435481E-18
1.800000E+03	5.973486E-17	2.457175E-18
1.840000E+03	6.033364E-17	2.479988E-18
1.880000E+03	6.094975E-17	2.503427E-18
1.920000E+03	6.160590E-17	2.528421E-18
1.960000E+03	6.230191E-17	2.554954E-18
2.000000E+03	6.303747E-17	2.583008E-18
2.040000E+03	6.381209E-17	2.612555E-18
2.080000E+03	6.464933E-17	2.644551E-18
2.120000E+03	6.553673E-17	2.678477E-18
2.160000E+03	6.648577E-17	2.714793E-18
2.200000E+03	6.748338E-17	2.752955E-18
2.240000E+03	6.855314E-17	2.793914E-18
2.280000E+03	6.968147E-17	2.837104E-18
2.320000E+03	7.086673E-17	2.882445E-18
2.360000E+03	7.210689E-17	2.929845E-18
2.400000E+03	7.339960E-17	2.979195E-18
2.440000E+03	7.474209E-17	3.030370E-18
2.480000E+03	7.614392E-17	3.083745E-18
2.520000E+03	7.757590E-17	3.138124E-18
2.560000E+03	7.904666E-17	3.193846E-18
2.600000E+03	8.055154E-17	3.250710E-18
2.640000E+03	8.207249E-17	3.307977E-18
2.680000E+03	8.362960E-17	3.366446E-18
2.720000E+03	8.519083E-17	3.424816E-18
2.760000E+03	8.676229E-17	3.483323E-18
2.800000E+03	8.832376E-17	3.541148E-18
2.840000E+03	8.988023E-17	3.598485E-18
2.880000E+03	9.143602E-17	3.655498E-18
2.920000E+03	9.296924E-17	3.711306E-18
2.960000E+03	9.450824E-17	3.767036E-18
3.000000E+03	9.605483E-17	3.822750E-18
3.010000E+03	9.643425E-17	3.836340E-18
3.020000E+03	9.683045E-17	3.850576E-18
3.030000E+03	9.721817E-17	3.864455E-18
3.040000E+03	9.760971E-17	3.878465E-18
3.050000E+03	9.800487E-17	3.892597E-18
3.060000E+03	9.840338E-17	3.906841E-18
3.070000E+03	9.880503E-17	3.921188E-18
3.080000E+03	9.922193E-17	3.936118E-18
3.090000E+03	9.962908E-17	3.950639E-18
3.100000E+03	1.000386E-16	3.965233E-18
3.110000E+03	1.004626E-16	3.980376E-18
3.120000E+03	1.008884E-16	3.995568E-18
3.130000E+03	1.013158E-16	4.010798E-18
3.140000E+03	1.017566E-16	4.026537E-18
3.150000E+03	1.021984E-16	4.042290E-18
3.160000E+03	1.026529E-16	4.058524E-18
3.170000E+03	1.196302E-16	4.727698E-18
3.172000E+03	1.243733E-16	4.914716E-18
3.174000E+03	1.232599E-16	4.870294E-18
3.176000E+03	1.265133E-16	4.998411E-18
3.178000E+03	1.275384E-16	5.038472E-18
3.180000E+03	1.237492E-16	4.888349E-18
3.182000E+03	1.251998E-16	4.945219E-18
3.184000E+03	1.280608E-16	5.057782E-18
3.186000E+03	1.281340E-16	5.060233E-18
3.188000E+03	1.268640E-16	5.009638E-18
3.190000E+03	1.248218E-16	4.928564E-18
3.192000E+03	1.236303E-16	4.881089E-18
3.194000E+03	1.221927E-16	4.823908E-18
3.196000E+03	1.220201E-16	4.816667E-18
3.198000E+03	1.233247E-16	4.867739E-18
3.200000E+03	1.259162E-16	4.969588E-18
3.202000E+03	1.254525E-16	4.950849E-18
3.204000E+03	1.258616E-16	4.966554E-18
3.206000E+03	1.246368E-16	4.917790E-18
3.208000E+03	1.255495E-16	4.953360E-18
3.210000E+03	1.247388E-16	4.920941E-18
3.212000E+03	1.248121E-16	4.923396E-18
3.214000E+03	1.252995E-16	4.942182E-18
3.216000E+03	1.258092E-16	4.961842E-18
3.218000E+03	1.247526E-16	4.919733E-18
3.220000E+03	1.235170E-16	4.870570E-18
3.222000E+03	1.232325E-16	4.858916E-18
3.224000E+03	1.215273E-16	4.791255E-18
3.226000E+03	1.202807E-16	4.741685E-18
3.228000E+03	1.181395E-16	4.656857E-18
3.230000E+03	1.170499E-16	4.613492E-18
3.232000E+03	1.166314E-16	4.596585E-18
3.234000E+03	1.141104E-16	4.496824E-18
3.236000E+03	1.139716E-16	4.490950E-18
3.238000E+03	1.120101E-16	4.413259E-18
3.240000E+03	1.108090E-16	4.365541E-18
3.242000E+03	1.104926E-16	4.352684E-18
3.244000E+03	1.103652E-16	4.347269E-18
3.246000E+03	1.096563E-16	4.318955E-18
3.248000E+03	1.063984E-16	4.190257E-18
3.250000E+03	1.061034E-16	4.178261E-18
3.252000E+03	1.066492E-16	4.199371E-18
3.254000E+03	1.055627E-16	4.156213E-18
3.256000E+03	1.054009E-16	4.149465E-18
3.258000E+03	1.064206E-16	4.189227E-18
3.260000E+03	1.064130E-16	4.188545E-18
3.262000E+03	1.057973E-16	4.163929E-18
3.264000E+03	1.050229E-16	4.133071E-18
3.266000E+03	1.047829E-16	4.123248E-18
3.268000E+03	1.043819E-16	4.107093E-18
3.270000E+03	1.044090E-16	4.107781E-18
3.272000E+03	1.037924E-16	4.083145E-18
3.274000E+03	1.043336E-16	4.104058E-18
3.276000E+03	1.053607E-16	4.144081E-18
3.278000E+03	1.048860E-16	4.125030E-18
3.280000E+03	1.028572E-16	4.044862E-18
3.282000E+03	1.035916E-16	4.073366E-18
3.284000E+03	1.039572E-16	4.087365E-18
3.286000E+03	1.035865E-16	4.072414E-18
3.288000E+03	1.040337E-16	4.089614E-18
3.290000E+03	1.037357E-16	4.077520E-18
3.292000E+03	1.048519E-16	4.121013E-18
3.294000E+03	1.047014E-16	4.114714E-18
3.296000E+03	1.049686E-16	4.124828E-18
3.298000E+03	1.054759E-16	4.144378E-18
3.300000E+03	1.065304E-16	4.185421E-18
3.302000E+03	1.055611E-16	4.146950E-18
3.304000E+03	1.058439E-16	4.157670E-18
3.306000E+03	1.062014E-16	4.171324E-18
3.308000E+03	1.071843E-16	4.209533E-18
3.310000E+03	1.073552E-16	4.215850E-18
3.312000E+03	1.079595E-16	4.239181E-18
3.314000E+03	1.081795E-16	4.247421E-18
3.316000E+03	1.095909E-16	4.302428E-18
3.318000E+03	1.098846E-16	4.313550E-18
3.320000E+03	1.097952E-16	4.309636E-18
3.322000E+03	1.100967E-16	4.321059E-18
3.324000E+03	1.106582E-16	4.342686E-18
3.326000E+03	1.099404E-16	4.314107E-18
3.328000E+03	1.083452E-16	4.251107E-18
3.330000E+03	1.086343E-16	4.262047E-18
3.332000E+03	1.083285E-16	4.249645E-18
3.334000E+03	1.090585E-16	4.277874E-18
3.336000E+03	1.092884E-16	4.286482E-18
3.338000E+03	1.099904E-16	4.313604E-18
3.340000E+03	1.106890E-16	4.340587E-18
3.342000E+03	1.104914E-16	4.332423E-18
3.344000E+03	1.104724E-16	4.331264E-18
3.346000E+03	1.099132E-16	4.308928E-18
3.348000E+03	1.101152E-16	4.316432E-18
3.350000E+03	1.099221E-16	4.308449E-18
3.352000E+03	1.093943E-16	4.287348E-18
3.354000E+03	1.091310E-16	4.276617E-18
3.356000E+03	1.091700E-16	4.277734E-18
3.358000E+03	1.090651E-16	4.273211E-18
3.360000E+03	1.089535E-16	4.268424E-18
3.362000E+03	1.084304E-16	4.247519E-18
3.364000E+03	1.089691E-16	4.268208E-18
3.366000E+03	1.090583E-16	4.271289E-18
3.368000E+03	1.093115E-16	4.280789E-18
3.370000E+03	1.087080E-16	4.256743E-18
3.372000E+03	1.082050E-16	4.236633E-18
3.374000E+03	1.080477E-16	4.230064E-18
3.376000E+03	1.080222E-16	4.228650E-18
3.378000E+03	1.080076E-16	4.227668E-18
3.380000E+03	1.074702E-16	4.206219E-18
3.382000E+03	1.073119E-16	4.199614E-18
3.384000E+03	1.071959E-16	4.194663E-18
3.386000E+03	1.075115E-16	4.206601E-18
3.388000E+03	1.074925E-16	4.205445E-18
3.390000E+03	1.076040E-16	4.209393E-18
3.392000E+03	1.075572E-16	4.207149E-18
3.394000E+03	1.082495E-16	4.233810E-18
3.396000E+03	1.084401E-16	4.240844E-18
3.398000E+03	1.093028E-16	4.274162E-18
3.400000E+03	1.096628E-16	4.287814E-18
3.402000E+03	1.102568E-16	4.310613E-18
3.404000E+03	1.108785E-16	4.334490E-18
3.406000E+03	1.112227E-16	4.347516E-18
3.408000E+03	1.116227E-16	4.362719E-18
3.410000E+03	1.112993E-16	4.349646E-18
3.412000E+03	1.118585E-16	4.371065E-18
3.414000E+03	1.120433E-16	4.377850E-18
3.416000E+03	1.121724E-16	4.382456E-18
3.418000E+03	1.130479E-16	4.416221E-18
3.420000E+03	1.140349E-16	4.454331E-18
3.422000E+03	1.147097E-16	4.480242E-18
3.424000E+03	1.153956E-16	4.506579E-18
3.426000E+03	1.163601E-16	4.543789E-18
3.428000E+03	1.173131E-16	4.580546E-18
3.430000E+03	1.176425E-16	4.592943E-18
3.432000E+03	1.181388E-16	4.611857E-18
3.434000E+03	1.181561E-16	4.612067E-18
3.436000E+03	1.187081E-16	4.633145E-18
3.438000E+03	1.188033E-16	4.636395E-18
3.440000E+03	1.192439E-16	4.653117E-18
3.442000E+03	1.195061E-16	4.662879E-18
3.444000E+03	1.197350E-16	4.671336E-18
3.446000E+03	1.200640E-16	4.683697E-18
3.448000E+03	1.201035E-16	4.684763E-18
3.450000E+03	1.207778E-16	4.710583E-18
3.452000E+03	1.213516E-16	4.732484E-18
3.454000E+03	1.216026E-16	4.741788E-18
3.456000E+03	1.217757E-16	4.748053E-18
3.458000E+03	1.219153E-16	4.753011E-18
3.460000E+03	1.223332E-16	4.768815E-18
3.462000E+03	1.228066E-16	4.786782E-18
3.464000E+03	1.235807E-16	4.816462E-18
3.466000E+03	1.241654E-16	4.838753E-18
3.468000E+03	1.241491E-16	4.837619E-18
3.470000E+03	1.242551E-16	4.841254E-18
3.472000E+03	1.245504E-16	4.852259E-18
3.474000E+03	1.251350E-16	4.874533E-18
3.476000E+03	1.253523E-16	4.882492E-18
3.478000E+03	1.260035E-16	4.907353E-18
3.480000E+03	1.266659E-16	4.932638E-18
3.482000E+03	1.277732E-16	4.975247E-18
3.484000E+03	1.280906E-16	4.987087E-18
3.486000E+03	1.280072E-16	4.983325E-18
3.488000E+03	1.285915E-16	5.005552E-18
3.490000E+03	1.290866E-16	5.024302E-18
3.492000E+03	1.301714E-16	5.065998E-18
3.494000E+03	1.305108E-16	5.078676E-18
3.496000E+03	1.313173E-16	5.109528E-18
3.498000E+03	1.318679E-16	5.130417E-18
3.500000E+03	1.323183E-16	5.147404E-18
3.502000E+03	1.328355E-16	5.166980E-18
3.504000E+03	1.337196E-16	5.200827E-18
3.506000E+03	1.343033E-16	5.222981E-18
3.508000E+03	1.348537E-16	5.243834E-18
3.510000E+03	1.349369E-16	5.246520E-18
3.512000E+03	1.356318E-16	5.272982E-18
3.514000E+03	1.360151E-16	5.287329E-18
3.516000E+03	1.365876E-16	5.309023E-18
3.518000E+03	1.371710E-16	5.331137E-18
3.520000E+03	1.375988E-16	5.347199E-18
3.522000E+03	1.383378E-16	5.375350E-18
3.524000E+03	1.387099E-16	5.389236E-18
3.526000E+03	1.390486E-16	5.401824E-18
3.528000E+03	1.397096E-16	5.426928E-18
3.530000E+03	1.408819E-16	5.471883E-18
3.532000E+03	1.415873E-16	5.498695E-18
3.534000E+03	1.421037E-16	5.518163E-18
3.536000E+03	1.423420E-16	5.526830E-18
3.538000E+03	1.429695E-16	5.550601E-18
3.540000E+03	1.430634E-16	5.553654E-18
3.542000E+03	1.432462E-16	5.560156E-18
3.544000E+03	1.434623E-16	5.567948E-18
3.546000E+03	1.435117E-16	5.569268E-18
3.548000E+03	1.438389E-16	5.581369E-18
3.550000E+03	1.442883E-16	5.598205E-18
3.552000E+03	1.444821E-16	5.605122E-18
3.554000E+03	1.446870E-16	5.612466E-18
3.556000E+03	1.446808E-16	5.611621E-18
3.558000E+03	1.449634E-16	5.621978E-18
3.560000E+03	1.453349E-16	5.635774E-18
3.562000E+03	1.455619E-16	5.643969E-18
3.564000E+03	1.457889E-16	5.652156E-18
3.566000E+03	1.459270E-16	5.656899E-18
3.568000E+03	1.455319E-16	5.640973E-18
3.570000E+03	1.452814E-16	5.630652E-18
3.572000E+03	1.451529E-16	5.625061E-18
3.574000E+03	1.447580E-16	5.609144E-18
3.576000E+03	1.446629E-16	5.604853E-18
3.578000E+03	1.448343E-16	5.610881E-18
3.580000E+03	1.448614E-16	5.611319E-18
3.582000E+03	1.446886E-16	5.604014E-18
3.584000E+03	1.446490E-16	5.601868E-18
3.586000E+03	1.441765E-16	5.582956E-18
3.588000E+03	1.439260E-16	5.572646E-18
3.590000E+03	1.433424E-16	5.549442E-18
3.592000E+03	1.428479E-16	5.529687E-18
3.594000E+03	1.422201E-16	5.504780E-18
3.596000E+03	1.413703E-16	5.471286E-18
3.598000E+03	1.407758E-16	5.447680E-18
3.600000E+03	1.401371E-16	5.422366E-18
3.602000E+03	1.398425E-16	5.410366E-18
3.604000E+03	1.397587E-16	5.406527E-18
