#wls	flux	fluxerr
1.600000E+03	3.434383E-16	2.442281E-16
1.640000E+03	3.513550E-16	2.470094E-16
1.680000E+03	3.596807E-16	2.498733E-16
1.720000E+03	3.684870E-16	2.528527E-16
1.760000E+03	3.777617E-16	2.559205E-16
1.800000E+03	3.875325E-16	2.590762E-16
1.840000E+03	3.978661E-16	2.623431E-16
1.880000E+03	4.087451E-16	2.656869E-16
1.920000E+03	4.202321E-16	2.691242E-16
1.960000E+03	4.323051E-16	2.726150E-16
2.000000E+03	4.450624E-16	2.761942E-16
2.040000E+03	4.584763E-16	2.798147E-16
2.080000E+03	4.725975E-16	2.834766E-16
2.120000E+03	4.874729E-16	2.871747E-16
2.160000E+03	5.032662E-16	2.909683E-16
2.200000E+03	5.200538E-16	2.948587E-16
2.240000E+03	5.381860E-16	2.989948E-16
2.280000E+03	5.578812E-16	3.034357E-16
2.320000E+03	5.792664E-16	3.081799E-16
2.360000E+03	6.023392E-16	3.131503E-16
2.400000E+03	6.270489E-16	3.182428E-16
2.440000E+03	6.533752E-16	3.233688E-16
2.480000E+03	6.813261E-16	3.284525E-16
2.520000E+03	7.109748E-16	3.334460E-16
2.560000E+03	7.423800E-16	3.382888E-16
2.600000E+03	7.755098E-16	3.428758E-16
2.640000E+03	8.104311E-16	3.471436E-16
2.680000E+03	8.470826E-16	3.509709E-16
2.720000E+03	8.854263E-16	3.542475E-16
2.760000E+03	9.253736E-16	3.568453E-16
2.800000E+03	9.667880E-16	3.586228E-16
2.840000E+03	1.009558E-15	3.594558E-16
2.880000E+03	1.053491E-15	3.592004E-16
2.920000E+03	1.098660E-15	3.578120E-16
2.960000E+03	1.145347E-15	3.553094E-16
3.000000E+03	1.194055E-15	3.517630E-16
3.010000E+03	1.206588E-15	3.507132E-16
3.020000E+03	1.219278E-15	3.495991E-16
3.030000E+03	1.232151E-15	3.484263E-16
3.040000E+03	1.245202E-15	3.471910E-16
3.050000E+03	1.258424E-15	3.458895E-16
3.060000E+03	1.271874E-15	3.445352E-16
3.070000E+03	1.285481E-15	3.431069E-16
3.080000E+03	1.299304E-15	3.416179E-16
3.090000E+03	1.313334E-15	3.400638E-16
3.100000E+03	1.327595E-15	3.384486E-16
3.110000E+03	1.342080E-15	3.367679E-16
3.120000E+03	1.356811E-15	3.350252E-16
3.130000E+03	1.371782E-15	3.332159E-16
3.140000E+03	1.386984E-15	3.313356E-16
3.150000E+03	1.402439E-15	3.293875E-16
3.160000E+03	1.418168E-15	3.273738E-16
3.170000E+03	1.434164E-15	3.252901E-16
3.180000E+03	1.450417E-15	3.231317E-16
3.190000E+03	1.466948E-15	3.209009E-16
3.200000E+03	1.483778E-15	3.185995E-16
3.210000E+03	1.500896E-15	3.162229E-16
3.220000E+03	1.518293E-15	3.137664E-16
3.230000E+03	1.535960E-15	3.112260E-16
3.240000E+03	1.553945E-15	3.086091E-16
3.250000E+03	1.572237E-15	3.059111E-16
3.260000E+03	1.590826E-15	3.031278E-16
3.270000E+03	1.609702E-15	3.002551E-16
3.280000E+03	1.628884E-15	2.972947E-16
3.290000E+03	1.648332E-15	2.942377E-16
3.300000E+03	1.668120E-15	2.910957E-16
3.310000E+03	1.688182E-15	2.878552E-16
3.320000E+03	1.708508E-15	2.845137E-16
3.330000E+03	1.729143E-15	2.810775E-16
3.340000E+03	1.750049E-15	2.775396E-16
3.350000E+03	1.771215E-15	2.738980E-16
3.360000E+03	1.792633E-15	2.701510E-16
3.370000E+03	1.814292E-15	2.662975E-16
3.380000E+03	1.836183E-15	2.623367E-16
3.390000E+03	1.858272E-15	2.582646E-16
3.400000E+03	1.880601E-15	2.540887E-16
3.410000E+03	1.903084E-15	2.497991E-16
3.420000E+03	1.925714E-15	2.453974E-16
3.430000E+03	1.948511E-15	2.408892E-16
3.440000E+03	1.971415E-15	2.362708E-16
3.450000E+03	1.994371E-15	2.315397E-16
3.460000E+03	2.017401E-15	2.267037E-16
3.470000E+03	2.040450E-15	2.217623E-16
3.480000E+03	2.063467E-15	2.167165E-16
3.490000E+03	2.086425E-15	2.115710E-16
3.500000E+03	2.109277E-15	2.063293E-16
3.510000E+03	2.131926E-15	2.009916E-16
3.520000E+03	2.154355E-15	1.955669E-16
3.530000E+03	2.176473E-15	1.900585E-16
3.540000E+03	2.198217E-15	1.844743E-16
3.550000E+03	2.219459E-15	1.788178E-16
3.560000E+03	2.240142E-15	1.731006E-16
3.570000E+03	2.260168E-15	1.673324E-16
3.580000E+03	2.279423E-15	1.615235E-16
3.590000E+03	2.297862E-15	1.556913E-16
3.600000E+03	2.315403E-15	1.498514E-16
3.610000E+03	2.331968E-15	1.440211E-16
3.620000E+03	2.347551E-15	1.382238E-16
3.630000E+03	2.362151E-15	1.324833E-16
3.640000E+03	2.375817E-15	1.268265E-16
3.650000E+03	2.388534E-15	1.212767E-16
3.660000E+03	2.400360E-15	1.158613E-16
3.670000E+03	2.411335E-15	1.106060E-16
3.680000E+03	2.421569E-15	1.055393E-16
3.690000E+03	2.431071E-15	1.006837E-16
3.700000E+03	2.439984E-15	9.606618E-17
3.710000E+03	2.448349E-15	9.170737E-17
3.720000E+03	2.241613E-15	2.832350E-16
3.721500E+03	2.250896E-15	2.835752E-16
3.723000E+03	2.260627E-15	2.839414E-16
3.724500E+03	2.269466E-15	2.842501E-16
3.726000E+03	2.279422E-15	2.846264E-16
3.727500E+03	2.287369E-15	2.848757E-16
3.729000E+03	2.295764E-15	2.851511E-16
3.730500E+03	2.305723E-15	2.855216E-16
3.732000E+03	2.316576E-15	2.859457E-16
3.733500E+03	2.323187E-15	2.861045E-16
3.735000E+03	2.330022E-15	2.862755E-16
3.736500E+03	2.337527E-15	2.864862E-16
3.738000E+03	2.344140E-15	2.866401E-16
3.739500E+03	2.346733E-15	2.865443E-16
3.741000E+03	2.354910E-15	2.867914E-16
3.742500E+03	2.359737E-15	2.868306E-16
3.744000E+03	2.359650E-15	2.865671E-16
3.745500E+03	2.363360E-15	2.830868E-16
3.747000E+03	2.362155E-15	2.790832E-16
3.748500E+03	2.362291E-15	2.709680E-16
3.750000E+03	2.359968E-15	2.670856E-16
3.751500E+03	2.359880E-15	2.674359E-16
3.753000E+03	2.358227E-15	2.666235E-16
3.754500E+03	2.357914E-15	2.666637E-16
3.756000E+03	2.358943E-15	2.643641E-16
3.757500E+03	2.358406E-15	2.640775E-16
3.759000E+03	2.357423E-15	2.719902E-16
3.760500E+03	2.353309E-15	2.694943E-16
3.762000E+03	2.352772E-15	2.671148E-16
3.763500E+03	2.351787E-15	2.716314E-16
3.765000E+03	2.347895E-15	2.744782E-16
3.766500E+03	2.345568E-15	2.765169E-16
3.768000E+03	2.342793E-15	2.787539E-16
3.769500E+03	2.340018E-15	2.796493E-16
3.771000E+03	2.337018E-15	2.790491E-16
3.772500E+03	2.337150E-15	2.776117E-16
3.774000E+03	2.331689E-15	2.768586E-16
3.775500E+03	2.325333E-15	2.758201E-16
3.777000E+03	2.321884E-15	2.711162E-16
3.778500E+03	2.320894E-15	2.700782E-16
3.780000E+03	2.321919E-15	2.704279E-16
3.781500E+03	2.321376E-15	2.703399E-16
3.783000E+03	2.319268E-15	2.736807E-16
3.784500E+03	2.319173E-15	2.836855E-16
3.786000E+03	2.318182E-15	2.847404E-16
3.787500E+03	2.315401E-15	2.840862E-16
3.789000E+03	2.313739E-15	2.890791E-16
3.790500E+03	2.315880E-15	2.915944E-16
3.792000E+03	2.319812E-15	2.889058E-16
3.793500E+03	2.321506E-15	2.858591E-16
3.795000E+03	2.319843E-15	2.850257E-16
3.796500E+03	2.316388E-15	2.811005E-16
3.798000E+03	2.311366E-15	2.802605E-16
3.799500E+03	2.308806E-15	2.796249E-16
3.801000E+03	2.310498E-15	2.789058E-16
3.802500E+03	2.311072E-15	2.756596E-16
3.804000E+03	2.310078E-15	2.755646E-16
3.805500E+03	2.309307E-15	2.771855E-16
3.807000E+03	2.313463E-15	2.829810E-16
3.808500E+03	2.317171E-15	2.728603E-16
3.810000E+03	2.323343E-15	2.666188E-16
3.811500E+03	2.328395E-15	2.655363E-16
3.813000E+03	2.331656E-15	2.638902E-16
3.814500E+03	2.337829E-15	2.596639E-16
3.816000E+03	2.342210E-15	2.664175E-16
3.817500E+03	2.351072E-15	2.668486E-16
3.819000E+03	2.360831E-15	2.646907E-16
3.820500E+03	2.366782E-15	2.654913E-16
3.822000E+03	2.369148E-15	2.647740E-16
3.823500E+03	2.367929E-15	2.635957E-16
3.825000E+03	2.370295E-15	2.651154E-16
3.826500E+03	2.374230E-15	2.649486E-16
3.828000E+03	2.381303E-15	2.660939E-16
3.829500E+03	2.385686E-15	2.660812E-16
3.831000E+03	2.387605E-15	2.665327E-16
3.832500E+03	2.388851E-15	2.640893E-16
3.834000E+03	2.390321E-15	2.530004E-16
3.835500E+03	2.397395E-15	2.545839E-16
3.837000E+03	2.409849E-15	2.522486E-16
3.838500E+03	2.419615E-15	2.427693E-16
3.840000E+03	2.424225E-15	2.343450E-16
3.841500E+03	2.429731E-15	2.350278E-16
3.843000E+03	2.438153E-15	2.361658E-16
3.844500E+03	2.444109E-15	2.332449E-16
3.846000E+03	2.445805E-15	2.336832E-16
3.847500E+03	2.446828E-15	2.335922E-16
3.849000E+03	2.449645E-15	2.392931E-16
3.850500E+03	2.454032E-15	2.508803E-16
3.852000E+03	2.454382E-15	2.551608E-16
3.853500E+03	2.457199E-15	2.554575E-16
3.855000E+03	2.464278E-15	2.545717E-16
3.856500E+03	2.472255E-15	2.498018E-16
3.858000E+03	2.479783E-15	2.504940E-16
3.859500E+03	2.481928E-15	2.493982E-16
3.861000E+03	2.484970E-15	2.453533E-16
3.862500E+03	2.485769E-15	2.424445E-16
3.864000E+03	2.493971E-15	2.429226E-16
3.865500E+03	2.504419E-15	2.331204E-16
3.867000E+03	2.503422E-15	2.381695E-16
3.868500E+03	2.502650E-15	2.432205E-16
3.870000E+03	2.503448E-15	2.383415E-16
3.871500E+03	2.500655E-15	2.380789E-16
3.873000E+03	2.504595E-15	2.412997E-16
3.874500E+03	2.511229E-15	2.416907E-16
3.876000E+03	2.515843E-15	2.427691E-16
3.877500E+03	2.515069E-15	2.424031E-16
3.879000E+03	2.520805E-15	2.430632E-16
3.880500E+03	2.527215E-15	2.419473E-16
3.882000E+03	2.530932E-15	2.431714E-16
3.883500E+03	2.525667E-15	2.430731E-16
3.885000E+03	2.520177E-15	2.456175E-16
3.886500E+03	2.526587E-15	2.472824E-16
3.888000E+03	2.532773E-15	2.467451E-16
3.889500E+03	2.532222E-15	2.462981E-16
3.891000E+03	2.536163E-15	2.464608E-16
3.892500E+03	2.543697E-15	2.477828E-16
3.894000E+03	2.546964E-15	2.485365E-16
3.895500E+03	2.551803E-15	2.506091E-16
3.897000E+03	2.556642E-15	2.495780E-16
3.898500E+03	2.559011E-15	2.452991E-16
3.900000E+03	2.560706E-15	2.360149E-16
3.901500E+03	2.565995E-15	2.333404E-16
3.903000E+03	2.566566E-15	2.325926E-16
3.904500E+03	2.565564E-15	2.321265E-16
3.906000E+03	2.566135E-15	2.322188E-16
3.907500E+03	2.566481E-15	2.307158E-16
3.909000E+03	2.561883E-15	2.329874E-16
3.910500E+03	2.561553E-15	2.346803E-16
3.912000E+03	2.569988E-15	2.329869E-16
3.913500E+03	2.581345E-15	2.322961E-16
3.915000E+03	2.592029E-15	2.304897E-16
3.916500E+03	2.595071E-15	2.216923E-16
3.918000E+03	2.599462E-15	2.206854E-16
3.919500E+03	2.610596E-15	2.215758E-16
3.921000E+03	2.614988E-15	2.216572E-16
3.922500E+03	2.617805E-15	2.179676E-16
3.924000E+03	2.622197E-15	2.179824E-16
3.925500E+03	2.623441E-15	2.176334E-16
3.927000E+03	2.630081E-15	2.198953E-16
3.928500E+03	2.633348E-15	2.194716E-16
3.930000E+03	2.633917E-15	2.171216E-16
3.931500E+03	2.631563E-15	2.171487E-16
