#wls	flux	fluxerr
1.600000E+03	3.932940E-17	2.641723E-17
1.640000E+03	3.982981E-17	2.637762E-17
1.680000E+03	4.033514E-17	2.632270E-17
1.720000E+03	4.086883E-17	2.626702E-17
1.760000E+03	4.141519E-17	2.619945E-17
1.800000E+03	4.199031E-17	2.612928E-17
1.840000E+03	4.257802E-17	2.604536E-17
1.880000E+03	4.320308E-17	2.596185E-17
1.920000E+03	4.384910E-17	2.586756E-17
1.960000E+03	4.452450E-17	2.576636E-17
2.000000E+03	4.522937E-17	2.565705E-17
2.040000E+03	4.596370E-17	2.553838E-17
2.080000E+03	4.673630E-17	2.541389E-17
2.120000E+03	4.754727E-17	2.528213E-17
2.160000E+03	4.839660E-17	2.514158E-17
2.200000E+03	4.928411E-17	2.499071E-17
2.240000E+03	5.021879E-17	2.483257E-17
2.280000E+03	5.119104E-17	2.466087E-17
2.320000E+03	5.220967E-17	2.447850E-17
2.360000E+03	5.328366E-17	2.428812E-17
2.400000E+03	5.440270E-17	2.408346E-17
2.440000E+03	5.556564E-17	2.386287E-17
2.480000E+03	5.679076E-17	2.363302E-17
2.520000E+03	5.806681E-17	2.338790E-17
2.560000E+03	5.940189E-17	2.312983E-17
2.600000E+03	6.080396E-17	2.286091E-17
2.640000E+03	6.226043E-17	2.257562E-17
2.680000E+03	6.378864E-17	2.227989E-17
2.720000E+03	6.538521E-17	2.197209E-17
2.760000E+03	6.705644E-17	2.165426E-17
2.800000E+03	6.880804E-17	2.132833E-17
2.840000E+03	7.064504E-17	2.099617E-17
2.880000E+03	7.258211E-17	2.066257E-17
2.920000E+03	7.461200E-17	2.032614E-17
2.960000E+03	7.676819E-17	1.999691E-17
3.000000E+03	7.905129E-17	1.967568E-17
3.010000E+03	7.963566E-17	1.959521E-17
3.020000E+03	8.023557E-17	1.951722E-17
3.030000E+03	8.085082E-17	1.944161E-17
3.040000E+03	8.147068E-17	1.936583E-17
3.050000E+03	8.209495E-17	1.928985E-17
3.060000E+03	8.273386E-17	1.921613E-17
3.070000E+03	8.337669E-17	1.914219E-17
3.080000E+03	8.403367E-17	1.907040E-17
3.090000E+03	8.470451E-17	1.900070E-17
3.100000E+03	8.538892E-17	1.893302E-17
3.110000E+03	8.607619E-17	1.886500E-17
3.120000E+03	8.677645E-17	1.879891E-17
3.130000E+03	8.748937E-17	1.873471E-17
3.140000E+03	8.821464E-17	1.867233E-17
3.150000E+03	8.895190E-17	1.861171E-17
3.160000E+03	8.970080E-17	1.855281E-17
3.170000E+03	9.047133E-17	1.849768E-17
3.180000E+03	9.124237E-17	1.844202E-17
3.190000E+03	9.203424E-17	1.838999E-17
3.200000E+03	9.283617E-17	1.833943E-17
3.210000E+03	9.364773E-17	1.829031E-17
