#wls	flux	fluxerr	mangling_mask
3.720000E+03	2.678285E-15	3.891871E-16	3.022588E-15
3.721500E+03	2.671959E-15	3.886037E-16	3.022783E-15
3.723000E+03	2.663697E-15	3.879193E-16	3.022977E-15
3.724500E+03	2.656461E-15	3.872931E-16	3.023172E-15
3.726000E+03	2.649315E-15	3.866746E-16	3.023366E-15
3.727500E+03	2.642229E-15	3.860622E-16	3.023560E-15
3.729000E+03	2.638588E-15	3.856338E-16	3.023754E-15
3.730500E+03	2.634765E-15	3.851971E-16	3.023947E-15
3.732000E+03	2.628432E-15	3.846311E-16	3.024140E-15
3.733500E+03	2.625121E-15	3.842244E-16	3.024333E-15
3.735000E+03	2.623897E-15	3.839269E-16	3.024526E-15
3.736500E+03	2.616502E-15	3.833120E-16	3.024718E-15
3.738000E+03	2.609922E-15	3.827420E-16	3.024910E-15
3.739500E+03	2.606427E-15	3.823320E-16	3.025102E-15
3.741000E+03	2.600512E-15	3.818003E-16	3.025293E-15
3.742500E+03	2.593112E-15	3.811960E-16	3.025484E-15
3.744000E+03	2.588283E-15	3.807241E-16	3.025675E-15
3.745500E+03	2.583363E-15	3.794389E-16	3.025865E-15
3.747000E+03	2.579259E-15	3.782688E-16	3.026056E-15
3.748500E+03	2.574730E-15	3.779382E-16	3.026246E-15
3.750000E+03	2.568566E-15	3.457363E-16	3.026435E-15
3.751500E+03	2.563279E-15	3.348706E-16	3.026625E-15
3.753000E+03	2.558777E-15	3.357850E-16	3.026814E-15
3.754500E+03	2.554911E-15	3.331948E-16	3.027002E-15
3.756000E+03	2.551649E-15	3.357958E-16	3.027191E-15
3.757500E+03	2.548902E-15	3.362392E-16	3.027379E-15
3.759000E+03	2.546547E-15	3.386163E-16	3.027567E-15
3.760500E+03	2.544555E-15	3.411274E-16	3.027754E-15
3.762000E+03	2.542835E-15	3.295834E-16	3.027942E-15
3.763500E+03	2.541357E-15	3.250508E-16	3.028129E-15
3.765000E+03	2.540060E-15	3.258049E-16	3.028315E-15
3.766500E+03	2.538914E-15	3.256760E-16	3.028502E-15
3.768000E+03	2.535799E-15	3.170502E-16	3.028688E-15
3.769500E+03	2.531169E-15	3.126372E-16	3.028873E-15
3.771000E+03	2.526932E-15	3.100662E-16	3.029059E-15
3.772500E+03	2.523572E-15	3.057950E-16	3.029244E-15
3.774000E+03	2.519424E-15	3.018635E-16	3.029429E-15
3.775500E+03	2.515609E-15	2.845478E-16	3.029613E-15
3.777000E+03	2.519913E-15	2.865456E-16	3.029797E-15
3.778500E+03	2.518217E-15	2.891536E-16	3.029981E-15
3.780000E+03	2.513552E-15	2.874263E-16	3.030164E-15
3.781500E+03	2.509037E-15	2.859690E-16	3.030348E-15
3.783000E+03	2.509825E-15	2.832165E-16	3.030531E-15
3.784500E+03	2.509885E-15	2.889896E-16	3.030713E-15
3.786000E+03	2.512157E-15	2.888481E-16	3.030895E-15
3.787500E+03	2.514430E-15	2.935231E-16	3.031077E-15
3.789000E+03	2.512853E-15	2.887346E-16	3.031259E-15
3.790500E+03	2.514276E-15	2.945241E-16	3.031440E-15
3.792000E+03	2.517458E-15	2.909778E-16	3.031621E-15
3.793500E+03	2.515122E-15	2.912086E-16	3.031801E-15
3.795000E+03	2.516302E-15	2.911035E-16	3.031981E-15
3.796500E+03	2.520454E-15	2.912251E-16	3.032161E-15
3.798000E+03	2.520664E-15	2.934434E-16	3.032341E-15
3.799500E+03	2.520843E-15	2.946674E-16	3.032520E-15
3.801000E+03	2.523509E-15	2.952700E-16	3.032699E-15
3.802500E+03	2.523566E-15	2.928501E-16	3.032877E-15
3.804000E+03	2.522046E-15	2.920918E-16	3.033055E-15
3.805500E+03	2.523074E-15	2.891925E-16	3.033233E-15
3.807000E+03	2.524344E-15	2.889806E-16	3.033411E-15
3.808500E+03	2.525310E-15	2.872414E-16	3.033588E-15
3.810000E+03	2.528704E-15	2.791301E-16	3.033765E-15
3.811500E+03	2.530732E-15	2.739609E-16	3.033941E-15
3.813000E+03	2.529786E-15	2.699389E-16	3.034117E-15
3.814500E+03	2.530509E-15	2.692098E-16	3.034293E-15
3.816000E+03	2.531384E-15	2.677248E-16	3.034468E-15
3.817500E+03	2.529800E-15	2.676024E-16	3.034643E-15
3.819000E+03	2.530310E-15	2.673940E-16	3.034818E-15
3.820500E+03	2.533035E-15	2.672996E-16	3.034992E-15
3.822000E+03	2.538552E-15	2.673778E-16	3.035166E-15
3.823500E+03	2.540397E-15	2.658331E-16	3.035340E-15
3.825000E+03	2.523391E-15	2.619230E-16	3.035513E-15
3.826500E+03	2.511878E-15	2.559664E-16	3.035686E-15
3.828000E+03	2.514966E-15	2.478132E-16	3.035858E-15
3.829500E+03	2.521059E-15	2.468021E-16	3.036030E-15
3.831000E+03	2.520139E-15	2.441684E-16	3.036202E-15
3.832500E+03	2.514542E-15	2.431852E-16	3.036373E-15
3.834000E+03	2.511252E-15	2.365876E-16	3.036544E-15
3.835500E+03	2.519289E-15	2.370169E-16	3.036715E-15
3.837000E+03	2.530090E-15	2.297827E-16	3.036885E-15
3.838500E+03	2.525190E-15	2.295779E-16	3.037055E-15
3.840000E+03	2.532134E-15	2.238586E-16	3.037224E-15
3.841500E+03	2.534523E-15	2.249949E-16	3.037394E-15
3.843000E+03	2.541589E-15	2.239840E-16	3.037562E-15
3.844500E+03	2.534379E-15	2.235288E-16	3.037731E-15
3.846000E+03	2.527319E-15	2.236635E-16	3.037899E-15
3.847500E+03	2.535813E-15	2.219260E-16	3.038066E-15
3.849000E+03	2.545189E-15	2.231906E-16	3.038233E-15
3.850500E+03	2.559700E-15	2.253392E-16	3.038400E-15
3.852000E+03	2.573301E-15	2.330744E-16	3.038566E-15
3.853500E+03	2.573138E-15	2.325663E-16	3.038732E-15
3.855000E+03	2.578323E-15	2.376766E-16	3.038898E-15
3.856500E+03	2.590194E-15	2.447248E-16	3.039063E-15
3.858000E+03	2.598388E-15	2.436439E-16	3.039228E-15
3.859500E+03	2.607130E-15	2.361155E-16	3.039393E-15
3.861000E+03	2.616268E-15	2.368756E-16	3.039557E-15
3.862500E+03	2.623613E-15	2.379316E-16	3.039720E-15
3.864000E+03	2.641294E-15	2.379500E-16	3.039883E-15
3.865500E+03	2.661196E-15	2.390302E-16	3.040046E-15
3.867000E+03	2.670398E-15	2.408315E-16	3.040209E-15
3.868500E+03	2.680756E-15	2.434353E-16	3.040371E-15
3.870000E+03	2.692422E-15	2.438028E-16	3.040532E-15
3.871500E+03	2.702599E-15	2.481542E-16	3.040693E-15
3.873000E+03	2.709644E-15	2.480850E-16	3.040854E-15
3.874500E+03	2.715717E-15	2.473731E-16	3.041014E-15
3.876000E+03	2.719205E-15	2.483997E-16	3.041174E-15
3.877500E+03	2.730510E-15	2.483570E-16	3.041334E-15
3.879000E+03	2.736249E-15	2.497545E-16	3.041493E-15
3.880500E+03	2.739007E-15	2.495413E-16	3.041652E-15
3.882000E+03	2.744929E-15	2.495233E-16	3.041810E-15
3.883500E+03	2.750365E-15	2.493099E-16	3.041968E-15
3.885000E+03	2.753123E-15	2.512933E-16	3.042125E-15
3.886500E+03	2.756247E-15	2.517503E-16	3.042282E-15
3.888000E+03	2.756967E-15	2.505858E-16	3.042439E-15
3.889500E+03	2.758264E-15	2.492172E-16	3.042595E-15
3.891000E+03	2.758588E-15	2.477381E-16	3.042750E-15
3.892500E+03	2.761041E-15	2.476938E-16	3.042906E-15
3.894000E+03	2.763160E-15	2.474051E-16	3.043060E-15
3.895500E+03	2.764548E-15	2.519386E-16	3.043215E-15
3.897000E+03	2.767366E-15	2.544165E-16	3.043369E-15
3.898500E+03	2.770518E-15	2.528928E-16	3.043522E-15
3.900000E+03	2.776380E-15	2.558299E-16	3.043675E-15
3.901500E+03	2.779593E-15	2.511509E-16	3.043828E-15
3.903000E+03	2.783781E-15	2.559064E-16	3.043980E-15
3.904500E+03	2.787603E-15	2.542743E-16	3.044132E-15
3.906000E+03	2.787833E-15	2.456843E-16	3.044283E-15
3.907500E+03	2.790832E-15	2.572727E-16	3.044434E-15
3.909000E+03	2.795537E-15	2.630918E-16	3.044584E-15
3.910500E+03	2.795005E-15	2.623828E-16	3.044734E-15
3.912000E+03	2.792097E-15	2.613278E-16	3.044883E-15
3.913500E+03	2.793604E-15	2.615550E-16	3.045032E-15
3.915000E+03	2.803759E-15	2.696760E-16	3.045181E-15
3.916500E+03	2.807306E-15	2.679373E-16	3.045329E-15
3.918000E+03	2.804793E-15	2.647712E-16	3.045477E-15
3.919500E+03	2.803679E-15	2.773788E-16	3.045624E-15
3.921000E+03	2.806160E-15	2.910474E-16	3.045770E-15
3.922500E+03	2.812264E-15	2.910810E-16	3.045917E-15
3.924000E+03	2.816176E-15	2.911276E-16	3.046062E-15
3.925500E+03	2.819418E-15	2.897690E-16	3.046208E-15
3.927000E+03	2.822537E-15	2.900318E-16	3.046352E-15
3.928500E+03	2.822671E-15	2.934303E-16	3.046497E-15
3.930000E+03	2.823962E-15	2.932595E-16	3.046641E-15
