#wls	flux	fluxerr
1.589729E+03	9.325272E-03	8.974571E-04
1.629472E+03	8.383549E-03	8.015405E-04
1.669215E+03	7.548646E-03	7.168610E-04
1.708958E+03	6.813629E-03	6.425895E-04
1.748702E+03	6.172230E-03	5.779700E-04
1.788445E+03	5.613905E-03	5.218585E-04
1.828188E+03	5.132894E-03	4.735749E-04
1.867931E+03	4.722618E-03	4.323741E-04
1.907675E+03	4.375549E-03	3.974378E-04
1.947418E+03	4.087945E-03	3.683055E-04
1.987161E+03	3.853805E-03	3.443211E-04
2.026904E+03	3.669997E-03	3.250961E-04
2.066647E+03	3.533917E-03	3.102938E-04
2.106391E+03	3.441649E-03	2.994674E-04
2.146134E+03	3.391697E-03	2.923876E-04
2.185877E+03	3.382384E-03	2.888105E-04
2.225620E+03	3.411134E-03	2.884180E-04
2.265363E+03	3.476011E-03	2.909508E-04
2.305107E+03	3.577033E-03	2.963148E-04
2.344850E+03	3.711776E-03	3.042122E-04
2.384593E+03	3.880333E-03	3.145548E-04
2.424336E+03	4.080328E-03	3.270527E-04
2.464080E+03	4.309837E-03	3.414578E-04
2.503823E+03	4.566150E-03	3.574643E-04
2.543566E+03	4.845044E-03	3.746570E-04
2.583309E+03	5.142601E-03	3.926578E-04
2.623052E+03	5.453768E-03	4.110163E-04
2.662796E+03	5.772812E-03	4.292500E-04
2.702539E+03	6.095651E-03	4.470195E-04
2.742282E+03	6.418713E-03	4.640386E-04
2.782025E+03	6.739768E-03	4.801315E-04
2.821769E+03	7.056707E-03	4.951404E-04
2.861512E+03	7.363937E-03	5.086763E-04
2.901255E+03	7.661196E-03	5.207382E-04
2.940998E+03	7.946323E-03	5.312004E-04
2.980741E+03	8.221172E-03	5.402118E-04
2.990677E+03	8.287814E-03	5.422102E-04
3.000613E+03	8.355054E-03	5.442008E-04
3.010549E+03	8.421434E-03	5.460883E-04
3.020485E+03	8.487740E-03	5.479239E-04
3.030420E+03	8.553283E-03	5.496634E-04
3.040356E+03	8.618850E-03	5.513575E-04
3.050292E+03	8.684491E-03	5.530093E-04
3.060228E+03	8.750263E-03	5.546221E-04
3.070164E+03	8.815461E-03	5.561511E-04
3.080099E+03	8.881639E-03	5.576943E-04
3.090035E+03	8.948107E-03	5.592075E-04
3.099971E+03	9.014159E-03	5.606464E-04
3.109907E+03	9.081352E-03	5.621076E-04
3.119843E+03	9.148996E-03	5.635473E-04
3.129779E+03	9.217127E-03	5.649672E-04
3.139714E+03	9.285812E-03	5.663707E-04
3.149650E+03	9.355840E-03	5.678052E-04
3.159586E+03	9.426512E-03	5.692271E-04
3.169522E+03	9.498619E-03	5.706830E-04
3.179458E+03	9.572223E-03	5.721752E-04
3.189393E+03	9.646600E-03	5.736593E-04
3.199329E+03	9.722545E-03	5.751811E-04
3.209265E+03	9.800838E-03	5.767852E-04
3.219201E+03	9.880029E-03	5.783843E-04
3.229137E+03	9.961627E-03	5.800653E-04
3.239072E+03	1.004568E-02	5.818282E-04
3.249008E+03	1.013143E-02	5.836280E-04
3.258944E+03	1.021968E-02	5.855074E-04
3.268880E+03	1.030967E-02	5.874218E-04
3.278816E+03	1.040292E-02	5.894549E-04
3.288751E+03	1.049943E-02	5.916030E-04
3.298687E+03	1.059844E-02	5.938219E-04
3.308623E+03	1.070071E-02	5.961496E-04
3.318559E+03	1.080621E-02	5.985820E-04
3.328495E+03	1.091494E-02	6.011158E-04
3.338430E+03	1.102760E-02	6.037863E-04
3.348366E+03	1.114418E-02	6.065888E-04
3.358302E+03	1.126464E-02	6.095165E-04
3.368238E+03	1.139042E-02	6.126437E-04
3.378174E+03	1.151999E-02	6.158831E-04
3.388109E+03	1.165403E-02	6.192672E-04
3.398045E+03	1.179399E-02	6.228674E-04
3.407981E+03	1.193904E-02	6.266348E-04
3.417917E+03	1.208988E-02	6.306002E-04
3.427853E+03	1.224643E-02	6.347541E-04
3.437788E+03	1.241012E-02	6.391639E-04
3.447724E+03	1.258013E-02	6.437807E-04
3.457660E+03	1.275714E-02	6.486325E-04
3.467596E+03	1.294185E-02	6.537476E-04
3.477532E+03	1.313418E-02	6.591145E-04
3.487467E+03	1.333560E-02	6.647981E-04
3.497403E+03	1.354530E-02	6.707496E-04
3.507339E+03	1.376399E-02	6.769948E-04
3.517275E+03	1.399237E-02	6.835595E-04
3.527211E+03	1.423042E-02	6.904320E-04
3.537146E+03	1.447812E-02	6.976023E-04
3.547082E+03	1.473473E-02	7.050248E-04
3.557018E+03	1.500179E-02	7.127635E-04
3.566954E+03	1.527787E-02	7.207403E-04
3.576890E+03	1.556312E-02	7.289528E-04
3.586826E+03	1.585769E-02	7.373991E-04
3.596761E+03	1.616184E-02	7.460808E-04
3.606697E+03	1.647582E-02	7.550003E-04
3.616633E+03	1.679851E-02	7.640966E-04
3.622956E+03	2.157136E-02	9.765390E-04
3.627446E+03	2.184283E-02	9.854792E-04
3.631936E+03	2.210455E-02	9.938961E-04
3.636426E+03	2.244125E-02	1.005590E-03
3.640917E+03	2.283431E-02	1.019696E-03
3.645407E+03	2.334052E-02	1.038716E-03
3.649897E+03	2.406684E-02	1.067340E-03
3.654387E+03	2.461352E-02	1.087800E-03
3.658877E+03	2.504841E-02	1.103167E-03
3.663367E+03	2.564353E-02	1.125431E-03
3.667857E+03	2.615703E-02	1.143940E-03
3.672347E+03	2.652630E-02	1.156004E-03
3.676837E+03	2.687294E-02	1.166970E-03
3.681327E+03	2.718450E-02	1.176311E-03
3.685817E+03	2.744811E-02	1.183486E-03
3.690308E+03	2.760561E-02	1.186019E-03
3.694798E+03	2.763165E-02	1.182876E-03
3.699288E+03	2.764299E-02	1.179096E-03
3.703778E+03	2.757036E-02	1.171744E-03
3.708268E+03	2.728097E-02	1.155233E-03
3.712758E+03	2.685606E-02	1.133093E-03
3.717248E+03	2.626318E-02	1.104024E-03
3.721738E+03	2.545524E-02	1.066129E-03
3.726228E+03	2.443221E-02	1.019507E-03
3.730719E+03	2.331177E-02	9.691510E-04
3.735209E+03	2.251589E-02	9.325846E-04
3.739699E+03	2.164882E-02	8.933261E-04
3.744189E+03	2.092781E-02	8.603393E-04
3.748679E+03	2.065893E-02	8.460929E-04
3.753169E+03	2.004969E-02	8.180423E-04
3.757659E+03	1.912539E-02	7.773742E-04
3.762149E+03	1.836404E-02	7.435897E-04
3.766639E+03	1.760173E-02	7.100019E-04
3.771129E+03	1.685888E-02	6.774319E-04
3.775620E+03	1.614352E-02	6.461913E-04
3.780110E+03	1.543608E-02	6.154887E-04
3.784600E+03	1.463172E-02	5.811550E-04
3.789090E+03	1.415344E-02	5.599719E-04
3.793580E+03	1.405994E-02	5.541005E-04
3.798070E+03	1.385398E-02	5.438439E-04
3.802560E+03	1.378130E-02	5.388627E-04
3.807050E+03	1.395210E-02	5.433872E-04
3.811540E+03	1.428109E-02	5.539958E-04
3.816031E+03	1.487757E-02	5.748384E-04
3.820521E+03	1.570823E-02	6.045099E-04
3.825011E+03	1.644909E-02	6.304843E-04
3.829501E+03	1.727703E-02	6.595551E-04
3.833991E+03	1.828669E-02	6.952809E-04
3.838481E+03	1.952828E-02	7.394794E-04
3.842971E+03	2.103513E-02	7.933002E-04
3.847461E+03	2.263079E-02	8.499944E-04
3.851951E+03	2.392065E-02	8.947602E-04
3.856442E+03	2.523488E-02	9.400384E-04
3.860932E+03	2.660546E-02	9.870056E-04
3.865422E+03	2.776709E-02	1.025835E-03
3.869912E+03	2.892864E-02	1.064306E-03
3.874401E+03	3.007542E-02	1.101883E-03
3.878891E+03	3.110656E-02	1.134892E-03
3.883381E+03	3.220780E-02	1.170134E-03
3.887871E+03	3.341377E-02	1.208832E-03
3.892361E+03	3.470847E-02	1.250361E-03
3.896851E+03	3.606167E-02	1.293596E-03
3.901341E+03	3.748935E-02	1.339082E-03
3.905832E+03	3.880313E-02	1.380085E-03
3.910322E+03	4.011939E-02	1.420781E-03
3.914812E+03	4.133330E-02	1.457472E-03
3.919302E+03	4.248927E-02	1.491764E-03
3.923792E+03	4.362462E-02	1.524991E-03
3.928282E+03	4.468871E-02	1.555399E-03
3.932772E+03	4.576148E-02	1.585791E-03
3.937262E+03	4.682516E-02	1.615551E-03
3.941752E+03	4.790640E-02	1.645600E-03
3.946243E+03	4.886308E-02	1.671069E-03
3.950733E+03	4.954865E-02	1.687028E-03
3.955223E+03	5.006531E-02	1.697063E-03
3.959713E+03	5.029317E-02	1.697206E-03
3.964203E+03	5.022343E-02	1.687292E-03
3.968693E+03	5.004259E-02	1.673693E-03
3.973183E+03	4.965745E-02	1.653356E-03
3.977673E+03	4.907249E-02	1.626523E-03
3.982163E+03	4.832328E-02	1.594456E-03
3.986654E+03	4.751636E-02	1.560727E-03
3.991144E+03	4.658964E-02	1.523334E-03
3.995634E+03	4.538780E-02	1.477275E-03
4.000124E+03	4.419626E-02	1.431918E-03
4.004614E+03	4.318451E-02	1.392724E-03
4.009104E+03	4.222339E-02	1.355467E-03
4.013594E+03	4.120557E-02	1.316694E-03
4.018084E+03	4.020734E-02	1.278856E-03
4.022574E+03	3.926818E-02	1.243195E-03
4.027065E+03	3.845550E-02	1.211805E-03
4.031555E+03	3.787392E-02	1.187915E-03
4.036045E+03	3.744223E-02	1.168886E-03
4.040535E+03	3.709433E-02	1.152599E-03
4.045025E+03	3.681068E-02	1.138412E-03
4.049515E+03	3.660812E-02	1.126815E-03
4.054005E+03	3.651012E-02	1.118493E-03
4.058495E+03	3.644172E-02	1.111113E-03
4.062985E+03	3.637459E-02	1.103804E-03
4.067475E+03	3.632599E-02	1.097087E-03
4.071966E+03	3.614972E-02	1.086558E-03
4.076456E+03	3.595612E-02	1.075577E-03
4.080946E+03	3.589446E-02	1.068591E-03
4.085436E+03	3.582742E-02	1.061478E-03
4.089926E+03	3.572885E-02	1.053468E-03
4.094416E+03	3.551556E-02	1.042134E-03
4.098906E+03	3.527478E-02	1.030072E-03
4.103396E+03	3.492466E-02	1.014915E-03
4.107886E+03	3.452410E-02	9.984128E-04
4.112377E+03	3.407799E-02	9.807262E-04
4.116867E+03	3.369075E-02	9.648669E-04
4.121357E+03	3.338050E-02	9.513250E-04
4.125847E+03	3.313395E-02	9.396913E-04
4.130337E+03	3.300146E-02	9.313605E-04
