#wls	flux	fluxerr
1.589729E+03	1.229410E-03	1.564123E-05
1.629472E+03	1.223379E-03	1.554446E-05
1.669215E+03	1.218225E-03	1.545852E-05
1.708958E+03	1.214178E-03	1.538625E-05
1.748702E+03	1.211456E-03	1.533037E-05
1.788445E+03	1.209842E-03	1.528807E-05
1.828188E+03	1.209555E-03	1.526202E-05
1.867931E+03	1.210594E-03	1.525212E-05
1.907675E+03	1.212747E-03	1.525565E-05
1.947418E+03	1.216441E-03	1.527787E-05
1.987161E+03	1.221466E-03	1.531603E-05
2.026904E+03	1.228032E-03	1.537269E-05
2.066647E+03	1.236142E-03	1.544775E-05
2.106391E+03	1.246009E-03	1.554374E-05
2.146134E+03	1.257216E-03	1.565536E-05
2.185877E+03	1.270398E-03	1.579034E-05
2.225620E+03	1.285350E-03	1.594600E-05
2.265363E+03	1.302291E-03	1.612489E-05
2.305107E+03	1.321018E-03	1.632431E-05
2.344850E+03	1.342175E-03	1.655202E-05
2.384593E+03	1.365352E-03	1.680277E-05
2.424336E+03	1.390987E-03	1.708171E-05
2.464080E+03	1.419097E-03	1.738883E-05
2.503823E+03	1.449702E-03	1.772408E-05
2.543566E+03	1.483462E-03	1.809528E-05
2.583309E+03	1.519977E-03	1.849720E-05
2.623052E+03	1.559917E-03	1.893767E-05
2.662796E+03	1.603098E-03	1.941407E-05
2.702539E+03	1.650202E-03	1.993429E-05
2.742282E+03	1.701268E-03	2.049830E-05
2.782025E+03	1.756552E-03	2.110874E-05
2.821769E+03	1.816533E-03	2.177083E-05
2.861512E+03	1.881253E-03	2.248449E-05
2.901255E+03	1.951645E-03	2.326025E-05
2.940998E+03	2.027754E-03	2.409791E-05
2.980741E+03	2.110068E-03	2.500255E-05
2.990677E+03	2.131599E-03	2.523887E-05
3.000613E+03	2.153648E-03	2.548086E-05
3.010549E+03	2.176218E-03	2.572853E-05
3.020485E+03	2.199078E-03	2.597913E-05
3.030420E+03	2.222459E-03	2.623539E-05
3.040356E+03	2.246361E-03	2.649729E-05
3.050292E+03	2.270785E-03	2.676481E-05
3.060228E+03	2.295501E-03	2.703522E-05
3.070164E+03	2.320970E-03	2.731397E-05
3.080099E+03	2.346732E-03	2.759559E-05
3.090035E+03	2.373015E-03	2.788278E-05
3.099971E+03	2.399821E-03	2.817552E-05
3.109907E+03	2.427384E-03	2.847655E-05
3.119843E+03	2.455237E-03	2.878036E-05
3.129779E+03	2.483847E-03	2.909242E-05
3.139714E+03	2.512745E-03	2.940722E-05
3.149650E+03	2.542401E-03	2.973023E-05
3.159586E+03	2.572815E-03	3.006142E-05
3.169522E+03	2.603515E-03	3.039529E-05
3.179458E+03	2.634972E-03	3.073729E-05
3.189393E+03	2.667186E-03	3.108740E-05
3.199329E+03	2.699920E-03	3.144284E-05
3.209265E+03	2.733173E-03	3.180358E-05
3.219201E+03	2.767182E-03	3.217235E-05
3.229137E+03	2.801945E-03	3.254910E-05
3.239072E+03	2.837223E-03	3.293105E-05
3.249008E+03	2.873492E-03	3.332367E-05
3.258944E+03	2.910274E-03	3.372141E-05
3.268880E+03	2.947806E-03	3.412699E-05
3.278816E+03	2.986085E-03	3.454035E-05
3.288751E+03	3.025111E-03	3.496145E-05
3.298687E+03	3.064882E-03	3.539026E-05
3.308623E+03	3.105394E-03	3.582670E-05
3.318559E+03	3.146886E-03	3.627349E-05
3.328495E+03	3.188876E-03	3.672505E-05
3.338430E+03	3.231841E-03	3.718684E-05
3.348366E+03	3.275779E-03	3.765882E-05
3.358302E+03	3.320444E-03	3.813812E-05
3.368238E+03	3.366077E-03	3.862748E-05
3.378174E+03	3.412431E-03	3.912403E-05
3.388109E+03	3.459744E-03	3.963048E-05
3.398045E+03	3.508013E-03	4.014675E-05
3.407981E+03	3.557232E-03	4.067274E-05
3.417917E+03	3.607399E-03	4.120838E-05
3.427853E+03	3.658506E-03	4.175357E-05
3.437788E+03	3.710550E-03	4.230821E-05
3.447724E+03	3.763524E-03	4.287222E-05
3.457660E+03	3.817668E-03	4.344827E-05
3.467596E+03	3.872730E-03	4.403345E-05
3.477532E+03	3.928703E-03	4.462767E-05
3.487467E+03	3.986070E-03	4.523636E-05
3.497403E+03	4.044091E-03	4.585107E-05
3.507339E+03	4.103490E-03	4.647999E-05
3.517275E+03	4.164016E-03	4.712023E-05
3.527211E+03	4.225415E-03	4.776886E-05
3.537146E+03	4.288167E-03	4.843130E-05
3.547082E+03	4.352020E-03	4.910461E-05
3.557018E+03	4.416962E-03	4.978865E-05
3.566954E+03	4.482984E-03	5.048326E-05
3.576890E+03	4.550320E-03	5.119103E-05
3.586826E+03	4.618959E-03	5.191180E-05
3.596761E+03	4.688643E-03	5.264261E-05
3.606697E+03	4.759607E-03	5.338606E-05
3.616633E+03	4.831837E-03	5.414195E-05
3.626569E+03	4.905320E-03	5.491008E-05
3.636505E+03	4.980042E-03	5.569024E-05
3.646440E+03	5.055989E-03	5.648224E-05
3.656376E+03	5.133391E-03	5.728859E-05
3.666312E+03	5.211988E-03	5.810634E-05
3.676248E+03	5.292009E-03	5.893797E-05
3.686184E+03	5.373190E-03	5.978054E-05
3.696119E+03	5.455761E-03	6.063651E-05
3.706055E+03	5.539950E-03	6.150838E-05
3.715991E+03	5.625246E-03	6.239042E-05
3.725927E+03	5.711876E-03	6.328509E-05
3.735863E+03	5.799820E-03	6.419214E-05
3.745798E+03	5.889302E-03	6.511398E-05
3.755734E+03	5.980058E-03	6.604763E-05
