#wls	flux	fluxerr
1.589729E+03	3.175616E-02	2.745241E-03
1.629472E+03	2.732786E-02	2.321521E-03
1.669215E+03	2.319086E-02	1.935406E-03
1.708958E+03	1.940069E-02	1.590165E-03
1.748702E+03	1.599318E-02	1.287125E-03
1.788445E+03	1.298577E-02	1.025928E-03
1.828188E+03	1.038093E-02	8.049421E-04
1.867931E+03	8.171160E-03	6.217601E-04
1.907675E+03	6.337014E-03	4.731336E-04
1.947418E+03	4.850650E-03	3.553275E-04
1.987161E+03	3.679784E-03	2.644684E-04
2.026904E+03	2.788015E-03	1.966020E-04
2.066647E+03	2.137313E-03	1.478938E-04
2.106391E+03	1.689651E-03	1.147485E-04
2.146134E+03	1.408334E-03	9.389394E-05
2.185877E+03	1.261145E-03	8.257143E-05
2.225620E+03	1.226957E-03	7.892549E-05
2.265363E+03	1.301141E-03	8.227475E-05
2.305107E+03	1.498885E-03	9.322636E-05
2.344850E+03	1.858144E-03	1.137576E-04
2.384593E+03	2.448276E-03	1.476387E-04
2.424336E+03	3.379572E-03	2.008819E-04
2.464080E+03	4.811540E-03	2.820851E-04
2.503823E+03	6.950930E-03	4.021678E-04
2.543566E+03	1.002464E-02	5.726961E-04
2.583309E+03	1.421469E-02	8.021858E-04
2.623052E+03	1.956172E-02	1.090903E-03
2.662796E+03	2.591500E-02	1.428557E-03
2.702539E+03	3.292884E-02	1.794660E-03
2.742282E+03	4.008555E-02	2.160287E-03
2.782025E+03	4.677429E-02	2.492724E-03
2.821769E+03	5.241916E-02	2.762445E-03
2.861512E+03	5.660160E-02	2.949380E-03
2.901255E+03	5.913556E-02	3.046360E-03
2.940998E+03	6.008495E-02	3.059370E-03
2.980741E+03	5.970772E-02	3.004046E-03
2.990677E+03	5.944777E-02	2.981890E-03
3.000613E+03	5.913411E-02	2.957088E-03
3.010549E+03	5.877415E-02	2.930034E-03
3.020485E+03	5.837453E-02	2.901077E-03
3.030420E+03	5.794357E-02	2.870646E-03
3.040356E+03	5.749062E-02	2.839218E-03
3.050292E+03	5.701941E-02	2.806985E-03
3.060228E+03	5.653731E-02	2.774317E-03
3.070164E+03	5.604798E-02	2.741399E-03
3.080099E+03	5.555742E-02	2.708523E-03
3.090035E+03	5.507037E-02	2.675919E-03
3.099971E+03	5.459265E-02	2.643865E-03
3.109907E+03	5.412880E-02	2.612573E-03
3.119843E+03	5.368341E-02	2.582255E-03
3.129779E+03	5.326196E-02	2.553163E-03
3.139714E+03	5.286805E-02	2.525455E-03
3.149650E+03	5.250820E-02	2.499427E-03
3.159586E+03	5.218616E-02	2.475236E-03
3.169522E+03	5.190783E-02	2.453142E-03
3.179458E+03	5.167840E-02	2.433364E-03
3.189393E+03	5.150344E-02	2.416136E-03
3.199329E+03	5.138987E-02	2.401751E-03
3.209265E+03	5.134415E-02	2.390476E-03
3.219201E+03	5.137248E-02	2.382558E-03
3.229137E+03	5.148494E-02	2.378422E-03
3.238038E+03	4.974927E-02	2.290063E-03
3.242538E+03	4.809483E-02	2.209881E-03
3.247038E+03	4.686385E-02	2.149379E-03
3.251538E+03	4.543652E-02	2.080077E-03
3.256039E+03	4.427035E-02	2.022930E-03
3.260539E+03	4.321574E-02	1.971052E-03
3.265039E+03	4.237901E-02	1.929255E-03
3.269539E+03	4.222518E-02	1.918614E-03
3.274038E+03	4.214722E-02	1.911421E-03
3.278539E+03	4.218730E-02	1.909567E-03
3.283039E+03	4.293061E-02	1.939456E-03
3.287539E+03	4.407850E-02	1.987439E-03
