#wls	flux	fluxerr
1.589729E+03	1.867960E-02	1.326808E-03
1.629472E+03	1.584211E-02	1.113380E-03
1.669215E+03	1.331884E-02	9.260299E-04
1.708958E+03	1.110906E-02	7.640217E-04
1.748702E+03	9.200217E-03	6.258106E-04
1.788445E+03	7.571469E-03	5.093226E-04
1.828188E+03	6.197630E-03	4.122527E-04
1.867931E+03	5.052017E-03	3.322701E-04
1.907675E+03	4.106015E-03	2.669967E-04
1.947418E+03	3.334990E-03	2.143960E-04
1.987161E+03	2.716072E-03	1.726180E-04
2.026904E+03	2.231763E-03	1.402203E-04
2.066647E+03	1.868286E-03	1.160455E-04
2.106391E+03	1.614799E-03	9.916082E-05
2.146134E+03	1.461634E-03	8.874048E-05
2.185877E+03	1.398542E-03	8.395698E-05
2.225620E+03	1.418683E-03	8.421923E-05
2.265363E+03	1.521491E-03	8.932850E-05
2.305107E+03	1.713725E-03	9.951878E-05
2.344850E+03	2.009352E-03	1.154272E-04
2.384593E+03	2.430783E-03	1.381408E-04
2.424336E+03	3.008027E-03	1.691238E-04
2.464080E+03	3.774837E-03	2.099810E-04
2.503823E+03	4.762195E-03	2.620879E-04
2.543566E+03	5.987096E-03	3.259872E-04
2.583309E+03	7.439175E-03	4.007072E-04
2.623052E+03	9.072467E-03	4.833997E-04
2.662796E+03	1.081142E-02	5.697572E-04
2.702539E+03	1.256644E-02	6.549073E-04
2.742282E+03	1.423944E-02	7.337400E-04
2.782025E+03	1.573510E-02	8.015110E-04
2.821769E+03	1.698125E-02	8.548620E-04
2.861512E+03	1.793292E-02	8.919643E-04
2.901255E+03	1.858309E-02	9.129682E-04
2.940998E+03	1.896160E-02	9.198426E-04
2.980741E+03	1.912244E-02	9.156513E-04
2.990677E+03	1.913743E-02	9.133397E-04
3.000613E+03	1.914416E-02	9.106190E-04
3.010549E+03	1.914490E-02	9.076001E-04
3.020485E+03	1.914038E-02	9.043199E-04
3.030420E+03	1.913301E-02	9.008953E-04
3.040356E+03	1.912468E-02	8.974149E-04
3.050292E+03	1.911677E-02	8.939448E-04
3.060228E+03	1.911069E-02	8.905495E-04
3.070164E+03	1.910679E-02	8.872445E-04
3.080099E+03	1.910652E-02	8.840953E-04
3.090035E+03	1.911131E-02	8.811657E-04
3.099971E+03	1.912208E-02	8.784955E-04
3.109907E+03	1.913980E-02	8.761251E-04
3.119843E+03	1.916639E-02	8.741391E-04
3.129779E+03	1.920233E-02	8.725538E-04
3.139714E+03	1.924860E-02	8.714090E-04
3.149650E+03	1.930762E-02	8.708078E-04
3.159586E+03	1.937944E-02	8.707458E-04
3.169522E+03	1.946602E-02	8.713034E-04
3.179458E+03	1.956792E-02	8.724983E-04
3.189393E+03	1.968714E-02	8.744099E-04
3.199329E+03	1.982475E-02	8.770764E-04
3.209265E+03	1.998185E-02	8.805366E-04
3.219201E+03	2.016005E-02	8.848496E-04
3.229137E+03	2.036095E-02	8.900739E-04
3.239072E+03	2.058533E-02	8.962309E-04
3.249008E+03	2.083489E-02	9.033805E-04
3.258944E+03	2.111093E-02	9.115644E-04
3.268880E+03	2.141519E-02	9.208428E-04
3.278816E+03	2.174904E-02	9.312575E-04
3.288751E+03	2.211387E-02	9.428511E-04
3.298687E+03	2.251150E-02	9.556824E-04
3.308623E+03	2.294252E-02	9.697568E-04
3.318559E+03	2.340956E-02	9.851659E-04
3.328495E+03	2.391315E-02	1.001909E-03
3.338430E+03	2.445455E-02	1.020019E-03
3.348366E+03	2.503535E-02	1.039536E-03
3.358302E+03	2.565613E-02	1.060463E-03
3.368238E+03	2.631727E-02	1.082789E-03
3.378174E+03	2.701929E-02	1.106511E-03
3.388109E+03	2.776197E-02	1.131594E-03
3.398045E+03	2.854558E-02	1.158024E-03
3.407981E+03	2.936819E-02	1.185696E-03
3.417917E+03	3.022866E-02	1.214539E-03
3.427853E+03	3.112490E-02	1.244447E-03
3.437788E+03	3.205385E-02	1.275272E-03
3.447724E+03	3.301249E-02	1.306873E-03
3.457660E+03	3.399765E-02	1.339106E-03
3.467596E+03	3.500589E-02	1.371816E-03
3.477532E+03	3.603289E-02	1.404819E-03
3.487467E+03	3.707490E-02	1.437955E-03
3.497403E+03	3.812714E-02	1.471028E-03
3.507339E+03	3.918327E-02	1.503785E-03
3.517275E+03	4.023684E-02	1.535976E-03
3.527211E+03	4.128103E-02	1.567339E-03
3.537146E+03	4.230877E-02	1.597612E-03
3.547082E+03	4.331256E-02	1.626520E-03
3.557018E+03	4.428588E-02	1.653833E-03
3.566954E+03	4.522277E-02	1.679345E-03
3.576890E+03	4.611984E-02	1.702953E-03
3.586826E+03	4.697354E-02	1.724548E-03
3.596761E+03	4.778271E-02	1.744114E-03
3.606697E+03	4.854738E-02	1.761679E-03
3.616633E+03	4.926959E-02	1.777343E-03
3.626569E+03	4.995253E-02	1.791246E-03
3.636505E+03	5.060098E-02	1.803582E-03
3.646440E+03	5.122163E-02	1.814610E-03
3.656376E+03	5.182223E-02	1.824620E-03
3.666312E+03	5.241280E-02	1.833975E-03
3.676248E+03	5.300416E-02	1.843056E-03
3.686184E+03	5.361141E-02	1.852386E-03
3.696119E+03	5.425009E-02	1.862485E-03
3.706055E+03	5.493715E-02	1.873911E-03
3.715991E+03	5.569248E-02	1.887305E-03
3.725927E+03	5.653649E-02	1.903309E-03
3.735863E+03	5.749028E-02	1.922568E-03
3.745798E+03	5.857581E-02	1.945737E-03
3.755734E+03	5.981645E-02	1.973499E-03
3.765670E+03	6.123415E-02	2.006466E-03
3.775606E+03	6.285077E-02	2.045231E-03
3.785542E+03	6.468828E-02	2.090366E-03
3.795477E+03	6.676479E-02	2.142302E-03
3.805413E+03	6.909648E-02	2.201390E-03
3.815349E+03	7.169447E-02	2.267807E-03
3.825285E+03	7.456225E-02	2.341479E-03
3.835221E+03	7.768690E-02	2.421818E-03
3.845156E+03	8.104185E-02	2.507824E-03
3.855092E+03	8.458981E-02	2.598193E-03
3.865028E+03	8.827691E-02	2.691151E-03
3.874964E+03	9.203755E-02	2.784619E-03
3.884900E+03	9.579424E-02	2.876220E-03
3.894835E+03	9.946647E-02	2.963562E-03
3.904771E+03	1.029674E-01	3.044137E-03
3.914707E+03	1.062113E-01	3.115560E-03
3.924643E+03	1.091222E-01	3.175795E-03
3.934579E+03	1.116313E-01	3.223098E-03
3.944514E+03	1.136861E-01	3.256251E-03
3.954450E+03	1.152619E-01	3.274869E-03
3.964386E+03	1.163497E-01	3.279041E-03
3.974322E+03	1.169648E-01	3.269537E-03
3.984258E+03	1.171424E-01	3.247668E-03
3.994194E+03	1.169373E-01	3.215253E-03
4.004129E+03	1.164119E-01	3.174259E-03
4.014065E+03	1.156351E-01	3.126779E-03
4.024001E+03	1.146784E-01	3.074910E-03
4.033937E+03	1.136115E-01	3.020630E-03
4.043873E+03	1.124923E-01	2.965552E-03
4.053808E+03	1.113755E-01	2.911145E-03
4.063744E+03	1.103067E-01	2.858597E-03
4.073680E+03	1.093236E-01	2.808850E-03
4.083616E+03	1.084574E-01	2.762647E-03
4.093552E+03	1.077331E-01	2.720555E-03
4.103487E+03	1.071675E-01	2.682902E-03
4.113423E+03	1.067700E-01	2.649827E-03
4.123359E+03	1.065438E-01	2.621313E-03
4.133295E+03	1.064800E-01	2.597039E-03
4.143231E+03	1.065613E-01	2.576496E-03
4.153166E+03	1.067679E-01	2.559129E-03
4.163102E+03	1.070692E-01	2.544145E-03
4.173038E+03	1.074328E-01	2.530739E-03
4.182974E+03	1.078242E-01	2.518079E-03
4.192910E+03	1.082068E-01	2.505317E-03
4.202845E+03	1.085443E-01	2.491641E-03
4.212781E+03	1.088018E-01	2.476303E-03
4.222717E+03	1.089476E-01	2.458644E-03
4.232653E+03	1.089544E-01	2.438141E-03
4.242589E+03	1.087954E-01	2.414286E-03
4.252524E+03	1.084449E-01	2.386621E-03
4.262460E+03	1.078843E-01	2.354858E-03
