#wls	flux	fluxerr
1.589729E+03	2.048157E-15	2.394425E-16
1.629472E+03	1.742992E-15	2.010774E-16
1.669215E+03	1.461148E-15	1.663071E-16
1.708958E+03	1.206557E-15	1.354683E-16
1.748702E+03	9.817024E-16	1.087109E-16
1.788445E+03	7.867370E-16	8.591409E-17
1.828188E+03	6.209767E-16	6.686482E-17
1.867931E+03	4.826367E-16	5.123720E-17
1.907675E+03	3.696644E-16	3.868838E-17
1.947418E+03	2.794758E-16	2.883376E-17
1.987161E+03	2.094668E-16	2.130322E-17
2.026904E+03	1.570912E-16	1.574914E-17
2.066647E+03	1.198407E-16	1.184406E-17
2.106391E+03	9.522224E-17	9.278065E-18
2.146134E+03	8.083927E-17	7.766266E-18
2.185877E+03	7.465411E-17	7.072606E-18
2.225620E+03	7.532690E-17	7.038715E-18
2.265363E+03	8.257836E-17	7.612304E-18
2.305107E+03	9.715551E-17	8.837188E-18
2.344850E+03	1.210076E-16	1.086291E-17
2.384593E+03	1.575308E-16	1.395937E-17
2.424336E+03	2.117239E-16	1.852244E-17
2.464080E+03	2.902599E-16	2.507173E-17
2.503823E+03	4.009090E-16	3.419258E-17
2.543566E+03	5.512595E-16	4.642249E-17
2.583309E+03	7.462039E-16	6.204266E-17
2.623052E+03	9.851644E-16	8.086350E-17
2.662796E+03	1.260309E-15	1.021075E-16
2.702539E+03	1.556668E-15	1.244556E-16
2.742282E+03	1.853573E-15	1.461982E-16
2.782025E+03	2.127942E-15	1.655219E-16
2.821769E+03	2.358896E-15	1.808806E-16
2.861512E+03	2.531155E-15	1.912435E-16
2.901255E+03	2.638292E-15	1.963119E-16
2.940998E+03	2.683797E-15	1.965497E-16
2.980741E+03	2.678124E-15	1.929160E-16
2.990677E+03	2.670429E-15	1.915467E-16
3.000613E+03	2.660714E-15	1.900323E-16
3.010549E+03	2.649210E-15	1.883915E-16
3.020485E+03	2.636320E-15	1.866542E-16
3.030420E+03	2.622449E-15	1.848502E-16
3.040356E+03	2.607645E-15	1.829838E-16
3.050292E+03	2.592593E-15	1.811038E-16
3.060228E+03	2.577511E-15	1.792256E-16
3.070164E+03	2.562560E-15	1.773604E-16
3.080099E+03	2.547971E-15	1.755240E-16
3.090035E+03	2.533912E-15	1.737274E-16
3.099971E+03	2.520563E-15	1.719826E-16
3.109907E+03	2.508158E-15	1.703046E-16
3.119843E+03	2.496885E-15	1.687053E-16
3.129779E+03	2.487030E-15	1.672026E-16
3.139714E+03	2.478685E-15	1.658013E-16
3.149650E+03	2.472148E-15	1.645195E-16
3.159586E+03	2.467618E-15	1.633688E-16
3.169522E+03	2.465351E-15	1.623637E-16
3.179458E+03	2.465515E-15	1.615127E-16
3.189393E+03	2.468424E-15	1.608338E-16
3.199329E+03	2.474307E-15	1.603388E-16
3.209265E+03	2.483360E-15	1.600370E-16
3.219201E+03	2.495923E-15	1.599467E-16
3.219998E+03	3.583157E-15	2.295160E-16
3.221737E+03	3.544861E-15	2.268380E-16
3.223478E+03	3.506968E-15	2.241902E-16
3.225218E+03	3.467628E-15	2.214546E-16
3.226958E+03	3.425919E-15	2.185726E-16
3.228697E+03	3.383675E-15	2.156615E-16
3.230438E+03	3.341961E-15	2.127891E-16
3.232178E+03	3.300242E-15	2.099215E-16
3.233918E+03	3.257728E-15	2.070085E-16
3.235658E+03	3.214548E-15	2.040583E-16
3.237398E+03	3.172025E-15	2.011551E-16
3.239138E+03	3.131367E-15	1.983753E-16
3.240878E+03	3.092580E-15	1.957188E-16
3.242618E+03	3.053140E-15	1.930257E-16
3.244358E+03	3.011700E-15	1.902111E-16
3.246098E+03	2.969596E-15	1.873597E-16
3.247839E+03	2.928703E-15	1.845898E-16
3.249578E+03	2.890100E-15	1.819692E-16
3.251318E+03	2.853796E-15	1.794980E-16
3.253058E+03	2.819531E-15	1.771593E-16
3.254799E+03	2.786375E-15	1.748944E-16
3.256539E+03	2.752438E-15	1.725846E-16
3.258278E+03	2.717720E-15	1.702301E-16
3.260018E+03	2.684384E-15	1.679664E-16
3.261759E+03	2.654877E-15	1.659460E-16
3.263499E+03	2.629616E-15	1.641945E-16
3.265238E+03	2.607807E-15	1.626614E-16
3.266979E+03	2.588242E-15	1.612706E-16
3.268719E+03	2.569972E-15	1.599629E-16
3.270459E+03	2.552731E-15	1.587213E-16
3.272198E+03	2.535705E-15	1.574952E-16
3.273939E+03	2.517529E-15	1.561996E-16
3.275679E+03	2.499427E-15	1.549109E-16
3.277419E+03	2.485927E-15	1.539092E-16
3.279158E+03	2.480341E-15	1.533986E-16
3.280899E+03	2.481191E-15	1.532859E-16
3.282639E+03	2.485468E-15	1.533845E-16
3.284379E+03	2.490983E-15	1.535587E-16
3.286119E+03	2.497467E-15	1.537915E-16
