#wls	flux	fluxerr
1.589729E+03	1.656527E-16	1.769664E-17
1.629472E+03	1.549929E-16	1.650108E-17
1.669215E+03	1.446718E-16	1.534800E-17
1.708958E+03	1.348186E-16	1.425093E-17
1.748702E+03	1.254193E-16	1.320808E-17
1.788445E+03	1.164591E-16	1.221763E-17
1.828188E+03	1.078413E-16	1.126916E-17
1.867931E+03	9.946393E-17	1.035185E-17
1.907675E+03	9.127730E-17	9.460490E-18
1.947418E+03	8.322439E-17	8.589164E-18
1.987161E+03	7.546779E-17	7.754628E-18
2.026904E+03	6.833284E-17	6.989986E-18
2.066647E+03	6.237025E-17	6.350659E-18
2.106391E+03	5.828961E-17	5.907077E-18
2.146134E+03	5.661591E-17	5.709582E-18
2.185877E+03	5.754113E-17	5.773928E-18
2.225620E+03	6.085495E-17	6.075152E-18
2.265363E+03	6.608103E-17	6.562144E-18
2.305107E+03	7.271577E-17	7.181962E-18
2.344850E+03	8.029483E-17	7.886487E-18
2.384593E+03	8.852865E-17	8.645608E-18
2.424336E+03	9.722854E-17	9.439599E-18
2.464080E+03	1.063055E-16	1.025874E-17
2.503823E+03	1.157010E-16	1.109640E-17
2.543566E+03	1.254097E-16	1.195116E-17
2.583309E+03	1.354155E-16	1.282050E-17
2.623052E+03	1.456791E-16	1.369979E-17
2.662796E+03	1.562002E-16	1.458809E-17
2.702539E+03	1.669370E-16	1.548060E-17
2.742282E+03	1.778703E-16	1.637466E-17
2.782025E+03	1.889842E-16	1.726799E-17
2.821769E+03	2.002684E-16	1.815877E-17
2.861512E+03	2.116650E-16	1.904100E-17
2.901255E+03	2.232018E-16	1.991639E-17
2.940998E+03	2.348911E-16	2.078526E-17
2.980741E+03	2.468150E-16	2.165394E-17
2.990677E+03	2.498415E-16	2.187174E-17
3.000613E+03	2.529026E-16	2.209118E-17
3.010549E+03	2.559993E-16	2.231232E-17
3.020485E+03	2.591053E-16	2.253286E-17
3.030420E+03	2.622444E-16	2.275483E-17
3.040356E+03	2.654535E-16	2.298141E-17
3.050292E+03	2.687192E-16	2.321138E-17
3.060228E+03	2.720982E-16	2.344960E-17
3.070164E+03	2.755249E-16	2.369035E-17
3.080099E+03	2.790265E-16	2.393592E-17
3.090035E+03	2.825997E-16	2.418597E-17
3.099971E+03	2.862415E-16	2.444020E-17
3.109907E+03	2.899496E-16	2.469836E-17
3.119843E+03	2.937538E-16	2.496293E-17
3.129779E+03	2.975882E-16	2.522826E-17
3.139714E+03	3.015157E-16	2.549963E-17
3.149650E+03	3.055354E-16	2.577691E-17
3.159586E+03	3.096140E-16	2.605723E-17
3.169522E+03	3.137838E-16	2.634324E-17
3.179458E+03	3.180114E-16	2.663209E-17
3.189393E+03	3.223634E-16	2.692928E-17
3.199329E+03	3.267735E-16	2.722922E-17
3.209265E+03	3.312754E-16	2.753464E-17
3.219201E+03	3.358699E-16	2.784555E-17
3.229137E+03	3.405923E-16	2.816479E-17
3.239072E+03	3.454096E-16	2.848954E-17
3.249008E+03	3.503231E-16	2.881985E-17
3.258944E+03	3.553689E-16	2.915860E-17
3.268880E+03	3.605491E-16	2.950587E-17
3.278816E+03	3.658659E-16	2.986173E-17
3.288751E+03	3.713215E-16	3.022625E-17
3.298687E+03	3.769540E-16	3.060243E-17
3.308623E+03	3.827306E-16	3.098748E-17
3.318559E+03	3.886538E-16	3.138150E-17
3.328495E+03	3.947626E-16	3.178751E-17
3.338430E+03	4.010969E-16	3.220857E-17
3.348366E+03	4.075872E-16	3.263897E-17
3.358302E+03	4.143105E-16	3.308471E-17
3.368238E+03	4.212337E-16	3.354299E-17
3.378174E+03	4.284352E-16	3.401990E-17
3.388109E+03	4.358449E-16	3.450967E-17
3.398045E+03	4.435420E-16	3.501840E-17
3.407981E+03	4.514939E-16	3.554329E-17
3.417917E+03	4.597429E-16	3.608750E-17
3.427853E+03	4.682940E-16	3.665116E-17
3.437788E+03	4.771523E-16	3.723447E-17
3.447724E+03	4.863609E-16	3.784052E-17
3.457660E+03	4.958858E-16	3.846643E-17
3.467596E+03	5.057694E-16	3.911523E-17
3.477532E+03	5.160161E-16	3.978699E-17
3.487467E+03	5.266673E-16	4.048459E-17
3.497403E+03	5.376863E-16	4.120494E-17
3.507339E+03	5.491135E-16	4.195081E-17
3.517275E+03	5.609479E-16	4.272183E-17
3.527211E+03	5.731896E-16	4.351769E-17
3.537146E+03	5.858757E-16	4.434085E-17
3.547082E+03	5.989624E-16	4.518769E-17
3.557018E+03	6.124861E-16	4.606062E-17
3.566954E+03	6.264007E-16	4.695584E-17
3.576890E+03	6.407821E-16	4.787869E-17
3.586826E+03	6.555840E-16	4.882537E-17
3.596761E+03	6.707996E-16	4.979503E-17
3.606697E+03	6.864237E-16	5.078694E-17
3.616633E+03	7.024929E-16	5.180348E-17
3.626569E+03	7.189603E-16	5.284083E-17
3.636505E+03	7.358239E-16	5.389852E-17
3.646440E+03	7.531674E-16	5.498232E-17
3.656376E+03	7.709092E-16	5.608592E-17
3.666312E+03	7.890557E-16	5.720943E-17
3.676248E+03	8.077057E-16	5.835966E-17
3.686184E+03	8.267936E-16	5.953148E-17
3.696119E+03	8.463910E-16	6.072964E-17
3.706055E+03	8.664932E-16	6.195338E-17
3.715991E+03	8.871933E-16	6.320894E-17
3.725927E+03	9.085510E-16	6.450004E-17
3.735863E+03	9.306375E-16	6.583117E-17
3.745798E+03	9.534888E-16	6.720429E-17
3.755734E+03	9.772330E-16	6.862776E-17
3.765670E+03	1.001913E-15	7.010387E-17
3.775606E+03	1.027659E-15	7.164086E-17
3.785542E+03	1.054500E-15	7.323993E-17
3.795477E+03	1.082493E-15	7.490421E-17
3.805413E+03	1.111676E-15	7.663522E-17
3.815349E+03	1.142050E-15	7.843219E-17
3.825285E+03	1.173582E-15	8.029177E-17
3.835221E+03	1.206144E-15	8.220437E-17
3.845156E+03	1.239699E-15	8.416651E-17
3.855092E+03	1.273921E-15	8.615542E-17
3.865028E+03	1.308663E-15	8.816057E-17
3.874964E+03	1.343585E-15	9.015872E-17
3.884900E+03	1.378297E-15	9.212359E-17
3.894835E+03	1.412515E-15	9.403633E-17
3.904771E+03	1.445683E-15	9.586049E-17
3.914707E+03	1.477472E-15	9.757516E-17
3.924643E+03	1.507412E-15	9.915039E-17
3.934579E+03	1.535097E-15	1.005611E-16
3.944514E+03	1.560110E-15	1.017819E-16
3.954450E+03	1.582142E-15	1.027947E-16
3.964386E+03	1.600995E-15	1.035893E-16
3.974322E+03	1.616413E-15	1.041515E-16
3.984258E+03	1.628327E-15	1.044798E-16
3.994194E+03	1.636808E-15	1.045815E-16
4.004129E+03	1.641921E-15	1.044637E-16
4.014065E+03	1.643868E-15	1.041416E-16
4.024001E+03	1.642876E-15	1.036325E-16
4.033937E+03	1.639281E-15	1.029597E-16
4.043873E+03	1.633463E-15	1.021492E-16
4.053808E+03	1.625828E-15	1.012281E-16
4.063744E+03	1.616757E-15	1.002215E-16
4.073680E+03	1.606667E-15	9.915641E-17
4.083616E+03	1.595962E-15	9.805845E-17
4.093552E+03	1.584978E-15	9.694875E-17
4.103487E+03	1.574094E-15	9.585067E-17
4.113423E+03	1.563569E-15	9.477986E-17
4.123359E+03	1.553617E-15	9.374898E-17
4.133295E+03	1.544474E-15	9.277171E-17
4.143231E+03	1.536250E-15	9.185411E-17
4.153166E+03	1.529075E-15	9.100306E-17
4.163102E+03	1.522925E-15	9.021634E-17
4.173038E+03	1.517829E-15	8.949486E-17
4.182974E+03	1.513707E-15	8.883307E-17
4.192910E+03	1.510503E-15	8.822690E-17
4.202845E+03	1.508031E-15	8.766487E-17
4.212781E+03	1.506202E-15	8.714122E-17
4.222717E+03	1.504782E-15	8.664193E-17
4.232653E+03	1.503611E-15	8.615762E-17
4.242589E+03	1.502495E-15	8.567692E-17
4.252524E+03	1.501182E-15	8.518559E-17
4.262460E+03	1.499547E-15	8.467679E-17
4.272396E+03	1.497433E-15	8.414193E-17
4.282332E+03	1.494658E-15	8.357134E-17
4.292268E+03	1.491174E-15	8.296284E-17
4.302203E+03	1.486960E-15	8.231594E-17
4.312139E+03	1.482035E-15	8.163238E-17
4.322075E+03	1.476548E-15	8.092089E-17
4.332011E+03	1.470699E-15	8.019283E-17
4.341947E+03	1.464742E-15	7.946235E-17
4.351882E+03	1.459036E-15	7.874902E-17
4.361818E+03	1.453989E-15	7.807446E-17
4.371754E+03	1.450142E-15	7.746717E-17
4.381690E+03	1.447992E-15	7.695247E-17
