#wls	flux	fluxerr
1.600000E+03	1.654826E-14	2.243582E-16
1.640000E+03	1.373660E-14	1.860782E-16
1.680000E+03	1.130360E-14	1.529858E-16
1.720000E+03	9.225803E-15	1.247520E-16
1.760000E+03	7.475481E-15	1.009910E-16
1.800000E+03	6.021507E-15	8.127180E-17
1.840000E+03	4.828608E-15	6.510861E-17
1.880000E+03	3.863783E-15	5.204771E-17
1.920000E+03	3.093466E-15	4.162911E-17
1.960000E+03	2.486384E-15	3.342514E-17
2.000000E+03	2.014090E-15	2.704752E-17
2.040000E+03	1.651757E-15	2.215789E-17
2.080000E+03	1.377922E-15	1.846421E-17
2.120000E+03	1.174687E-15	1.572323E-17
2.160000E+03	1.027938E-15	1.374327E-17
2.200000E+03	9.265284E-16	1.237300E-17
2.240000E+03	8.622747E-16	1.150124E-17
2.280000E+03	8.294756E-16	1.105033E-17
2.320000E+03	8.243690E-16	1.096870E-17
2.360000E+03	8.446469E-16	1.122433E-17
2.400000E+03	8.888239E-16	1.179619E-17
2.440000E+03	9.555835E-16	1.266557E-17
2.480000E+03	1.043206E-15	1.380848E-17
2.520000E+03	1.148613E-15	1.518302E-17
2.560000E+03	1.266999E-15	1.672473E-17
2.600000E+03	1.391383E-15	1.834075E-17
2.640000E+03	1.513082E-15	1.991635E-17
2.680000E+03	1.622491E-15	2.132534E-17
2.720000E+03	1.710604E-15	2.245013E-17
2.760000E+03	1.770592E-15	2.320241E-17
2.800000E+03	1.798925E-15	2.353762E-17
2.840000E+03	1.795876E-15	2.346122E-17
2.880000E+03	1.765252E-15	2.302478E-17
2.920000E+03	1.713245E-15	2.231067E-17
2.960000E+03	1.647585E-15	2.142081E-17
3.000000E+03	1.576110E-15	2.045784E-17
3.010000E+03	1.558265E-15	2.021782E-17
3.020000E+03	1.540610E-15	1.998043E-17
3.030000E+03	1.523248E-15	1.974701E-17
3.040000E+03	1.506347E-15	1.951973E-17
3.050000E+03	1.489965E-15	1.929934E-17
3.060000E+03	1.474194E-15	1.908702E-17
3.070000E+03	1.459153E-15	1.888429E-17
3.080000E+03	1.444898E-15	1.869186E-17
3.090000E+03	1.431510E-15	1.851081E-17
3.100000E+03	1.419133E-15	1.834292E-17
3.110000E+03	1.407787E-15	1.818849E-17
3.120000E+03	1.397581E-15	1.804888E-17
3.130000E+03	1.388569E-15	1.792478E-17
3.140000E+03	1.380914E-15	1.781827E-17
3.150000E+03	1.374614E-15	1.772931E-17
3.160000E+03	1.369783E-15	1.765935E-17
3.170000E+03	1.366536E-15	1.760982E-17
3.180000E+03	1.364961E-15	1.758185E-17
3.190000E+03	1.365103E-15	1.757599E-17
3.200000E+03	1.367139E-15	1.759449E-17
3.210000E+03	1.371127E-15	1.763806E-17
3.220000E+03	1.377205E-15	1.770844E-17
3.230000E+03	1.385469E-15	1.780682E-17
3.240000E+03	1.396071E-15	1.793515E-17
3.250000E+03	1.409151E-15	1.809514E-17
3.260000E+03	1.424853E-15	1.828864E-17
3.270000E+03	1.443305E-15	1.851722E-17
3.280000E+03	1.464692E-15	1.878322E-17
3.290000E+03	1.489182E-15	1.908871E-17
3.300000E+03	1.516921E-15	1.943555E-17
3.310000E+03	1.548102E-15	1.982614E-17
3.320000E+03	1.582872E-15	2.026230E-17
3.330000E+03	1.621415E-15	2.074631E-17
3.340000E+03	1.663828E-15	2.127935E-17
3.350000E+03	1.710120E-15	2.186148E-17
3.360000E+03	1.760228E-15	2.249182E-17
3.370000E+03	1.814009E-15	2.316848E-17
3.380000E+03	1.871155E-15	2.388745E-17
3.390000E+03	1.931202E-15	2.464275E-17
3.400000E+03	1.993598E-15	2.542731E-17
3.410000E+03	2.057488E-15	2.623017E-17
3.420000E+03	2.121955E-15	2.703961E-17
3.430000E+03	2.185789E-15	2.784023E-17
3.440000E+03	2.247633E-15	2.861475E-17
3.450000E+03	2.305992E-15	2.934418E-17
3.460000E+03	2.359263E-15	3.000821E-17
3.470000E+03	2.405904E-15	3.058731E-17
3.480000E+03	2.444385E-15	3.106214E-17
3.490000E+03	2.473370E-15	3.141591E-17
3.500000E+03	2.491916E-15	3.163678E-17
3.510000E+03	2.499432E-15	3.171746E-17
3.520000E+03	2.495865E-15	3.165746E-17
3.530000E+03	2.481636E-15	3.146233E-17
3.540000E+03	2.457797E-15	3.114558E-17
3.550000E+03	2.425788E-15	3.072562E-17
3.560000E+03	2.387521E-15	3.022681E-17
3.570000E+03	2.345127E-15	2.967622E-17
3.580000E+03	2.300909E-15	2.910305E-17
3.590000E+03	2.257241E-15	2.853737E-17
3.600000E+03	2.216371E-15	2.800755E-17
3.610000E+03	2.180530E-15	2.754174E-17
3.620000E+03	2.151620E-15	2.716386E-17
3.630000E+03	2.131402E-15	2.689600E-17
3.640000E+03	2.121569E-15	2.675937E-17
3.650000E+03	2.123583E-15	2.677222E-17
3.660000E+03	2.138853E-15	2.695208E-17
3.670000E+03	2.168889E-15	2.731776E-17
3.680000E+03	2.214984E-15	2.788525E-17
3.690000E+03	2.278593E-15	2.867260E-17
3.700000E+03	2.361265E-15	2.969897E-17
3.710000E+03	2.464501E-15	3.098290E-17
3.720000E+03	2.589827E-15	3.254320E-17
3.730000E+03	2.738877E-15	3.440000E-17
3.740000E+03	2.913102E-15	3.657112E-17
3.750000E+03	3.113857E-15	3.907311E-17
3.760000E+03	3.342256E-15	4.191948E-17
3.770000E+03	3.599006E-15	4.511860E-17
3.780000E+03	3.884262E-15	4.867195E-17
3.790000E+03	4.197534E-15	5.257288E-17
3.800000E+03	4.537650E-15	5.680623E-17
3.810000E+03	4.902310E-15	6.134279E-17
3.820000E+03	5.288404E-15	6.614321E-17
3.830000E+03	5.691889E-15	7.115661E-17
3.840000E+03	6.107614E-15	7.631833E-17
3.850000E+03	6.529723E-15	8.155502E-17
3.860000E+03	6.951989E-15	8.678887E-17
3.870000E+03	7.367863E-15	9.193816E-17
3.880000E+03	7.770855E-15	9.692210E-17
3.890000E+03	8.155016E-15	1.016667E-16
3.900000E+03	8.515326E-15	1.061098E-16
3.910000E+03	8.847732E-15	1.102014E-16
3.920000E+03	9.149518E-15	1.139081E-16
3.930000E+03	9.419312E-15	1.172134E-16
3.940000E+03	9.657036E-15	1.201169E-16
3.950000E+03	9.863825E-15	1.226332E-16
3.960000E+03	1.004175E-14	1.247888E-16
3.970000E+03	1.019353E-14	1.266176E-16
3.980000E+03	1.032242E-14	1.281608E-16
3.990000E+03	1.043158E-14	1.294579E-16
4.000000E+03	1.052424E-14	1.305493E-16
4.010000E+03	1.060273E-14	1.314642E-16
4.020000E+03	1.066870E-14	1.322233E-16
4.030000E+03	1.072331E-14	1.328410E-16
4.040000E+03	1.076599E-14	1.333108E-16
4.050000E+03	1.079554E-14	1.336178E-16
4.060000E+03	1.081003E-14	1.337385E-16
4.070000E+03	1.080668E-14	1.336385E-16
4.080000E+03	1.078251E-14	1.332816E-16
4.090000E+03	1.073476E-14	1.326338E-16
4.100000E+03	1.066088E-14	1.316641E-16
4.110000E+03	1.055899E-14	1.303498E-16
4.120000E+03	1.042822E-14	1.286803E-16
4.130000E+03	1.026818E-14	1.266516E-16
4.140000E+03	1.007975E-14	1.242748E-16
4.150000E+03	9.864575E-15	1.215706E-16
4.160000E+03	9.625244E-15	1.185714E-16
4.170000E+03	9.365123E-15	1.153189E-16
4.180000E+03	9.088294E-15	1.118638E-16
4.190000E+03	8.799607E-15	1.082658E-16
4.200000E+03	8.504342E-15	1.045902E-16
4.210000E+03	8.208073E-15	1.009055E-16
