#wls	flux	fluxerr
1.600000E+03	5.650850E-15	2.490368E-16
1.640000E+03	4.928833E-15	2.149300E-16
1.680000E+03	4.254477E-15	1.835353E-16
1.720000E+03	3.633400E-15	1.550334E-16
1.760000E+03	3.070106E-15	1.295456E-16
1.800000E+03	2.567540E-15	1.071185E-16
1.840000E+03	2.125999E-15	8.768177E-17
1.880000E+03	1.745241E-15	7.114168E-17
1.920000E+03	1.422872E-15	5.731677E-17
1.960000E+03	1.155351E-15	4.598378E-17
2.000000E+03	9.381767E-16	3.688761E-17
2.040000E+03	7.664198E-16	2.976465E-17
2.080000E+03	6.350622E-16	2.435707E-17
2.120000E+03	5.391007E-16	2.041709E-17
2.160000E+03	4.735426E-16	1.770691E-17
2.200000E+03	4.347123E-16	1.604704E-17
2.240000E+03	4.208186E-16	1.533386E-17
2.280000E+03	4.321625E-16	1.554270E-17
2.320000E+03	4.715467E-16	1.673727E-17
2.360000E+03	5.448747E-16	1.908498E-17
2.400000E+03	6.616726E-16	2.286785E-17
2.440000E+03	8.352199E-16	2.847861E-17
2.480000E+03	1.081725E-15	3.638449E-17
2.520000E+03	1.417158E-15	4.701563E-17
2.560000E+03	1.851839E-15	6.058877E-17
2.600000E+03	2.383034E-15	7.688162E-17
2.640000E+03	2.990989E-15	9.513642E-17
2.680000E+03	3.637547E-15	1.140552E-16
2.720000E+03	4.273780E-15	1.320770E-16
2.760000E+03	4.852185E-15	1.477729E-16
2.800000E+03	5.335468E-15	1.601053E-16
2.840000E+03	5.702674E-15	1.685865E-16
2.880000E+03	5.951320E-15	1.733026E-16
2.920000E+03	6.094643E-15	1.747941E-16
2.960000E+03	6.158268E-15	1.739271E-16
3.000000E+03	6.173931E-15	1.716913E-16
3.010000E+03	6.174561E-15	1.710427E-16
3.020000E+03	6.174810E-15	1.703850E-16
3.030000E+03	6.175210E-15	1.697329E-16
3.040000E+03	6.176565E-15	1.691084E-16
3.050000E+03	6.179259E-15	1.685218E-16
3.060000E+03	6.183813E-15	1.679869E-16
3.070000E+03	6.190881E-15	1.675207E-16
3.080000E+03	6.200847E-15	1.671330E-16
3.090000E+03	6.214234E-15	1.668368E-16
3.100000E+03	6.231827E-15	1.666521E-16
3.110000E+03	6.253898E-15	1.665849E-16
3.120000E+03	6.281116E-15	1.666515E-16
3.130000E+03	6.313913E-15	1.668616E-16
3.140000E+03	6.353242E-15	1.672388E-16
3.150000E+03	6.399327E-15	1.677868E-16
3.160000E+03	6.452929E-15	1.685235E-16
3.170000E+03	6.514850E-15	1.694674E-16
