#wls	flux	fluxerr
1.600000E+03	4.568048E-14	9.406233E-15
1.640000E+03	3.806853E-14	7.141947E-15
1.680000E+03	3.131642E-14	5.309991E-15
1.720000E+03	2.542505E-14	3.860614E-15
1.760000E+03	2.037385E-14	2.741173E-15
1.800000E+03	1.611819E-14	1.898102E-15
1.840000E+03	1.259826E-14	1.280198E-15
1.880000E+03	9.740951E-15	8.402958E-16
1.920000E+03	7.464586E-15	5.367976E-16
1.960000E+03	5.685803E-15	3.347221E-16
2.000000E+03	4.322730E-15	2.058251E-16
2.040000E+03	3.298963E-15	1.282363E-16
2.080000E+03	2.546511E-15	8.526194E-17
2.120000E+03	2.008972E-15	6.347711E-17
2.160000E+03	1.641730E-15	5.252403E-17
2.200000E+03	1.410138E-15	4.702115E-17
2.240000E+03	1.289730E-15	4.533864E-17
2.280000E+03	1.267505E-15	4.744832E-17
2.320000E+03	1.341567E-15	5.357114E-17
2.360000E+03	1.522123E-15	6.400076E-17
2.400000E+03	1.833829E-15	7.926244E-17
2.440000E+03	2.316579E-15	9.987717E-17
2.480000E+03	3.023904E-15	1.260260E-16
2.520000E+03	4.016052E-15	1.576530E-16
2.560000E+03	5.342974E-15	1.962150E-16
2.600000E+03	7.018148E-15	2.492299E-16
2.640000E+03	8.990265E-15	3.326379E-16
2.680000E+03	1.114071E-14	4.590010E-16
2.720000E+03	1.330193E-14	6.242773E-16
2.760000E+03	1.527922E-14	8.093613E-16
2.800000E+03	1.688826E-14	9.873394E-16
2.840000E+03	1.799226E-14	1.131131E-15
2.880000E+03	1.852808E-14	1.220272E-15
2.920000E+03	1.851469E-14	1.245351E-15
2.960000E+03	1.804089E-14	1.208802E-15
3.000000E+03	1.723499E-14	1.122061E-15
3.010000E+03	1.699786E-14	1.094377E-15
3.020000E+03	1.675144E-14	1.064876E-15
3.030000E+03	1.649687E-14	1.033770E-15
3.040000E+03	1.623642E-14	1.001343E-15
3.050000E+03	1.597262E-14	9.678936E-16
3.060000E+03	1.570644E-14	9.336207E-16
3.070000E+03	1.544022E-14	8.988014E-16
3.080000E+03	1.517546E-14	8.636570E-16
3.090000E+03	1.491362E-14	8.283974E-16
3.100000E+03	1.465606E-14	7.932205E-16
3.110000E+03	1.440466E-14	7.583428E-16
3.120000E+03	1.416029E-14	7.239174E-16
3.130000E+03	1.392437E-14	6.901158E-16
3.140000E+03	1.369796E-14	6.570815E-16
3.150000E+03	1.348208E-14	6.249464E-16
3.160000E+03	1.327796E-14	5.938425E-16
3.170000E+03	1.308680E-14	5.638884E-16
3.180000E+03	1.290905E-14	5.351603E-16
3.190000E+03	1.274637E-14	5.077763E-16
3.200000E+03	1.259947E-14	4.818035E-16
3.210000E+03	1.246956E-14	4.573191E-16
3.220000E+03	1.235765E-14	4.343823E-16
3.230000E+03	1.226462E-14	4.130375E-16
3.240000E+03	1.219223E-14	3.933495E-16
3.250000E+03	1.214104E-14	3.753330E-16
3.260000E+03	1.211293E-14	3.590338E-16
3.270000E+03	1.210921E-14	3.444676E-16
3.280000E+03	1.213085E-14	3.316289E-16
3.290000E+03	1.217985E-14	3.205266E-16
3.300000E+03	1.225726E-14	3.111292E-16
3.310000E+03	1.236472E-14	3.034064E-16
3.320000E+03	1.250366E-14	2.973074E-16
3.330000E+03	1.267566E-14	2.927711E-16
3.340000E+03	1.288191E-14	2.897143E-16
3.350000E+03	1.312370E-14	2.880459E-16
3.360000E+03	1.340227E-14	2.876661E-16
3.370000E+03	1.371894E-14	2.884739E-16
3.380000E+03	1.407453E-14	2.903584E-16
3.390000E+03	1.446987E-14	2.932142E-16
3.400000E+03	1.490555E-14	2.969401E-16
3.410000E+03	1.538159E-14	3.014376E-16
3.420000E+03	1.589781E-14	3.066211E-16
3.430000E+03	1.645343E-14	3.124152E-16
3.440000E+03	1.704676E-14	3.187513E-16
3.450000E+03	1.767546E-14	3.255725E-16
3.460000E+03	1.833588E-14	3.328206E-16
3.470000E+03	1.902309E-14	3.404340E-16
3.480000E+03	1.973073E-14	3.483430E-16
3.490000E+03	2.045063E-14	3.564600E-16
3.500000E+03	2.117340E-14	3.646900E-16
3.510000E+03	2.188752E-14	3.729134E-16
3.520000E+03	2.257972E-14	3.809875E-16
3.530000E+03	2.323531E-14	3.887438E-16
3.540000E+03	2.383975E-14	3.960036E-16
3.550000E+03	2.437790E-14	4.025547E-16
3.560000E+03	2.483516E-14	4.081615E-16
3.570000E+03	2.519963E-14	4.125993E-16
3.580000E+03	2.546208E-14	4.156577E-16
3.590000E+03	2.561664E-14	4.171618E-16
3.600000E+03	2.566137E-14	4.169936E-16
3.610000E+03	2.559956E-14	4.151293E-16
3.620000E+03	2.543820E-14	4.116235E-16
3.630000E+03	2.518797E-14	4.066179E-16
3.640000E+03	2.486379E-14	4.003498E-16
