#wls	flux	fluxerr
1.600000E+03	1.336343E-14	2.901789E-15
1.640000E+03	1.117519E-14	2.221167E-15
1.680000E+03	9.279192E-15	1.675276E-15
1.720000E+03	7.656960E-15	1.244652E-15
1.760000E+03	6.285142E-15	9.104810E-16
1.800000E+03	5.138999E-15	6.555345E-16
1.840000E+03	4.192481E-15	4.643474E-16
1.880000E+03	3.419893E-15	3.235191E-16
1.920000E+03	2.795361E-15	2.216604E-16
1.960000E+03	2.296401E-15	1.496411E-16
2.000000E+03	1.901877E-15	1.002408E-16
2.040000E+03	1.594104E-15	6.810772E-17
2.080000E+03	1.358037E-15	4.925632E-17
2.120000E+03	1.182114E-15	3.997668E-17
2.160000E+03	1.058511E-15	3.619096E-17
2.200000E+03	9.817311E-16	3.520928E-17
2.240000E+03	9.492542E-16	3.617069E-17
2.280000E+03	9.608847E-16	3.917382E-17
2.320000E+03	1.018007E-15	4.425621E-17
2.360000E+03	1.123538E-15	5.119759E-17
2.400000E+03	1.282963E-15	5.971443E-17
2.440000E+03	1.503847E-15	6.938633E-17
2.480000E+03	1.793865E-15	7.962227E-17
2.520000E+03	2.158033E-15	8.997951E-17
2.560000E+03	2.594531E-15	1.011948E-16
2.600000E+03	3.090562E-15	1.169501E-16
2.640000E+03	3.621126E-15	1.439076E-16
2.680000E+03	4.153834E-15	1.856470E-16
2.720000E+03	4.655965E-15	2.393711E-16
2.760000E+03	5.096217E-15	2.989404E-16
2.800000E+03	5.448287E-15	3.573377E-16
2.840000E+03	5.696790E-15	4.082374E-16
2.880000E+03	5.836873E-15	4.468073E-16
2.920000E+03	5.876007E-15	4.703828E-16
2.960000E+03	5.831895E-15	4.785621E-16
3.000000E+03	5.727285E-15	4.726968E-16
3.010000E+03	5.694836E-15	4.693359E-16
3.020000E+03	5.660500E-15	4.652948E-16
3.030000E+03	5.624979E-15	4.606472E-16
3.040000E+03	5.588439E-15	4.554243E-16
3.050000E+03	5.551387E-15	4.496859E-16
3.060000E+03	5.514151E-15	4.434777E-16
3.070000E+03	5.477209E-15	4.368575E-16
3.080000E+03	5.441021E-15	4.298807E-16
3.090000E+03	5.405729E-15	4.225772E-16
3.100000E+03	5.371774E-15	4.149994E-16
3.110000E+03	5.339578E-15	4.071966E-16
3.120000E+03	5.309404E-15	3.992046E-16
3.130000E+03	5.281511E-15	3.910569E-16
3.140000E+03	5.256421E-15	3.828047E-16
3.150000E+03	5.234235E-15	3.744660E-16
3.160000E+03	5.215190E-15	3.660669E-16
3.170000E+03	5.199900E-15	3.576577E-16
3.180000E+03	5.188328E-15	3.492402E-16
3.190000E+03	5.180943E-15	3.408491E-16
3.200000E+03	5.177836E-15	3.324914E-16
3.210000E+03	5.179463E-15	3.241952E-16
3.220000E+03	5.186033E-15	3.159701E-16
3.230000E+03	5.197761E-15	3.078242E-16
3.240000E+03	5.214977E-15	2.997700E-16
3.250000E+03	5.238010E-15	2.918178E-16
3.260000E+03	5.266969E-15	2.839634E-16
3.270000E+03	5.302192E-15	2.762141E-16
3.280000E+03	5.343909E-15	2.685700E-16
3.290000E+03	5.392461E-15	2.610358E-16
3.300000E+03	5.448084E-15	2.536104E-16
3.310000E+03	5.511016E-15	2.462928E-16
3.320000E+03	5.581598E-15	2.390873E-16
3.330000E+03	5.659856E-15	2.319861E-16
3.340000E+03	5.746324E-15	2.250050E-16
3.350000E+03	5.841004E-15	2.181408E-16
3.360000E+03	5.944082E-15	2.114027E-16
3.370000E+03	6.055819E-15	2.048081E-16
3.380000E+03	6.176227E-15	1.983732E-16
3.390000E+03	6.305268E-15	1.921229E-16
3.400000E+03	6.442945E-15	1.860955E-16
3.410000E+03	6.589080E-15	1.803388E-16
3.420000E+03	6.743616E-15	1.749211E-16
3.430000E+03	6.905976E-15	1.699156E-16
3.440000E+03	7.075786E-15	1.654205E-16
3.450000E+03	7.252450E-15	1.615455E-16
3.460000E+03	7.435154E-15	1.584054E-16
3.463990E+03	7.290842E-15	5.741030E-16
3.468660E+03	7.242305E-15	5.705525E-16
3.473330E+03	7.234727E-15	5.689208E-16
3.478000E+03	7.264617E-15	5.690144E-16
3.482670E+03	7.300852E-15	5.693879E-16
3.487340E+03	7.391069E-15	5.722152E-16
3.492010E+03	7.464450E-15	5.769712E-16
3.496680E+03	7.527664E-15	5.768513E-16
3.501350E+03	7.587061E-15	6.000820E-16
3.506020E+03	7.656932E-15	5.370814E-16
3.510690E+03	7.779832E-15	5.438328E-16
3.515360E+03	7.918921E-15	5.411775E-16
3.520030E+03	8.073883E-15	7.039281E-16
3.524700E+03	8.239000E-15	7.370349E-16
3.529370E+03	8.393629E-15	7.404687E-16
3.534041E+03	8.565718E-15	7.468150E-16
3.538711E+03	8.752406E-15	7.704504E-16
3.543381E+03	8.953375E-15	7.837385E-16
3.548051E+03	9.204192E-15	8.430982E-16
3.552721E+03	9.465161E-15	8.948890E-16
3.557391E+03	9.690869E-15	8.854053E-16
3.562061E+03	9.930537E-15	9.146234E-16
3.566731E+03	1.016607E-14	8.553435E-16
3.571401E+03	1.040634E-14	8.570383E-16
3.576071E+03	1.065391E-14	8.732525E-16
3.580741E+03	1.079668E-14	8.596693E-16
3.585412E+03	1.088799E-14	8.224210E-16
3.590081E+03	1.096881E-14	8.492644E-16
3.594752E+03	1.101470E-14	8.209929E-16
3.599422E+03	1.100691E-14	7.930520E-16
3.604092E+03	1.092830E-14	7.799498E-16
3.608762E+03	1.082429E-14	7.004431E-16
3.613432E+03	1.073774E-14	6.979270E-16
3.618102E+03	1.064959E-14	7.220339E-16
3.622772E+03	1.056207E-14	7.932147E-16
3.627442E+03	1.045073E-14	7.930157E-16
3.632112E+03	1.039368E-14	7.765150E-16
3.636782E+03	1.038552E-14	8.632873E-16
3.641452E+03	1.037797E-14	8.783407E-16
3.646122E+03	1.045646E-14	8.332517E-16
3.650793E+03	1.062699E-14	7.219672E-16
3.655463E+03	1.083337E-14	6.933615E-16
3.660133E+03	1.105402E-14	6.800818E-16
3.664803E+03	1.134638E-14	6.870427E-16
3.669473E+03	1.169649E-14	7.435690E-16
3.674143E+03	1.207767E-14	8.074913E-16
3.678813E+03	1.245120E-14	9.659978E-16
3.683483E+03	1.281581E-14	9.799913E-16
3.688153E+03	1.307374E-14	9.385784E-16
3.692823E+03	1.325834E-14	9.427514E-16
3.697493E+03	1.338864E-14	9.901388E-16
3.702163E+03	1.348497E-14	9.985839E-16
3.706834E+03	1.356921E-14	9.551066E-16
3.711504E+03	1.360076E-14	9.429379E-16
3.716174E+03	1.357962E-14	1.076504E-15
3.720844E+03	1.348803E-14	1.246178E-15
3.725514E+03	1.332219E-14	1.327307E-15
3.730184E+03	1.310938E-14	1.364488E-15
3.734854E+03	1.285439E-14	1.383718E-15
3.739524E+03	1.258228E-14	1.300401E-15
3.744194E+03	1.231080E-14	1.048639E-15
3.748864E+03	1.199715E-14	8.001660E-16
3.753534E+03	1.166036E-14	8.059839E-16
3.758204E+03	1.136704E-14	1.004887E-15
3.762874E+03	1.108515E-14	1.189414E-15
3.767544E+03	1.083151E-14	1.235286E-15
3.772215E+03	1.058866E-14	1.162283E-15
3.776885E+03	1.034646E-14	1.047263E-15
3.781555E+03	1.015818E-14	9.520002E-16
3.786225E+03	1.001905E-14	8.782988E-16
3.790895E+03	9.898319E-15	8.685097E-16
3.795565E+03	9.797562E-15	8.727405E-16
3.800235E+03	9.694585E-15	8.985100E-16
3.804905E+03	9.662619E-15	8.652866E-16
3.809575E+03	9.700066E-15	7.495484E-16
3.814245E+03	9.712771E-15	5.910685E-16
3.818915E+03	9.689963E-15	4.785082E-16
3.823585E+03	9.689329E-15	4.323511E-16
3.828256E+03	9.739072E-15	4.323569E-16
3.832926E+03	9.865482E-15	4.368879E-16
3.837596E+03	1.007361E-14	4.489758E-16
3.842266E+03	1.040749E-14	4.639598E-16
3.846936E+03	1.085156E-14	4.881317E-16
3.851606E+03	1.138900E-14	5.065414E-16
3.856276E+03	1.202391E-14	5.312262E-16
3.860946E+03	1.275722E-14	5.506841E-16
3.865616E+03	1.358035E-14	5.824483E-16
3.870286E+03	1.449517E-14	6.170452E-16
3.874956E+03	1.542755E-14	6.515909E-16
3.879626E+03	1.635405E-14	6.859332E-16
3.884296E+03	1.726265E-14	7.442358E-16
3.888966E+03	1.812452E-14	8.442014E-16
3.893637E+03	1.893777E-14	9.192487E-16
3.898307E+03	1.970559E-14	9.480780E-16
3.902977E+03	2.046754E-14	9.538029E-16
3.907647E+03	2.121950E-14	9.662913E-16
3.912317E+03	2.195293E-14	9.803233E-16
3.916987E+03	2.266689E-14	1.055197E-15
3.921657E+03	2.337054E-14	1.109626E-15
3.926327E+03	2.406136E-14	1.160272E-15
3.930997E+03	2.475073E-14	1.228523E-15
3.935667E+03	2.540797E-14	1.245322E-15
3.940337E+03	2.601886E-14	1.236454E-15
3.945007E+03	2.660965E-14	1.201464E-15
3.949677E+03	2.715947E-14	1.145403E-15
3.954348E+03	2.764905E-14	1.144516E-15
3.959018E+03	2.802846E-14	1.224514E-15
3.963688E+03	2.830691E-14	1.408532E-15
3.968358E+03	2.846640E-14	1.577322E-15
3.973028E+03	2.854458E-14	1.664602E-15
3.977698E+03	2.853864E-14	1.637088E-15
3.982368E+03	2.837310E-14	1.543151E-15
3.987038E+03	2.807644E-14	1.369412E-15
3.991708E+03	2.761904E-14	1.223428E-15
3.996378E+03	2.708684E-14	1.210203E-15
4.001048E+03	2.648746E-14	1.259306E-15
4.005718E+03	2.580105E-14	1.331788E-15
4.010389E+03	2.504310E-14	1.332728E-15
4.015059E+03	2.426573E-14	1.282217E-15
4.019729E+03	2.351535E-14	1.231488E-15
4.024399E+03	2.278659E-14	1.146259E-15
4.029069E+03	2.210846E-14	1.011655E-15
4.033739E+03	2.146582E-14	9.075817E-16
4.038409E+03	2.088135E-14	8.342347E-16
4.043079E+03	2.037649E-14	8.061603E-16
4.047749E+03	1.995814E-14	7.997704E-16
4.052419E+03	1.962657E-14	8.744770E-16
4.057089E+03	1.937355E-14	1.110767E-15
4.061759E+03	1.925169E-14	1.259151E-15
4.066429E+03	1.923193E-14	1.262443E-15
4.071099E+03	1.927830E-14	1.165625E-15
4.075770E+03	1.939675E-14	1.078445E-15
4.080440E+03	1.953843E-14	1.039885E-15
4.085110E+03	1.965261E-14	1.008563E-15
4.089780E+03	1.973208E-14	1.053507E-15
4.094450E+03	1.978061E-14	1.125753E-15
4.099120E+03	1.978061E-14	1.190435E-15
4.103790E+03	1.969402E-14	1.138206E-15
4.108460E+03	1.952686E-14	1.025367E-15
4.113130E+03	1.930214E-14	8.804958E-16
4.117800E+03	1.904159E-14	8.234695E-16
4.122470E+03	1.877261E-14	7.784309E-16
4.127140E+03	1.850808E-14	7.883459E-16
4.131810E+03	1.825712E-14	7.915989E-16
4.136481E+03	1.805650E-14	7.644673E-16
4.141151E+03	1.794485E-14	7.238546E-16
4.145821E+03	1.792335E-14	7.415619E-16
4.150491E+03	1.796779E-14	8.068576E-16
4.155161E+03	1.806429E-14	8.136272E-16
4.159831E+03	1.825772E-14	7.949610E-16
4.164501E+03	1.852072E-14	7.847714E-16
4.169171E+03	1.883722E-14	7.595189E-16
4.173841E+03	1.918648E-14	8.100667E-16
4.178511E+03	1.951734E-14	9.765296E-16
4.183181E+03	1.982950E-14	1.123358E-15
4.187851E+03	2.011670E-14	1.172266E-15
4.192521E+03	2.040496E-14	1.144829E-15
4.197192E+03	2.067110E-14	1.052769E-15
4.201862E+03	2.089569E-14	9.754457E-16
4.206532E+03	2.107343E-14	9.147240E-16
