spec_file	spec_mjd	kait3_B_fitflux	kait3_B_fitfluxerr	kait3_B_inrange	kait3_I_fitflux	kait3_I_fitfluxerr	kait3_I_inrange	kait3_R_fitflux	kait3_R_fitfluxerr	kait3_R_inrange	kait3_V_fitflux	kait3_V_fitfluxerr	kait3_V_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2005cf/2005cf_2005-05-31_00-00-00_TNG_DOLORES_SUSPECT.dat	53521.0	7.132982054111683e-15	2.731371527607246e-16	True	1.0545450706979727e-15	5.3984563774155946e-17	True	2.7571966730320876e-15	1.5184336769731135e-16	True	4.739805916844563e-15	1.6808291484826784e-16	True	1.3529718203911996e-14	6.5904169192935704e-15	False	8.744813987901146e-16	6.957160450442728e-15	False	7.260048346994295e-17	3.127966749349309e-16	False	-2.5809146422521804e-16	2.56033313825112e-15	False	8.229889573427812e-16	6.888547204776276e-16	False	6.339072437937893e-15	2.6546592376800068e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2005cf/2005cf_2005-06-01_00-00-00_Lick-3m_KAST_SUSPECT.dat	53522.0	1.0349114791645134e-14	1.289148886396771e-16	True	1.533607916829179e-15	2.3421715517792795e-17	True	3.958327236012912e-15	5.646169626313774e-17	True	6.416816622349594e-15	8.214989286568183e-17	True	1.606280817039657e-14	5.033824939856922e-15	False	3.1258344090312296e-15	5.315433919321568e-15	False	9.855856440041104e-17	2.754799321788303e-16	False	4.848242929273936e-16	1.9887958816260244e-15	False	1.0259908442787247e-15	5.4938991720882045e-16	False	7.667728592146816e-15	2.041385734404454e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2005cf/2005cf_2005-06-02_00-00-00_NOT_ALFOSC_SUSPECT.dat	53523.0	1.394541001941567e-14	2.292757893700583e-16	True	2.0439587522849774e-15	3.420681667515077e-17	True	5.226602236571255e-15	8.267908528922712e-17	True	8.260459569506224e-15	1.1865701936203005e-16	True	1.8984647728347446e-14	3.483159139598469e-15	False	6.059745199372679e-15	3.595806161889169e-15	False	1.2938100393631604e-16	2.3614358071469237e-16	False	1.4707213934863009e-15	1.3856006393064313e-15	False	1.2669378391574986e-15	4.0653279403487957e-16	False	9.154280150811094e-15	1.451056662315229e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2005cf/2005cf_2005-06-03_00-00-00_Lick-3m_KAST_SUSPECT.dat	53524.0	1.7928425742897175e-14	4.934583879388721e-16	True	2.577994466309306e-15	6.959283829186717e-17	True	6.532128004762564e-15	1.6870866548344352e-16	True	1.0229863913192328e-14	2.429951102576636e-16	True	2.234959765066055e-14	2.0328149669557537e-15	True	9.834604637596585e-15	1.9080013013710935e-15	True	1.6582743623252372e-16	1.9561607293521444e-16	False	2.7581195755653052e-15	7.891993584686289e-16	True	1.5521510660425418e-15	2.6920688171055145e-16	True	1.0814535585381941e-14	9.154078366546555e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2005cf/2005cf_2005-06-04_00-00-00_Lick-3m_KAST_SUSPECT.dat	53525.0	2.213218708825699e-14	7.078189478538118e-16	True	3.112343580052461e-15	9.466218478191804e-17	True	7.839561182274139e-15	2.315410142105118e-16	True	1.2267828984200603e-14	3.4243379582393497e-16	True	2.6219219464713058e-14	9.534328165607651e-16	True	1.464164552319204e-14	6.354117592574161e-16	True	2.087661534744669e-16	1.5548244369159507e-16	False	4.418010347870734e-15	3.341574151321413e-16	True	1.888939884370426e-15	1.619469485192606e-16	True	1.266575834599655e-14	5.157332801745925e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2005cf/2005cf_2005-06-05_00-00-00_TNG_DOLORES_SUSPECT.dat	53526.0	2.639175166189998e-14	8.386621940319386e-16	True	3.622749528908131e-15	1.0645174985192831e-16	True	9.110941270732845e-15	2.6522721258412717e-16	True	1.4318167203037463e-14	4.030450990852423e-16	True	3.066824114402684e-14	7.675837685819049e-16	True	2.0428365877948414e-14	6.261961590846728e-16	True	2.591888633002045e-16	1.1886543578665134e-16	True	6.458443525829863e-15	3.130707585945998e-16	True	2.278541613754006e-15	1.3086365828451426e-16	True	1.4691798834599016e-14	4.0288382857447313e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2005cf/2005cf_2005-06-06_00-00-00_ESO-NTT_EMMI_SUSPECT.dat	53527.0	3.0542977567724686e-14	8.783067329073453e-16	True	4.084795919848538e-15	1.060999065495022e-16	True	1.0307833596945794e-14	2.7075992092078665e-16	True	1.6324910548581677e-14	4.2213834517406294e-16	True	3.55766908211229e-14	1.012125494181465e-15	True	2.5989426858765623e-14	8.246303153455003e-16	True	3.18227383017314e-16	9.18115110166933e-17	True	8.563390343732007e-15	4.3253277442323046e-16	True	2.692210696821917e-15	1.5714346541160646e-16	True	1.6737034328032826e-14	4.877900960284367e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2005cf/2005cf_2005-06-08_00-00-00_NOT_ALFOSC_SUSPECT.dat	53529.0	3.787226212425155e-14	7.335936025973433e-16	True	4.772256460837289e-15	8.64502269780053e-17	True	1.2333323438435832e-14	2.218609306775688e-16	True	1.9988168035224388e-14	3.553334296283265e-16	True	4.3476907682358e-14	1.533686846511483e-15	True	3.393415586533642e-14	1.5639668592440267e-15	True	4.672636618383322e-16	7.519570836140204e-17	True	1.200225719585204e-14	7.017598548335976e-16	True	3.4749271181497524e-15	2.1197709305392558e-16	True	2.046497480437961e-14	6.52033848232467e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2005cf/SN2005cf_2005-06-09_06-28-48_FLWO-1.5m_FAST_CfA-Ia.flm	53530.27	4.1433816708324796e-14	5.201851156496187e-16	True	5.018979094801998e-15	6.193293670958333e-17	True	1.33161445567442e-14	1.6027380295043158e-16	True	2.193950933925454e-14	2.5895521041000084e-16	True	4.662944017837967e-14	1.2701295951254857e-15	True	3.7004472242579206e-14	1.1332316650917392e-15	True	5.875116622346012e-16	7.058991813842951e-17	True	1.3311583147807051e-14	6.006511910399517e-16	True	3.862421745312576e-15	2.0003158534107787e-16	True	2.23754080134979e-14	5.907710105318616e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2005cf/SN2005cf_2005-06-10_08-09-36_FLWO-1.5m_FAST_CfA-Ia.flm	53531.34	4.3543181614225445e-14	3.555151449557346e-16	True	5.11408316289819e-15	3.95329573051977e-17	True	1.3956508593567726e-14	1.1567496613139443e-16	True	2.3288790224154067e-14	1.8526936143362512e-16	True	4.8084840245759746e-14	1.4025383129396204e-15	True	3.851774100605645e-14	1.2076628745917334e-15	True	7.014278963553803e-16	7.273787656236185e-17	True	1.3724457127721245e-14	5.353171991940749e-16	True	4.074481643878619e-15	1.9470557387269964e-16	True	2.3607357401651846e-14	5.6288002927177635e-16	True
