MJD	kait3_B	kait3_B_err	kait3_I	kait3_I_err	kait3_R	kait3_R_err	kait3_V	kait3_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
53516.68	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53516.73	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53516.780000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53516.83000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53516.88000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53516.930000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53516.98000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.03000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.08000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.13000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.18000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.23000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.280000000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.33000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.38000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.430000000044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.48000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.53000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.58000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.630000000056	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.68000000006	nan	nan	nan	nan	nan	nan	2.525465812260697e-16	4.7544710539427716e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.73000000006	nan	nan	nan	nan	nan	nan	3.116805372971551e-16	4.77905880350075e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.780000000064	nan	nan	nan	nan	nan	nan	3.7098880097117106e-16	4.977621269629896e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.83000000007	nan	nan	nan	nan	nan	nan	4.3047507924078024e-16	5.3183234057469704e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.88000000007	nan	nan	nan	nan	nan	nan	4.901430798446367e-16	5.764943788588715e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.93000000007	nan	nan	nan	nan	nan	nan	5.499965112829389e-16	6.285091949908923e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53517.980000000076	nan	nan	nan	nan	nan	nan	6.100390828320782e-16	6.853293013090639e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.03000000008	nan	nan	nan	nan	nan	nan	6.702745045620004e-16	7.450771250885217e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.08000000008	nan	nan	nan	nan	nan	nan	7.307064873468752e-16	8.064068763833159e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.130000000085	nan	nan	nan	nan	nan	nan	7.913387428869791e-16	8.68360697794146e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.18000000009	nan	nan	nan	nan	nan	nan	8.521749837199074e-16	9.302541432897368e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.23000000009	nan	nan	nan	nan	nan	nan	9.132189232314254e-16	9.915936326724818e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.28000000009	nan	nan	nan	nan	nan	nan	9.744742756822336e-16	1.0520192696942516e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.330000000096	nan	nan	nan	nan	nan	nan	1.0359447562152013e-15	1.1112657265156229e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.3800000001	nan	nan	nan	nan	nan	nan	1.097634080868207e-15	1.1691354625352408e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.4300000001	nan	nan	nan	nan	nan	nan	1.1595459666009033e-15	1.2254802440220542e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.480000000105	nan	nan	nan	nan	nan	nan	1.221684131296345e-15	1.2801882468226337e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.53000000011	nan	nan	-3.5657594254810143e-17	1.272454087309003e-16	nan	nan	1.2840522937861267e-15	1.3331749383319566e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.58000000011	nan	nan	-1.5209597251797153e-17	1.2499804999857055e-16	nan	nan	1.3466541738603286e-15	1.3843765438210869e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.630000000114	nan	nan	5.313745668723919e-18	1.2280166853419365e-16	nan	nan	1.409493492287411e-15	1.4337453008208894e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.68000000012	nan	nan	2.591264250857172e-17	1.2065708770867464e-16	nan	nan	1.472573970825606e-15	1.4812459665538272e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.73000000012	nan	nan	4.658730177838985e-17	1.1856509724543763e-16	nan	nan	1.5358993322397371e-15	1.5268532143825143e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.78000000012	nan	nan	6.733793250165996e-17	1.165264463822629e-16	nan	nan	1.5994733003158685e-15	1.5705496687579335e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.830000000125	nan	nan	8.816474421313301e-17	1.1454183650091543e-16	nan	nan	1.663299599880835e-15	1.6123244044840122e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.88000000013	nan	nan	1.0906794677999079e-16	1.12611912814146e-16	nan	nan	1.7273819568082105e-15	1.6521717868313254e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.93000000013	nan	nan	1.3004750791565371e-16	1.1073669436175676e-16	5.139037570805164e-16	4.16399137089803e-16	1.7917240980443506e-15	1.6900905650242083e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53518.980000000134	nan	nan	1.5110267479552478e-16	1.089144607492718e-16	5.649432595031279e-16	4.0874472141018245e-16	1.856329751617977e-15	1.7260831552953774e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.03000000014	1.3326266421591203e-15	8.598605718784833e-16	1.7223256179198577e-16	1.0714311676111292e-16	6.161259263872603e-16	4.011485851640107e-16	1.921202646656091e-15	1.7601550673501507e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.08000000014	1.471244321250356e-15	8.391913364833901e-16	1.9343628378099e-16	1.0542050703031637e-16	6.674520603443108e-16	3.9361155851494037e-16	1.986346513399166e-15	1.792314439684803e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.13000000014	1.6103262774403666e-15	8.188075294523965e-16	2.1471295613469257e-16	1.0374442235151344e-16	7.189219645589675e-16	3.861344822819646e-16	2.0517650832183276e-15	1.8225716583531606e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.180000000146	1.7498736833258819e-15	7.98715202687239e-16	2.360616947159417e-16	1.021126063865967e-16	7.7053594278005315e-16	3.787182075097171e-16	2.1174620886296397e-15	1.8509390396006225e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.23000000015	1.889887714145232e-15	7.789205155729873e-16	2.5748161587233195e-16	1.0052276270351068e-16	8.222942993349126e-16	3.713635949432625e-16	2.1834412633094778e-15	1.877430561580286e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.28000000015	2.030369547775776e-15	7.594297238700225e-16	2.789718364292725e-16	9.897256208723154e-17	8.741973391132817e-16	3.6407151439276213e-16	2.2497063421079104e-15	1.9020616336918505e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.330000000155	2.1713203647467645e-15	7.4024916573199005e-16	3.0053147368345653e-16	9.745965005448625e-17	9.26245367587778e-16	3.568428439715922e-16	2.316261061069858e-15	1.9248488945060158e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.38000000016	2.3127413482303392e-15	7.213852443326598e-16	3.221596453985568e-16	9.59816545070256e-17	9.7843869079777e-16	3.496784691979847e-16	2.383109331513545e-15	1.9458077975142168e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.43000000016	2.4546336780660786e-15	7.028443920435728e-16	3.4385546979639624e-16	9.453619345278105e-17	1.030777615367687e-15	3.4257928193511383e-16	2.4502560074918255e-15	1.9649426202591189e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.48000000016	2.596997264043249e-15	6.846299681794586e-16	3.6561806555340946e-16	9.312088272967805e-17	1.0832624484874023e-15	3.3554617915210266e-16	2.5177062611557857e-15	1.982254424589761e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.530000000166	2.739829179051892e-15	6.667384418158749e-16	3.8744655179188674e-16	9.173334366604563e-17	1.1358934979287975e-15	3.2858006148563324e-16	2.585465266165494e-15	1.9977451039423515e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.58000000017	2.883126114412902e-15	6.491653789858418e-16	4.0934004807581507e-16	9.037121061605908e-17	1.1886710720418407e-15	3.2168183157092774e-16	2.6535381974637637e-15	2.0114173756879255e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.63000000017	3.026884764069473e-15	6.319064072263434e-16	4.312976744038734e-16	8.903213831521492e-17	1.2415954797585099e-15	3.1485239212167606e-16	2.7219302312985767e-15	2.0232747740927223e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.680000000175	3.1711018245729465e-15	6.149572483362082e-16	4.533185512024646e-16	8.771380900212802e-17	1.2946670305871245e-15	3.080926437181952e-16	2.7906465452512947e-15	2.0333216465715866e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.73000000018	3.3157739950506412e-15	5.983137527428149e-16	4.754017993213738e-16	8.641393926336992e-17	1.3478860412376638e-15	3.014034765109747e-16	2.8596923182475125e-15	2.0415631527994277e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.78000000018	3.4608979772135775e-15	5.819719354178252e-16	4.975465400255963e-16	8.513028656266805e-17	1.4012536296427933e-15	2.9478507570934195e-16	2.9290727305888847e-15	2.0480052668022285e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.830000000184	3.606470475290852e-15	5.659280133350876e-16	5.197518949907772e-16	8.386065542288981e-17	1.454772469295429e-15	2.8823626351348644e-16	2.9987929639647007e-15	2.0526547815981996e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.88000000019	3.752488196059232e-15	5.501784443868317e-16	5.42016986295368e-16	8.260290323692239e-17	1.5084454129443775e-15	2.8175570072337944e-16	3.0688582014855224e-15	2.0555193164282e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.93000000019	3.8989478487878296e-15	5.347199676630731e-16	5.643409364166493e-16	8.135494569158006e-17	1.5622753139409446e-15	2.7534204585520073e-16	3.139273627690237e-15	2.056607326636388e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53519.98000000019	4.045846145235526e-15	5.195496449848515e-16	5.8672286822241335e-16	8.011476179322259e-17	1.6162650262576832e-15	2.6899395877609195e-16	3.210044428580779e-15	2.0559281160733211e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53520.030000000195	4.1931797996239524e-15	5.046649035067204e-16	6.091619049657829e-16	7.88803984930756e-17	1.670417404502342e-15	2.6271010450137006e-16	3.281175791634971e-15	2.0534918522341608e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53520.0800000002	4.340945528619475e-15	4.900635791888935e-16	6.316571702790464e-16	7.764997491623424e-17	1.7247353039183036e-15	2.5648915716753813e-16	3.3526729058284065e-15	2.0493095841743198e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53520.1300000002	4.489140051319042e-15	4.757439608294384e-16	6.542077881673092e-16	7.642168620229503e-17	1.779221580405945e-15	2.503298041855929e-16	3.424540961664288e-15	2.0433932634074766e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53520.180000000204	4.6377600892193e-15	4.617048342945163e-16	6.768128830022919e-16	7.5193806973139e-17	1.8338790905269976e-15	2.4423075059327294e-16	3.4967851511828325e-15	2.0357557680495147e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53520.23000000021	4.786802366199873e-15	4.479455264844071e-16	6.994715795163107e-16	7.396469444721508e-17	1.8887106915206794e-15	2.3819072361448237e-16	3.5694106679936416e-15	2.0264109304462765e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53520.28000000021	4.936263608516922e-15	4.3446594837862453e-16	7.221830027959659e-16	7.273279122526682e-17	1.9437192413119756e-15	2.322084774497531e-16	3.642422707288364e-15	2.0153735686600186e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
