#wls	flux	fluxerr	mangling_mask
3.258959E+03	1.329216E-14	2.213150E-15	3.998966E+00
3.263488E+03	1.280863E-14	2.202540E-15	3.998199E+00
3.268017E+03	1.244080E-14	2.194475E-15	3.997428E+00
3.272546E+03	1.202353E-14	2.185796E-15	3.996654E+00
3.277076E+03	1.167795E-14	2.178670E-15	3.995877E+00
3.281605E+03	1.136405E-14	2.172306E-15	3.995096E+00
3.286134E+03	1.110938E-14	1.832462E-15	3.994312E+00
3.290663E+03	1.103491E-14	1.863902E-15	3.993525E+00
3.295192E+03	1.098082E-14	1.827340E-15	3.992734E+00
3.299722E+03	1.095787E-14	1.375804E-15	3.991940E+00
3.304251E+03	1.111733E-14	1.697712E-15	3.991142E+00
3.308780E+03	1.138045E-14	1.897671E-15	3.990341E+00
3.313309E+03	1.152537E-14	2.047585E-15	3.989536E+00
3.317838E+03	1.185689E-14	1.817844E-15	3.988729E+00
3.322367E+03	1.223972E-14	1.429064E-15	3.987917E+00
3.326896E+03	1.252708E-14	1.303908E-15	3.987103E+00
3.331426E+03	1.279518E-14	1.240335E-15	3.986284E+00
3.335955E+03	1.310898E-14	1.572244E-15	3.985463E+00
3.340484E+03	1.348322E-14	1.671000E-15	3.984637E+00
3.345013E+03	1.382939E-14	1.653066E-15	3.983809E+00
3.349542E+03	1.417541E-14	1.733857E-15	3.982977E+00
3.354072E+03	1.453959E-14	1.679038E-15	3.982141E+00
3.358601E+03	1.482000E-14	1.659620E-15	3.981302E+00
3.363130E+03	1.500792E-14	1.589903E-15	3.980459E+00
3.367659E+03	1.524510E-14	1.445156E-15	3.979613E+00
3.372188E+03	1.552354E-14	1.432912E-15	3.978763E+00
3.376717E+03	1.552021E-14	1.366583E-15	3.977910E+00
3.381247E+03	1.561391E-14	1.398203E-15	3.977053E+00
3.385776E+03	1.567097E-14	1.643140E-15	3.976193E+00
3.390305E+03	1.573435E-14	1.649660E-15	3.975329E+00
3.394834E+03	1.588354E-14	1.757439E-15	3.974462E+00
3.399363E+03	1.612046E-14	2.081739E-15	3.973591E+00
3.403892E+03	1.639619E-14	2.096490E-15	3.972716E+00
3.408422E+03	1.667894E-14	2.052482E-15	3.971838E+00
3.412951E+03	1.698298E-14	1.933309E-15	3.970956E+00
3.417480E+03	1.731268E-14	1.952171E-15	3.970071E+00
3.422009E+03	1.763587E-14	2.009216E-15	3.969182E+00
3.426538E+03	1.792555E-14	1.958494E-15	3.968289E+00
3.431067E+03	1.815955E-14	1.964375E-15	3.967393E+00
