#wls	flux	fluxerr
1.565382E+03	2.209357E-02	2.396222E-04
1.604516E+03	2.259342E-02	2.447003E-04
1.643651E+03	2.310472E-02	2.498783E-04
1.682785E+03	2.363115E-02	2.551948E-04
1.721920E+03	2.418076E-02	2.607350E-04
1.761054E+03	2.474528E-02	2.664079E-04
1.800189E+03	2.533291E-02	2.723000E-04
1.839323E+03	2.594796E-02	2.784556E-04
1.878458E+03	2.658609E-02	2.848257E-04
1.917592E+03	2.726056E-02	2.915500E-04
1.956727E+03	2.796706E-02	2.985793E-04
1.995862E+03	2.871481E-02	3.060089E-04
2.034996E+03	2.951344E-02	3.139378E-04
2.074131E+03	3.035846E-02	3.223138E-04
2.113265E+03	3.126441E-02	3.312871E-04
2.152400E+03	3.224144E-02	3.409596E-04
2.191534E+03	3.328464E-02	3.512733E-04
2.230669E+03	3.438838E-02	3.621631E-04
2.269803E+03	3.556178E-02	3.737191E-04
2.308938E+03	3.678763E-02	3.857539E-04
2.348072E+03	3.807388E-02	3.983451E-04
2.387207E+03	3.940679E-02	4.113431E-04
2.426341E+03	4.078228E-02	4.246993E-04
2.465476E+03	4.219547E-02	4.383580E-04
2.504611E+03	4.363517E-02	4.521977E-04
2.543745E+03	4.510023E-02	4.662020E-04
2.582880E+03	4.658317E-02	4.802895E-04
2.622014E+03	4.807003E-02	4.943124E-04
2.661149E+03	4.955699E-02	5.082286E-04
2.700283E+03	5.103929E-02	5.219870E-04
2.739418E+03	5.251679E-02	5.355837E-04
2.778552E+03	5.398260E-02	5.489469E-04
2.817687E+03	5.539548E-02	5.616565E-04
2.856821E+03	5.674676E-02	5.736275E-04
2.895956E+03	5.800508E-02	5.845471E-04
2.935090E+03	5.916070E-02	5.943239E-04
2.944874E+03	5.942685E-02	5.965230E-04
2.954658E+03	5.969307E-02	5.987167E-04
2.964441E+03	5.994839E-02	6.007947E-04
2.974225E+03	6.019790E-02	6.028082E-04
2.984009E+03	6.043600E-02	6.047016E-04
2.993792E+03	6.066778E-02	6.065258E-04
3.003576E+03	6.089296E-02	6.082780E-04
3.013360E+03	6.111126E-02	6.099559E-04
3.023143E+03	6.131718E-02	6.115046E-04
3.032927E+03	6.152091E-02	6.130259E-04
3.042710E+03	6.171691E-02	6.144648E-04
3.052494E+03	6.189977E-02	6.157675E-04
3.062278E+03	6.207953E-02	6.170341E-04
3.072061E+03	6.225072E-02	6.182106E-04
3.081845E+03	6.241307E-02	6.192943E-04
3.091629E+03	6.256631E-02	6.202828E-04
3.101412E+03	6.271516E-02	6.212230E-04
3.111196E+03	6.285427E-02	6.220622E-04
3.120980E+03	6.298835E-02	6.228469E-04
3.130763E+03	6.311699E-02	6.235736E-04
3.140547E+03	6.323496E-02	6.241905E-04
3.150330E+03	6.334683E-02	6.247431E-04
3.160114E+03	6.345707E-02	6.252756E-04
3.169898E+03	6.355564E-02	6.256889E-04
3.179681E+03	6.365177E-02	6.260745E-04
3.189465E+03	6.374500E-02	6.264277E-04
3.199249E+03	6.383016E-02	6.266979E-04
3.209032E+03	6.391155E-02	6.269275E-04
3.218816E+03	6.398408E-02	6.270665E-04
3.228600E+03	6.405654E-02	6.272016E-04
3.238383E+03	6.412834E-02	6.273267E-04
3.248167E+03	6.419440E-02	6.273923E-04
3.257950E+03	6.425870E-02	6.274374E-04
3.267734E+03	6.432067E-02	6.274564E-04
3.277518E+03	6.437969E-02	6.274436E-04
3.287301E+03	6.443954E-02	6.274355E-04
3.297085E+03	6.449950E-02	6.274253E-04
3.306869E+03	6.455886E-02	6.274061E-04
3.316652E+03	6.462535E-02	6.274530E-04
3.326436E+03	6.468966E-02	6.274754E-04
3.336220E+03	6.475522E-02	6.275066E-04
3.346003E+03	6.482939E-02	6.276179E-04
3.355787E+03	6.490705E-02	6.277595E-04
3.365570E+03	6.499129E-02	6.279611E-04
3.375354E+03	6.508104E-02	6.282123E-04
3.385138E+03	6.518313E-02	6.285788E-04
3.394921E+03	6.529246E-02	6.290110E-04
3.404705E+03	6.541173E-02	6.295348E-04
3.414489E+03	6.554357E-02	6.301752E-04
3.424272E+03	6.568674E-02	6.309198E-04
3.434056E+03	6.584739E-02	6.318275E-04
3.443839E+03	6.602049E-02	6.328494E-04
3.453623E+03	6.620846E-02	6.340083E-04
3.463407E+03	6.641361E-02	6.353259E-04
3.473190E+03	6.663468E-02	6.367897E-04
3.482974E+03	6.687054E-02	6.383885E-04
3.492758E+03	6.711683E-02	6.400802E-04
3.502541E+03	6.737955E-02	6.419215E-04
3.512325E+03	6.765137E-02	6.438424E-04
3.522109E+03	6.793201E-02	6.458398E-04
3.531892E+03	6.822142E-02	6.479130E-04
3.541676E+03	6.851979E-02	6.500635E-04
3.551459E+03	6.882755E-02	6.522952E-04
3.561243E+03	6.913927E-02	6.545563E-04
3.571027E+03	6.946214E-02	6.569148E-04
3.580810E+03	6.979139E-02	6.593251E-04
3.590594E+03	7.013152E-02	6.618296E-04
3.600378E+03	7.048135E-02	6.644168E-04
3.610161E+03	7.084281E-02	6.671046E-04
3.619945E+03	7.121519E-02	6.698860E-04
3.629729E+03	7.160079E-02	6.727821E-04
3.639512E+03	7.200462E-02	6.758397E-04
3.649296E+03	7.242360E-02	6.790292E-04
3.659079E+03	7.286014E-02	6.823729E-04
3.668863E+03	7.331659E-02	6.858921E-04
3.678647E+03	7.379516E-02	6.896067E-04
3.688430E+03	7.429533E-02	6.935115E-04
3.698214E+03	7.481902E-02	6.976233E-04
3.707998E+03	7.536783E-02	7.019567E-04
3.717781E+03	7.594070E-02	7.065007E-04
3.727565E+03	7.653869E-02	7.112645E-04
3.737349E+03	7.716023E-02	7.162327E-04
3.747132E+03	7.780582E-02	7.214093E-04
3.756916E+03	7.847570E-02	7.267956E-04
3.766699E+03	7.916984E-02	7.323906E-04
3.776483E+03	7.988340E-02	7.381490E-04
3.786267E+03	8.061833E-02	7.440879E-04
3.796050E+03	8.137408E-02	7.502016E-04
3.805834E+03	8.214554E-02	7.564424E-04
3.815618E+03	8.293208E-02	7.628041E-04
3.825401E+03	8.373519E-02	7.692998E-04
3.835185E+03	8.454973E-02	7.758817E-04
3.844969E+03	8.537711E-02	7.825625E-04
3.854752E+03	8.621222E-02	7.892951E-04
3.864536E+03	8.705430E-02	7.960720E-04
3.874319E+03	8.790458E-02	8.029045E-04
3.884103E+03	8.875791E-02	8.097452E-04
3.893887E+03	8.961328E-02	8.165849E-04
3.903670E+03	9.046958E-02	8.234133E-04
3.913454E+03	9.132548E-02	8.302184E-04
3.923238E+03	9.217542E-02	8.369496E-04
3.933021E+03	9.301980E-02	8.436110E-04
3.942805E+03	9.385266E-02	8.501487E-04
3.952589E+03	9.467606E-02	8.565815E-04
3.962372E+03	9.548163E-02	8.628343E-04
3.972156E+03	9.627099E-02	8.689225E-04
3.981939E+03	9.703763E-02	8.747876E-04
3.991723E+03	9.777894E-02	8.804072E-04
4.001507E+03	9.849233E-02	8.857586E-04
4.011290E+03	9.917328E-02	8.908023E-04
4.021074E+03	9.981932E-02	8.955173E-04
4.030858E+03	1.004283E-01	8.998857E-04
4.040641E+03	1.009979E-01	9.038876E-04
4.050425E+03	1.015227E-01	9.074753E-04
4.060208E+03	1.020043E-01	9.106665E-04
4.069992E+03	1.024379E-01	9.134174E-04
4.079776E+03	1.028234E-01	9.157315E-04
4.089559E+03	1.031581E-01	9.175840E-04
4.099343E+03	1.034406E-01	9.189654E-04
4.109127E+03	1.036700E-01	9.198694E-04
4.118910E+03	1.038471E-01	9.203045E-04
4.128694E+03	1.039677E-01	9.202363E-04
4.138478E+03	1.040350E-01	9.196933E-04
4.148261E+03	1.040471E-01	9.186619E-04
4.158045E+03	1.040025E-01	9.171310E-04
4.167828E+03	1.039073E-01	9.151553E-04
4.177612E+03	1.037593E-01	9.127175E-04
4.187396E+03	1.035634E-01	9.098626E-04
4.197179E+03	1.033182E-01	9.065801E-04
4.206963E+03	1.030314E-01	9.029384E-04
4.216747E+03	1.027035E-01	8.989441E-04
4.226530E+03	1.023392E-01	8.946391E-04
4.236314E+03	1.019411E-01	8.900481E-04
4.246098E+03	1.015151E-01	8.852238E-04
4.255881E+03	1.010621E-01	8.801741E-04
4.265665E+03	1.005876E-01	8.749477E-04
4.275448E+03	1.000949E-01	8.695748E-04
4.285232E+03	9.958606E-02	8.640745E-04
4.295016E+03	9.906425E-02	8.584735E-04
4.304799E+03	9.853290E-02	8.528025E-04
4.314583E+03	9.799404E-02	8.470792E-04
4.324367E+03	9.745409E-02	8.413592E-04
4.334150E+03	9.691232E-02	8.356364E-04
4.343934E+03	9.637517E-02	8.299660E-04
4.353718E+03	9.584350E-02	8.243555E-04
4.363501E+03	9.531977E-02	8.188255E-04
4.373285E+03	9.480530E-02	8.133874E-04
4.383068E+03	9.430311E-02	8.080665E-04
4.392852E+03	9.381508E-02	8.028786E-04
4.402636E+03	9.334340E-02	7.978418E-04
4.412419E+03	9.288906E-02	7.929641E-04
4.422203E+03	9.245693E-02	7.882866E-04
4.431987E+03	9.204914E-02	7.838263E-04
4.441770E+03	9.166629E-02	7.795879E-04
4.451554E+03	9.131106E-02	7.755932E-04
4.461338E+03	9.098440E-02	7.718493E-04
4.471121E+03	9.068782E-02	7.683681E-04
4.480905E+03	9.041980E-02	7.651358E-04
4.490688E+03	9.018171E-02	7.621631E-04
4.500472E+03	8.997188E-02	7.594348E-04
4.510256E+03	8.978681E-02	7.569206E-04
4.520039E+03	8.962592E-02	7.546149E-04
4.529823E+03	8.948686E-02	7.524971E-04
4.539607E+03	8.936455E-02	7.505237E-04
4.549390E+03	8.925806E-02	7.486866E-04
4.559174E+03	8.916052E-02	7.469277E-04
4.568958E+03	8.907163E-02	7.452440E-04
4.578741E+03	8.898434E-02	7.435766E-04
4.588525E+03	8.889833E-02	7.419227E-04
4.598308E+03	8.880793E-02	7.402349E-04
4.608092E+03	8.871002E-02	7.384876E-04
4.617876E+03	8.860397E-02	7.366755E-04
4.627659E+03	8.848643E-02	7.347713E-04
4.637443E+03	8.835666E-02	7.327692E-04
4.647227E+03	8.821344E-02	7.306595E-04
4.657010E+03	8.805505E-02	7.284283E-04
