#wls	flux	fluxerr
1.565382E+03	9.912290E-03	2.871222E-04
1.604516E+03	1.013115E-02	2.930138E-04
1.643651E+03	1.035370E-02	2.989813E-04
1.682785E+03	1.058147E-02	3.050676E-04
1.721920E+03	1.081423E-02	3.112641E-04
1.761054E+03	1.105169E-02	3.175612E-04
1.800189E+03	1.129354E-02	3.239481E-04
1.839323E+03	1.153941E-02	3.304123E-04
1.878458E+03	1.178888E-02	3.369402E-04
1.917592E+03	1.204346E-02	3.435732E-04
1.956727E+03	1.230068E-02	3.502388E-04
1.995862E+03	1.256404E-02	3.570348E-04
2.034996E+03	1.282889E-02	3.638273E-04
2.074131E+03	1.309658E-02	3.706529E-04
2.113265E+03	1.336642E-02	3.774897E-04
2.152400E+03	1.363973E-02	3.843740E-04
2.191534E+03	1.391572E-02	3.912812E-04
2.230669E+03	1.419131E-02	3.981226E-04
2.269803E+03	1.446764E-02	4.049295E-04
2.308938E+03	1.474592E-02	4.117334E-04
2.348072E+03	1.502504E-02	4.185018E-04
2.387207E+03	1.530155E-02	4.251369E-04
2.426341E+03	1.557637E-02	4.316635E-04
2.465476E+03	1.585044E-02	4.381066E-04
2.504611E+03	1.612004E-02	4.443619E-04
2.543745E+03	1.638822E-02	4.505129E-04
2.582880E+03	1.665109E-02	4.564516E-04
2.622014E+03	1.690699E-02	4.621322E-04
2.661149E+03	1.715874E-02	4.676324E-04
2.700283E+03	1.740226E-02	4.728400E-04
2.739418E+03	1.764021E-02	4.778285E-04
2.778552E+03	1.786614E-02	4.824229E-04
2.817687E+03	1.808484E-02	4.867544E-04
2.856821E+03	1.829203E-02	4.907088E-04
2.895956E+03	1.848789E-02	4.942923E-04
2.935090E+03	1.867035E-02	4.974520E-04
2.944874E+03	1.871513E-02	4.982094E-04
2.954658E+03	1.875755E-02	4.988999E-04
2.964441E+03	1.879974E-02	4.995807E-04
2.974225E+03	1.883954E-02	5.001937E-04
2.984009E+03	1.888118E-02	5.008518E-04
2.993792E+03	1.892037E-02	5.014410E-04
3.003576E+03	1.895707E-02	5.019603E-04
3.013360E+03	1.899550E-02	5.025215E-04
3.023143E+03	1.903139E-02	5.030119E-04
3.032927E+03	1.906683E-02	5.034866E-04
3.042710E+03	1.910176E-02	5.039441E-04
3.052494E+03	1.913617E-02	5.043839E-04
3.062278E+03	1.916794E-02	5.047508E-04
3.072061E+03	1.920118E-02	5.051525E-04
3.081845E+03	1.923173E-02	5.054800E-04
3.091629E+03	1.926162E-02	5.057864E-04
3.101412E+03	1.928878E-02	5.060178E-04
3.111196E+03	1.931726E-02	5.062802E-04
3.120980E+03	1.934296E-02	5.064664E-04
3.130763E+03	1.936987E-02	5.066811E-04
3.140547E+03	1.939397E-02	5.068187E-04
3.150330E+03	2.651468E-02	6.922260E-04
3.155222E+03	2.600568E-02	6.786047E-04
3.160114E+03	2.553166E-02	6.659080E-04
3.165006E+03	2.490182E-02	6.491606E-04
3.169898E+03	2.426624E-02	6.322793E-04
3.174790E+03	2.377523E-02	6.191788E-04
3.179681E+03	2.349965E-02	6.116979E-04
3.184573E+03	2.314072E-02	6.020551E-04
3.189465E+03	2.274615E-02	5.914942E-04
3.194357E+03	2.264339E-02	5.885275E-04
3.199249E+03	2.245732E-02	5.833984E-04
3.204140E+03	2.231539E-02	5.794196E-04
3.209032E+03	2.231332E-02	5.790738E-04
3.213924E+03	2.194965E-02	5.693479E-04
3.218816E+03	2.170452E-02	5.627042E-04
3.223708E+03	2.164543E-02	5.608871E-04
3.228600E+03	2.150112E-02	5.568639E-04
3.233491E+03	2.146493E-02	5.556428E-04
3.238383E+03	2.141095E-02	5.539618E-04
3.243275E+03	2.145102E-02	5.547135E-04
3.248167E+03	2.119802E-02	5.478892E-04
3.253059E+03	2.075652E-02	5.362011E-04
3.257950E+03	2.099004E-02	5.419534E-04
3.262842E+03	2.115969E-02	5.460503E-04
3.267734E+03	2.147876E-02	5.539963E-04
3.272626E+03	2.154007E-02	5.552883E-04
3.277518E+03	2.163164E-02	5.573575E-04
3.282410E+03	2.177483E-02	5.607533E-04
3.287301E+03	2.127898E-02	5.476963E-04
3.292193E+03	2.088610E-02	5.373010E-04
3.297085E+03	2.093648E-02	5.383130E-04
3.301977E+03	2.073563E-02	5.328669E-04
3.306869E+03	2.060771E-02	5.292989E-04
3.311760E+03	2.036204E-02	5.227111E-04
3.316652E+03	2.011797E-02	5.161704E-04
3.321544E+03	1.990763E-02	5.105009E-04
3.326436E+03	1.949376E-02	4.996201E-04
3.331328E+03	1.891186E-02	4.844460E-04
3.336220E+03	1.853313E-02	4.744890E-04
3.341111E+03	1.842736E-02	4.715266E-04
3.346003E+03	1.874837E-02	4.794813E-04
3.350895E+03	1.831024E-02	4.680226E-04
3.355787E+03	1.810416E-02	4.625037E-04
3.360679E+03	1.791403E-02	4.573972E-04
3.365570E+03	1.807956E-02	4.613716E-04
3.370462E+03	1.843293E-02	4.701319E-04
3.375354E+03	1.879001E-02	4.789764E-04
3.380246E+03	1.905958E-02	4.855807E-04
3.385138E+03	1.939010E-02	4.937291E-04
3.390029E+03	1.998210E-02	5.085221E-04
3.394921E+03	2.038993E-02	5.186136E-04
3.399813E+03	2.083375E-02	5.296078E-04
3.404705E+03	2.117563E-02	5.379990E-04
3.409597E+03	2.111983E-02	5.362819E-04
3.414489E+03	2.126828E-02	5.397494E-04
3.419380E+03	2.137015E-02	5.420307E-04
3.424272E+03	2.127656E-02	5.393537E-04
3.429164E+03	2.126719E-02	5.388125E-04
3.434056E+03	2.119497E-02	5.366799E-04
3.438948E+03	2.115140E-02	5.352733E-04
3.443839E+03	2.084750E-02	5.272835E-04
3.448731E+03	2.066729E-02	5.224284E-04
3.453623E+03	2.047439E-02	5.172572E-04
3.458515E+03	2.048970E-02	5.173485E-04
3.463407E+03	2.048881E-02	5.170299E-04
3.468299E+03	2.036210E-02	5.135375E-04
3.473190E+03	2.039165E-02	5.139868E-04
3.478082E+03	2.015151E-02	5.076411E-04
3.482974E+03	1.980155E-02	4.985370E-04
3.487866E+03	1.965642E-02	4.945964E-04
3.492758E+03	1.954716E-02	4.915617E-04
3.497649E+03	1.932086E-02	4.855881E-04
3.502541E+03	1.921860E-02	4.827362E-04
3.507433E+03	1.926742E-02	4.836798E-04
3.512325E+03	1.924243E-02	4.827692E-04
3.517217E+03	1.921737E-02	4.818573E-04
3.522109E+03	1.937415E-02	4.855025E-04
3.527000E+03	1.942466E-02	4.864813E-04
3.531892E+03	1.948236E-02	4.876379E-04
3.536784E+03	1.956166E-02	4.893324E-04
3.541676E+03	1.973284E-02	4.933213E-04
3.546568E+03	1.979048E-02	4.944678E-04
3.551459E+03	1.990758E-02	4.970969E-04
3.556351E+03	2.010041E-02	5.016117E-04
3.561243E+03	2.033473E-02	5.071552E-04
3.566135E+03	2.040855E-02	5.086904E-04
3.571027E+03	2.040115E-02	5.081999E-04
3.575919E+03	2.043518E-02	5.087406E-04
3.580810E+03	2.041865E-02	5.080216E-04
3.585702E+03	2.047607E-02	5.091414E-04
3.590594E+03	2.054427E-02	5.105271E-04
3.595486E+03	2.062147E-02	5.121335E-04
3.600378E+03	2.070585E-02	5.139154E-04
3.605269E+03	2.081549E-02	5.163210E-04
3.610161E+03	2.093052E-02	5.188560E-04
3.615053E+03	2.103288E-02	5.210734E-04
3.619945E+03	2.110992E-02	5.226600E-04
3.624837E+03	2.115076E-02	5.233483E-04
3.629729E+03	2.114998E-02	5.230057E-04
3.634620E+03	2.109854E-02	5.214104E-04
3.639512E+03	2.099278E-02	5.184747E-04
3.644404E+03	2.090863E-02	5.160751E-04
3.649296E+03	2.080811E-02	5.132740E-04
3.654188E+03	2.086847E-02	5.144412E-04
3.659079E+03	2.068641E-02	5.096339E-04
3.663971E+03	2.066885E-02	5.088819E-04
3.668863E+03	2.058068E-02	5.063924E-04
3.673755E+03	2.044175E-02	5.026572E-04
3.678647E+03	2.046377E-02	5.028810E-04
3.683539E+03	2.042058E-02	5.015022E-04
3.688430E+03	2.019091E-02	4.955472E-04
3.693322E+03	2.003171E-02	4.913277E-04
3.698214E+03	2.002991E-02	4.909707E-04
3.703106E+03	2.007511E-02	4.917647E-04
3.707998E+03	2.029948E-02	4.969431E-04
3.712889E+03	2.055280E-02	5.028222E-04
3.717781E+03	2.067209E-02	5.054158E-04
3.722673E+03	2.071708E-02	5.061900E-04
3.727565E+03	2.097751E-02	5.122229E-04
3.732457E+03	2.126689E-02	5.189533E-04
3.737349E+03	2.159245E-02	5.265567E-04
3.742240E+03	2.226396E-02	5.425802E-04
3.747132E+03	2.267280E-02	5.521845E-04
3.752024E+03	2.299644E-02	5.597020E-04
3.756916E+03	2.337801E-02	5.686177E-04
3.761808E+03	2.373599E-02	5.769472E-04
3.766699E+03	2.399424E-02	5.828425E-04
3.771591E+03	2.437745E-02	5.917623E-04
3.776483E+03	2.464825E-02	5.979425E-04
3.781375E+03	2.490086E-02	6.036723E-04
3.786267E+03	2.511171E-02	6.083820E-04
3.791159E+03	2.545112E-02	6.161970E-04
3.796050E+03	2.589374E-02	6.264977E-04
3.800942E+03	2.612787E-02	6.317428E-04
3.805834E+03	2.639452E-02	6.377653E-04
3.810726E+03	2.649979E-02	6.398820E-04
3.815618E+03	2.658682E-02	6.415546E-04
3.820509E+03	2.651065E-02	6.392884E-04
3.825401E+03	2.641806E-02	6.366283E-04
3.830293E+03	2.625287E-02	6.322225E-04
3.835185E+03	2.615100E-02	6.293453E-04
3.840077E+03	2.621392E-02	6.304343E-04
3.844969E+03	2.629848E-02	6.320403E-04
3.849860E+03	2.627056E-02	6.309420E-04
3.854752E+03	2.638387E-02	6.332336E-04
3.859644E+03	2.639558E-02	6.330843E-04
3.864536E+03	2.636551E-02	6.319326E-04
3.869428E+03	2.646215E-02	6.338162E-04
3.874319E+03	2.692098E-02	6.443654E-04
3.879211E+03	2.715320E-02	6.494788E-04
3.884103E+03	2.731099E-02	6.528051E-04
3.888995E+03	2.751030E-02	6.571174E-04
3.893887E+03	2.760622E-02	6.589546E-04
3.898779E+03	2.787042E-02	6.648024E-04
3.903670E+03	2.803304E-02	6.682194E-04
3.908562E+03	2.825344E-02	6.730071E-04
3.913454E+03	2.841935E-02	6.764899E-04
3.918346E+03	2.863578E-02	6.811683E-04
3.923238E+03	2.887737E-02	6.864372E-04
3.928129E+03	2.914049E-02	6.922091E-04
3.933021E+03	2.956267E-02	7.017476E-04
3.937913E+03	3.004977E-02	7.128111E-04
3.942805E+03	3.028508E-02	7.178897E-04
3.947697E+03	3.050389E-02	7.225691E-04
3.952589E+03	3.081656E-02	7.294625E-04
3.957480E+03	3.116334E-02	7.371518E-04
