#wls	flux	fluxerr
1.565382E+03	2.386928E-02	3.167226E-04
1.604516E+03	2.489936E-02	3.300177E-04
1.643651E+03	2.598655E-02	3.440291E-04
1.682785E+03	2.713171E-02	3.587645E-04
1.721920E+03	2.833717E-02	3.742503E-04
1.761054E+03	2.960483E-02	3.905076E-04
1.800189E+03	3.092455E-02	4.073978E-04
1.839323E+03	3.229610E-02	4.249139E-04
1.878458E+03	3.370978E-02	4.429242E-04
1.917592E+03	3.515570E-02	4.612947E-04
1.956727E+03	3.662657E-02	4.799264E-04
1.995862E+03	3.813267E-02	4.989507E-04
2.034996E+03	3.970581E-02	5.187790E-04
2.074131E+03	4.140092E-02	5.401221E-04
2.113265E+03	4.328640E-02	5.638619E-04
2.152400E+03	4.538865E-02	5.903277E-04
2.191534E+03	4.768435E-02	6.192006E-04
2.230669E+03	5.011798E-02	6.497461E-04
2.269803E+03	5.263178E-02	6.812043E-04
2.308938E+03	5.518766E-02	7.130746E-04
2.348072E+03	5.776607E-02	7.450986E-04
2.387207E+03	6.035954E-02	7.771748E-04
2.426341E+03	6.297532E-02	8.093920E-04
2.465476E+03	6.561573E-02	8.417746E-04
2.504611E+03	6.828878E-02	8.744198E-04
2.543745E+03	7.099383E-02	9.073132E-04
2.582880E+03	7.373139E-02	9.404551E-04
2.622014E+03	7.649513E-02	9.737587E-04
2.661149E+03	7.927705E-02	1.007117E-03
2.700283E+03	8.206769E-02	1.040403E-03
2.739418E+03	8.485368E-02	1.073445E-03
2.778552E+03	8.762071E-02	1.106058E-03
2.817687E+03	9.035855E-02	1.138111E-03
2.856821E+03	9.305135E-02	1.169403E-03
2.895956E+03	9.569513E-02	1.199885E-03
2.935090E+03	9.827825E-02	1.229412E-03
2.944874E+03	9.891656E-02	1.236669E-03
2.954658E+03	9.954923E-02	1.243844E-03
2.964441E+03	1.001758E-01	1.250931E-03
2.974225E+03	1.008009E-01	1.257988E-03
2.984009E+03	1.014227E-01	1.264991E-03
2.993792E+03	1.020416E-01	1.271945E-03
3.003576E+03	1.026594E-01	1.278873E-03
3.013360E+03	1.032731E-01	1.285740E-03
3.023143E+03	1.038826E-01	1.292541E-03
3.032927E+03	1.044914E-01	1.299322E-03
3.042710E+03	1.050949E-01	1.306023E-03
3.052494E+03	1.056947E-01	1.312668E-03
3.062278E+03	1.062884E-01	1.319224E-03
3.072061E+03	1.068819E-01	1.325766E-03
3.081845E+03	1.074685E-01	1.332210E-03
3.091629E+03	1.080500E-01	1.338578E-03
3.101412E+03	1.086281E-01	1.344893E-03
3.111196E+03	1.092025E-01	1.351150E-03
3.120980E+03	1.097688E-01	1.357295E-03
3.130763E+03	1.103329E-01	1.363401E-03
3.140547E+03	1.108907E-01	1.369416E-03
3.150330E+03	1.114437E-01	1.375362E-03
3.160114E+03	1.119899E-01	1.381212E-03
3.169898E+03	1.125312E-01	1.386988E-03
3.179681E+03	1.130674E-01	1.392692E-03
3.189465E+03	1.135984E-01	1.398318E-03
3.199249E+03	1.141223E-01	1.403846E-03
3.209032E+03	1.146409E-01	1.409298E-03
3.218816E+03	1.151542E-01	1.414673E-03
3.228600E+03	1.156604E-01	1.419950E-03
3.238383E+03	1.161615E-01	1.425152E-03
3.248167E+03	1.166556E-01	1.430258E-03
3.257950E+03	1.171447E-01	1.435292E-03
3.267734E+03	1.176273E-01	1.440234E-03
3.277518E+03	1.181034E-01	1.445086E-03
3.287301E+03	1.185734E-01	1.449853E-03
3.297085E+03	1.190376E-01	1.454538E-03
3.306869E+03	1.194961E-01	1.459143E-03
3.316652E+03	1.199478E-01	1.463653E-03
3.326436E+03	1.190872E-01	1.452152E-03
3.331328E+03	1.194364E-01	1.455908E-03
3.336220E+03	1.198049E-01	1.459895E-03
3.341111E+03	1.201637E-01	1.463760E-03
3.346003E+03	1.203679E-01	1.465738E-03
3.350895E+03	1.208037E-01	1.470534E-03
3.355787E+03	1.209982E-01	1.472388E-03
3.360679E+03	1.215884E-01	1.479054E-03
3.365570E+03	1.221689E-01	1.485597E-03
3.370462E+03	1.227978E-01	1.492721E-03
3.375354E+03	1.235426E-01	1.501248E-03
3.380246E+03	1.240074E-01	1.506366E-03
3.385138E+03	1.245397E-01	1.512300E-03
3.390029E+03	1.248014E-01	1.514944E-03
3.394921E+03	1.246280E-01	1.512305E-03
3.399813E+03	1.243674E-01	1.508609E-03
3.404705E+03	1.241840E-01	1.505851E-03
3.409597E+03	1.239616E-01	1.502621E-03
3.414489E+03	1.236907E-01	1.498804E-03
3.419380E+03	1.237292E-01	1.498736E-03
3.424272E+03	1.240384E-01	1.501945E-03
3.429164E+03	1.245895E-01	1.508079E-03
3.434056E+03	1.248212E-01	1.510343E-03
3.438948E+03	1.248205E-01	1.509793E-03
3.443839E+03	1.248294E-01	1.509358E-03
3.448731E+03	1.249060E-01	1.509742E-03
3.453623E+03	1.249147E-01	1.509302E-03
3.458515E+03	1.246908E-01	1.506053E-03
3.463407E+03	1.246798E-01	1.505376E-03
3.468299E+03	1.247463E-01	1.505633E-03
3.473190E+03	1.247835E-01	1.505537E-03
3.478082E+03	1.249370E-01	1.506841E-03
3.482974E+03	1.254102E-01	1.511998E-03
3.487866E+03	1.259320E-01	1.517736E-03
3.492758E+03	1.262986E-01	1.521599E-03
3.497649E+03	1.273537E-01	1.533750E-03
3.502541E+03	1.274490E-01	1.534335E-03
3.507433E+03	1.278157E-01	1.538186E-03
3.512325E+03	1.282989E-01	1.543434E-03
3.517217E+03	1.287432E-01	1.548210E-03
3.522109E+03	1.287316E-01	1.547500E-03
3.527000E+03	1.289044E-01	1.549005E-03
3.531892E+03	1.288052E-01	1.547242E-03
3.536784E+03	1.287448E-01	1.545943E-03
3.541676E+03	1.286164E-01	1.543829E-03
3.546568E+03	1.284587E-01	1.541364E-03
3.551459E+03	1.282717E-01	1.538549E-03
3.556351E+03	1.283857E-01	1.539343E-03
3.561243E+03	1.282763E-01	1.537457E-03
3.566135E+03	1.283610E-01	1.537899E-03
3.571027E+03	1.288926E-01	1.543691E-03
3.575919E+03	1.290259E-01	1.544709E-03
3.580810E+03	1.293925E-01	1.548516E-03
3.585702E+03	1.294674E-01	1.548831E-03
3.590594E+03	1.295618E-01	1.549377E-03
3.595486E+03	1.297145E-01	1.550619E-03
3.600378E+03	1.296434E-01	1.549186E-03
3.605269E+03	1.295432E-01	1.547404E-03
3.610161E+03	1.296860E-01	1.548524E-03
3.615053E+03	1.296342E-01	1.547319E-03
3.619945E+03	1.297186E-01	1.547740E-03
3.624837E+03	1.297835E-01	1.547926E-03
3.629729E+03	1.299066E-01	1.548806E-03
3.634620E+03	1.293778E-01	1.541914E-03
3.639512E+03	1.297345E-01	1.545576E-03
3.644404E+03	1.300133E-01	1.548307E-03
3.649296E+03	1.298736E-01	1.546052E-03
3.654188E+03	1.299382E-01	1.546229E-03
3.659079E+03	1.302658E-01	1.549533E-03
3.663971E+03	1.302720E-01	1.549012E-03
3.668863E+03	1.304046E-01	1.549994E-03
3.673755E+03	1.304205E-01	1.549586E-03
3.678647E+03	1.311085E-01	1.557162E-03
3.683539E+03	1.311925E-01	1.557559E-03
3.688430E+03	1.312765E-01	1.557955E-03
3.693322E+03	1.312338E-01	1.556846E-03
3.698214E+03	1.310059E-01	1.553540E-03
3.703106E+03	1.313140E-01	1.556590E-03
3.707998E+03	1.317585E-01	1.561255E-03
3.712889E+03	1.319497E-01	1.562913E-03
3.717781E+03	1.321213E-01	1.564337E-03
3.722673E+03	1.323125E-01	1.565991E-03
3.727565E+03	1.322988E-01	1.565219E-03
3.732457E+03	1.327240E-01	1.569637E-03
3.737349E+03	1.331884E-01	1.574514E-03
3.742240E+03	1.337991E-01	1.581115E-03
3.747132E+03	1.343026E-01	1.586444E-03
3.752024E+03	1.344159E-01	1.587159E-03
3.756916E+03	1.348023E-01	1.591098E-03
3.761808E+03	1.351986E-01	1.595149E-03
3.766699E+03	1.359268E-01	1.603111E-03
3.771591E+03	1.363134E-01	1.607037E-03
3.776483E+03	1.368173E-01	1.612343E-03
3.781375E+03	1.372138E-01	1.616377E-03
