#wls	flux	fluxerr
1.565382E+03	5.929397E-03	1.588866E-04
1.604516E+03	6.044850E-03	1.618534E-04
1.643651E+03	6.159243E-03	1.647835E-04
1.682785E+03	6.272230E-03	1.676677E-04
1.721920E+03	6.383308E-03	1.704923E-04
1.761054E+03	6.491435E-03	1.732293E-04
1.800189E+03	6.595259E-03	1.758428E-04
1.839323E+03	6.692008E-03	1.782588E-04
1.878458E+03	6.782167E-03	1.804906E-04
1.917592E+03	6.863118E-03	1.824688E-04
1.956727E+03	6.934648E-03	1.841882E-04
1.995862E+03	7.000633E-03	1.857521E-04
2.034996E+03	7.065961E-03	1.872905E-04
2.074131E+03	7.144269E-03	1.891642E-04
2.113265E+03	7.245363E-03	1.916312E-04
2.152400E+03	7.374960E-03	1.948403E-04
2.191534E+03	7.526448E-03	1.986141E-04
2.230669E+03	7.694156E-03	2.028008E-04
2.269803E+03	7.866299E-03	2.070880E-04
2.308938E+03	8.036287E-03	2.113017E-04
2.348072E+03	8.203129E-03	2.154156E-04
2.387207E+03	8.361435E-03	2.192881E-04
2.426341E+03	8.514821E-03	2.230144E-04
2.465476E+03	8.660841E-03	2.265305E-04
2.504611E+03	8.802591E-03	2.299177E-04
2.543745E+03	8.937780E-03	2.331163E-04
2.582880E+03	9.068148E-03	2.361719E-04
2.622014E+03	9.194014E-03	2.390928E-04
2.661149E+03	9.315672E-03	2.418869E-04
2.700283E+03	9.433371E-03	2.445608E-04
2.739418E+03	9.547341E-03	2.471204E-04
2.778552E+03	9.659268E-03	2.496095E-04
2.817687E+03	9.768024E-03	2.519987E-04
2.856821E+03	9.873960E-03	2.542973E-04
2.895956E+03	9.977486E-03	2.565157E-04
2.935090E+03	1.007913E-02	2.586675E-04
2.944874E+03	1.010530E-02	2.592221E-04
2.954658E+03	1.013124E-02	2.597695E-04
2.964441E+03	1.015550E-02	2.602729E-04
2.974225E+03	1.018101E-02	2.608069E-04
2.984009E+03	1.020784E-02	2.613735E-04
2.993792E+03	1.023322E-02	2.619021E-04
3.003576E+03	1.025859E-02	2.624290E-04
3.013360E+03	1.028536E-02	2.629906E-04
3.023143E+03	1.031066E-02	2.635133E-04
3.032927E+03	1.033735E-02	2.640706E-04
3.042710E+03	1.036400E-02	2.646253E-04
3.052494E+03	1.039204E-02	2.652144E-04
3.062278E+03	1.041862E-02	2.657650E-04
3.072061E+03	1.044517E-02	2.663135E-04
3.081845E+03	1.047314E-02	2.668969E-04
3.091629E+03	1.050110E-02	2.674788E-04
3.101412E+03	1.052907E-02	2.680597E-04
3.111196E+03	1.055707E-02	2.686400E-04
3.120980E+03	1.058512E-02	2.692202E-04
3.130763E+03	1.061323E-02	2.698007E-04
3.140547E+03	1.064285E-02	2.704182E-04
3.150330E+03	1.067116E-02	2.710011E-04
3.160114E+03	1.070103E-02	2.716222E-04
3.169898E+03	1.073106E-02	2.722461E-04
3.179681E+03	1.076128E-02	2.728735E-04
3.189465E+03	1.079315E-02	2.735411E-04
3.199249E+03	1.082385E-02	2.741776E-04
3.209032E+03	1.085627E-02	2.748563E-04
3.218816E+03	1.088758E-02	2.755054E-04
3.228600E+03	1.092067E-02	2.761980E-04
3.238383E+03	1.095415E-02	2.768991E-04
3.248167E+03	1.098807E-02	2.776097E-04
3.257950E+03	1.102388E-02	2.783665E-04
3.267734E+03	1.105879E-02	2.790988E-04
3.277518E+03	1.109566E-02	2.798793E-04
3.287301E+03	1.113314E-02	2.806733E-04
3.297085E+03	1.116981E-02	2.814453E-04
