#wls	flux	fluxerr
1.565382E+03	2.070134E-17	3.821070E-19
1.604516E+03	2.108118E-17	3.891158E-19
1.643651E+03	2.144347E-17	3.958004E-19
1.682785E+03	2.179070E-17	4.022072E-19
1.721920E+03	2.211687E-17	4.082249E-19
1.761054E+03	2.241722E-17	4.137660E-19
1.800189E+03	2.268385E-17	4.186845E-19
1.839323E+03	2.290692E-17	4.227989E-19
1.878458E+03	2.307942E-17	4.259798E-19
1.917592E+03	2.318303E-17	4.278892E-19
1.956727E+03	2.322169E-17	4.285995E-19
1.995862E+03	2.320618E-17	4.283101E-19
2.034996E+03	2.316489E-17	4.275447E-19
2.074131E+03	2.317163E-17	4.276659E-19
2.113265E+03	2.330171E-17	4.300632E-19
2.152400E+03	2.361481E-17	4.358384E-19
2.191534E+03	2.412686E-17	4.452853E-19
2.230669E+03	2.479699E-17	4.576494E-19
2.269803E+03	2.556443E-17	4.718089E-19
2.308938E+03	2.637191E-17	4.867073E-19
2.348072E+03	2.718458E-17	5.017011E-19
2.387207E+03	2.797206E-17	5.162296E-19
2.426341E+03	2.874100E-17	5.304157E-19
2.465476E+03	2.947676E-17	5.439889E-19
2.504611E+03	3.019298E-17	5.572013E-19
2.543745E+03	3.088446E-17	5.699568E-19
2.582880E+03	3.157249E-17	5.826482E-19
2.622014E+03	3.224635E-17	5.950779E-19
2.661149E+03	3.292182E-17	6.075368E-19
2.700283E+03	3.359797E-17	6.200078E-19
2.739418E+03	3.427899E-17	6.325686E-19
2.778552E+03	3.497483E-17	6.454023E-19
2.817687E+03	3.567763E-17	6.583640E-19
2.856821E+03	3.640320E-17	6.717456E-19
2.895956E+03	3.715581E-17	6.856257E-19
2.935090E+03	3.792707E-17	6.998495E-19
2.944874E+03	3.812906E-17	7.035747E-19
2.954658E+03	3.832652E-17	7.072163E-19
2.964441E+03	3.852592E-17	7.108937E-19
2.974225E+03	3.873391E-17	7.147295E-19
2.984009E+03	3.893789E-17	7.184912E-19
2.993792E+03	3.915127E-17	7.224264E-19
