#wls	flux	fluxerr
1.565382E+03	1.949840E-17	7.645585E-19
1.604516E+03	1.985264E-17	7.784296E-19
1.643651E+03	2.019419E-17	7.918019E-19
1.682785E+03	2.051838E-17	8.044923E-19
1.721920E+03	2.082311E-17	8.164183E-19
1.761054E+03	2.110394E-17	8.274067E-19
1.800189E+03	2.135729E-17	8.373162E-19
1.839323E+03	2.156642E-17	8.454910E-19
1.878458E+03	2.172852E-17	8.518213E-19
1.917592E+03	2.183023E-17	8.557833E-19
1.956727E+03	2.186760E-17	8.572224E-19
1.995862E+03	2.185467E-17	8.566892E-19
2.034996E+03	2.181816E-17	8.552309E-19
2.074131E+03	2.182766E-17	8.555758E-19
2.113265E+03	2.195413E-17	8.605048E-19
2.152400E+03	2.225786E-17	8.723804E-19
2.191534E+03	2.274235E-17	8.913390E-19
2.230669E+03	2.338096E-17	9.163362E-19
2.269803E+03	2.411273E-17	9.449816E-19
2.308938E+03	2.488384E-17	9.751663E-19
2.348072E+03	2.565712E-17	1.005433E-18
2.387207E+03	2.641738E-17	1.035186E-18
2.426341E+03	2.715295E-17	1.063970E-18
2.465476E+03	2.786381E-17	1.091782E-18
2.504611E+03	2.855344E-17	1.118759E-18
2.543745E+03	2.923177E-17	1.145291E-18
2.582880E+03	2.989400E-17	1.171189E-18
2.622014E+03	3.055532E-17	1.197048E-18
2.661149E+03	3.122072E-17	1.223064E-18
2.700283E+03	3.188392E-17	1.248991E-18
2.739418E+03	3.255982E-17	1.275413E-18
2.778552E+03	3.324128E-17	1.302049E-18
2.817687E+03	3.394913E-17	1.329715E-18
2.856821E+03	3.467006E-17	1.357891E-18
2.895956E+03	3.541357E-17	1.386947E-18
2.935090E+03	3.618971E-17	1.417278E-18
2.944874E+03	3.638839E-17	1.425042E-18
2.954658E+03	3.658908E-17	1.432884E-18
2.964441E+03	3.679181E-17	1.440806E-18
2.974225E+03	3.699675E-17	1.448814E-18
2.984009E+03	3.720425E-17	1.456923E-18
2.993792E+03	3.741469E-17	1.465146E-18
3.003576E+03	3.762804E-17	1.473483E-18
3.013360E+03	3.784428E-17	1.481933E-18
3.023143E+03	3.806341E-17	1.490496E-18
3.032927E+03	3.828574E-17	1.499184E-18
3.042710E+03	3.851055E-17	1.507969E-18
3.052494E+03	3.873925E-17	1.516905E-18
3.062278E+03	3.897175E-17	1.525990E-18
3.072061E+03	3.920795E-17	1.535220E-18
3.081845E+03	3.944778E-17	1.544592E-18
3.091629E+03	3.969788E-17	1.554366E-18
3.101412E+03	3.994488E-17	1.564018E-18
3.111196E+03	4.019541E-17	1.573808E-18
3.120980E+03	4.044944E-17	1.583734E-18
3.130763E+03	4.070697E-17	1.593797E-18
3.140547E+03	4.096800E-17	1.603998E-18
3.150330E+03	4.123949E-17	1.614607E-18
3.160114E+03	4.150766E-17	1.625086E-18
3.169898E+03	4.177944E-17	1.635706E-18
3.179681E+03	4.205486E-17	1.646468E-18
3.189465E+03	4.233399E-17	1.657375E-18
3.199249E+03	4.262402E-17	1.668708E-18
3.209032E+03	4.291080E-17	1.679914E-18
3.218816E+03	4.320150E-17	1.691274E-18
3.228600E+03	4.349622E-17	1.702790E-18
3.238383E+03	4.380235E-17	1.714752E-18
3.248167E+03	4.410541E-17	1.726594E-18
3.257950E+03	4.441278E-17	1.738604E-18
3.267734E+03	4.472457E-17	1.750787E-18
3.277518E+03	4.504839E-17	1.763441E-18
3.287301E+03	4.536942E-17	1.775985E-18
3.297085E+03	4.569524E-17	1.788716E-18
3.306869E+03	4.603362E-17	1.801938E-18
3.316652E+03	4.636946E-17	1.815061E-18
3.326436E+03	4.671050E-17	1.828386E-18
3.336220E+03	4.706470E-17	1.842227E-18
3.346003E+03	4.741664E-17	1.855978E-18
3.355787E+03	4.777423E-17	1.869950E-18
3.365570E+03	4.814561E-17	1.884462E-18
3.375354E+03	4.851506E-17	1.898898E-18
3.385138E+03	4.889066E-17	1.913574E-18
3.394921E+03	4.928074E-17	1.928816E-18
3.404705E+03	4.966924E-17	1.943996E-18
3.414489E+03	5.007270E-17	1.959761E-18
3.424272E+03	5.047482E-17	1.975473E-18
3.434056E+03	5.088402E-17	1.991462E-18
3.443839E+03	5.130896E-17	2.008066E-18
3.453623E+03	5.173298E-17	2.024634E-18
3.463407E+03	5.217327E-17	2.041839E-18
3.473190E+03	5.261293E-17	2.059017E-18
3.482974E+03	5.306945E-17	2.076855E-18
3.492758E+03	5.352563E-17	2.094680E-18
3.502541E+03	5.399038E-17	2.112840E-18
3.512325E+03	5.447288E-17	2.131693E-18
3.522109E+03	5.495555E-17	2.150553E-18
3.531892E+03	5.545661E-17	2.170131E-18
3.541676E+03	5.595819E-17	2.189730E-18
3.551459E+03	5.647882E-17	2.210073E-18
3.561243E+03	5.700035E-17	2.230451E-18
3.571027E+03	5.754163E-17	2.251602E-18
3.580810E+03	5.808420E-17	2.272802E-18
3.590594E+03	5.849520E-17	2.288853E-18
3.595486E+03	5.857523E-17	2.291969E-18
3.600378E+03	5.839365E-17	2.284849E-18
3.605269E+03	5.820467E-17	2.277439E-18
3.610161E+03	5.686165E-17	2.224874E-18
3.615053E+03	5.485918E-17	2.146508E-18
3.619945E+03	5.460654E-17	2.136608E-18
3.624837E+03	5.357155E-17	2.096097E-18
3.629729E+03	5.320194E-17	2.081622E-18
3.634620E+03	5.298053E-17	2.072945E-18
3.639512E+03	5.071834E-17	1.984420E-18
3.644404E+03	5.014724E-17	1.962061E-18
3.649296E+03	4.909722E-17	1.920965E-18
3.654188E+03	5.005907E-17	1.958585E-18
3.659079E+03	5.224009E-17	2.043905E-18
3.663971E+03	5.370804E-17	2.101325E-18
3.668863E+03	5.500906E-17	2.152213E-18
3.673755E+03	5.360528E-17	2.097276E-18
3.678647E+03	5.404944E-17	2.114639E-18
3.683539E+03	5.406927E-17	2.115401E-18
3.688430E+03	5.468436E-17	2.139451E-18
3.693322E+03	5.581702E-17	2.183750E-18
3.698214E+03	5.710183E-17	2.234001E-18
3.703106E+03	6.003024E-17	2.348554E-18
3.707998E+03	6.171253E-17	2.414353E-18
3.712889E+03	6.551141E-17	2.562958E-18
3.717781E+03	6.743981E-17	2.638384E-18
3.722673E+03	6.936148E-17	2.713545E-18
3.727565E+03	7.027329E-17	2.749199E-18
3.732457E+03	7.117279E-17	2.784370E-18
3.737349E+03	7.231003E-17	2.828841E-18
3.742240E+03	7.318492E-17	2.863048E-18
3.747132E+03	7.345007E-17	2.873402E-18
3.752024E+03	7.407113E-17	2.897678E-18
3.756916E+03	7.455836E-17	2.916719E-18
3.761808E+03	7.494759E-17	2.931926E-18
3.766699E+03	7.392912E-17	2.892065E-18
3.771591E+03	7.345123E-17	2.873351E-18
3.776483E+03	7.201179E-17	2.817022E-18
3.781375E+03	7.102632E-17	2.778453E-18
3.786267E+03	7.041472E-17	2.754510E-18
3.791159E+03	6.970679E-17	2.726798E-18
3.796050E+03	7.074104E-17	2.767237E-18
3.800942E+03	7.090754E-17	2.773732E-18
3.805834E+03	7.178383E-17	2.807992E-18
3.810726E+03	7.250288E-17	2.836100E-18
3.815618E+03	7.339680E-17	2.871048E-18
3.820509E+03	7.326469E-17	2.865861E-18
3.825401E+03	7.351148E-17	2.875496E-18
3.830293E+03	7.282056E-17	2.848450E-18
3.835185E+03	7.153127E-17	2.798000E-18
3.840077E+03	7.254899E-17	2.837790E-18
3.844969E+03	7.344851E-17	2.872956E-18
3.849860E+03	7.543845E-17	2.950773E-18
3.854752E+03	7.553269E-17	2.954440E-18
3.859644E+03	7.457794E-17	2.917075E-18
3.864536E+03	7.537701E-17	2.948311E-18
3.869428E+03	7.608210E-17	2.975870E-18
3.874319E+03	7.829949E-17	3.062581E-18
3.879211E+03	7.900128E-17	3.090010E-18
3.884103E+03	7.964614E-17	3.115212E-18
3.888995E+03	7.996138E-17	3.127521E-18
3.893887E+03	8.049221E-17	3.148263E-18
3.898779E+03	8.114749E-17	3.173872E-18
3.903670E+03	8.038814E-17	3.144151E-18
3.908562E+03	8.177211E-17	3.198260E-18
3.913454E+03	8.079929E-17	3.160190E-18
3.918346E+03	8.003859E-17	3.130417E-18
3.923238E+03	8.007013E-17	3.131630E-18
