#wls	flux	fluxerr
1.600000E+03	1.845018E-16	2.921805E-18
1.640000E+03	1.902359E-16	3.010171E-18
1.680000E+03	1.963084E-16	3.103691E-18
1.720000E+03	2.027236E-16	3.202415E-18
1.760000E+03	2.095022E-16	3.306649E-18
1.800000E+03	2.166805E-16	3.416949E-18
1.840000E+03	2.242205E-16	3.532692E-18
1.880000E+03	2.321721E-16	3.654642E-18
1.920000E+03	2.405283E-16	3.782667E-18
1.960000E+03	2.492793E-16	3.916587E-18
2.000000E+03	2.583953E-16	4.055910E-18
2.040000E+03	2.678613E-16	4.200380E-18
2.080000E+03	2.776251E-16	4.349154E-18
2.120000E+03	2.875978E-16	4.500821E-18
2.160000E+03	2.977424E-16	4.654785E-18
2.200000E+03	3.079517E-16	4.809358E-18
2.240000E+03	3.181372E-16	4.963149E-18
2.280000E+03	3.282452E-16	5.115315E-18
2.320000E+03	3.382561E-16	5.265549E-18
2.360000E+03	3.481985E-16	5.414298E-18
2.400000E+03	3.581148E-16	5.562216E-18
2.440000E+03	3.680431E-16	5.709893E-18
2.480000E+03	3.780652E-16	5.858590E-18
2.520000E+03	3.882096E-16	6.008741E-18
2.560000E+03	3.985313E-16	6.161185E-18
2.600000E+03	4.090343E-16	6.315973E-18
2.640000E+03	4.197350E-16	6.473343E-18
2.680000E+03	4.306173E-16	6.633037E-18
2.720000E+03	4.416645E-16	6.794785E-18
2.760000E+03	4.528600E-16	6.958324E-18
2.800000E+03	4.641741E-16	7.123191E-18
2.840000E+03	4.755794E-16	7.288958E-18
2.880000E+03	4.870778E-16	7.455655E-18
2.920000E+03	4.986476E-16	7.622945E-18
2.960000E+03	5.103333E-16	7.791511E-18
3.000000E+03	5.221425E-16	7.961469E-18
3.010000E+03	5.251332E-16	8.004467E-18
3.020000E+03	5.281269E-16	8.047479E-18
3.030000E+03	5.311234E-16	8.090504E-18
3.040000E+03	5.341460E-16	8.133894E-18
3.050000E+03	5.371820E-16	8.177460E-18
3.060000E+03	5.402310E-16	8.221192E-18
3.070000E+03	5.433041E-16	8.265260E-18
3.080000E+03	5.463892E-16	8.309478E-18
3.090000E+03	5.494855E-16	8.353838E-18
3.100000E+03	5.526159E-16	8.398685E-18
3.110000E+03	5.557567E-16	8.443659E-18
3.120000E+03	5.589189E-16	8.488927E-18
3.130000E+03	5.620909E-16	8.534314E-18
3.140000E+03	5.653057E-16	8.580321E-18
3.150000E+03	5.685296E-16	8.626433E-18
3.160000E+03	5.717731E-16	8.672813E-18
3.170000E+03	5.750471E-16	8.719624E-18
3.180000E+03	5.783509E-16	8.766857E-18
3.190000E+03	5.816626E-16	8.814179E-18
3.200000E+03	5.850144E-16	8.862079E-18
3.210000E+03	5.883843E-16	8.910222E-18
3.220000E+03	5.917830E-16	8.958769E-18
3.230000E+03	5.951994E-16	9.007556E-18
3.240000E+03	5.986443E-16	9.056741E-18
3.250000E+03	6.021171E-16	9.106320E-18
3.260000E+03	6.056180E-16	9.156291E-18
3.270000E+03	6.091364E-16	9.206498E-18
3.280000E+03	6.126827E-16	9.257096E-18
3.290000E+03	6.162566E-16	9.308083E-18
3.300000E+03	6.198485E-16	9.359309E-18
