#wls	flux	fluxerr
1.600000E+03	2.741268E-17	1.074888E-18
1.640000E+03	2.780145E-17	1.090106E-18
1.680000E+03	2.819963E-17	1.105690E-18
1.720000E+03	2.860229E-17	1.121449E-18
1.760000E+03	2.900938E-17	1.137380E-18
1.800000E+03	2.942089E-17	1.153483E-18
1.840000E+03	2.984206E-17	1.169963E-18
1.880000E+03	3.026239E-17	1.186408E-18
1.920000E+03	3.069254E-17	1.203237E-18
1.960000E+03	3.112726E-17	1.220243E-18
2.000000E+03	3.156662E-17	1.237429E-18
2.040000E+03	3.201635E-17	1.255020E-18
2.080000E+03	3.246538E-17	1.272582E-18
2.120000E+03	3.292525E-17	1.290566E-18
2.160000E+03	3.339051E-17	1.308760E-18
2.200000E+03	3.386739E-17	1.327407E-18
2.240000E+03	3.434445E-17	1.346059E-18
2.280000E+03	3.483399E-17	1.365198E-18
2.320000E+03	3.533061E-17	1.384612E-18
2.360000E+03	3.583483E-17	1.404322E-18
2.400000E+03	3.634733E-17	1.424353E-18
2.440000E+03	3.687527E-17	1.444988E-18
2.480000E+03	3.741328E-17	1.466014E-18
2.520000E+03	3.796236E-17	1.487471E-18
2.560000E+03	3.852365E-17	1.509404E-18
2.600000E+03	3.910519E-17	1.532128E-18
2.640000E+03	3.969502E-17	1.555174E-18
2.680000E+03	4.030837E-17	1.579138E-18
2.720000E+03	4.094734E-17	1.604102E-18
2.760000E+03	4.160002E-17	1.629601E-18
2.800000E+03	4.228283E-17	1.656277E-18
2.840000E+03	4.298395E-17	1.683666E-18
2.880000E+03	4.372821E-17	1.712741E-18
2.920000E+03	4.449662E-17	1.742759E-18
2.960000E+03	4.529996E-17	1.774140E-18
3.000000E+03	4.614978E-17	1.807338E-18
3.010000E+03	4.636878E-17	1.815893E-18
3.020000E+03	4.659055E-17	1.824557E-18
3.030000E+03	4.681513E-17	1.833330E-18
3.040000E+03	4.704260E-17	1.842216E-18
3.050000E+03	4.727305E-17	1.851218E-18
3.060000E+03	4.750654E-17	1.860340E-18
3.070000E+03	4.774315E-17	1.869583E-18
3.080000E+03	4.798296E-17	1.878951E-18
3.090000E+03	4.822604E-17	1.888447E-18
3.100000E+03	4.847248E-17	1.898074E-18
3.110000E+03	4.872237E-17	1.907836E-18
3.120000E+03	4.897577E-17	1.917735E-18
3.130000E+03	4.923280E-17	1.927776E-18
3.140000E+03	4.949352E-17	1.937961E-18
3.150000E+03	4.975803E-17	1.948294E-18
3.160000E+03	5.003485E-17	1.959109E-18
3.170000E+03	5.030727E-17	1.969751E-18
3.180000E+03	5.058378E-17	1.980553E-18
3.190000E+03	5.086446E-17	1.991518E-18
3.200000E+03	5.114942E-17	2.002650E-18
3.210000E+03	5.143876E-17	2.013953E-18
3.220000E+03	5.174128E-17	2.025772E-18
3.230000E+03	5.203975E-17	2.037432E-18
3.240000E+03	5.234294E-17	2.049277E-18
3.250000E+03	5.265095E-17	2.061310E-18
3.260000E+03	5.296390E-17	2.073536E-18
3.270000E+03	5.329081E-17	2.086308E-18
3.280000E+03	5.361404E-17	2.098936E-18
3.290000E+03	5.394258E-17	2.111771E-18
3.300000E+03	5.427655E-17	2.124818E-18
3.310000E+03	5.462518E-17	2.138439E-18
3.320000E+03	5.497044E-17	2.151927E-18
3.330000E+03	5.532154E-17	2.165644E-18
3.340000E+03	5.567860E-17	2.179594E-18
3.350000E+03	5.605110E-17	2.194147E-18
3.360000E+03	5.642057E-17	2.208582E-18
3.370000E+03	5.679644E-17	2.223266E-18
3.380000E+03	5.718837E-17	2.238579E-18
3.390000E+03	5.757756E-17	2.253784E-18
3.400000E+03	5.797362E-17	2.269258E-18
3.410000E+03	5.838639E-17	2.285385E-18
3.420000E+03	5.879674E-17	2.301417E-18
3.430000E+03	5.921444E-17	2.317736E-18
3.440000E+03	5.964957E-17	2.334737E-18
3.450000E+03	6.008260E-17	2.351656E-18
3.460000E+03	6.052354E-17	2.368883E-18
3.470000E+03	6.098265E-17	2.386821E-18
3.480000E+03	6.144002E-17	2.404691E-18
3.490000E+03	6.191610E-17	2.423292E-18
3.500000E+03	6.239070E-17	2.441834E-18
3.510000E+03	6.287418E-17	2.460724E-18
