#wls	flux	fluxerr
1.600000E+03	6.500702E-17	3.532837E-17
1.640000E+03	6.610777E-17	3.547069E-17
1.680000E+03	6.721293E-17	3.558879E-17
1.720000E+03	6.834467E-17	3.569353E-17
1.760000E+03	6.947841E-17	3.577104E-17
1.800000E+03	7.062462E-17	3.582599E-17
1.840000E+03	7.176972E-17	3.585071E-17
1.880000E+03	7.293682E-17	3.585603E-17
1.920000E+03	7.409966E-17	3.582816E-17
1.960000E+03	7.526901E-17	3.577184E-17
2.000000E+03	7.644327E-17	3.568567E-17
2.040000E+03	7.762073E-17	3.556836E-17
2.080000E+03	7.878637E-17	3.541269E-17
2.120000E+03	7.996476E-17	3.522951E-17
2.160000E+03	8.114091E-17	3.501183E-17
2.200000E+03	8.231295E-17	3.475876E-17
2.240000E+03	8.347897E-17	3.446962E-17
2.280000E+03	8.463707E-17	3.414389E-17
2.320000E+03	8.578539E-17	3.378130E-17
2.360000E+03	8.692211E-17	3.338179E-17
2.400000E+03	8.805983E-17	3.295092E-17
2.440000E+03	8.918282E-17	3.248364E-17
2.480000E+03	9.028961E-17	3.198073E-17
2.520000E+03	9.137891E-17	3.144334E-17
2.560000E+03	9.246437E-17	3.087786E-17
2.600000E+03	9.353069E-17	3.028101E-17
2.640000E+03	9.457743E-17	2.965504E-17
2.680000E+03	9.561948E-17	2.900715E-17
2.720000E+03	9.664249E-17	2.833563E-17
2.760000E+03	9.766248E-17	2.764823E-17
2.800000E+03	9.866611E-17	2.694435E-17
2.840000E+03	9.967088E-17	2.623228E-17
2.880000E+03	1.006649E-16	2.551245E-17
2.920000E+03	1.016674E-16	2.479361E-17
2.960000E+03	1.026686E-16	2.407709E-17
3.000000E+03	1.036899E-16	2.337188E-17
3.010000E+03	1.039445E-16	2.319689E-17
3.020000E+03	1.042143E-16	2.302601E-17
3.030000E+03	1.044690E-16	2.285252E-17
3.040000E+03	1.047392E-16	2.268326E-17
3.050000E+03	1.049944E-16	2.251165E-17
3.060000E+03	1.052656E-16	2.234439E-17
3.070000E+03	1.055374E-16	2.217826E-17
3.080000E+03	1.058102E-16	2.201336E-17
3.090000E+03	1.060839E-16	2.184977E-17
3.100000E+03	1.063590E-16	2.168759E-17
3.110000E+03	1.066354E-16	2.152690E-17
3.120000E+03	1.069134E-16	2.136781E-17
3.130000E+03	1.072087E-16	2.121344E-17
3.140000E+03	1.074906E-16	2.105775E-17
3.150000E+03	1.077901E-16	2.090691E-17
3.160000E+03	1.080766E-16	2.075497E-17
3.170000E+03	1.083813E-16	2.060799E-17
3.180000E+03	1.086889E-16	2.046304E-17
3.190000E+03	1.089996E-16	2.032021E-17
3.200000E+03	1.093137E-16	2.017957E-17
3.210000E+03	1.096315E-16	2.004120E-17
3.220000E+03	1.099531E-16	1.990516E-17
3.230000E+03	1.102945E-16	1.977430E-17
3.240000E+03	1.106247E-16	1.964311E-17
3.250000E+03	1.109752E-16	1.951718E-17
3.260000E+03	1.113152E-16	1.939108E-17
3.270000E+03	1.116759E-16	1.927031E-17
3.280000E+03	1.120423E-16	1.915220E-17
3.290000E+03	1.124145E-16	1.903678E-17
3.300000E+03	1.127929E-16	1.892411E-17
3.310000E+03	1.131777E-16	1.881423E-17
3.320000E+03	1.135694E-16	1.870717E-17
3.330000E+03	1.139681E-16	1.860298E-17
3.340000E+03	1.143899E-16	1.850422E-17
3.350000E+03	1.148037E-16	1.840582E-17
3.360000E+03	1.152414E-16	1.831286E-17
3.370000E+03	1.156716E-16	1.822034E-17
3.380000E+03	1.161263E-16	1.813326E-17
3.390000E+03	1.165901E-16	1.804913E-17
3.400000E+03	1.170632E-16	1.796795E-17
3.410000E+03	1.175460E-16	1.788972E-17
3.420000E+03	1.180387E-16	1.781445E-17
3.430000E+03	1.185419E-16	1.774211E-17
3.440000E+03	1.190556E-16	1.767271E-17
3.450000E+03	1.195803E-16	1.760622E-17
3.460000E+03	1.201323E-16	1.754496E-17
3.470000E+03	1.206799E-16	1.748420E-17
3.480000E+03	1.212555E-16	1.742859E-17
3.490000E+03	1.218433E-16	1.737575E-17
3.500000E+03	1.224274E-16	1.732333E-17
3.510000E+03	1.230405E-16	1.727589E-17
3.520000E+03	1.236667E-16	1.723106E-17
3.530000E+03	1.243062E-16	1.718880E-17
3.540000E+03	1.249593E-16	1.714903E-17
3.550000E+03	1.256262E-16	1.711169E-17
3.560000E+03	1.263072E-16	1.707670E-17
3.570000E+03	1.270190E-16	1.704619E-17
3.580000E+03	1.277288E-16	1.701563E-17
3.590000E+03	1.284533E-16	1.698715E-17
3.600000E+03	1.292092E-16	1.696285E-17
3.610000E+03	1.299635E-16	1.693822E-17
3.620000E+03	1.307498E-16	1.691754E-17
3.630000E+03	1.315513E-16	1.689848E-17
3.640000E+03	1.323513E-16	1.687875E-17
3.650000E+03	1.331837E-16	1.686257E-17
3.660000E+03	1.340317E-16	1.684761E-17
3.670000E+03	1.348952E-16	1.683374E-17
3.680000E+03	1.357743E-16	1.682080E-17
3.690000E+03	1.366690E-16	1.680863E-17
3.700000E+03	1.375791E-16	1.679706E-17
3.710000E+03	1.385047E-16	1.678593E-17
3.720000E+03	1.394456E-16	1.677505E-17
3.730000E+03	1.404193E-16	1.676633E-17
3.740000E+03	1.413904E-16	1.675537E-17
3.750000E+03	1.423764E-16	1.674408E-17
3.760000E+03	1.433949E-16	1.673434E-17
3.770000E+03	1.444099E-16	1.672176E-17
3.780000E+03	1.454571E-16	1.671027E-17
3.790000E+03	1.465001E-16	1.669551E-17
3.800000E+03	1.475747E-16	1.668139E-17
3.810000E+03	1.486444E-16	1.666353E-17
3.820000E+03	1.497450E-16	1.664581E-17
3.830000E+03	1.508581E-16	1.662593E-17
3.840000E+03	1.519831E-16	1.660362E-17
3.850000E+03	1.531011E-16	1.657662E-17
3.860000E+03	1.542485E-16	1.654872E-17
3.870000E+03	1.554065E-16	1.651762E-17
3.880000E+03	1.565744E-16	1.648306E-17
3.890000E+03	1.577516E-16	1.644478E-17
3.900000E+03	1.589375E-16	1.640251E-17
3.910000E+03	1.601316E-16	1.635599E-17
3.920000E+03	1.613333E-16	1.630495E-17
3.930000E+03	1.625418E-16	1.624913E-17
3.940000E+03	1.637565E-16	1.618827E-17
3.950000E+03	1.649768E-16	1.612212E-17
3.960000E+03	1.662019E-16	1.605042E-17
3.970000E+03	1.674313E-16	1.597294E-17
3.980000E+03	1.686643E-16	1.588943E-17
3.990000E+03	1.699001E-16	1.579969E-17
4.000000E+03	1.711381E-16	1.570348E-17
4.010000E+03	1.723777E-16	1.560062E-17
4.020000E+03	1.736183E-16	1.549091E-17
4.030000E+03	1.748592E-16	1.537419E-17
4.040000E+03	1.760998E-16	1.525031E-17
4.050000E+03	1.773395E-16	1.511914E-17
4.060000E+03	1.785779E-16	1.498058E-17
4.070000E+03	1.798143E-16	1.483455E-17
4.080000E+03	1.810484E-16	1.468101E-17
4.090000E+03	1.822796E-16	1.451994E-17
4.100000E+03	1.835077E-16	1.435136E-17
4.110000E+03	1.847323E-16	1.417534E-17
4.120000E+03	1.859530E-16	1.399199E-17
4.130000E+03	1.871697E-16	1.380147E-17
4.140000E+03	1.883821E-16	1.360400E-17
4.150000E+03	1.895903E-16	1.339986E-17
4.160000E+03	1.907941E-16	1.318940E-17
4.170000E+03	1.919935E-16	1.297305E-17
4.180000E+03	1.931888E-16	1.275133E-17
4.190000E+03	1.943800E-16	1.252485E-17
4.200000E+03	1.955455E-16	1.229296E-17
4.210000E+03	1.967294E-16	1.205929E-17
4.220000E+03	1.979102E-16	1.182342E-17
4.230000E+03	1.990664E-16	1.158518E-17
4.240000E+03	2.002428E-16	1.134849E-17
4.250000E+03	2.014179E-16	1.111350E-17
4.260000E+03	2.025700E-16	1.088069E-17
4.270000E+03	2.037450E-16	1.065439E-17
4.280000E+03	2.048986E-16	1.043434E-17
4.290000E+03	2.060544E-16	1.022407E-17
4.300000E+03	2.072362E-16	1.002728E-17
4.310000E+03	2.083999E-16	9.844528E-18
4.320000E+03	2.095692E-16	9.679923E-18
4.330000E+03	2.107457E-16	9.536589E-18
4.340000E+03	2.119305E-16	9.417724E-18
4.350000E+03	2.131253E-16	9.326500E-18
4.360000E+03	2.143313E-16	9.265944E-18
4.370000E+03	2.155500E-16	9.238804E-18
4.380000E+03	2.167829E-16	9.247396E-18
4.390000E+03	2.180311E-16	9.293448E-18
4.400000E+03	2.192717E-16	9.376444E-18
4.410000E+03	2.205515E-16	9.497650E-18
4.420000E+03	2.218229E-16	9.653641E-18
4.430000E+03	2.231331E-16	9.844563E-18
4.440000E+03	2.244338E-16	1.006603E-17
4.450000E+03	2.257484E-16	1.031653E-17
4.460000E+03	2.271002E-16	1.059451E-17
4.470000E+03	2.284406E-16	1.089501E-17
4.480000E+03	2.297930E-16	1.121646E-17
4.490000E+03	2.311566E-16	1.155627E-17
4.500000E+03	2.325063E-16	1.191075E-17
4.510000E+03	2.338904E-16	1.228007E-17
4.520000E+03	2.352837E-16	1.266090E-17
4.530000E+03	2.366606E-16	1.304988E-17
4.540000E+03	2.380701E-16	1.344793E-17
4.550000E+03	2.394616E-16	1.385062E-17
4.560000E+03	2.408593E-16	1.425780E-17
4.570000E+03	2.422622E-16	1.466810E-17
4.580000E+03	2.436696E-16	1.508025E-17
4.590000E+03	2.450808E-16	1.549311E-17
4.600000E+03	2.464948E-16	1.590561E-17
4.610000E+03	2.479109E-16	1.631678E-17
4.620000E+03	2.493023E-16	1.672399E-17
4.630000E+03	2.507197E-16	1.712982E-17
4.640000E+03	2.521105E-16	1.753001E-17
4.650000E+03	2.534994E-16	1.792555E-17
4.660000E+03	2.549118E-16	1.831767E-17
4.670000E+03	2.562944E-16	1.870199E-17
4.680000E+03	2.576459E-16	1.907781E-17
4.690000E+03	2.590180E-16	1.944844E-17
4.700000E+03	2.603833E-16	1.981142E-17
4.710000E+03	2.617142E-16	2.016419E-17
4.720000E+03	2.630628E-16	2.051033E-17
4.730000E+03	2.643748E-16	2.084524E-17
4.740000E+03	2.656756E-16	2.117053E-17
4.750000E+03	2.669643E-16	2.148577E-17
4.760000E+03	2.682399E-16	2.179054E-17
4.770000E+03	2.695012E-16	2.208445E-17
4.780000E+03	2.707200E-16	2.236487E-17
4.790000E+03	2.719497E-16	2.263589E-17
4.800000E+03	2.731347E-16	2.289265E-17
4.810000E+03	2.743288E-16	2.313937E-17
4.820000E+03	2.754762E-16	2.337111E-17
4.830000E+03	2.766033E-16	2.358984E-17
4.840000E+03	2.776815E-16	2.379288E-17
4.850000E+03	2.787653E-16	2.398468E-17
4.860000E+03	2.798264E-16	2.416260E-17
4.870000E+03	2.808359E-16	2.432394E-17
4.880000E+03	2.818210E-16	2.447085E-17
4.890000E+03	2.828090E-16	2.460553E-17
4.900000E+03	2.837433E-16	2.472288E-17
4.910000E+03	2.846231E-16	2.482265E-17
4.920000E+03	2.855041E-16	2.490954E-17
4.930000E+03	2.863578E-16	2.498093E-17
4.940000E+03	2.871555E-16	2.503416E-17
4.950000E+03	2.879250E-16	2.507153E-17
4.960000E+03	2.886943E-16	2.509537E-17
4.970000E+03	2.894065E-16	2.510062E-17
4.980000E+03	2.900614E-16	2.508715E-17
4.990000E+03	2.907156E-16	2.505979E-17
5.000000E+03	2.913406E-16	2.501599E-17
5.010000E+03	2.919078E-16	2.495323E-17
5.020000E+03	2.924457E-16	2.487391E-17
5.030000E+03	2.929830E-16	2.478040E-17
5.040000E+03	2.934626E-16	2.466784E-17
5.050000E+03	2.938847E-16	2.453624E-17
5.060000E+03	2.943064E-16	2.439041E-17
5.070000E+03	2.946995E-16	2.422796E-17
5.080000E+03	2.950356E-16	2.404660E-17
5.090000E+03	2.953435E-16	2.384875E-17
5.100000E+03	2.956522E-16	2.363678E-17
5.110000E+03	2.959046E-16	2.340618E-17
5.120000E+03	2.961010E-16	2.315713E-17
5.130000E+03	2.962990E-16	2.289428E-17
5.140000E+03	2.964704E-16	2.261551E-17
5.150000E+03	2.965867E-16	2.231885E-17
5.160000E+03	2.966770E-16	2.200673E-17
5.170000E+03	2.967415E-16	2.167939E-17
5.180000E+03	2.967805E-16	2.133709E-17
5.190000E+03	2.967943E-16	2.098013E-17
5.200000E+03	2.967831E-16	2.060887E-17
5.210000E+03	2.967188E-16	2.022174E-17
5.220000E+03	2.966584E-16	1.982310E-17
5.230000E+03	2.965453E-16	1.940959E-17
5.240000E+03	2.964081E-16	1.898371E-17
5.250000E+03	2.962469E-16	1.854608E-17
5.260000E+03	2.960620E-16	1.809739E-17
5.270000E+03	2.958532E-16	1.763842E-17
5.280000E+03	2.955926E-16	1.716844E-17
5.290000E+03	2.953365E-16	1.669176E-17
5.300000E+03	2.950287E-16	1.620630E-17
5.310000E+03	2.946973E-16	1.571500E-17
5.320000E+03	2.943423E-16	1.521932E-17
5.330000E+03	2.939636E-16	1.472095E-17
5.340000E+03	2.935333E-16	1.422046E-17
5.350000E+03	2.931070E-16	1.372277E-17
5.360000E+03	2.926291E-16	1.322775E-17
5.370000E+03	2.921548E-16	1.274081E-17
5.380000E+03	2.916287E-16	1.226272E-17
5.390000E+03	2.910784E-16	1.179844E-17
5.400000E+03	2.905038E-16	1.135211E-17
5.410000E+03	2.899047E-16	1.092838E-17
5.420000E+03	2.892537E-16	1.053135E-17
5.430000E+03	2.886055E-16	1.016856E-17
5.440000E+03	2.879053E-16	9.843815E-18
5.450000E+03	2.871806E-16	9.563952E-18
5.460000E+03	2.864313E-16	9.334547E-18
5.470000E+03	2.856575E-16	9.160545E-18
5.480000E+03	2.848593E-16	9.045819E-18
5.490000E+03	2.840368E-16	8.992770E-18
