#wls	flux	fluxerr
1.600000E+03	2.739189E-17	1.570240E-17
1.640000E+03	2.778056E-17	1.576069E-17
1.680000E+03	2.817863E-17	1.581548E-17
1.720000E+03	2.858119E-17	1.586365E-17
1.760000E+03	2.898819E-17	1.590486E-17
1.800000E+03	2.939960E-17	1.593878E-17
1.840000E+03	2.982068E-17	1.596790E-17
1.880000E+03	3.024093E-17	1.598626E-17
1.920000E+03	3.067100E-17	1.599919E-17
1.960000E+03	3.110565E-17	1.600355E-17
2.000000E+03	3.154494E-17	1.599904E-17
2.040000E+03	3.199461E-17	1.598818E-17
2.080000E+03	3.244359E-17	1.596505E-17
2.120000E+03	3.290340E-17	1.593501E-17
2.160000E+03	3.336862E-17	1.589500E-17
2.200000E+03	3.384546E-17	1.584755E-17
2.240000E+03	3.432248E-17	1.578686E-17
2.280000E+03	3.481200E-17	1.571827E-17
2.320000E+03	3.530859E-17	1.563881E-17
2.360000E+03	3.581280E-17	1.554831E-17
2.400000E+03	3.632529E-17	1.544660E-17
2.440000E+03	3.685322E-17	1.533621E-17
2.480000E+03	3.739123E-17	1.521428E-17
2.520000E+03	3.794032E-17	1.508071E-17
2.560000E+03	3.850162E-17	1.493538E-17
2.600000E+03	3.908318E-17	1.478073E-17
2.640000E+03	3.967303E-17	1.461154E-17
2.680000E+03	4.028640E-17	1.443276E-17
2.720000E+03	4.092540E-17	1.424418E-17
2.760000E+03	4.157811E-17	1.404076E-17
2.800000E+03	4.226096E-17	1.382719E-17
2.840000E+03	4.296212E-17	1.359856E-17
2.880000E+03	4.370641E-17	1.336165E-17
2.920000E+03	4.447487E-17	1.310924E-17
2.960000E+03	4.527825E-17	1.284342E-17
3.000000E+03	4.612811E-17	1.256600E-17
3.010000E+03	4.634712E-17	1.249444E-17
3.020000E+03	4.656890E-17	1.242199E-17
3.030000E+03	4.679349E-17	1.234863E-17
3.040000E+03	4.702098E-17	1.227438E-17
3.050000E+03	4.725144E-17	1.219921E-17
3.060000E+03	4.748494E-17	1.212312E-17
3.070000E+03	4.772156E-17	1.204611E-17
3.080000E+03	4.796138E-17	1.196816E-17
3.090000E+03	4.820447E-17	1.188927E-17
3.100000E+03	4.845092E-17	1.180943E-17
3.110000E+03	4.870082E-17	1.172863E-17
3.120000E+03	4.895423E-17	1.164687E-17
3.130000E+03	4.921127E-17	1.156414E-17
3.140000E+03	4.947200E-17	1.148043E-17
3.150000E+03	4.973652E-17	1.139573E-17
3.160000E+03	5.001335E-17	1.131193E-17
3.170000E+03	5.028578E-17	1.122521E-17
3.180000E+03	5.056230E-17	1.113748E-17
3.190000E+03	5.084299E-17	1.104872E-17
3.200000E+03	5.112796E-17	1.095894E-17
3.210000E+03	5.141731E-17	1.086811E-17
3.220000E+03	5.171983E-17	1.077805E-17
3.230000E+03	5.201831E-17	1.068510E-17
3.240000E+03	5.232151E-17	1.059109E-17
3.250000E+03	5.262953E-17	1.049602E-17
3.260000E+03	5.294249E-17	1.039986E-17
3.270000E+03	5.326941E-17	1.030434E-17
3.280000E+03	5.359265E-17	1.020599E-17
3.290000E+03	5.392119E-17	1.010654E-17
3.300000E+03	5.425517E-17	1.000599E-17
3.310000E+03	5.460381E-17	9.905985E-18
3.320000E+03	5.494908E-17	9.803197E-18
3.330000E+03	5.530018E-17	9.699293E-18
3.340000E+03	5.565725E-17	9.594274E-18
3.350000E+03	5.602975E-17	9.489716E-18
3.360000E+03	5.639923E-17	9.382443E-18
3.370000E+03	5.677511E-17	9.274054E-18
3.380000E+03	5.716704E-17	9.166078E-18
3.390000E+03	5.755624E-17	9.055452E-18
3.400000E+03	5.795230E-17	8.943728E-18
3.410000E+03	5.836508E-17	8.832380E-18
3.420000E+03	5.877543E-17	8.718469E-18
3.430000E+03	5.919314E-17	8.603497E-18
3.440000E+03	5.962827E-17	8.488886E-18
3.450000E+03	6.006131E-17	8.371826E-18
3.460000E+03	6.050225E-17	8.253769E-18
3.470000E+03	6.096136E-17	8.136089E-18
3.480000E+03	6.141874E-17	8.016108E-18
3.490000E+03	6.189482E-17	7.896536E-18
3.500000E+03	6.236942E-17	7.774787E-18
3.510000E+03	6.285291E-17	7.652238E-18
3.520000E+03	6.335595E-17	7.530186E-18
3.530000E+03	6.385793E-17	7.406191E-18
3.540000E+03	6.438006E-17	7.282788E-18
3.550000E+03	6.490142E-17	7.157637E-18
3.560000E+03	6.544356E-17	7.033207E-18
3.570000E+03	6.598525E-17	6.907262E-18
3.580000E+03	6.653743E-17	6.781094E-18
3.590000E+03	6.711138E-17	6.655919E-18
3.600000E+03	6.768540E-17	6.529667E-18
3.610000E+03	6.828189E-17	6.404655E-18
3.620000E+03	6.887883E-17	6.278928E-18
3.630000E+03	6.949898E-17	6.154749E-18
3.640000E+03	7.011997E-17	6.030284E-18
3.650000E+03	7.076496E-17	5.907747E-18
3.660000E+03	7.141121E-17	5.785425E-18
3.670000E+03	7.189539E-17	2.584586E-17
3.675000E+03	7.198318E-17	1.423869E-17
3.680000E+03	7.174951E-17	1.172778E-17
3.685000E+03	7.150680E-17	1.360353E-17
3.690000E+03	6.984658E-17	1.394820E-17
3.695000E+03	6.737691E-17	1.561482E-17
3.700000E+03	6.705675E-17	1.610926E-17
3.705000E+03	6.577608E-17	1.437806E-17
3.710000E+03	6.531262E-17	1.655334E-17
3.715000E+03	6.503118E-17	1.362671E-17
3.720000E+03	6.224522E-17	1.346144E-17
3.725000E+03	6.153517E-17	1.535787E-17
3.730000E+03	6.023772E-17	1.524555E-17
3.735000E+03	6.140865E-17	1.486859E-17
3.740000E+03	6.407456E-17	1.340982E-17
3.745000E+03	6.586516E-17	1.280618E-17
3.750000E+03	6.745050E-17	1.217543E-17
3.755000E+03	6.571928E-17	1.033206E-17
3.760000E+03	6.625375E-17	1.029218E-17
3.765000E+03	6.626795E-17	1.134327E-17
3.770000E+03	6.701156E-17	6.794060E-18
3.775000E+03	6.838905E-17	1.053994E-17
3.780000E+03	6.995245E-17	1.326528E-17
3.785000E+03	7.352850E-17	1.342669E-17
3.790000E+03	7.557730E-17	1.601251E-17
3.795000E+03	8.021713E-17	1.649795E-17
3.800000E+03	8.256544E-17	1.862419E-17
3.805000E+03	8.490472E-17	1.852868E-17
3.810000E+03	8.600723E-17	1.822402E-17
3.815000E+03	8.709425E-17	2.055681E-17
3.820000E+03	8.847174E-17	1.763407E-17
3.825000E+03	8.952777E-17	1.714093E-17
