MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err
53533.075	nan	nan	nan	nan	nan	nan	nan	nan
53533.125	nan	nan	nan	nan	nan	nan	nan	nan
53533.175	nan	nan	nan	nan	nan	nan	nan	nan
53533.225000000006	nan	nan	nan	nan	nan	nan	nan	nan
53533.27500000001	nan	nan	nan	nan	nan	nan	nan	nan
53533.32500000001	nan	nan	nan	nan	nan	nan	nan	nan
53533.375000000015	nan	nan	nan	nan	nan	nan	nan	nan
53533.42500000002	nan	nan	nan	nan	nan	nan	nan	nan
53533.47500000002	nan	nan	nan	nan	nan	nan	nan	nan
53533.52500000002	nan	nan	nan	nan	nan	nan	nan	nan
53533.575000000026	nan	nan	nan	nan	nan	nan	nan	nan
53533.62500000003	4.523897699239445e-16	2.929802258756762e-17	nan	nan	nan	nan	nan	nan
53533.67500000003	4.545933134325088e-16	2.905071598861606e-17	nan	nan	nan	nan	nan	nan
53533.725000000035	4.568009235699567e-16	2.8807647645279174e-17	nan	nan	nan	nan	nan	nan
53533.77500000004	4.590126063833125e-16	2.856887833192713e-17	nan	nan	nan	nan	nan	nan
53533.82500000004	4.612283679277541e-16	2.8334468551900226e-17	nan	nan	nan	nan	nan	nan
53533.875000000044	4.634482142666147e-16	2.8104478430976876e-17	nan	nan	nan	nan	nan	nan
53533.92500000005	4.656721514714103e-16	2.787896760516787e-17	nan	nan	nan	nan	nan	nan
53533.97500000005	4.679001856218259e-16	2.7657995102702205e-17	nan	nan	nan	nan	nan	nan
53534.02500000005	4.701323228057435e-16	2.7441619220239027e-17	nan	nan	nan	nan	nan	nan
53534.075000000055	4.723685691192491e-16	2.722989739368371e-17	nan	nan	nan	nan	nan	nan
53534.12500000006	4.746089187624979e-16	2.702287608530725e-17	nan	nan	nan	nan	nan	nan
53534.17500000006	4.768533183272736e-16	2.682056073251021e-17	nan	nan	nan	nan	nan	nan
53534.225000000064	4.791017025093032e-16	2.662294563232937e-17	nan	nan	nan	nan	nan	nan
53534.27500000007	4.813540060122424e-16	2.6430023892715138e-17	nan	nan	nan	nan	nan	nan
53534.32500000007	4.836101635475652e-16	2.624178740665032e-17	nan	nan	nan	nan	nan	nan
53534.37500000007	4.858701098343748e-16	2.6058226827746298e-17	nan	nan	nan	nan	nan	nan
53534.425000000076	4.881337795993155e-16	2.5879331547130972e-17	nan	nan	nan	nan	nan	nan
53534.47500000008	4.904011075763975e-16	2.5705089672160047e-17	nan	nan	nan	nan	nan	nan
53534.52500000008	4.926720285068508e-16	2.5535488006739726e-17	nan	nan	nan	nan	nan	nan
53534.575000000084	4.949464771390219e-16	2.5370512033684274e-17	nan	nan	nan	nan	nan	nan
53534.62500000009	4.972243882281956e-16	2.521014589906738e-17	nan	nan	nan	nan	nan	nan
53534.67500000009	4.995056965364492e-16	2.505437239875791e-17	nan	nan	nan	nan	nan	nan
53534.72500000009	5.017903368325543e-16	2.490317296730571e-17	nan	nan	nan	nan	nan	nan
53534.775000000096	5.040782438917932e-16	2.47565276692397e-17	nan	nan	nan	nan	nan	nan
53534.8250000001	5.063693524958166e-16	2.461441519288523e-17	nan	nan	nan	nan	nan	nan
53534.8750000001	5.086635974325717e-16	2.447681284676708e-17	nan	nan	nan	nan	nan	nan
53534.925000000105	5.109609134960384e-16	2.4343696558830902e-17	nan	nan	nan	nan	nan	nan
53534.97500000011	5.132612354862022e-16	2.4215040878322334e-17	nan	nan	nan	nan	nan	nan
53535.02500000011	5.15564498208856e-16	2.409081898059921e-17	nan	nan	nan	nan	nan	nan
53535.07500000011	5.178706364754649e-16	2.397100267470593e-17	nan	nan	nan	nan	nan	nan
53535.12500000012	5.201795851030418e-16	2.3855562413949014e-17	nan	nan	nan	nan	nan	nan
53535.17500000012	5.224912789139732e-16	2.3744467309380632e-17	nan	nan	nan	nan	nan	nan
53535.22500000012	5.248056527359274e-16	2.3637685145996745e-17	nan	nan	nan	nan	nan	nan
53535.275000000125	5.27122641401653e-16	2.353518240211216e-17	nan	nan	nan	nan	nan	nan
53535.32500000013	5.294421797489042e-16	2.3436924271299702e-17	nan	nan	nan	nan	nan	nan
53535.37500000013	5.317642026202354e-16	2.3342874687207182e-17	nan	nan	nan	nan	nan	nan
53535.425000000134	5.340886448628945e-16	2.3252996351098283e-17	nan	nan	nan	nan	nan	nan
53535.47500000014	5.36415441328697e-16	2.316725076190579e-17	nan	nan	nan	nan	nan	nan
53535.52500000014	5.387445268738318e-16	2.308559824887726e-17	nan	nan	nan	nan	nan	nan
53535.57500000014	5.410758363587848e-16	2.300799800648271e-17	nan	nan	nan	nan	nan	nan
53535.625000000146	5.434093046679768e-16	2.2934408042897442e-17	nan	nan	nan	nan	nan	nan
53535.67500000015	5.457448682245038e-16	2.2864778444877285e-17	nan	nan	nan	nan	nan	nan
53535.72500000015	5.480824660567071e-16	2.279904666640865e-17	nan	nan	nan	nan	nan	nan
53535.775000000154	5.504220374486183e-16	2.2737148124526036e-17	nan	nan	nan	nan	nan	nan
53535.82500000016	5.527635216878545e-16	2.267901742019679e-17	nan	nan	nan	nan	nan	nan
53535.87500000016	5.551068580654769e-16	2.2624588433205587e-17	nan	nan	nan	nan	nan	nan
53535.92500000016	5.574519858758578e-16	2.257379441775023e-17	nan	nan	nan	nan	nan	nan
53535.975000000166	5.597988444165703e-16	2.2526568098204874e-17	nan	nan	nan	nan	nan	nan
53536.02500000017	5.621473729882236e-16	2.248284176488081e-17	1.4070418316869714e-16	9.327864351244091e-18	nan	nan	nan	nan
53536.07500000017	5.644975108943492e-16	2.2442547369260768e-17	1.410386089252233e-16	9.278573729392415e-18	nan	nan	nan	nan
