#wls	flux	fluxerr	mangling_mask
3.520000E+03	4.566088E-16	4.782611E-17	1.506264E-15
3.525000E+03	4.621128E-16	4.793023E-17	1.506186E-15
3.530000E+03	4.673900E-16	4.802862E-17	1.506106E-15
3.535000E+03	4.710699E-16	4.808669E-17	1.506026E-15
3.540000E+03	4.756978E-16	4.816834E-17	1.505945E-15
3.545000E+03	4.807616E-16	4.826078E-17	1.505862E-15
3.550000E+03	4.845445E-16	4.738851E-17	1.505779E-15
3.555000E+03	4.886428E-16	4.478722E-17	1.505694E-15
3.560000E+03	4.935684E-16	3.605036E-17	1.505608E-15
3.565000E+03	4.973790E-16	3.582103E-17	1.505521E-15
3.570000E+03	5.013995E-16	3.448044E-17	1.505433E-15
3.575000E+03	5.055998E-16	3.395691E-17	1.505344E-15
3.580000E+03	5.093627E-16	3.109678E-17	1.505253E-15
3.585000E+03	5.133806E-16	3.032712E-17	1.505162E-15
3.590000E+03	5.172772E-16	2.994570E-17	1.505069E-15
3.595000E+03	5.211429E-16	3.349236E-17	1.504975E-15
3.600000E+03	5.238639E-16	3.391677E-17	1.504880E-15
3.605000E+03	5.244023E-16	3.531911E-17	1.504784E-15
3.610000E+03	5.228637E-16	3.684349E-17	1.504687E-15
3.615000E+03	5.208584E-16	3.394701E-17	1.504588E-15
3.620000E+03	5.194699E-16	3.386257E-17	1.504489E-15
3.625000E+03	5.193749E-16	3.432347E-17	1.504388E-15
3.630000E+03	5.156392E-16	3.407216E-17	1.504286E-15
3.635000E+03	5.080979E-16	3.303645E-17	1.504183E-15
3.640000E+03	5.057614E-16	2.910266E-17	1.504079E-15
3.645000E+03	5.043122E-16	3.022298E-17	1.503973E-15
3.650000E+03	5.039155E-16	3.242265E-17	1.503866E-15
3.655000E+03	5.002101E-16	3.306557E-17	1.503758E-15
3.660000E+03	4.978582E-16	3.263226E-17	1.503649E-15
3.665000E+03	4.964234E-16	3.278517E-17	1.503539E-15
3.670000E+03	4.969578E-16	3.106590E-17	1.503427E-15
3.675000E+03	4.992056E-16	3.017519E-17	1.503314E-15
3.680000E+03	5.019185E-16	3.603049E-17	1.503200E-15
3.685000E+03	5.043150E-16	3.939746E-17	1.503085E-15
3.690000E+03	5.094762E-16	3.974626E-17	1.502968E-15
3.695000E+03	5.144258E-16	3.930845E-17	1.502851E-15
3.700000E+03	5.182320E-16	3.823117E-17	1.502732E-15
3.705000E+03	5.260492E-16	3.680452E-17	1.502611E-15
3.710000E+03	5.355926E-16	3.356491E-17	1.502490E-15
3.715000E+03	5.396052E-16	3.090736E-17	1.502367E-15
3.720000E+03	5.436768E-16	2.973794E-17	1.502243E-15
3.725000E+03	5.474619E-16	2.988428E-17	1.502118E-15
3.730000E+03	5.481817E-16	2.749033E-17	1.501991E-15
3.735000E+03	5.508985E-16	2.672437E-17	1.501863E-15
3.740000E+03	5.533440E-16	2.789503E-17	1.501734E-15
3.745000E+03	5.543621E-16	2.823552E-17	1.501604E-15
3.750000E+03	5.513105E-16	2.812611E-17	1.501472E-15
3.755000E+03	5.487094E-16	2.841310E-17	1.501339E-15
3.760000E+03	5.453127E-16	2.910690E-17	1.501205E-15
3.765000E+03	5.393042E-16	2.886183E-17	1.501069E-15
3.770000E+03	5.335664E-16	2.875875E-17	1.500932E-15
3.775000E+03	5.275141E-16	2.877492E-17	1.500794E-15
3.780000E+03	5.230831E-16	3.078520E-17	1.500655E-15
3.785000E+03	5.275806E-16	3.294423E-17	1.500514E-15
3.790000E+03	5.333070E-16	4.500476E-17	1.500371E-15
3.795000E+03	5.394369E-16	4.755893E-17	1.500228E-15
3.800000E+03	5.444101E-16	4.762550E-17	1.500083E-15
3.805000E+03	5.479569E-16	4.802225E-17	1.499937E-15
3.810000E+03	5.508576E-16	5.270351E-17	1.499789E-15
3.815000E+03	5.552268E-16	5.275006E-17	1.499640E-15
3.820000E+03	5.641831E-16	5.288549E-17	1.499490E-15
3.825000E+03	5.778450E-16	5.398061E-17	1.499338E-15
3.830000E+03	5.905740E-16	5.222997E-17	1.499185E-15
3.835000E+03	6.016510E-16	5.246904E-17	1.499031E-15
3.840000E+03	6.114061E-16	4.430928E-17	1.498875E-15
3.845000E+03	6.201545E-16	4.327717E-17	1.498718E-15
3.850000E+03	6.274168E-16	4.349497E-17	1.498559E-15
3.855000E+03	6.307362E-16	4.580110E-17	1.498399E-15
3.860000E+03	6.346236E-16	4.974192E-17	1.498238E-15
3.865000E+03	6.375958E-16	5.039781E-17	1.498075E-15
3.870000E+03	6.383648E-16	5.162847E-17	1.497911E-15
3.875000E+03	6.423681E-16	5.249138E-17	1.497745E-15
3.880000E+03	6.482867E-16	5.283804E-17	1.497578E-15
3.885000E+03	6.511637E-16	5.256804E-17	1.497410E-15
3.890000E+03	6.526620E-16	5.352104E-17	1.497240E-15
3.895000E+03	6.530065E-16	5.872738E-17	1.497069E-15
3.900000E+03	6.513594E-16	5.956002E-17	1.496896E-15
3.905000E+03	6.508346E-16	6.067155E-17	1.496722E-15
3.910000E+03	6.446373E-16	5.431294E-17	1.496546E-15
3.915000E+03	6.312733E-16	5.465538E-17	1.496369E-15
3.920000E+03	6.249738E-16	5.366099E-17	1.496191E-15
3.925000E+03	6.212184E-16	5.389273E-17	1.496011E-15
3.930000E+03	6.168500E-16	5.655441E-17	1.495829E-15
3.935000E+03	6.163408E-16	5.653048E-17	1.495646E-15
3.940000E+03	6.139169E-16	5.353601E-17	1.495462E-15
3.945000E+03	6.111192E-16	4.568224E-17	1.495276E-15
3.950000E+03	6.053463E-16	6.179465E-17	1.495088E-15
3.955000E+03	6.019511E-16	6.611076E-17	1.494899E-15
3.960000E+03	6.081821E-16	6.503517E-17	1.494709E-15
3.965000E+03	6.130807E-16	6.368482E-17	1.494517E-15
3.970000E+03	6.152428E-16	6.304534E-17	1.494323E-15
3.975000E+03	6.136535E-16	6.265439E-17	1.494128E-15
3.980000E+03	6.144990E-16	6.037123E-17	1.493932E-15
3.985000E+03	6.187344E-16	6.471916E-17	1.493734E-15
3.990000E+03	6.180991E-16	6.593073E-17	1.493534E-15
3.995000E+03	6.170154E-16	6.505068E-17	1.493333E-15
4.000000E+03	6.158864E-16	4.887549E-17	1.493130E-15
4.005000E+03	6.137569E-16	4.056149E-17	1.492926E-15
4.010000E+03	6.116720E-16	4.018413E-17	1.492720E-15
4.015000E+03	6.130199E-16	4.007454E-17	1.492513E-15
4.020000E+03	6.200822E-16	4.021292E-17	1.492304E-15
4.025000E+03	6.302901E-16	4.236466E-17	1.492094E-15
4.030000E+03	6.378390E-16	6.020481E-17	1.491881E-15
4.035000E+03	6.467125E-16	8.089057E-17	1.491668E-15
4.040000E+03	6.561496E-16	7.929976E-17	1.491452E-15
4.045000E+03	6.663586E-16	8.479650E-17	1.491236E-15
4.050000E+03	6.746405E-16	8.986477E-17	1.491017E-15
4.055000E+03	6.826807E-16	8.880163E-17	1.490797E-15
4.060000E+03	6.917313E-16	8.896761E-17	1.490575E-15
4.065000E+03	7.021197E-16	8.863198E-17	1.490352E-15
4.070000E+03	7.162742E-16	8.829772E-17	1.490127E-15
4.075000E+03	7.349977E-16	8.835803E-17	1.489900E-15
4.080000E+03	7.520610E-16	7.897065E-17	1.489672E-15
4.085000E+03	7.634285E-16	3.970217E-17	1.489442E-15
4.090000E+03	7.734812E-16	4.103413E-17	1.489211E-15
4.095000E+03	7.878925E-16	3.885937E-17	1.488978E-15
4.100000E+03	7.973111E-16	3.168075E-17	1.488743E-15
4.105000E+03	8.012034E-16	3.156294E-17	1.488506E-15
4.110000E+03	7.982474E-16	3.033562E-17	1.488268E-15
4.115000E+03	7.927024E-16	3.000443E-17	1.488028E-15
4.120000E+03	7.882591E-16	2.981020E-17	1.487787E-15
4.125000E+03	7.833998E-16	2.942016E-17	1.487543E-15
4.130000E+03	7.736926E-16	3.026601E-17	1.487298E-15
4.135000E+03	7.630062E-16	3.065439E-17	1.487052E-15
4.140000E+03	7.524266E-16	3.544896E-17	1.486803E-15
4.145000E+03	7.397238E-16	3.789593E-17	1.486553E-15
4.150000E+03	7.279607E-16	3.776029E-17	1.486301E-15
4.155000E+03	7.240026E-16	3.693656E-17	1.486048E-15
4.160000E+03	7.284544E-16	3.677582E-17	1.485793E-15
4.165000E+03	7.295614E-16	4.014478E-17	1.485536E-15
4.170000E+03	7.313652E-16	4.509002E-17	1.485277E-15
4.175000E+03	7.339842E-16	4.950672E-17	1.485016E-15
4.180000E+03	7.385019E-16	5.761338E-17	1.484754E-15
4.185000E+03	7.432545E-16	6.184235E-17	1.484490E-15
4.190000E+03	7.487467E-16	5.988060E-17	1.484224E-15
4.195000E+03	7.564173E-16	5.740168E-17	1.483957E-15
4.200000E+03	7.651970E-16	5.748329E-17	1.483687E-15
4.205000E+03	7.729637E-16	5.777990E-17	1.483416E-15
4.210000E+03	7.804300E-16	5.817649E-17	1.483143E-15
4.215000E+03	7.867804E-16	5.407609E-17	1.482869E-15
4.220000E+03	7.927271E-16	4.104003E-17	1.482592E-15
4.225000E+03	7.977812E-16	4.003019E-17	1.482314E-15
4.230000E+03	8.000461E-16	3.541818E-17	1.482033E-15
4.235000E+03	8.011237E-16	3.035333E-17	1.481751E-15
4.240000E+03	7.989110E-16	2.930642E-17	1.481468E-15
4.245000E+03	7.952466E-16	2.928759E-17	1.481182E-15
4.250000E+03	7.898202E-16	2.849949E-17	1.480894E-15
4.255000E+03	7.868231E-16	2.949227E-17	1.480605E-15
4.260000E+03	7.800365E-16	2.949998E-17	1.480314E-15
4.265000E+03	7.764040E-16	2.866583E-17	1.480021E-15
4.270000E+03	7.747104E-16	2.801695E-17	1.479726E-15
4.275000E+03	7.700871E-16	2.804248E-17	1.479429E-15
4.280000E+03	7.645623E-16	2.774165E-17	1.479130E-15
4.285000E+03	7.603401E-16	2.740976E-17	1.478829E-15
4.290000E+03	7.600959E-16	2.739678E-17	1.478527E-15
4.295000E+03	7.650688E-16	2.638930E-17	1.478222E-15
4.300000E+03	7.665950E-16	2.632642E-17	1.477916E-15
4.305000E+03	7.655042E-16	2.577465E-17	1.477608E-15
4.310000E+03	7.647526E-16	2.618255E-17	1.477298E-15
4.315000E+03	7.612235E-16	2.702934E-17	1.476985E-15
4.320000E+03	7.576505E-16	2.672332E-17	1.476671E-15
4.325000E+03	7.523212E-16	2.584838E-17	1.476355E-15
4.330000E+03	7.456350E-16	2.556797E-17	1.476037E-15
4.335000E+03	7.406626E-16	2.808510E-17	1.475717E-15
4.340000E+03	7.379043E-16	2.961470E-17	1.475396E-15
4.345000E+03	7.323141E-16	2.944943E-17	1.475072E-15
4.350000E+03	7.275806E-16	2.915071E-17	1.474746E-15
4.355000E+03	7.218456E-16	2.905289E-17	1.474418E-15
4.360000E+03	7.137093E-16	2.921539E-17	1.474088E-15
4.365000E+03	7.064599E-16	2.812514E-17	1.473756E-15
4.370000E+03	7.007303E-16	2.894919E-17	1.473423E-15
4.375000E+03	6.957242E-16	2.923622E-17	1.473087E-15
4.380000E+03	6.897914E-16	2.937269E-17	1.472749E-15
4.385000E+03	6.867316E-16	2.442381E-17	1.472409E-15
4.390000E+03	6.848351E-16	2.979772E-17	1.472067E-15
4.395000E+03	6.853373E-16	2.964883E-17	1.471723E-15
4.400000E+03	6.882367E-16	2.989661E-17	1.471377E-15
4.405000E+03	6.915749E-16	2.993404E-17	1.471029E-15
4.410000E+03	6.951900E-16	3.436364E-17	1.470679E-15
4.415000E+03	6.991992E-16	3.602351E-17	1.470327E-15
4.420000E+03	7.050724E-16	3.550458E-17	1.469973E-15
4.425000E+03	7.115001E-16	3.503310E-17	1.469616E-15
4.430000E+03	7.172477E-16	3.733838E-17	1.469258E-15
4.435000E+03	7.226830E-16	3.881389E-17	1.468898E-15
4.440000E+03	7.269398E-16	3.615376E-17	1.468536E-15
4.445000E+03	7.328524E-16	3.621906E-17	1.468171E-15
4.450000E+03	7.383353E-16	3.587654E-17	1.467805E-15
4.455000E+03	7.419067E-16	3.588697E-17	1.467437E-15
4.460000E+03	7.418956E-16	3.242650E-17	1.467067E-15
4.465000E+03	7.445235E-16	2.949764E-17	1.466695E-15
4.470000E+03	7.472517E-16	3.011510E-17	1.466321E-15
4.475000E+03	7.469575E-16	3.038192E-17	1.465945E-15
4.480000E+03	7.448598E-16	2.774212E-17	1.465567E-15
4.485000E+03	7.425716E-16	2.500277E-17	1.465187E-15
4.490000E+03	7.389359E-16	2.376935E-17	1.464806E-15
4.495000E+03	7.349789E-16	2.361633E-17	1.464422E-15
4.500000E+03	7.327067E-16	2.406944E-17	1.464037E-15
4.505000E+03	7.289124E-16	2.449664E-17	1.463650E-15
4.510000E+03	7.253971E-16	2.211195E-17	1.463261E-15
4.515000E+03	7.188399E-16	2.166857E-17	1.462870E-15
4.520000E+03	7.140841E-16	2.193227E-17	1.462478E-15
4.525000E+03	7.088035E-16	2.146273E-17	1.462084E-15
4.530000E+03	7.044750E-16	2.123871E-17	1.461688E-15
4.535000E+03	7.054523E-16	2.297750E-17	1.461290E-15
4.540000E+03	7.063112E-16	2.570019E-17	1.460890E-15
4.545000E+03	7.061026E-16	2.605709E-17	1.460489E-15
4.550000E+03	7.075139E-16	2.639705E-17	1.460086E-15
4.555000E+03	7.076097E-16	2.760906E-17	1.459681E-15
4.560000E+03	7.072814E-16	2.833419E-17	1.459275E-15
4.565000E+03	7.060769E-16	2.970698E-17	1.458867E-15
4.570000E+03	7.044348E-16	2.962663E-17	1.458457E-15
4.575000E+03	7.029384E-16	2.979582E-17	1.458046E-15
4.580000E+03	7.006403E-16	2.998677E-17	1.457633E-15
4.585000E+03	7.007178E-16	2.834106E-17	1.457218E-15
4.590000E+03	7.019161E-16	2.428222E-17	1.456802E-15
4.595000E+03	7.033751E-16	2.278536E-17	1.456384E-15
4.600000E+03	7.056185E-16	2.391913E-17	1.455964E-15
4.605000E+03	7.060257E-16	2.416193E-17	1.455543E-15
4.610000E+03	7.057625E-16	2.512571E-17	1.455120E-15
4.615000E+03	7.065023E-16	2.429126E-17	1.454696E-15
4.620000E+03	7.077207E-16	2.332119E-17	1.454270E-15
4.625000E+03	7.094464E-16	2.375137E-17	1.453843E-15
4.630000E+03	7.117806E-16	2.278165E-17	1.453414E-15
4.635000E+03	7.159288E-16	2.302958E-17	1.452984E-15
4.640000E+03	7.210759E-16	2.524149E-17	1.452552E-15
