#wls	flux	fluxerr
1.591072E+03	9.857513E-04	2.714590E-05
1.630849E+03	9.927720E-04	2.725388E-05
1.670626E+03	1.001267E-03	2.739898E-05
1.710403E+03	1.011244E-03	2.758093E-05
1.750180E+03	1.022803E-03	2.780196E-05
1.789957E+03	1.036125E-03	2.806644E-05
1.829733E+03	1.051041E-03	2.836921E-05
1.869510E+03	1.067818E-03	2.871689E-05
1.909287E+03	1.086467E-03	2.910906E-05
1.949064E+03	1.107007E-03	2.954553E-05
1.988841E+03	1.129392E-03	3.002432E-05
2.028617E+03	1.153668E-03	3.054595E-05
2.068394E+03	1.179748E-03	3.110731E-05
2.108171E+03	1.207425E-03	3.170220E-05
2.147948E+03	1.236746E-03	3.233111E-05
2.187725E+03	1.267498E-03	3.298771E-05
2.227501E+03	1.299578E-03	3.366866E-05
2.267278E+03	1.333060E-03	3.437514E-05
2.307055E+03	1.368175E-03	3.511237E-05
2.346832E+03	1.405376E-03	3.589110E-05
2.386609E+03	1.445197E-03	3.672385E-05
2.426386E+03	1.488188E-03	3.762331E-05
2.466162E+03	1.535120E-03	3.860733E-05
2.505939E+03	1.586599E-03	3.968930E-05
2.545716E+03	1.643412E-03	4.088665E-05
2.585493E+03	1.706213E-03	4.221307E-05
2.625270E+03	1.775798E-03	4.368536E-05
2.665046E+03	1.852931E-03	4.531895E-05
2.704823E+03	1.938488E-03	4.713155E-05
2.744600E+03	2.033470E-03	4.914338E-05
2.784377E+03	2.138973E-03	5.137613E-05
2.824154E+03	2.256261E-03	5.385494E-05
2.863930E+03	2.386928E-03	5.661184E-05
2.903707E+03	2.532673E-03	5.968037E-05
2.943484E+03	2.695790E-03	6.310685E-05
2.983261E+03	2.878701E-03	6.693907E-05
2.993205E+03	2.927937E-03	6.796905E-05
3.003149E+03	2.978602E-03	6.902802E-05
3.013094E+03	3.030738E-03	7.011682E-05
3.023038E+03	3.084529E-03	7.123950E-05
3.032982E+03	3.139955E-03	7.239542E-05
3.042926E+03	3.197068E-03	7.358555E-05
3.052870E+03	3.255989E-03	7.481246E-05
3.062815E+03	3.316704E-03	7.607562E-05
3.072759E+03	3.379267E-03	7.737607E-05
3.082703E+03	3.443881E-03	7.871818E-05
3.092647E+03	3.510463E-03	8.009986E-05
3.102591E+03	3.579149E-03	8.152392E-05
3.112536E+03	3.649930E-03	8.298993E-05
3.122480E+03	3.723093E-03	8.450415E-05
3.132424E+03	3.798491E-03	8.606291E-05
3.142368E+03	3.876266E-03	8.766923E-05
3.152312E+03	3.956570E-03	8.932619E-05
3.162257E+03	4.039479E-03	9.103525E-05
3.172201E+03	4.124923E-03	9.279449E-05
3.182145E+03	4.213213E-03	9.461056E-05
3.192089E+03	4.304281E-03	9.648164E-05
3.202033E+03	4.398290E-03	9.841104E-05
3.211978E+03	4.495253E-03	1.003987E-04
3.221922E+03	4.595341E-03	1.024480E-04
3.231866E+03	4.698650E-03	1.045608E-04
3.241810E+03	4.805278E-03	1.067389E-04
3.251754E+03	4.915243E-03	1.089822E-04
3.261699E+03	5.028730E-03	1.112945E-04
3.271643E+03	5.145844E-03	1.136777E-04
3.281587E+03	5.266608E-03	1.161318E-04
3.291531E+03	5.391219E-03	1.186607E-04
3.301475E+03	5.519698E-03	1.212645E-04
3.311420E+03	5.652256E-03	1.239474E-04
3.321364E+03	5.788914E-03	1.267092E-04
3.331308E+03	5.929797E-03	1.295523E-04
3.341252E+03	6.075027E-03	1.324789E-04
3.351196E+03	6.224721E-03	1.354910E-04
3.361141E+03	6.379018E-03	1.385910E-04
3.371085E+03	6.537946E-03	1.417792E-04
3.381029E+03	6.701744E-03	1.450600E-04
3.390973E+03	6.870348E-03	1.484317E-04
3.400917E+03	7.044095E-03	1.519008E-04
3.410862E+03	7.222939E-03	1.554660E-04
3.420806E+03	7.407027E-03	1.591296E-04
3.430750E+03	7.596515E-03	1.628945E-04
3.440694E+03	7.791468E-03	1.667616E-04
3.450638E+03	7.992154E-03	1.707358E-04
3.460583E+03	8.198660E-03	1.748186E-04
3.470527E+03	8.411063E-03	1.790108E-04
3.480471E+03	8.629572E-03	1.833162E-04
3.490415E+03	8.854297E-03	1.877366E-04
3.500359E+03	9.085586E-03	1.922787E-04
3.510304E+03	9.323353E-03	1.969399E-04
3.520248E+03	9.567990E-03	2.017279E-04
3.530192E+03	9.819676E-03	2.066456E-04
3.540136E+03	1.007875E-02	2.116996E-04
3.550080E+03	1.034531E-02	2.168910E-04
3.560025E+03	1.061963E-02	2.222248E-04
3.569969E+03	1.090221E-02	2.277110E-04
3.579913E+03	1.119311E-02	2.333496E-04
3.589857E+03	1.149289E-02	2.391516E-04
3.599802E+03	1.180184E-02	2.451220E-04
3.609746E+03	1.212009E-02	2.512628E-04
3.619690E+03	1.244777E-02	2.575758E-04
3.629634E+03	1.278494E-02	2.640611E-04
3.639578E+03	1.313124E-02	2.707104E-04
3.649523E+03	1.348663E-02	2.775225E-04
3.659467E+03	1.385046E-02	2.844827E-04
3.669411E+03	1.422241E-02	2.915839E-04
3.679355E+03	1.460195E-02	2.988147E-04
3.689299E+03	1.498867E-02	3.061658E-04
3.699244E+03	1.538176E-02	3.136204E-04
3.709188E+03	1.578069E-02	3.211666E-04
3.719132E+03	1.618469E-02	3.287888E-04
3.729076E+03	1.659311E-02	3.364735E-04
3.739020E+03	1.700509E-02	3.442026E-04
3.748965E+03	1.741984E-02	3.519602E-04
3.758909E+03	1.783636E-02	3.597257E-04
3.768853E+03	1.825355E-02	3.674774E-04
3.778797E+03	1.867078E-02	3.752025E-04
3.788741E+03	1.908645E-02	3.828693E-04
3.798686E+03	1.949962E-02	3.904590E-04
3.799133E+03	1.497269E-02	2.997881E-04
3.800595E+03	1.507110E-02	3.016793E-04
3.802057E+03	1.516531E-02	3.034855E-04
3.803518E+03	1.526488E-02	3.053981E-04
3.804980E+03	1.539994E-02	3.080196E-04
3.806442E+03	1.555419E-02	3.110232E-04
3.807904E+03	1.572141E-02	3.142847E-04
3.809366E+03	1.580532E-02	3.158795E-04
3.810827E+03	1.586756E-02	3.170405E-04
3.812289E+03	1.603515E-02	3.203053E-04
3.813751E+03	1.621151E-02	3.237436E-04
3.815213E+03	1.643637E-02	3.281482E-04
3.816675E+03	1.665394E-02	3.324052E-04
3.818136E+03	1.696963E-02	3.386178E-04
3.819598E+03	1.726650E-02	3.444518E-04
3.821060E+03	1.757978E-02	3.506100E-04
3.822522E+03	1.786099E-02	3.561257E-04
3.823984E+03	1.787784E-02	3.563688E-04
3.825445E+03	1.791584E-02	3.570332E-04
3.826907E+03	1.801109E-02	3.588379E-04
3.828369E+03	1.799271E-02	3.583785E-04
3.829831E+03	1.806289E-02	3.596826E-04
3.831293E+03	1.816016E-02	3.615255E-04
3.832754E+03	1.807127E-02	3.596624E-04
3.834216E+03	1.814062E-02	3.609490E-04
3.835678E+03	1.814172E-02	3.608770E-04
3.837140E+03	1.814056E-02	3.607603E-04
3.838602E+03	1.849582E-02	3.677298E-04
3.840063E+03	1.880346E-02	3.737492E-04
