#wls	flux	fluxerr
1.591072E+03	1.226318E-03	1.164487E-05
1.630849E+03	1.241565E-03	1.175057E-05
1.670626E+03	1.258569E-03	1.187093E-05
1.710403E+03	1.277856E-03	1.201064E-05
1.750180E+03	1.299341E-03	1.216863E-05
1.789957E+03	1.323176E-03	1.234604E-05
1.829733E+03	1.349626E-03	1.254499E-05
1.869510E+03	1.378728E-03	1.276546E-05
1.909287E+03	1.410631E-03	1.300846E-05
1.949064E+03	1.445494E-03	1.327502E-05
1.988841E+03	1.483268E-03	1.356424E-05
2.028617E+03	1.524237E-03	1.387827E-05
2.068394E+03	1.568180E-03	1.421457E-05
2.108171E+03	1.614915E-03	1.457101E-05
2.147948E+03	1.664394E-03	1.494664E-05
2.187725E+03	1.716311E-03	1.533823E-05
2.227501E+03	1.770117E-03	1.574040E-05
2.267278E+03	1.826089E-03	1.615519E-05
2.307055E+03	1.884342E-03	1.658310E-05
2.346832E+03	1.945774E-03	1.703150E-05
2.386609E+03	2.011395E-03	1.750852E-05
2.426386E+03	2.082233E-03	1.802222E-05
2.466162E+03	2.159449E-03	1.858158E-05
2.505939E+03	2.243891E-03	1.919263E-05
2.545716E+03	2.336848E-03	1.986491E-05
2.585493E+03	2.439248E-03	2.060463E-05
2.625270E+03	2.552231E-03	2.141947E-05
2.665046E+03	2.676899E-03	2.231651E-05
2.704823E+03	2.814615E-03	2.330467E-05
2.744600E+03	2.966764E-03	2.439262E-05
2.784377E+03	3.134874E-03	2.558985E-05
2.824154E+03	3.320932E-03	2.690906E-05
2.863930E+03	3.527163E-03	2.836428E-05
2.903707E+03	3.756460E-03	2.997423E-05
2.943484E+03	4.012385E-03	3.176203E-05
2.983261E+03	4.299276E-03	3.375584E-05
2.993205E+03	4.376400E-03	3.429009E-05
3.003149E+03	4.455875E-03	3.483990E-05
3.013094E+03	4.537776E-03	3.540574E-05
3.023038E+03	4.622286E-03	3.598888E-05
3.032982E+03	4.709386E-03	3.658904E-05
3.042926E+03	4.799164E-03	3.720676E-05
3.052870E+03	4.891917E-03	3.784416E-05
3.062815E+03	4.987535E-03	3.850025E-05
3.072759E+03	5.086326E-03	3.917723E-05
3.082703E+03	5.188292E-03	3.987494E-05
3.092647E+03	5.293543E-03	4.059404E-05
3.102591E+03	5.402406E-03	4.133685E-05
3.112536E+03	5.514791E-03	4.210246E-05
3.122480E+03	5.630932E-03	4.289247E-05
3.132424E+03	5.750953E-03	4.370759E-05
3.142368E+03	5.875117E-03	4.454961E-05
3.152312E+03	6.003445E-03	4.541843E-05
3.162257E+03	6.136209E-03	4.631588E-05
3.172201E+03	6.273557E-03	4.724281E-05
3.182145E+03	6.415553E-03	4.819943E-05
3.192089E+03	6.562466E-03	4.918749E-05
3.202033E+03	6.714605E-03	5.020901E-05
3.211978E+03	6.871917E-03	5.126329E-05
3.221922E+03	7.034827E-03	5.235320E-05
3.231866E+03	7.203302E-03	5.347814E-05
3.241810E+03	7.377909E-03	5.464201E-05
3.251754E+03	7.558505E-03	5.584337E-05
3.261699E+03	7.745421E-03	5.708432E-05
3.271643E+03	7.939022E-03	5.836715E-05
3.281587E+03	8.139424E-03	5.969233E-05
3.291531E+03	8.346988E-03	6.106208E-05
3.301475E+03	8.561713E-03	6.247599E-05
3.311420E+03	8.783989E-03	6.393643E-05
3.321364E+03	9.014077E-03	6.544487E-05
3.331308E+03	9.252243E-03	6.700275E-05
3.341252E+03	9.498762E-03	6.861158E-05
3.351196E+03	9.753774E-03	7.027185E-05
3.361141E+03	1.001756E-02	7.198509E-05
3.371085E+03	1.029040E-02	7.375269E-05
3.381029E+03	1.057256E-02	7.557611E-05
3.390973E+03	1.086419E-02	7.745578E-05
3.400917E+03	1.116555E-02	7.939299E-05
3.410862E+03	1.147690E-02	8.138903E-05
3.420806E+03	1.179837E-02	8.344404E-05
3.430750E+03	1.213018E-02	8.555912E-05
3.440694E+03	1.247256E-02	8.773518E-05
3.450638E+03	1.282540E-02	8.997084E-05
3.460583E+03	1.318905E-02	9.226778E-05
