#wls	flux	fluxerr
1.591072E+03	1.201339E-05	1.866984E-07
1.630849E+03	1.273391E-05	1.974141E-07
1.670626E+03	1.331248E-05	2.058684E-07
1.710403E+03	1.372060E-05	2.116369E-07
1.750180E+03	1.392702E-05	2.142578E-07
1.789957E+03	1.387368E-05	2.128638E-07
1.829733E+03	1.349500E-05	2.064839E-07
1.869510E+03	1.274487E-05	1.944567E-07
1.909287E+03	1.161283E-05	1.766729E-07
1.949064E+03	1.016107E-05	1.541294E-07
1.988841E+03	8.548164E-06	1.292714E-07
2.028617E+03	7.014785E-06	1.057539E-07
2.068394E+03	5.810498E-06	8.732048E-08
2.108171E+03	5.112461E-06	7.658102E-08
2.147948E+03	5.010577E-06	7.480568E-08
2.187725E+03	5.557744E-06	8.269284E-08
2.227501E+03	6.816221E-06	1.010652E-07
2.267278E+03	8.847026E-06	1.307104E-07
2.307055E+03	1.167019E-05	1.717952E-07
2.346832E+03	1.524534E-05	2.235914E-07
2.386609E+03	1.948659E-05	2.847106E-07
2.426386E+03	2.429476E-05	3.535853E-07
2.466162E+03	2.958903E-05	4.289336E-07
2.505939E+03	3.531603E-05	5.098853E-07
2.545716E+03	4.145872E-05	5.961024E-07
2.585493E+03	4.802713E-05	6.876366E-07
2.625270E+03	5.505949E-05	7.849366E-07
2.665046E+03	6.261325E-05	8.887122E-07
2.704823E+03	7.076584E-05	9.999387E-07
2.744600E+03	7.961402E-05	1.119841E-06
2.784377E+03	8.927219E-05	1.249863E-06
2.824154E+03	9.987649E-05	1.391717E-06
2.863930E+03	1.115942E-04	1.547509E-06
2.903707E+03	1.246178E-04	1.719641E-06
2.943484E+03	1.391930E-04	1.911191E-06
2.983261E+03	1.556037E-04	2.125684E-06
2.993205E+03	1.600371E-04	2.183442E-06
3.003149E+03	1.646107E-04	2.242946E-06
3.013094E+03	1.693304E-04	2.304270E-06
3.023038E+03	1.742223E-04	2.367760E-06
3.032982E+03	1.793351E-04	2.434065E-06
3.042926E+03	1.847270E-04	2.503965E-06
3.052870E+03	1.904021E-04	2.577497E-06
3.062815E+03	1.963573E-04	2.654605E-06
3.072759E+03	2.025941E-04	2.735294E-06
3.082703E+03	2.091234E-04	2.819693E-06
3.092647E+03	2.159399E-04	2.907715E-06
3.102591E+03	2.230517E-04	2.999453E-06
3.112536E+03	2.304589E-04	3.094892E-06
3.122480E+03	2.381806E-04	3.194269E-06
3.132424E+03	2.462090E-04	3.297464E-06
3.142368E+03	2.545554E-04	3.404611E-06
3.152312E+03	2.632325E-04	3.515859E-06
3.162257E+03	2.722488E-04	3.631303E-06
3.172201E+03	2.816035E-04	3.750916E-06
3.182145E+03	2.913220E-04	3.875011E-06
3.192089E+03	3.014048E-04	4.003578E-06
3.202033E+03	3.118693E-04	4.136824E-06
3.211978E+03	3.227226E-04	4.274823E-06
3.221922E+03	3.339842E-04	4.417810E-06
3.231866E+03	3.456691E-04	4.565959E-06
3.241810E+03	3.577932E-04	4.719454E-06
3.251754E+03	3.703668E-04	4.878408E-06
3.261699E+03	3.834143E-04	5.043114E-06
3.271643E+03	3.969548E-04	5.213795E-06
3.281587E+03	4.110019E-04	5.390602E-06
3.291531E+03	4.255830E-04	5.573865E-06
3.301475E+03	4.407140E-04	5.763759E-06
3.311420E+03	4.564251E-04	5.960648E-06
3.321364E+03	4.727338E-04	6.164725E-06
3.331308E+03	4.896657E-04	6.376291E-06
3.341252E+03	5.072473E-04	6.595652E-06
3.351196E+03	5.255064E-04	6.823133E-06
3.361141E+03	5.444712E-04	7.059059E-06
3.371085E+03	5.641636E-04	7.303673E-06
3.381029E+03	5.846211E-04	7.557419E-06
3.390973E+03	6.058583E-04	7.820440E-06
3.400917E+03	6.279229E-04	8.093305E-06
3.410862E+03	6.508289E-04	8.376147E-06
3.420806E+03	6.746071E-04	8.669314E-06
3.430750E+03	6.992882E-04	8.973148E-06
3.440694E+03	7.248931E-04	9.287865E-06
3.450638E+03	7.514596E-04	9.613895E-06
3.460583E+03	7.790057E-04	9.951415E-06
3.470527E+03	8.075464E-04	1.030056E-05
3.480471E+03	8.371043E-04	1.066155E-05
3.490415E+03	8.676868E-04	1.103444E-05
3.500359E+03	8.993205E-04	1.141949E-05
3.510304E+03	9.319810E-04	1.181634E-05
3.520248E+03	9.656836E-04	1.222512E-05
3.530192E+03	1.000413E-03	1.264559E-05
3.540136E+03	1.036160E-03	1.307756E-05
3.550080E+03	1.072880E-03	1.352042E-05
3.560025E+03	1.110531E-03	1.397359E-05
3.569969E+03	1.149091E-03	1.443673E-05
3.579913E+03	1.188472E-03	1.490868E-05
3.589857E+03	1.228634E-03	1.538891E-05
3.599802E+03	1.269502E-03	1.587644E-05
3.609746E+03	1.310986E-03	1.637009E-05
3.619690E+03	1.353024E-03	1.686906E-05
3.629634E+03	1.395620E-03	1.737339E-05
3.639578E+03	1.438766E-03	1.788292E-05
3.649523E+03	1.482507E-03	1.839821E-05
3.659467E+03	1.526839E-03	1.891915E-05
3.669411E+03	1.571806E-03	1.944628E-05
3.679355E+03	1.617440E-03	1.997996E-05
3.689299E+03	1.663793E-03	2.052079E-05
3.699244E+03	1.710881E-03	2.106892E-05
3.709188E+03	1.758751E-03	2.162489E-05
3.719132E+03	1.807430E-03	2.218901E-05
3.729076E+03	1.856958E-03	2.276172E-05
3.739020E+03	1.907352E-03	2.334315E-05
3.748965E+03	1.958635E-03	2.393359E-05
3.758909E+03	2.010807E-03	2.453295E-05
3.768853E+03	2.063852E-03	2.514102E-05
3.778797E+03	2.117801E-03	2.575810E-05
3.788741E+03	2.172568E-03	2.638312E-05
3.798686E+03	2.228129E-03	2.701574E-05
3.808630E+03	2.284433E-03	2.765531E-05
3.818574E+03	2.341339E-03	2.830007E-05
3.828518E+03	2.398721E-03	2.894849E-05
3.838462E+03	2.456444E-03	2.959891E-05
3.848407E+03	2.514319E-03	3.024905E-05
