#wls	flux	fluxerr
1.591072E+03	9.609462E-06	2.571501E-07
1.630849E+03	9.211754E-06	2.452479E-07
1.670626E+03	1.067060E-05	2.825921E-07
1.710403E+03	9.930474E-06	2.615657E-07
1.750180E+03	1.118834E-05	2.930523E-07
1.789957E+03	1.115811E-05	2.905801E-07
1.829733E+03	1.086784E-05	2.813448E-07
1.869510E+03	9.238964E-06	2.377180E-07
1.909287E+03	9.381133E-06	2.398598E-07
1.949064E+03	7.378639E-06	1.874389E-07
1.988841E+03	6.932777E-06	1.749393E-07
2.028617E+03	5.703400E-06	1.429300E-07
2.068394E+03	4.241354E-06	1.055392E-07
2.108171E+03	3.742175E-06	9.244025E-08
2.147948E+03	4.113182E-06	1.008433E-07
2.187725E+03	4.095614E-06	9.963741E-08
2.227501E+03	5.040203E-06	1.216423E-07
2.267278E+03	7.336630E-06	1.756153E-07
2.307055E+03	8.680344E-06	2.060273E-07
2.346832E+03	1.271363E-05	2.991362E-07
2.386609E+03	1.630099E-05	3.801116E-07
2.426386E+03	1.826894E-05	4.220766E-07
2.466162E+03	2.493360E-05	5.705884E-07
2.505939E+03	2.988239E-05	6.771563E-07
2.545716E+03	3.522982E-05	7.902996E-07
2.585493E+03	3.686983E-05	8.185180E-07
2.625270E+03	4.719032E-05	1.036454E-06
2.665046E+03	5.388393E-05	1.170460E-06
2.704823E+03	5.520167E-05	1.185511E-06
2.744600E+03	6.899756E-05	1.464520E-06
2.784377E+03	7.757078E-05	1.626728E-06
2.824154E+03	8.694312E-05	1.800737E-06
2.863930E+03	8.827183E-05	1.804987E-06
2.903707E+03	1.085624E-04	2.190795E-06
2.943484E+03	1.211149E-04	2.411126E-06
2.983261E+03	1.350917E-04	2.652010E-06
2.993205E+03	1.388402E-04	2.715904E-06
3.003149E+03	1.301151E-04	2.536113E-06
3.013094E+03	1.466633E-04	2.848346E-06
3.023038E+03	1.507593E-04	2.917253E-06
3.032982E+03	1.415088E-04	2.728228E-06
3.042926E+03	1.595231E-04	3.064194E-06
3.052870E+03	1.642337E-04	3.142958E-06
3.062815E+03	1.691688E-04	3.225289E-06
3.072759E+03	1.743204E-04	3.310982E-06
3.082703E+03	1.796950E-04	3.400107E-06
3.092647E+03	1.852885E-04	3.492539E-06
3.102591E+03	1.911012E-04	3.588230E-06
3.112536E+03	1.805081E-04	3.376177E-06
3.122480E+03	1.863242E-04	3.471341E-06
3.132424E+03	2.098961E-04	3.895110E-06
3.142368E+03	1.986025E-04	3.670919E-06
3.152312E+03	2.235705E-04	4.115920E-06
3.162257E+03	2.307594E-04	4.231179E-06
3.172201E+03	2.381920E-04	4.349771E-06
3.182145E+03	2.458683E-04	4.471633E-06
3.192089E+03	2.537957E-04	4.596842E-06
3.202033E+03	2.619792E-04	4.725425E-06
3.211978E+03	2.487853E-04	4.468735E-06
3.221922E+03	2.569346E-04	4.595737E-06
3.231866E+03	2.881113E-04	5.131598E-06
3.241810E+03	2.973710E-04	5.273969E-06
3.251754E+03	3.069198E-04	5.419975E-06
3.261699E+03	3.167599E-04	5.569582E-06
