#wls	flux	fluxerr
1.591072E+03	1.370018E-18	1.425715E-20
1.630849E+03	1.457885E-18	1.511748E-20
1.670626E+03	1.528556E-18	1.579225E-20
1.710403E+03	1.578681E-18	1.624871E-20
1.750180E+03	1.604046E-18	1.644590E-20
1.789957E+03	1.597515E-18	1.631378E-20
1.829733E+03	1.551395E-18	1.577805E-20
1.869510E+03	1.460120E-18	1.478737E-20
1.909287E+03	1.322992E-18	1.334074E-20
1.949064E+03	1.148315E-18	1.152796E-20
1.988841E+03	9.558626E-19	9.552161E-21
2.028617E+03	7.747033E-19	7.705513E-21
2.068394E+03	6.338195E-19	6.273868E-21
2.108171E+03	5.525651E-19	5.442508E-21
2.147948E+03	5.399868E-19	5.291578E-21
2.187725E+03	6.020127E-19	5.868584E-21
2.227501E+03	7.473110E-19	7.245897E-21
2.267278E+03	9.860263E-19	9.507762E-21
2.307055E+03	1.324166E-18	1.269596E-20
2.346832E+03	1.760653E-18	1.678274E-20
2.386609E+03	2.287987E-18	2.167901E-20
2.426386E+03	2.895962E-18	2.727122E-20
2.466162E+03	3.575727E-18	3.346026E-20
2.505939E+03	4.321366E-18	4.017582E-20
2.545716E+03	5.130535E-18	4.738148E-20
2.585493E+03	6.005281E-18	5.508121E-20
2.625270E+03	6.950024E-18	6.329950E-20
2.665046E+03	7.972469E-18	7.208892E-20
2.704823E+03	9.081805E-18	8.151273E-20
2.744600E+03	1.029036E-17	9.165900E-20
2.784377E+03	1.161161E-17	1.026220E-19
2.824154E+03	1.306212E-17	1.145181E-19
2.863930E+03	1.466169E-17	1.274868E-19
2.903707E+03	1.643440E-17	1.416971E-19
2.943484E+03	1.840994E-17	1.573580E-19
2.983261E+03	2.062480E-17	1.747257E-19
2.993205E+03	2.122072E-17	1.793677E-19
3.003149E+03	2.183530E-17	1.841424E-19
3.013094E+03	2.246875E-17	1.890505E-19
3.023038E+03	2.312443E-17	1.941189E-19
3.032982E+03	2.380898E-17	1.994017E-19
3.042926E+03	2.452930E-17	2.049549E-19
3.052870E+03	2.528672E-17	2.107871E-19
3.062815E+03	2.608220E-17	2.169041E-19
3.072759E+03	2.691468E-17	2.232945E-19
3.082703E+03	2.778534E-17	2.299659E-19
3.092647E+03	2.869382E-17	2.369125E-19
3.102591E+03	2.964093E-17	2.441389E-19
3.112536E+03	3.062704E-17	2.516454E-19
3.122480E+03	3.165257E-17	2.594328E-19
3.132424E+03	3.271804E-17	2.675028E-19
3.142368E+03	3.382463E-17	2.758625E-19
3.152312E+03	3.497244E-17	2.845098E-19
3.162257E+03	3.616283E-17	2.934530E-19
3.172201E+03	3.739667E-17	3.026961E-19
3.182145E+03	3.867489E-17	3.122439E-19
3.192089E+03	3.999924E-17	3.221074E-19
3.202033E+03	4.136942E-17	3.322809E-19
3.211978E+03	4.278884E-17	3.427887E-19
3.221922E+03	4.425662E-17	3.536203E-19
3.231866E+03	4.577639E-17	3.648013E-19
3.241810E+03	4.734819E-17	3.763284E-19
3.251754E+03	4.897445E-17	3.882173E-19
3.261699E+03	5.065689E-17	4.004777E-19
3.271643E+03	5.239655E-17	4.131139E-19
3.281587E+03	5.419700E-17	4.261500E-19
3.291531E+03	5.605873E-17	4.395855E-19
3.301475E+03	5.798381E-17	4.534322E-19
3.311420E+03	5.997629E-17	4.677173E-19
3.321364E+03	6.203678E-17	4.824408E-19
3.331308E+03	6.416776E-17	4.976171E-19
3.341252E+03	6.637178E-17	5.132608E-19
3.351196E+03	6.865248E-17	5.293948E-19
3.361141E+03	7.101065E-17	5.460197E-19
3.371085E+03	7.344913E-17	5.631517E-19
3.381029E+03	7.597180E-17	5.808147E-19
3.390973E+03	7.858057E-17	5.990172E-19
3.400917E+03	8.127846E-17	6.177760E-19
3.410862E+03	8.406633E-17	6.370911E-19
3.420806E+03	8.694825E-17	6.569868E-19
3.430750E+03	8.992711E-17	6.774779E-19
3.440694E+03	9.300372E-17	6.985636E-19
3.450638E+03	9.618078E-17	7.202570E-19
3.460583E+03	9.945987E-17	7.425623E-19
3.470527E+03	1.028448E-16	7.655004E-19
3.480471E+03	1.063342E-16	7.890541E-19
3.490415E+03	1.099315E-16	8.132403E-19
3.500359E+03	1.136361E-16	8.380460E-19
3.510304E+03	1.174479E-16	8.634646E-19
3.520248E+03	1.213669E-16	8.894862E-19
3.530192E+03	1.253909E-16	9.160875E-19
3.540136E+03	1.295201E-16	9.432614E-19
