#wls	flux	fluxerr
1.591072E+03	5.940591E-19	1.213830E-20
1.630849E+03	6.367133E-19	1.297679E-20
1.670626E+03	6.720097E-19	1.366056E-20
1.710403E+03	6.980111E-19	1.415135E-20
1.750180E+03	7.129863E-19	1.441559E-20
1.789957E+03	7.131853E-19	1.437943E-20
1.829733E+03	6.952756E-19	1.397836E-20
1.869510E+03	6.565007E-19	1.316028E-20
1.909287E+03	5.964099E-19	1.192001E-20
1.949064E+03	5.186045E-19	1.033331E-20
1.988841E+03	4.323424E-19	8.587602E-21
2.028617E+03	3.507578E-19	6.944823E-21
2.068394E+03	2.871845E-19	5.667515E-21
2.108171E+03	2.505446E-19	4.927902E-21
2.147948E+03	2.450482E-19	4.803311E-21
2.187725E+03	2.735993E-19	5.344196E-21
2.227501E+03	3.404480E-19	6.626164E-21
2.267278E+03	4.506128E-19	8.738235E-21
2.307055E+03	6.077426E-19	1.174121E-20
2.346832E+03	8.116765E-19	1.562114E-20
2.386609E+03	1.059465E-18	2.031026E-20
2.426386E+03	1.346337E-18	2.570657E-20
2.466162E+03	1.667431E-18	3.170744E-20
2.505939E+03	2.019095E-18	3.823435E-20
2.545716E+03	2.399131E-18	4.523710E-20
2.585493E+03	2.806324E-18	5.268435E-20
2.625270E+03	3.241409E-18	6.058140E-20
2.665046E+03	3.705166E-18	6.893391E-20
2.704823E+03	4.199442E-18	7.776670E-20
2.744600E+03	4.727207E-18	8.712447E-20
2.784377E+03	5.290505E-18	9.703353E-20
2.824154E+03	5.892862E-18	1.075463E-19
2.863930E+03	6.538047E-18	1.187178E-19
2.903707E+03	7.229023E-18	1.305871E-19
2.943484E+03	7.969467E-18	1.432041E-19
2.983261E+03	8.764964E-18	1.566515E-19
2.993205E+03	8.972442E-18	1.601409E-19
3.003149E+03	9.183928E-18	1.636907E-19
3.013094E+03	9.398349E-18	1.672815E-19
3.023038E+03	9.617467E-18	1.709445E-19
3.032982E+03	9.843913E-18	1.747258E-19
3.042926E+03	1.008015E-17	1.786686E-19
3.052870E+03	1.032627E-17	1.827736E-19
3.062815E+03	1.058057E-17	1.870100E-19
3.072759E+03	1.084490E-17	1.914095E-19
3.082703E+03	1.111759E-17	1.959424E-19
3.092647E+03	1.139820E-17	2.005997E-19
3.102591E+03	1.168624E-17	2.053724E-19
3.112536E+03	1.198126E-17	2.102520E-19
3.122480E+03	1.228283E-17	2.152300E-19
3.132424E+03	1.259180E-17	2.203213E-19
3.142368E+03	1.290649E-17	2.254952E-19
3.152312E+03	1.322780E-17	2.307673E-19
3.162257E+03	1.355401E-17	2.361070E-19
3.172201E+03	1.388609E-17	2.415307E-19
3.182145E+03	1.422228E-17	2.470073E-19
3.192089E+03	1.456360E-17	2.525540E-19
3.202033E+03	1.490971E-17	2.581644E-19
3.211978E+03	1.526027E-17	2.638321E-19
3.221922E+03	1.561347E-17	2.695257E-19
3.231866E+03	1.597190E-17	2.752893E-19
3.241810E+03	1.633228E-17	2.810661E-19
3.251754E+03	1.669727E-17	2.869015E-19
3.261699E+03	1.706508E-17	2.927642E-19
3.271643E+03	1.743540E-17	2.986485E-19
3.281587E+03	1.780944E-17	3.045754E-19
3.291531E+03	1.818540E-17	3.105131E-19
3.301475E+03	1.856454E-17	3.164832E-19
3.311420E+03	1.894501E-17	3.224537E-19
3.321364E+03	1.932971E-17	3.284737E-19
3.331308E+03	1.971519E-17	3.344842E-19
3.341252E+03	2.010116E-17	3.404803E-19
3.351196E+03	2.049058E-17	3.465117E-19
3.361141E+03	2.088321E-17	3.525742E-19
3.371085E+03	2.127552E-17	3.586079E-19
3.381029E+03	2.167053E-17	3.646635E-19
3.390973E+03	2.206633E-17	3.707085E-19
3.400917E+03	2.246266E-17	3.767384E-19
3.410862E+03	2.286257E-17	3.828043E-19
3.420806E+03	2.326247E-17	3.888459E-19
3.430750E+03	2.366377E-17	3.948862E-19
3.440694E+03	2.406619E-17	4.009207E-19
3.450638E+03	2.446945E-17	4.069445E-19
3.460583E+03	2.487328E-17	4.129528E-19
3.470527E+03	2.527908E-17	4.189688E-19
3.480471E+03	2.568485E-17	4.249593E-19
3.490415E+03	2.609201E-17	4.309473E-19
3.500359E+03	2.650022E-17	4.369275E-19
3.510304E+03	2.690751E-17	4.428667E-19
3.520248E+03	2.731691E-17	4.488152E-19
3.530192E+03	2.772472E-17	4.547119E-19
3.540136E+03	2.813398E-17	4.606065E-19
3.550080E+03	2.854433E-17	4.664930E-19
3.560025E+03	2.895373E-17	4.723379E-19
3.569969E+03	2.936181E-17	4.781355E-19
3.579913E+03	2.976988E-17	4.839067E-19
3.589857E+03	3.017921E-17	4.896723E-19
3.599802E+03	3.058607E-17	4.953716E-19
3.609746E+03	3.099337E-17	5.010518E-19
3.619690E+03	3.139904E-17	5.066796E-19
3.629634E+03	3.180265E-17	5.122479E-19
3.639578E+03	3.220705E-17	5.178027E-19
3.649523E+03	3.260850E-17	5.232840E-19
3.659467E+03	3.300820E-17	5.287110E-19
3.669411E+03	3.340567E-17	5.340763E-19
3.679355E+03	3.380045E-17	5.393726E-19
3.689299E+03	3.419364E-17	5.446177E-19
3.699244E+03	3.458317E-17	5.497789E-19
3.709188E+03	3.497013E-17	5.548735E-19
3.719132E+03	3.535401E-17	5.598937E-19
3.729076E+03	3.573275E-17	5.648074E-19
3.739020E+03	3.610894E-17	5.696557E-19
3.748965E+03	3.648052E-17	5.744064E-19
3.758909E+03	3.684698E-17	5.790518E-19
3.768853E+03	3.720782E-17	5.835846E-19
3.778797E+03	3.756402E-17	5.880207E-19
3.788741E+03	3.791359E-17	5.923292E-19
3.798686E+03	3.825894E-17	5.965485E-19
3.808630E+03	3.859663E-17	6.006253E-19
3.818574E+03	3.892620E-17	6.045531E-19
3.828518E+03	3.925000E-17	6.083693E-19
3.838462E+03	3.956611E-17	6.120444E-19
3.848407E+03	3.987402E-17	6.155716E-19
3.858351E+03	4.017327E-17	6.189443E-19
3.868295E+03	4.046338E-17	6.221560E-19
3.874987E+03	3.477193E-17	5.339171E-19
3.876986E+03	3.572070E-17	5.482617E-19
3.878985E+03	3.655161E-17	5.607860E-19
3.880984E+03	3.763500E-17	5.771721E-19
3.882983E+03	3.876330E-17	5.942327E-19
3.884981E+03	4.000399E-17	6.130017E-19
3.886980E+03	4.114192E-17	6.301807E-19
3.888979E+03	4.259186E-17	6.521228E-19
3.890978E+03	4.425705E-17	6.773408E-19
3.892977E+03	4.529019E-17	6.928685E-19
3.894975E+03	4.618976E-17	7.063407E-19
3.896974E+03	4.738384E-17	7.243034E-19
3.898973E+03	4.844254E-17	7.401822E-19
3.900972E+03	4.935856E-17	7.538687E-19
3.902970E+03	5.012905E-17	7.653217E-19
3.904969E+03	5.107526E-17	7.794465E-19
3.906968E+03	5.191100E-17	7.918742E-19
3.908967E+03	5.266499E-17	8.030449E-19
3.910966E+03	5.349984E-17	8.154383E-19
3.912964E+03	5.398562E-17	8.225029E-19
3.914963E+03	5.446975E-17	8.295361E-19
3.916962E+03	5.501928E-17	8.375589E-19
3.918961E+03	5.575220E-17	8.483652E-19
3.920959E+03	5.643192E-17	8.583528E-19
3.922958E+03	5.660470E-17	8.606244E-19
3.924957E+03	5.670859E-17	8.618467E-19
3.926956E+03	5.662647E-17	8.602419E-19
3.928955E+03	5.668799E-17	8.608191E-19
3.930953E+03	5.672545E-17	8.610303E-19
3.932952E+03	5.669991E-17	8.602851E-19
3.934951E+03	5.674386E-17	8.605941E-19
3.936950E+03	5.690218E-17	8.626363E-19
3.938949E+03	5.701608E-17	8.640031E-19
3.940947E+03	5.696201E-17	8.628242E-19
3.942946E+03	5.676960E-17	8.595513E-19
3.944945E+03	5.680430E-17	8.597180E-19
3.946944E+03	5.704619E-17	8.630186E-19
3.948942E+03	5.717878E-17	8.646632E-19
3.950941E+03	5.775292E-17	8.729805E-19
3.952940E+03	5.778290E-17	8.730686E-19
3.954939E+03	5.792235E-17	8.748094E-19
3.956938E+03	5.772133E-17	8.714084E-19
3.958936E+03	5.775141E-17	8.714973E-19
3.960935E+03	5.804352E-17	8.755383E-19
3.962934E+03	5.860808E-17	8.836833E-19
