#wls	flux	fluxerr
1.600000E+03	2.062809E-16	4.024713E-18
1.640000E+03	2.083568E-16	4.055570E-18
1.680000E+03	2.107560E-16	4.092282E-18
1.720000E+03	2.134827E-16	4.134874E-18
1.760000E+03	2.165606E-16	4.183741E-18
1.800000E+03	2.200308E-16	4.239610E-18
1.840000E+03	2.238601E-16	4.301771E-18
1.880000E+03	2.281089E-16	4.371306E-18
1.920000E+03	2.327821E-16	4.448225E-18
1.960000E+03	2.378874E-16	4.532587E-18
2.000000E+03	2.434177E-16	4.624163E-18
2.040000E+03	2.493868E-16	4.723120E-18
2.080000E+03	2.557787E-16	4.829058E-18
2.120000E+03	2.625519E-16	4.941091E-18
2.160000E+03	2.697192E-16	5.059368E-18
2.200000E+03	2.772370E-16	5.182970E-18
2.240000E+03	2.850860E-16	5.311441E-18
2.280000E+03	2.932846E-16	5.445030E-18
2.320000E+03	3.018873E-16	5.584647E-18
2.360000E+03	3.109985E-16	5.732101E-18
2.400000E+03	3.207416E-16	5.889521E-18
2.440000E+03	3.312464E-16	6.059117E-18
2.480000E+03	3.426938E-16	6.243983E-18
2.520000E+03	3.552316E-16	6.446563E-18
2.560000E+03	3.690505E-16	6.670021E-18
2.600000E+03	3.843163E-16	6.917009E-18
2.640000E+03	4.012309E-16	7.190771E-18
2.680000E+03	4.199949E-16	7.494456E-18
2.720000E+03	4.408414E-16	7.831716E-18
2.760000E+03	4.640420E-16	8.206801E-18
2.800000E+03	4.899002E-16	8.624423E-18
2.840000E+03	5.187740E-16	9.090140E-18
2.880000E+03	5.511167E-16	9.611037E-18
2.920000E+03	5.874315E-16	1.019491E-17
2.960000E+03	6.283930E-16	1.085231E-17
3.000000E+03	6.747501E-16	1.159484E-17
3.010000E+03	6.873065E-16	1.179573E-17
3.020000E+03	7.002639E-16	1.200292E-17
3.030000E+03	7.136372E-16	1.221662E-17
3.040000E+03	7.274745E-16	1.243764E-17
3.050000E+03	7.417767E-16	1.266595E-17
3.060000E+03	7.565616E-16	1.290183E-17
3.070000E+03	7.718640E-16	1.314584E-17
3.080000E+03	7.876870E-16	1.339800E-17
3.090000E+03	8.040509E-16	1.365861E-17
3.100000E+03	8.210107E-16	1.392857E-17
3.110000E+03	8.385553E-16	1.420765E-17
3.120000E+03	8.567253E-16	1.449649E-17
3.130000E+03	8.755278E-16	1.479518E-17
3.140000E+03	8.950411E-16	1.510500E-17
3.150000E+03	9.152400E-16	1.542546E-17
3.160000E+03	9.361701E-16	1.575729E-17
3.170000E+03	9.578796E-16	1.610125E-17
3.180000E+03	9.803996E-16	1.645781E-17
3.190000E+03	1.003726E-15	1.682684E-17
3.200000E+03	1.027949E-15	1.720979E-17
3.210000E+03	1.053067E-15	1.760658E-17
3.220000E+03	1.079135E-15	1.801807E-17
3.230000E+03	1.106173E-15	1.844452E-17
3.240000E+03	1.134242E-15	1.888688E-17
3.250000E+03	1.163384E-15	1.934577E-17
3.260000E+03	1.193641E-15	1.982185E-17
3.270000E+03	1.225042E-15	2.031547E-17
3.280000E+03	1.257652E-15	2.082766E-17
3.290000E+03	1.291522E-15	2.135918E-17
3.300000E+03	1.326681E-15	2.191041E-17
3.310000E+03	1.363203E-15	2.248250E-17
3.320000E+03	1.401122E-15	2.307589E-17
3.330000E+03	1.440514E-15	2.369176E-17
3.340000E+03	1.481415E-15	2.433059E-17
3.350000E+03	1.523886E-15	2.499326E-17
3.360000E+03	1.567984E-15	2.568062E-17
3.370000E+03	1.613771E-15	2.639357E-17
3.380000E+03	1.661309E-15	2.713302E-17
3.390000E+03	1.710639E-15	2.789947E-17
3.400000E+03	1.761846E-15	2.869424E-17
3.410000E+03	1.814944E-15	2.951740E-17
3.420000E+03	1.870045E-15	3.037066E-17
3.430000E+03	1.927162E-15	3.125407E-17
3.440000E+03	1.986352E-15	3.216843E-17
3.450000E+03	2.047674E-15	3.311456E-17
3.460000E+03	2.111153E-15	3.409272E-17
3.470000E+03	2.176870E-15	3.510407E-17
3.480000E+03	2.244844E-15	3.614876E-17
3.490000E+03	2.315087E-15	3.722684E-17
3.500000E+03	2.387632E-15	3.833870E-17
3.510000E+03	2.462477E-15	3.948413E-17
3.520000E+03	2.539670E-15	4.066378E-17
3.530000E+03	2.619126E-15	4.187613E-17
3.540000E+03	2.700875E-15	4.312148E-17
3.550000E+03	2.784866E-15	4.439892E-17
3.560000E+03	2.871077E-15	4.570792E-17
3.570000E+03	2.959396E-15	4.704659E-17
3.580000E+03	3.049737E-15	4.841340E-17
3.590000E+03	3.142067E-15	4.980773E-17
3.600000E+03	3.236205E-15	5.122657E-17
3.610000E+03	3.332104E-15	5.266910E-17
3.620000E+03	3.429646E-15	5.413332E-17
3.630000E+03	3.528675E-15	5.561671E-17
3.640000E+03	3.629088E-15	5.711756E-17
3.650000E+03	3.730846E-15	5.863515E-17
3.660000E+03	3.833844E-15	6.016781E-17
3.670000E+03	3.938119E-15	6.171603E-17
3.680000E+03	4.043552E-15	6.327790E-17
3.690000E+03	4.150158E-15	6.485359E-17
3.700000E+03	4.257911E-15	6.644265E-17
3.710000E+03	4.366834E-15	6.804537E-17
3.720000E+03	4.476855E-15	6.966057E-17
3.730000E+03	4.587986E-15	7.128839E-17
3.740000E+03	4.700186E-15	7.292813E-17
3.750000E+03	4.813450E-15	7.457966E-17
3.760000E+03	4.927712E-15	7.624193E-17
3.770000E+03	5.042937E-15	7.791431E-17
3.780000E+03	5.159021E-15	7.959521E-17
3.790000E+03	5.275836E-15	8.128256E-17
3.795930E+03	3.454985E-15	5.318495E-17
3.797400E+03	3.451409E-15	5.311889E-17
3.798870E+03	3.430713E-15	5.278943E-17
3.800340E+03	3.401149E-15	5.232367E-17
3.801810E+03	3.370055E-15	5.183458E-17
3.803280E+03	3.354855E-15	5.159009E-17
3.804750E+03	3.369002E-15	5.179691E-17
3.806220E+03	3.397213E-15	5.221982E-17
3.807690E+03	3.379564E-15	5.193776E-17
3.809160E+03	3.363442E-15	5.167929E-17
3.810630E+03	3.371472E-15	5.179195E-17
3.812100E+03	3.399986E-15	5.221916E-17
3.813570E+03	3.432170E-15	5.270256E-17
3.815040E+03	3.456711E-15	5.306842E-17
3.816510E+03	3.471773E-15	5.328862E-17
3.817980E+03	3.509767E-15	5.386066E-17
3.819450E+03	3.556937E-15	5.457324E-17
3.820920E+03	3.563131E-15	5.465695E-17
3.822390E+03	3.566572E-15	5.469843E-17
3.823860E+03	3.614353E-15	5.541977E-17
3.825330E+03	3.701281E-15	5.674092E-17
3.826800E+03	3.781788E-15	5.796312E-17
3.828270E+03	3.819176E-15	5.852406E-17
3.829740E+03	3.873996E-15	5.935186E-17
3.831210E+03	3.930348E-15	6.020276E-17
3.832680E+03	3.974465E-15	6.086596E-17
3.834150E+03	4.035100E-15	6.178178E-17
3.835620E+03	4.090230E-15	6.261295E-17
3.837090E+03	4.141386E-15	6.338295E-17
3.838560E+03	4.214869E-15	6.449428E-17
3.840030E+03	4.315884E-15	6.602634E-17
3.841500E+03	4.431276E-15	6.777769E-17
3.842970E+03	4.490694E-15	6.867233E-17
3.844440E+03	4.514935E-15	6.902880E-17
3.845910E+03	4.560894E-15	6.971709E-17
3.847380E+03	4.615113E-15	7.053133E-17
3.848850E+03	4.632011E-15	7.077499E-17
3.850320E+03	4.665735E-15	7.127558E-17
3.851790E+03	4.726989E-15	7.219644E-17
3.853260E+03	4.763770E-15	7.274323E-17
3.854730E+03	4.821966E-15	7.361672E-17
3.856200E+03	4.866089E-15	7.427505E-17
3.857670E+03	4.910517E-15	7.493777E-17
3.859140E+03	4.961064E-15	7.569357E-17
3.860610E+03	4.993867E-15	7.617838E-17
3.862080E+03	5.037070E-15	7.682162E-17
3.863550E+03	5.090063E-15	7.761386E-17
3.865020E+03	5.156519E-15	7.861101E-17
3.866490E+03	5.222361E-15	7.959841E-17
3.867960E+03	5.294935E-15	8.068798E-17
3.869430E+03	5.359555E-15	8.165591E-17
3.870900E+03	5.453239E-15	8.306618E-17
3.872370E+03	5.539887E-15	8.436871E-17
3.873840E+03	5.635715E-15	8.581046E-17
3.875310E+03	5.758468E-15	8.766152E-17
3.876780E+03	5.844811E-15	8.895766E-17
3.878250E+03	5.891988E-15	8.965728E-17
3.879720E+03	5.946506E-15	9.046831E-17
3.881190E+03	6.000106E-15	9.126503E-17
3.882660E+03	6.054011E-15	9.206607E-17
3.884130E+03	6.110363E-15	9.290397E-17
3.885600E+03	6.180483E-15	9.395083E-17
3.887070E+03	6.220308E-15	9.453684E-17
3.888540E+03	6.251870E-15	9.499704E-17
3.890010E+03	6.305156E-15	9.578709E-17
3.891480E+03	6.396080E-15	9.714848E-17
3.892950E+03	6.480881E-15	9.841635E-17
3.894420E+03	6.525595E-15	9.907507E-17
3.895890E+03	6.593258E-15	1.000819E-16
3.897360E+03	6.648678E-15	1.009024E-16
3.898830E+03	6.705627E-15	1.017459E-16
3.900300E+03	6.783689E-15	1.029093E-16
3.901770E+03	6.865421E-15	1.041279E-16
3.903240E+03	6.937360E-15	1.051974E-16
3.904710E+03	7.006847E-15	1.062294E-16
3.906180E+03	7.068683E-15	1.071450E-16
3.907650E+03	7.117663E-15	1.078654E-16
3.909120E+03	7.197856E-15	1.090584E-16
3.910590E+03	7.278964E-15	1.102647E-16
3.912060E+03	7.367414E-15	1.115818E-16
3.913530E+03	7.427096E-15	1.124627E-16
3.915000E+03	7.479124E-15	1.132275E-16
3.916470E+03	7.533293E-15	1.140242E-16
3.917940E+03	7.577053E-15	1.146632E-16
3.919410E+03	7.626319E-15	1.153852E-16
3.920880E+03	7.690272E-15	1.163291E-16
3.922350E+03	7.766768E-15	1.174622E-16
3.923820E+03	7.830102E-15	1.183959E-16
3.925290E+03	7.882723E-15	1.191673E-16
3.926760E+03	7.945439E-15	1.200909E-16
3.928230E+03	8.007847E-15	1.210095E-16
3.929700E+03	8.020675E-15	1.211787E-16
3.931170E+03	8.049108E-15	1.215835E-16
3.932640E+03	8.098347E-15	1.223024E-16
3.934110E+03	8.134423E-15	1.228222E-16
3.935580E+03	8.176617E-15	1.234342E-16
3.937050E+03	8.222172E-15	1.240966E-16
3.938520E+03	8.255790E-15	1.245787E-16
3.939990E+03	8.271045E-15	1.247835E-16
3.941460E+03	8.302819E-15	1.252374E-16
3.942930E+03	8.357235E-15	1.260326E-16
3.944400E+03	8.415319E-15	1.268827E-16
3.945870E+03	8.480131E-15	1.278340E-16
3.947340E+03	8.506995E-15	1.282129E-16
3.948810E+03	8.528348E-15	1.285086E-16
3.950280E+03	8.542047E-15	1.286889E-16
3.951750E+03	8.560026E-15	1.289336E-16
3.953220E+03	8.600951E-15	1.295237E-16
3.954690E+03	8.634222E-15	1.299984E-16
3.956160E+03	8.646070E-15	1.301504E-16
3.957630E+03	8.684229E-15	1.306983E-16
3.959100E+03	8.721772E-15	1.312367E-16
3.960570E+03	8.765736E-15	1.318715E-16
3.962040E+03	8.798986E-15	1.323449E-16
3.963510E+03	8.818464E-15	1.326110E-16
3.964980E+03	8.855072E-15	1.331346E-16
3.966450E+03	8.927165E-15	1.341913E-16
3.967920E+03	8.979062E-15	1.349441E-16
3.969390E+03	9.002805E-15	1.352736E-16
3.970860E+03	9.047349E-15	1.359154E-16
3.972330E+03	9.118810E-15	1.369612E-16
3.973800E+03	9.144682E-15	1.373220E-16
