#wls	flux	fluxerr
1.600000E+03	8.589443E-17	1.426819E-18
1.640000E+03	8.624824E-17	1.431970E-18
1.680000E+03	8.665338E-17	1.437949E-18
1.720000E+03	8.714354E-17	1.445310E-18
1.760000E+03	8.770601E-17	1.453841E-18
1.800000E+03	8.836218E-17	1.463893E-18
1.840000E+03	8.911057E-17	1.475439E-18
1.880000E+03	8.996082E-17	1.488633E-18
1.920000E+03	9.092228E-17	1.503627E-18
1.960000E+03	9.201491E-17	1.520745E-18
2.000000E+03	9.325805E-17	1.540303E-18
2.040000E+03	9.464932E-17	1.562254E-18
2.080000E+03	9.623914E-17	1.587423E-18
2.120000E+03	9.802425E-17	1.615749E-18
2.160000E+03	1.000535E-16	1.648026E-18
2.200000E+03	1.023641E-16	1.684858E-18
2.240000E+03	1.049821E-16	1.726660E-18
2.280000E+03	1.079432E-16	1.774004E-18
2.320000E+03	1.112826E-16	1.827451E-18
2.360000E+03	1.150243E-16	1.887379E-18
2.400000E+03	1.191822E-16	1.953995E-18
2.440000E+03	1.237607E-16	2.027347E-18
2.480000E+03	1.287633E-16	2.107473E-18
2.520000E+03	1.342041E-16	2.194579E-18
2.560000E+03	1.400962E-16	2.288855E-18
2.600000E+03	1.464336E-16	2.390172E-18
2.640000E+03	1.532575E-16	2.499180E-18
2.680000E+03	1.605511E-16	2.615572E-18
2.720000E+03	1.683442E-16	2.739802E-18
2.760000E+03	1.766468E-16	2.871999E-18
2.800000E+03	1.854676E-16	3.012271E-18
2.840000E+03	1.948140E-16	3.160700E-18
2.880000E+03	2.047202E-16	3.317801E-18
2.920000E+03	2.152184E-16	3.484056E-18
2.960000E+03	2.263860E-16	3.660669E-18
3.000000E+03	2.383256E-16	3.849248E-18
3.010000E+03	2.414491E-16	3.898547E-18
3.020000E+03	2.446276E-16	3.948695E-18
3.030000E+03	2.478697E-16	3.999836E-18
3.040000E+03	2.511845E-16	4.052111E-18
3.050000E+03	2.545533E-16	4.105219E-18
3.060000E+03	2.580032E-16	4.159595E-18
3.070000E+03	2.615248E-16	4.215087E-18
3.080000E+03	2.651180E-16	4.271692E-18
3.090000E+03	2.687825E-16	4.329403E-18
3.100000E+03	2.725362E-16	4.388506E-18
3.110000E+03	2.763790E-16	4.448999E-18
3.120000E+03	2.803016E-16	4.510733E-18
3.130000E+03	2.843220E-16	4.573991E-18
3.140000E+03	2.884400E-16	4.638773E-18
3.150000E+03	2.926556E-16	4.705074E-18
3.160000E+03	2.969689E-16	4.772896E-18
3.170000E+03	3.013979E-16	4.842524E-18
3.180000E+03	3.059249E-16	4.913673E-18
3.190000E+03	3.105768E-16	4.986773E-18
3.200000E+03	3.153452E-16	5.061686E-18
3.210000E+03	3.202392E-16	5.138556E-18
3.220000E+03	3.252684E-16	5.217536E-18
3.230000E+03	3.304244E-16	5.298487E-18
3.240000E+03	3.357169E-16	5.381564E-18
3.250000E+03	3.411469E-16	5.466779E-18
3.260000E+03	3.467333E-16	5.554431E-18
3.270000E+03	3.524683E-16	5.644395E-18
3.280000E+03	3.583624E-16	5.736835E-18
3.290000E+03	3.644172E-16	5.831773E-18
3.300000E+03	3.706435E-16	5.929378E-18
3.310000E+03	3.770435E-16	6.029685E-18
3.320000E+03	3.836197E-16	6.132727E-18
3.330000E+03	3.903749E-16	6.238548E-18
3.340000E+03	3.973211E-16	6.347333E-18
3.350000E+03	4.044616E-16	6.459135E-18
3.360000E+03	4.118006E-16	6.574014E-18
3.370000E+03	4.193332E-16	6.691890E-18
3.380000E+03	4.270820E-16	6.813118E-18
3.390000E+03	4.350345E-16	6.937497E-18
3.400000E+03	4.431966E-16	7.065113E-18
3.410000E+03	4.515830E-16	7.196199E-18
3.420000E+03	4.601833E-16	7.330583E-18
3.430000E+03	4.690044E-16	7.468372E-18
3.440000E+03	4.780544E-16	7.609690E-18
3.450000E+03	4.873241E-16	7.754386E-18
3.460000E+03	4.968139E-16	7.902461E-18
3.470000E+03	5.065334E-16	8.054064E-18
3.480000E+03	5.164753E-16	8.209073E-18
3.490000E+03	5.266327E-16	8.367375E-18
3.500000E+03	5.370082E-16	8.529006E-18
3.510000E+03	5.476048E-16	8.694009E-18
3.520000E+03	5.584171E-16	8.862294E-18
3.530000E+03	5.694404E-16	9.033780E-18
3.540000E+03	5.806699E-16	9.208389E-18
3.550000E+03	5.921102E-16	9.386186E-18
3.560000E+03	6.037393E-16	9.566820E-18
3.570000E+03	6.155711E-16	9.750506E-18
3.580000E+03	6.275922E-16	9.937027E-18
3.590000E+03	6.398076E-16	1.012646E-17
3.600000E+03	6.522128E-16	1.031872E-17
3.610000E+03	6.648029E-16	1.051374E-17
3.620000E+03	6.775818E-16	1.071157E-17
3.630000E+03	6.905437E-16	1.091211E-17
3.640000E+03	7.036911E-16	1.111540E-17
3.650000E+03	7.170165E-16	1.132132E-17
3.660000E+03	7.305395E-16	1.153016E-17
3.670000E+03	7.442412E-16	1.174164E-17
3.680000E+03	7.581393E-16	1.195602E-17
3.690000E+03	7.722408E-16	1.217340E-17
3.700000E+03	7.865327E-16	1.239358E-17
3.710000E+03	8.010287E-16	1.261677E-17
3.720000E+03	8.157320E-16	1.284302E-17
3.730000E+03	8.306343E-16	1.307219E-17
3.740000E+03	8.457451E-16	1.330442E-17
3.750000E+03	8.610629E-16	1.353968E-17
3.760000E+03	8.765837E-16	1.377791E-17
3.770000E+03	8.923022E-16	1.401902E-17
3.780000E+03	9.082111E-16	1.426288E-17
3.790000E+03	9.243110E-16	1.450951E-17
3.800000E+03	9.405907E-16	1.475872E-17
3.810000E+03	9.570476E-16	1.501047E-17
3.820000E+03	9.736454E-16	1.526418E-17
3.830000E+03	9.903983E-16	1.552008E-17
3.840000E+03	1.007277E-15	1.577769E-17
3.850000E+03	1.024261E-15	1.603669E-17
3.860000E+03	1.041338E-15	1.629689E-17
3.870000E+03	1.058495E-15	1.655809E-17
3.880000E+03	1.075697E-15	1.681973E-17
3.890000E+03	1.092927E-15	1.708155E-17
3.900000E+03	1.110171E-15	1.734330E-17
3.910000E+03	1.127389E-15	1.760440E-17
