#wls	flux	fluxerr
1.600000E+03	6.683516E-17	5.339413E-17
1.640000E+03	6.721883E-17	5.316695E-17
1.680000E+03	6.765549E-17	5.296144E-17
1.720000E+03	6.813376E-17	5.276706E-17
1.760000E+03	6.866814E-17	5.259341E-17
1.800000E+03	6.927369E-17	5.244997E-17
1.840000E+03	6.995270E-17	5.233605E-17
1.880000E+03	7.069421E-17	5.224101E-17
1.920000E+03	7.152766E-17	5.218401E-17
1.960000E+03	7.245632E-17	5.216415E-17
2.000000E+03	7.348371E-17	5.218049E-17
2.040000E+03	7.461363E-17	5.223201E-17
2.080000E+03	7.587852E-17	5.233723E-17
2.120000E+03	7.726948E-17	5.248502E-17
2.160000E+03	7.880636E-17	5.268377E-17
2.200000E+03	8.048078E-17	5.292226E-17
2.240000E+03	8.232882E-17	5.321822E-17
2.280000E+03	8.434333E-17	5.356016E-17
2.320000E+03	8.653230E-17	5.394616E-17
2.360000E+03	8.890438E-17	5.437412E-17
2.400000E+03	9.146887E-17	5.484180E-17
2.440000E+03	9.423585E-17	5.534675E-17
2.480000E+03	9.723249E-17	5.589569E-17
2.520000E+03	1.004382E-16	5.646691E-17
2.560000E+03	1.038815E-16	5.706667E-17
2.600000E+03	1.075762E-16	5.769150E-17
2.640000E+03	1.115193E-16	5.832846E-17
2.680000E+03	1.157613E-16	5.899173E-17
2.720000E+03	1.202836E-16	5.965847E-17
2.760000E+03	1.251216E-16	6.033276E-17
2.800000E+03	1.302756E-16	6.100009E-17
2.840000E+03	1.357838E-16	6.166320E-17
2.880000E+03	1.416873E-16	6.232382E-17
2.920000E+03	1.479893E-16	6.296523E-17
2.960000E+03	1.547750E-16	6.360414E-17
3.000000E+03	1.620931E-16	6.423806E-17
3.010000E+03	1.639974E-16	6.438960E-17
3.020000E+03	1.659666E-16	6.455135E-17
3.030000E+03	1.679586E-16	6.470633E-17
3.040000E+03	1.699953E-16	6.486265E-17
3.050000E+03	1.720773E-16	6.502005E-17
3.060000E+03	1.742053E-16	6.517825E-17
3.070000E+03	1.763798E-16	6.533697E-17
3.080000E+03	1.786237E-16	6.550408E-17
3.090000E+03	1.808933E-16	6.566292E-17
3.100000E+03	1.832112E-16	6.582137E-17
3.110000E+03	1.856008E-16	6.598717E-17
3.120000E+03	1.880401E-16	6.615185E-17
3.130000E+03	1.905299E-16	6.631509E-17
3.140000E+03	1.930937E-16	6.648448E-17
3.150000E+03	1.957093E-16	6.665162E-17
3.160000E+03	1.984007E-16	6.682402E-17
3.170000E+03	2.011452E-16	6.699335E-17
3.180000E+03	2.039909E-16	6.717479E-17
3.190000E+03	2.068913E-16	6.735218E-17
3.200000E+03	2.098471E-16	6.752509E-17
3.210000E+03	2.129068E-16	6.770844E-17
3.220000E+03	2.160477E-16	6.789390E-17
3.230000E+03	2.192705E-16	6.808085E-17
3.240000E+03	2.225762E-16	6.826870E-17
3.250000E+03	2.259902E-16	6.846431E-17
3.260000E+03	2.294890E-16	6.865944E-17
3.270000E+03	2.330983E-16	6.886083E-17
