#wls	flux	fluxerr
1.600000E+03	7.687158E-17	6.382450E-17
1.640000E+03	7.853039E-17	6.465693E-17
1.680000E+03	8.027453E-17	6.552171E-17
1.720000E+03	8.212134E-17	6.642995E-17
1.760000E+03	8.404520E-17	6.735769E-17
1.800000E+03	8.607815E-17	6.832742E-17
1.840000E+03	8.822396E-17	6.933834E-17
1.880000E+03	9.047089E-17	7.037729E-17
1.920000E+03	9.283762E-17	7.145485E-17
1.960000E+03	9.532782E-17	7.256939E-17
2.000000E+03	9.796155E-17	7.373139E-17
2.040000E+03	1.007264E-16	7.492637E-17
2.080000E+03	1.036429E-16	7.616425E-17
2.120000E+03	1.067150E-16	7.744221E-17
2.160000E+03	1.099466E-16	7.875694E-17
2.200000E+03	1.133593E-16	8.011747E-17
2.240000E+03	1.169573E-16	8.151966E-17
2.280000E+03	1.207442E-16	8.295870E-17
2.320000E+03	1.247423E-16	8.444219E-17
2.360000E+03	1.289553E-16	8.596409E-17
2.400000E+03	1.333857E-16	8.751752E-17
2.440000E+03	1.380762E-16	8.912121E-17
2.480000E+03	1.430087E-16	9.075342E-17
2.520000E+03	1.481837E-16	9.240457E-17
2.560000E+03	1.536649E-16	9.410384E-17
2.600000E+03	1.594088E-16	9.581295E-17
2.640000E+03	1.654788E-16	9.755871E-17
2.680000E+03	1.718493E-16	9.931351E-17
2.720000E+03	1.785602E-16	1.010880E-16
2.760000E+03	1.855804E-16	1.028519E-16
2.800000E+03	1.929939E-16	1.046387E-16
2.840000E+03	2.007406E-16	1.064017E-16
2.880000E+03	2.088763E-16	1.081577E-16
2.920000E+03	2.173814E-16	1.098826E-16
2.960000E+03	2.262813E-16	1.115760E-16
3.000000E+03	2.355980E-16	1.132351E-16
3.010000E+03	2.379661E-16	1.136304E-16
3.020000E+03	2.403767E-16	1.140305E-16
3.030000E+03	2.428293E-16	1.144348E-16
3.040000E+03	2.452977E-16	1.148306E-16
3.050000E+03	2.477811E-16	1.152175E-16
3.060000E+03	2.503046E-16	1.156070E-16
3.070000E+03	2.528418E-16	1.159866E-16
3.080000E+03	2.553918E-16	1.163559E-16
3.090000E+03	2.579798E-16	1.167262E-16
3.100000E+03	2.606051E-16	1.170969E-16
3.110000E+03	2.632409E-16	1.174557E-16
3.120000E+03	2.659124E-16	1.178139E-16
3.130000E+03	2.685926E-16	1.181592E-16
3.140000E+03	2.713067E-16	1.185026E-16
3.150000E+03	2.740539E-16	1.188436E-16
3.160000E+03	2.768071E-16	1.191703E-16
3.170000E+03	2.796176E-16	1.195046E-16
3.180000E+03	2.824321E-16	1.198234E-16
3.190000E+03	2.852495E-16	1.201264E-16
3.200000E+03	2.881213E-16	1.204352E-16
3.210000E+03	2.909937E-16	1.207270E-16
3.220000E+03	2.939184E-16	1.210231E-16
3.230000E+03	2.968415E-16	1.213013E-16
3.240000E+03	2.998146E-16	1.215825E-16
3.250000E+03	3.027836E-16	1.218447E-16
3.260000E+03	3.058002E-16	1.221085E-16
3.270000E+03	3.088103E-16	1.223524E-16
3.280000E+03	3.118653E-16	1.225966E-16
3.290000E+03	3.149375E-16	1.228301E-16
3.300000E+03	3.180257E-16	1.230524E-16
3.310000E+03	3.211284E-16	1.232628E-16
3.320000E+03	3.242705E-16	1.234710E-16
3.330000E+03	3.274243E-16	1.236661E-16
3.340000E+03	3.306146E-16	1.238576E-16
3.350000E+03	3.338136E-16	1.240348E-16
3.360000E+03	3.370198E-16	1.241974E-16
3.370000E+03	3.402580E-16	1.243544E-16
3.380000E+03	3.435003E-16	1.244957E-16
3.390000E+03	3.467713E-16	1.246301E-16
3.400000E+03	3.500693E-16	1.247571E-16
3.410000E+03	3.533928E-16	1.248758E-16
3.420000E+03	3.567139E-16	1.249766E-16
3.430000E+03	3.600571E-16	1.250681E-16
3.440000E+03	3.634207E-16	1.251497E-16
3.450000E+03	3.668028E-16	1.252207E-16
3.460000E+03	3.701761E-16	1.252719E-16
3.470000E+03	3.735902E-16	1.253201E-16
3.480000E+03	3.770177E-16	1.253561E-16
3.490000E+03	3.804568E-16	1.253793E-16
3.500000E+03	3.839058E-16	1.253892E-16
3.510000E+03	3.873629E-16	1.253853E-16
3.520000E+03	3.908264E-16	1.253671E-16
3.530000E+03	3.943198E-16	1.253423E-16
3.540000E+03	3.978161E-16	1.253021E-16
3.550000E+03	4.013386E-16	1.252540E-16
3.560000E+03	4.048605E-16	1.251897E-16
3.570000E+03	4.083800E-16	1.251087E-16
3.580000E+03	4.119205E-16	1.250183E-16
3.590000E+03	4.154801E-16	1.249178E-16
3.600000E+03	4.190324E-16	1.247995E-16
3.610000E+03	4.226004E-16	1.246702E-16
3.620000E+03	4.261824E-16	1.245294E-16
3.630000E+03	4.297767E-16	1.243767E-16
3.640000E+03	4.333818E-16	1.242116E-16
3.650000E+03	4.369718E-16	1.240268E-16
3.660000E+03	4.405936E-16	1.238357E-16
3.670000E+03	4.441976E-16	1.236242E-16
3.680000E+03	4.478304E-16	1.234055E-16
3.690000E+03	4.514665E-16	1.231725E-16
3.700000E+03	4.551048E-16	1.229247E-16
3.710000E+03	4.587439E-16	1.226621E-16
3.720000E+03	4.624063E-16	1.223904E-16
3.730000E+03	4.660672E-16	1.221032E-16
3.740000E+03	4.697259E-16	1.218001E-16
3.750000E+03	4.734042E-16	1.214869E-16
3.760000E+03	4.770785E-16	1.211574E-16
3.770000E+03	4.807479E-16	1.208114E-16
3.780000E+03	4.844572E-16	1.204600E-16
3.790000E+03	4.881602E-16	1.200917E-16
3.800000E+03	4.918566E-16	1.197063E-16
3.810000E+03	4.955683E-16	1.193091E-16
3.820000E+03	4.992949E-16	1.188998E-16
3.830000E+03	5.030360E-16	1.184783E-16
3.840000E+03	5.067695E-16	1.180392E-16
3.850000E+03	5.105173E-16	1.175875E-16
3.860000E+03	5.142793E-16	1.171231E-16
3.870000E+03	5.180557E-16	1.166458E-16
3.880000E+03	5.218253E-16	1.161508E-16
3.890000E+03	5.256099E-16	1.156428E-16
3.900000E+03	5.294310E-16	1.151263E-16
3.910000E+03	5.332469E-16	1.145922E-16
3.920000E+03	5.370794E-16	1.140448E-16
3.930000E+03	5.409292E-16	1.134844E-16
3.940000E+03	5.447767E-16	1.129065E-16
3.950000E+03	5.486639E-16	1.123200E-16
3.960000E+03	5.525511E-16	1.117163E-16
3.970000E+03	5.564598E-16	1.110999E-16
3.980000E+03	5.603912E-16	1.104709E-16
3.990000E+03	5.643466E-16	1.098294E-16
4.000000E+03	5.683078E-16	1.091718E-16
4.010000E+03	5.722961E-16	1.085024E-16
4.020000E+03	5.763131E-16	1.078212E-16
4.030000E+03	5.803410E-16	1.071252E-16
4.040000E+03	5.843818E-16	1.064148E-16
4.050000E+03	5.884566E-16	1.056941E-16
4.060000E+03	5.925671E-16	1.049634E-16
4.070000E+03	5.966775E-16	1.042168E-16
4.080000E+03	6.008275E-16	1.034614E-16
4.090000E+03	6.050003E-16	1.026949E-16
4.100000E+03	6.091980E-16	1.019181E-16
4.110000E+03	6.134045E-16	1.011288E-16
4.120000E+03	6.176402E-16	1.003312E-16
4.130000E+03	6.219073E-16	9.952639E-17
4.140000E+03	6.262076E-16	9.871553E-17
