spec_file	spec_mjd	CSP_B_old_fitflux	CSP_B_old_fitfluxerr	CSP_B_old_inrange	CSP_V9844_fitflux	CSP_V9844_fitfluxerr	CSP_V9844_inrange	CSP_g_old_fitflux	CSP_g_old_fitfluxerr	CSP_g_old_inrange	CSP_i_old_fitflux	CSP_i_old_fitfluxerr	CSP_i_old_inrange	CSP_r_old_fitflux	CSP_r_old_fitfluxerr	CSP_r_old_inrange	CSP_u_old_fitflux	CSP_u_old_fitfluxerr	CSP_u_old_inrange
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2007C/SN2007C_2007-01-09_12-14-24_FLWO-1.5m_FAST_CfA-Stripped.flm	54109.51	4.343198234604429e-15	1.952732142550212e-16	True	4.600735129768784e-15	1.9077239520442542e-16	True	4.644421651939747e-15	2.0725908871090874e-16	True	2.0577114767359967e-15	8.009682793738356e-17	True	3.66725193147602e-15	1.4578191419494368e-16	True	2.1079456369267895e-15	1.0779434684611863e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2007C/SN2007C_2007-01-10_12-14-24_FLWO-1.5m_FAST_CfA-Stripped.flm	54110.51	4.955756791218032e-15	2.1894289657295897e-16	True	5.259933242790431e-15	2.127441832142891e-16	True	5.300535584869445e-15	2.3226901790816334e-16	True	2.349637980059036e-15	8.850751994908169e-17	True	4.190709681551848e-15	1.6173431596353927e-16	True	2.3973739029327666e-15	1.2200322496758292e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2007C/SN_2007C_2007-01-13_16-26-24_Keck1_LRIS_UCB-SNDB_0.flm	54113.69	6.8828711293046376e-15	2.819777743290902e-16	True	7.344110399059903e-15	2.6630909482355834e-16	True	7.36522505509206e-15	2.982114415475273e-16	True	3.265128085541759e-15	1.0607253993554289e-16	True	5.8400477476030015e-15	1.9735277497045712e-16	True	3.247930460949853e-15	1.6012771871371195e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2007C/SN2007C_2007-01-14_12-00-00_FLWO-1.5m_FAST_CfA-Stripped.flm	54114.5	7.381959774078944e-15	2.8929996225877614e-16	True	7.854445436705563e-15	2.6784569238255753e-16	True	7.896881239865172e-15	3.0494588406513007e-16	True	3.4849575901156464e-15	1.0416275075055435e-16	True	6.23885878497561e-15	1.955813092566542e-16	True	3.470380636217672e-15	1.6554018532044204e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2007C/SN2007C_2007-01-16_13-12-00_FLWO-1.5m_FAST_CfA-Stripped.flm	54116.55	8.524366325144125e-15	2.622897004934123e-16	True	8.961401722853708e-15	2.2200181251694385e-16	True	9.110332183305329e-15	2.6957228654593697e-16	True	3.972344696229091e-15	7.917288030862004e-17	True	7.116260014920758e-15	1.531796871516399e-16	True	4.009516456853953e-15	1.759097007944585e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2007C/SN2007C_2007-01-22_12-00-00_FLWO-1.5m_FAST_CfA-Stripped.flm	54122.5	6.142182478637764e-15	8.601202000464398e-17	True	7.588489642093498e-15	6.240301050532003e-17	True	6.914917929136522e-15	7.900614977719137e-17	True	3.969097323584426e-15	2.6158665170864474e-17	True	6.7975800677852654e-15	4.815700470066384e-17	True	2.6683439388504486e-15	1.2192416444843001e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2007C/SN_2007C_2007-01-26_13-26-24_Lick-3m_KAST_UCB-SNDB_0.flm	54126.56	3.626730571572637e-15	1.1202459204571858e-16	True	5.27327866128739e-15	8.477468223266149e-17	True	4.378906785273018e-15	1.0462808630796346e-16	True	3.2418221801582257e-15	3.6453155539472254e-17	True	5.282502990049726e-15	6.306110514483583e-17	True	1.1872323265277078e-15	1.300531230371474e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2007C/SN2007C_2007-02-12_11-02-24_FLWO-1.5m_FAST_CfA-Stripped.flm	54143.46	1.3635497914284069e-15	4.531832364751148e-17	True	1.985853823526366e-15	2.9463983508240584e-17	True	1.6800100344075837e-15	3.9197963925100205e-17	True	1.376520017013816e-15	1.9546128971800303e-17	True	2.1274773810229e-15	3.338348823263897e-17	True	-1.227757227667831e-16	2.00028222132018e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2007C/SN_2007C_2007-02-18_10-52-19_Lick-3m_KAST_UCB-SNDB_0.flm	54149.45	1.1961861876560078e-15	5.829363328590537e-16	True	1.7026107358108336e-15	4.4188240430217345e-16	True	1.444019745901967e-15	1.0123377078919663e-15	True	1.1472186223727214e-15	2.5870727452786607e-16	True	1.7484289839441368e-15	5.052826156290879e-16	True	-1.1032691390162897e-16	2.1770799204591544e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2007C/SN2007C_2007-02-21_10-33-36_FLWO-1.5m_FAST_CfA-Stripped.flm	54152.44	1.1703435568200734e-15	1.7823383040749208e-16	True	1.623346503009193e-15	1.330823280901959e-16	True	1.3686525922078187e-15	9.552102639708717e-16	True	1.086462289757005e-15	2.4284640076645627e-16	True	1.6335810361297088e-15	4.749594187245189e-16	True	-9.499297652099199e-17	2.2199426973869312e-15	False
