MJD	CSP_B_old	CSP_B_old_err	CSP_V9844	CSP_V9844_err	CSP_g_old	CSP_g_old_err	CSP_i_old	CSP_i_old_err	CSP_r_old	CSP_r_old_err	CSP_u_old	CSP_u_old_err
54105.60453125	2.117213581356166e-15	4.3345668110990393e-16	2.283366007235339e-15	4.0852031672075405e-16	2.263936391796909e-15	4.605608015371467e-16	1.0287322916320501e-15	1.6716276767323433e-16	1.8284987644935752e-15	3.0706395907863884e-16	9.569907558160564e-16	2.73663156403793e-16
54105.65453125	2.1396770121376117e-15	4.244970380395651e-16	2.3074373830665315e-15	4.010421007254549e-16	2.2881252700790762e-15	4.510912108003617e-16	1.0398121894383952e-15	1.6437977016113407e-16	1.8480509897305783e-15	3.017814127958681e-16	9.688032047266054e-16	2.6614919278507224e-16
54105.704531250005	2.1623301112587958e-15	4.1562173884842043e-16	2.3316740277418036e-15	3.9363352186651097e-16	2.3125113541072957e-15	4.4171235799009527e-16	1.0509524902891822e-15	1.616227004435136e-16	1.8677188786774275e-15	2.9654813501706695e-16	9.807219135736104e-16	2.5872731543420063e-16
54105.75453125001	2.1851743250405297e-15	4.068357484172028e-16	2.3560769195454414e-15	3.86297699646472e-16	2.337096079307723e-15	4.324292917699992e-16	1.0621534673887378e-15	1.588924846203766e-16	1.887503005737626e-15	2.9136601881582257e-16	9.92747726133922e-16	2.51403373074615e-16
54105.80453125001	2.2082111102112004e-15	3.9814425852504953e-16	2.380647042128071e-15	3.790378763284362e-16	2.3618808909190512e-15	4.232472873086718e-16	1.0734153950716083e-15	1.561900815067909e-16	1.9074039479338473e-15	2.862370265626418e-16	1.0048814924485809e-15	2.4418356556560075e-16
54105.854531250014	2.231441933978876e-15	3.8955269639257803e-16	2.405385384534676e-15	3.7185742084258407e-16	2.3868672440570018e-15	4.141718546748273e-16	1.0847385488071092e-15	1.53516483546302e-16	1.927422284919251e-15	2.8116319195293205e-16	1.0171240688673487e-15	2.370744645721234e-16
54105.90453125002	2.2548682741040057e-15	3.8106673267638234e-16	2.4302929412329184e-15	3.647598324378958e-16	2.4120566037792506e-15	4.052087466891235e-16	1.0961232052035661e-15	1.5087271766341535e-16	1.9475585989889993e-15	2.761466219020143e-16	1.0294763180936866e-15	2.3008303369035204e-16
54105.95453125002	2.2784916189724895e-15	3.726922886572145e-16	2.4553707121414885e-15	3.577487439834459e-16	2.437450445150658e-15	3.963639659834521e-16	1.107569642013043e-15	1.4825984603599273e-16	1.9678134750916405e-15	2.711894982629344e-16	1.0419391092298926e-15	2.2321664730522316e-16
54106.00453125002	2.3023134676692642e-15	3.644355423099925e-16	2.4806197026586097e-15	3.5082792480668145e-16	2.4630502533089256e-15	3.8764377096632876e-16	1.1190781381356296e-15	1.4567896676535896e-16	1.9881875008405484e-15	2.6629407931453434e-16	1.0545133178226369e-15	2.164831072240305e-16
54106.054531250025	2.326335330052439e-15	3.5630293288041595e-16	2.506040923690735e-15	3.440012829367577e-16	2.4888575235307852e-15	3.7905468033352626e-16	1.1306489736239831e-15	1.431312144186346e-16	2.0086812665255855e-15	2.6146270096044946e-16	1.0671998259087996e-15	2.0989065584691636e-16
54106.10453125003	2.350558726827894e-15	3.483011635227015e-16	2.531635391681375e-15	3.372728665998235e-16	2.5148737612984646e-15	3.706034756955664e-16	1.1422824296879726e-15	1.4061776041424796e-16	2.029295365124591e-15	2.566977775697728e-16	1.0799995220616068e-15	2.0344798429603712e-16
54106.15453125003	2.3749851896243796e-15	3.4043720147369924e-16	2.5574041286400947e-15	3.3064686479005515e-16	2.541100482366735e-15	3.6229720181933176e-16	1.1539787886990426e-15	1.3813981321747922e-16	2.05003039231512e-15	2.5200180238086733e-16	1.0929133014371009e-15	1.971642335275213e-16
54106.204531250034	2.3996162610691223e-15	3.32718275152519e-16	2.5833481621715447e-15	3.241276067145275e-16	2.567539212830217e-15	3.541431638988765e-16	1.1657383341949065e-15	1.356986183091764e-16	2.0708869464860094e-15	2.473773473798118e-16	1.1059420658209169e-15	1.910489859987893e-16
54106.25453125004	2.4244534948640023e-15	3.251518674827328e-16	2.609468525504774e-15	3.177195598841208e-16	2.594191489191287e-15	3.461489211836082e-16	1.177561350884024e-15	1.332954578857963e-16	2.09186562874925e-15	2.42827062553083e-16	1.1190867236754079e-15	1.8511224496877154e-16
54106.30453125004	2.449498455862092e-15	3.1774570463840807e-16	2.6357662575226696e-15	3.1142732659374417e-16	2.6210588584282355e-15	3.383222762012801e-16	1.1894481246502964e-15	1.3093165024485628e-16	2.1129670429516144e-15	2.3835367440354695e-16	1.1323481901870733e-15	1.7936439799521277e-16
54106.35453125004	2.4747527201449095e-15	3.1050773932010805e-16	2.662242402791456e-15	3.0525563850789336e-16	2.6481428780640024e-15	3.3067125872243895e-16	1.2013989425575264e-15	1.286085488048536e-16	2.1341917956867426e-15	2.3395998360702316e-16	1.1457273873143085e-15	1.7381616070213017e-16
