#wls	flux	fluxerr	mangling_mask
3.949340E+03	1.245457E-15	4.264350E-16	4.236823E-15
3.950810E+03	1.241293E-15	4.035012E-16	4.237073E-15
3.952280E+03	1.240603E-15	3.891364E-16	4.237323E-15
3.953750E+03	1.236651E-15	3.933756E-16	4.237573E-15
3.955220E+03	1.234605E-15	4.001493E-16	4.237824E-15
3.956690E+03	1.235653E-15	3.949065E-16	4.238076E-15
3.958160E+03	1.242381E-15	3.929556E-16	4.238328E-15
3.959630E+03	1.250975E-15	3.914940E-16	4.238581E-15
3.961100E+03	1.257365E-15	3.940539E-16	4.238834E-15
3.962570E+03	1.262655E-15	3.935308E-16	4.239088E-15
3.964040E+03	1.271845E-15	3.948921E-16	4.239343E-15
3.965510E+03	1.277645E-15	3.783868E-16	4.239598E-15
3.966980E+03	1.283616E-15	3.713418E-16	4.239854E-15
3.968450E+03	1.295142E-15	3.796353E-16	4.240111E-15
3.969920E+03	1.300690E-15	3.755920E-16	4.240368E-15
3.971390E+03	1.312982E-15	3.637968E-16	4.240625E-15
3.972860E+03	1.326421E-15	3.716214E-16	4.240883E-15
3.974330E+03	1.330489E-15	3.726230E-16	4.241142E-15
3.975800E+03	1.333115E-15	3.739486E-16	4.241402E-15
3.977270E+03	1.334893E-15	3.688463E-16	4.241662E-15
3.978740E+03	1.337563E-15	3.690880E-16	4.241923E-15
3.980210E+03	1.348166E-15	3.700624E-16	4.242184E-15
3.981680E+03	1.357540E-15	3.718841E-16	4.242446E-15
3.983150E+03	1.366831E-15	3.666857E-16	4.242708E-15
3.984620E+03	1.374129E-15	3.670194E-16	4.242971E-15
3.986090E+03	1.380876E-15	3.746400E-16	4.243235E-15
3.987560E+03	1.383975E-15	3.742622E-16	4.243499E-15
3.989030E+03	1.385971E-15	3.533781E-16	4.243764E-15
3.990500E+03	1.389623E-15	3.384979E-16	4.244030E-15
3.991970E+03	1.398241E-15	3.385449E-16	4.244296E-15
3.993440E+03	1.408940E-15	3.206325E-16	4.244563E-15
3.994910E+03	1.410684E-15	3.232804E-16	4.244830E-15
3.996380E+03	1.402920E-15	3.231461E-16	4.245098E-15
3.997850E+03	1.392395E-15	3.014347E-16	4.245367E-15
3.999320E+03	1.394564E-15	2.880682E-16	4.245636E-15
4.000790E+03	1.404843E-15	2.869697E-16	4.245906E-15
4.002260E+03	1.411684E-15	2.855727E-16	4.246177E-15
4.003730E+03	1.421244E-15	2.862243E-16	4.246448E-15
4.005200E+03	1.432504E-15	2.920641E-16	4.246720E-15
4.006670E+03	1.432213E-15	2.815710E-16	4.246992E-15
4.008140E+03	1.433622E-15	2.779123E-16	4.247265E-15
4.009610E+03	1.435541E-15	2.754261E-16	4.247539E-15
4.011080E+03	1.430749E-15	2.777550E-16	4.247813E-15
4.012550E+03	1.419584E-15	2.792721E-16	4.248088E-15
4.014020E+03	1.416787E-15	2.756361E-16	4.248364E-15
4.015490E+03	1.417814E-15	2.751873E-16	4.248640E-15
4.016960E+03	1.418076E-15	2.675462E-16	4.248917E-15
4.018430E+03	1.420591E-15	2.785007E-16	4.249195E-15
4.019900E+03	1.424253E-15	2.696398E-16	4.249473E-15
4.021370E+03	1.437096E-15	2.578274E-16	4.249752E-15
4.022840E+03	1.444416E-15	2.650099E-16	4.250031E-15
4.024310E+03	1.443533E-15	2.676107E-16	4.250312E-15
4.025780E+03	1.452895E-15	2.575662E-16	4.250592E-15
4.027250E+03	1.466934E-15	2.558226E-16	4.250874E-15
