#wls	flux	fluxerr
1.591305E+03	5.163768E-03	5.198040E-04
1.631088E+03	4.629253E-03	4.604091E-04
1.670870E+03	4.137175E-03	4.064279E-04
1.710653E+03	3.689741E-03	3.579382E-04
1.750436E+03	3.286224E-03	3.147224E-04
1.790218E+03	2.926001E-03	2.765723E-04
1.830001E+03	2.609137E-03	2.433443E-04
1.869784E+03	2.333269E-03	2.146671E-04
1.909566E+03	2.096386E-03	1.902111E-04
1.949349E+03	1.897647E-03	1.697591E-04
1.989131E+03	1.734321E-03	1.529292E-04
2.028914E+03	1.605500E-03	1.395107E-04
2.068697E+03	1.510299E-03	1.292981E-04
2.108479E+03	1.447365E-03	1.220501E-04
2.148262E+03	1.414823E-03	1.174886E-04
2.188045E+03	1.411414E-03	1.153954E-04
2.227827E+03	1.436627E-03	1.156194E-04
2.267610E+03	1.491193E-03	1.181112E-04
2.307392E+03	1.576465E-03	1.228665E-04
2.347175E+03	1.694931E-03	1.299612E-04
2.386958E+03	1.849122E-03	1.394628E-04
2.426740E+03	2.041112E-03	1.513936E-04
2.466523E+03	2.272762E-03	1.657519E-04
2.506306E+03	2.544318E-03	1.824123E-04
2.546088E+03	2.854897E-03	2.011710E-04
2.585871E+03	3.202746E-03	2.217706E-04
2.625653E+03	3.584858E-03	2.438794E-04
2.665436E+03	3.993552E-03	2.668708E-04
2.705219E+03	4.418825E-03	2.900058E-04
2.745001E+03	4.848573E-03	3.124607E-04
2.784784E+03	5.273138E-03	3.336266E-04
2.824567E+03	5.682274E-03	3.529058E-04
2.864349E+03	6.069420E-03	3.699745E-04
2.904132E+03	6.428757E-03	3.845850E-04
2.943914E+03	6.758808E-03	3.967710E-04
2.983697E+03	7.060831E-03	4.067310E-04
2.993643E+03	7.132915E-03	4.089423E-04
3.003588E+03	7.202986E-03	4.110086E-04
3.013534E+03	7.272181E-03	4.129965E-04
3.023480E+03	7.340063E-03	4.148825E-04
3.033425E+03	7.406728E-03	4.166736E-04
