#wls	flux	fluxerr
1.591305E+03	6.365571E-04	1.589327E-04
1.631088E+03	6.251648E-04	1.560866E-04
1.670870E+03	6.141747E-04	1.533410E-04
1.710653E+03	6.035969E-04	1.506983E-04
1.750436E+03	5.934426E-04	1.481614E-04
1.790218E+03	5.838215E-04	1.457576E-04
1.830001E+03	5.747381E-04	1.434881E-04
1.869784E+03	5.661030E-04	1.413304E-04
1.909566E+03	5.579281E-04	1.392878E-04
1.949349E+03	5.504085E-04	1.374087E-04
1.989131E+03	5.433671E-04	1.356490E-04
2.028914E+03	5.369060E-04	1.340341E-04
2.068697E+03	5.310357E-04	1.325668E-04
2.108479E+03	5.258532E-04	1.312711E-04
2.148262E+03	5.211996E-04	1.301075E-04
2.188045E+03	5.172603E-04	1.291222E-04
2.227827E+03	5.139676E-04	1.282983E-04
2.267610E+03	5.113419E-04	1.276408E-04
2.307392E+03	5.095658E-04	1.271954E-04
2.347175E+03	5.085027E-04	1.269280E-04
2.386958E+03	5.081830E-04	1.268461E-04
2.426740E+03	5.087964E-04	1.269970E-04
2.466523E+03	5.103018E-04	1.273706E-04
2.506306E+03	5.127428E-04	1.279775E-04
2.546088E+03	5.162459E-04	1.288496E-04
2.585871E+03	5.207922E-04	1.299819E-04
2.625653E+03	5.265243E-04	1.314101E-04
2.665436E+03	5.335185E-04	1.331532E-04
2.705219E+03	5.417863E-04	1.352140E-04
2.745001E+03	5.515819E-04	1.376560E-04
2.784784E+03	5.629457E-04	1.404892E-04
2.824567E+03	5.760902E-04	1.437667E-04
2.864349E+03	5.910939E-04	1.475079E-04
2.904132E+03	6.082158E-04	1.517775E-04
2.943914E+03	6.276659E-04	1.566279E-04
2.983697E+03	6.497721E-04	1.621408E-04
2.993643E+03	6.557095E-04	1.636215E-04
3.003588E+03	6.618037E-04	1.651413E-04
3.013534E+03	6.681442E-04	1.667226E-04
3.023480E+03	6.746515E-04	1.683454E-04
3.033425E+03	6.813314E-04	1.700113E-04
3.043371E+03	6.882744E-04	1.717429E-04
3.053317E+03	6.954011E-04	1.735202E-04
3.063262E+03	7.028044E-04	1.753666E-04
3.073208E+03	7.104039E-04	1.772618E-04
3.083154E+03	7.182062E-04	1.792077E-04
3.093099E+03	7.262165E-04	1.812054E-04
3.103045E+03	7.345325E-04	1.832794E-04
3.112991E+03	7.430717E-04	1.854091E-04
3.122936E+03	7.519324E-04	1.876189E-04
3.132882E+03	7.610330E-04	1.898886E-04
3.142828E+03	7.703803E-04	1.922198E-04
3.152773E+03	7.800762E-04	1.946379E-04
3.162719E+03	7.900378E-04	1.971224E-04
3.172665E+03	8.002725E-04	1.996749E-04
3.182610E+03	8.108872E-04	2.023222E-04
3.192556E+03	8.217959E-04	2.050428E-04
3.202502E+03	8.331069E-04	2.078638E-04
3.212447E+03	8.447337E-04	2.107636E-04
3.222393E+03	8.566888E-04	2.137451E-04
3.232339E+03	8.690833E-04	2.168364E-04
3.242284E+03	8.818302E-04	2.200154E-04
