#wls	flux	fluxerr
1.591305E+03	8.715761E-03	3.560603E-04
1.631088E+03	8.540175E-03	3.424885E-04
1.670870E+03	8.306061E-03	3.268280E-04
1.710653E+03	8.013741E-03	3.092316E-04
1.750436E+03	7.664479E-03	2.898888E-04
1.790218E+03	7.257715E-03	2.689187E-04
1.830001E+03	6.791108E-03	2.463785E-04
1.869784E+03	6.267166E-03	2.225056E-04
1.909566E+03	5.689976E-03	1.975841E-04
1.949349E+03	5.069916E-03	1.720985E-04
1.989131E+03	4.427003E-03	1.468195E-04
2.028914E+03	3.794637E-03	1.228868E-04
2.068697E+03	3.217312E-03	1.016845E-04
2.108479E+03	2.743858E-03	8.459012E-05
2.148262E+03	2.416171E-03	7.262007E-05
2.188045E+03	2.251414E-03	6.593828E-05
2.227827E+03	2.257405E-03	6.439277E-05
2.267610E+03	2.455527E-03	6.819023E-05
2.307392E+03	2.885293E-03	7.797178E-05
2.347175E+03	3.616593E-03	9.507274E-05
2.386958E+03	4.768152E-03	1.218924E-04
2.426740E+03	6.516205E-03	1.619482E-04
2.466523E+03	9.092533E-03	2.196464E-04
2.506306E+03	1.274978E-02	2.993090E-04
2.546088E+03	1.767385E-02	4.031387E-04
2.585871E+03	2.383467E-02	5.281666E-04
2.625653E+03	3.086547E-02	6.643718E-04
2.665436E+03	3.821110E-02	7.988232E-04
2.705219E+03	4.534529E-02	9.206071E-04
2.745001E+03	5.184110E-02	1.022047E-03
2.784784E+03	5.740631E-02	1.099018E-03
2.824567E+03	6.189239E-02	1.150669E-03
2.864349E+03	6.528983E-02	1.178905E-03
2.904132E+03	6.770005E-02	1.187501E-03
2.943914E+03	6.931912E-02	1.181539E-03
2.983697E+03	7.039521E-02	1.166492E-03
2.993643E+03	7.061384E-02	1.161988E-03
3.003588E+03	7.081952E-02	1.157325E-03
3.013534E+03	7.101672E-02	1.152580E-03
3.023480E+03	7.121413E-02	1.147896E-03
3.033425E+03	7.141824E-02	1.143376E-03
3.043371E+03	7.163726E-02	1.139146E-03
3.053317E+03	7.187602E-02	1.135276E-03
3.063262E+03	7.213636E-02	1.131789E-03
3.073208E+03	7.242184E-02	1.128731E-03
3.083154E+03	7.273922E-02	1.126198E-03
3.093099E+03	7.308920E-02	1.124190E-03
3.103045E+03	7.347730E-02	1.122781E-03
3.112991E+03	7.390608E-02	1.121997E-03
3.122936E+03	7.438420E-02	1.121957E-03
3.132882E+03	7.491163E-02	1.122645E-03
3.142828E+03	7.549447E-02	1.124137E-03
3.152773E+03	7.613890E-02	1.126510E-03
3.162719E+03	7.684986E-02	1.129818E-03
3.172665E+03	7.762969E-02	1.134077E-03
3.182610E+03	7.848814E-02	1.139412E-03
3.192556E+03	7.942810E-02	1.145841E-03
3.202502E+03	8.045699E-02	1.153452E-03
3.212447E+03	8.157975E-02	1.162292E-03
3.222393E+03	8.280449E-02	1.172452E-03
3.232339E+03	8.413830E-02	1.184008E-03
3.242284E+03	8.558873E-02	1.197039E-03
