#wls	flux	fluxerr
1.591305E+03	3.706079E-04	4.806484E-05
1.631088E+03	3.664466E-04	4.744157E-05
1.670870E+03	3.614075E-04	4.670508E-05
1.710653E+03	3.555166E-04	4.585939E-05
1.750436E+03	3.487581E-04	4.490315E-05
1.790218E+03	3.410107E-04	4.382146E-05
1.830001E+03	3.319757E-04	4.257686E-05
1.869784E+03	3.215106E-04	4.115218E-05
1.909566E+03	3.092795E-04	3.950575E-05
1.949349E+03	2.952989E-04	3.764124E-05
1.989131E+03	2.799903E-04	3.561385E-05
2.028914E+03	2.644193E-04	3.356013E-05
2.068697E+03	2.504323E-04	3.171435E-05
2.108479E+03	2.404517E-04	3.038146E-05
2.148262E+03	2.363297E-04	2.979164E-05
2.188045E+03	2.385268E-04	2.999773E-05
2.227827E+03	2.461541E-04	3.088253E-05
2.267610E+03	2.574033E-04	3.221468E-05
2.307392E+03	2.705643E-04	3.377716E-05
2.347175E+03	2.844188E-04	3.541628E-05
2.386958E+03	2.982243E-04	3.703893E-05
2.426740E+03	3.118509E-04	3.862884E-05
2.466523E+03	3.252062E-04	4.017458E-05
2.506306E+03	3.385239E-04	4.170499E-05
2.546088E+03	3.520541E-04	4.325063E-05
2.585871E+03	3.659626E-04	4.483141E-05
2.625653E+03	3.806192E-04	4.649186E-05
2.665436E+03	3.962560E-04	4.825927E-05
2.705219E+03	4.131138E-04	5.016160E-05
2.745001E+03	4.315993E-04	5.224648E-05
2.784784E+03	4.519085E-04	5.453555E-05
2.824567E+03	4.744782E-04	5.707900E-05
2.864349E+03	4.996623E-04	5.991642E-05
2.904132E+03	5.278502E-04	6.309102E-05
2.943914E+03	5.595996E-04	6.666540E-05
2.983697E+03	5.953406E-04	7.068602E-05
2.993643E+03	6.049915E-04	7.177122E-05
3.003588E+03	6.149062E-04	7.288557E-05
3.013534E+03	6.251580E-04	7.403768E-05
3.023480E+03	6.357660E-04	7.522971E-05
3.033425E+03	6.467061E-04	7.645867E-05
3.043371E+03	6.581574E-04	7.774564E-05
3.053317E+03	6.699199E-04	7.906683E-05
3.063262E+03	6.821995E-04	8.044642E-05
3.073208E+03	6.949329E-04	8.187679E-05
3.083154E+03	7.080555E-04	8.335018E-05
3.093099E+03	7.217121E-04	8.488349E-05
