#wls	flux	fluxerr
1.591305E+03	4.602526E-16	2.565617E-17
1.631088E+03	4.304277E-16	2.375063E-17
1.670870E+03	3.990595E-16	2.179178E-17
1.710653E+03	3.667134E-16	1.981357E-17
1.750436E+03	3.339654E-16	1.784919E-17
1.790218E+03	3.012354E-16	1.592225E-17
1.830001E+03	2.688414E-16	1.405001E-17
1.869784E+03	2.372704E-16	1.225765E-17
1.909566E+03	2.070046E-16	1.056887E-17
1.949349E+03	1.786566E-16	9.012715E-18
1.989131E+03	1.530130E-16	7.625310E-18
2.028914E+03	1.310795E-16	6.451533E-18
2.068697E+03	1.139532E-16	5.538124E-18
2.108479E+03	1.025220E-16	4.918954E-18
2.148262E+03	9.718178E-17	4.602303E-18
2.188045E+03	9.797890E-17	4.579061E-18
2.227827E+03	1.049237E-16	4.838319E-18
2.267610E+03	1.183092E-16	5.382011E-18
2.307392E+03	1.389779E-16	6.236068E-18
2.347175E+03	1.684676E-16	7.455236E-18
2.386958E+03	2.090004E-16	9.120509E-18
2.426740E+03	2.633303E-16	1.133065E-17
2.466523E+03	3.344627E-16	1.418874E-17
2.506306E+03	4.250962E-16	1.777805E-17
2.546088E+03	5.371543E-16	2.214376E-17
2.585871E+03	6.714933E-16	2.728356E-17
2.625653E+03	8.279518E-16	3.315277E-17
2.665436E+03	1.003040E-15	3.957617E-17
2.705219E+03	1.189553E-15	4.624267E-17
2.745001E+03	1.379312E-15	5.282087E-17
2.784784E+03	1.564844E-15	5.902505E-17
2.824567E+03	1.740497E-15	6.465434E-17
2.864349E+03	1.903101E-15	6.961166E-17
2.904132E+03	2.051891E-15	7.389352E-17
2.943914E+03	2.188644E-15	7.758829E-17
2.983697E+03	2.316872E-15	8.084083E-17
2.993643E+03	2.348230E-15	8.160880E-17
3.003588E+03	2.379424E-15	8.236302E-17
3.013534E+03	2.410543E-15	8.310663E-17
3.023480E+03	2.441821E-15	8.384779E-17
3.033425E+03	2.473452E-15	8.459306E-17
3.043371E+03	2.505607E-15	8.534820E-17
3.053317E+03	2.538537E-15	8.612153E-17
3.063262E+03	2.572246E-15	8.691288E-17
3.073208E+03	2.606795E-15	8.772406E-17
3.083154E+03	2.642363E-15	8.856064E-17
3.093099E+03	2.678912E-15	8.942098E-17
3.103045E+03	2.716572E-15	9.030900E-17
3.112991E+03	2.755367E-15	9.122505E-17
3.122936E+03	2.795544E-15	9.217683E-17
3.132882E+03	2.837024E-15	9.316111E-17
3.142828E+03	2.879946E-15	9.418203E-17
3.152773E+03	2.924455E-15	9.524364E-17
3.162719E+03	2.970641E-15	9.634821E-17
