#wls	flux	fluxerr
1.591305E+03	1.233151E-15	4.794393E-17
1.631088E+03	1.209777E-15	4.620799E-17
1.670870E+03	1.176921E-15	4.414164E-17
1.710653E+03	1.134681E-15	4.176912E-17
1.750436E+03	1.083321E-15	3.912076E-17
1.790218E+03	1.022757E-15	3.621401E-17
1.830001E+03	9.526824E-16	3.305900E-17
1.869784E+03	8.735698E-16	2.969329E-17
1.909566E+03	7.862674E-16	2.616563E-17
1.949349E+03	6.927129E-16	2.255773E-17
1.989131E+03	5.964227E-16	1.899589E-17
2.028914E+03	5.029197E-16	1.565856E-17
2.068697E+03	4.191804E-16	1.275234E-17
2.108479E+03	3.522888E-16	1.046688E-17
2.148262E+03	3.074141E-16	8.916047E-18
2.188045E+03	2.860164E-16	8.094306E-18
2.227827E+03	2.883504E-16	7.959230E-18
2.267610E+03	3.167787E-16	8.525199E-18
2.307392E+03	3.766246E-16	9.878904E-18
2.347175E+03	4.777133E-16	1.220936E-17
2.386958E+03	6.367241E-16	1.585261E-17
2.426740E+03	8.784466E-16	2.130153E-17
2.466523E+03	1.235599E-15	2.917832E-17
2.506306E+03	1.744191E-15	4.010714E-17
2.546088E+03	2.431800E-15	5.444563E-17
2.585871E+03	3.298256E-15	7.189378E-17
2.625653E+03	4.302850E-15	9.130680E-17
2.665436E+03	5.373289E-15	1.109943E-16
2.705219E+03	6.431623E-15	1.293233E-16
2.745001E+03	7.412065E-15	1.450722E-16
2.784784E+03	8.267119E-15	1.575057E-16
2.824567E+03	8.969985E-15	1.663638E-16
2.864349E+03	9.514795E-15	1.718084E-16
2.904132E+03	9.913036E-15	1.743061E-16
2.943914E+03	1.019132E-14	1.745488E-16
2.983697E+03	1.038497E-14	1.733142E-16
2.993643E+03	1.042519E-14	1.728739E-16
3.003588E+03	1.046319E-14	1.724011E-16
3.013534E+03	1.049962E-14	1.719075E-16
3.023480E+03	1.053578E-14	1.714147E-16
3.033425E+03	1.057276E-14	1.709402E-16
3.043371E+03	1.061151E-14	1.704988E-16
3.053317E+03	1.065332E-14	1.701104E-16
3.063262E+03	1.069841E-14	1.697776E-16
3.073208E+03	1.074728E-14	1.695067E-16
3.083154E+03	1.080087E-14	1.693117E-16
3.093099E+03	1.085927E-14	1.691924E-16
3.103045E+03	1.092327E-14	1.691594E-16
3.112991E+03	1.099324E-14	1.692166E-16
3.122936E+03	1.107044E-14	1.693818E-16
3.132882E+03	1.115485E-14	1.696527E-16
3.142828E+03	1.124737E-14	1.700406E-16
