#wls	flux	fluxerr
1.600000E+03	4.082411E-15	1.667765E-16
1.640000E+03	3.961953E-15	1.588871E-16
1.680000E+03	3.828374E-15	1.506393E-16
1.720000E+03	3.681384E-15	1.420560E-16
1.760000E+03	3.521195E-15	1.331800E-16
1.800000E+03	3.348375E-15	1.240667E-16
1.840000E+03	3.162450E-15	1.147324E-16
1.880000E+03	2.964441E-15	1.052477E-16
1.920000E+03	2.754614E-15	9.565381E-17
1.960000E+03	2.533547E-15	8.600133E-17
2.000000E+03	2.302476E-15	7.636053E-17
2.040000E+03	2.064967E-15	6.687256E-17
2.080000E+03	1.828787E-15	5.779961E-17
2.120000E+03	1.609551E-15	4.962067E-17
2.160000E+03	1.431190E-15	4.301561E-17
2.200000E+03	1.313348E-15	3.846466E-17
2.240000E+03	1.270751E-15	3.624833E-17
2.280000E+03	1.318739E-15	3.662151E-17
2.320000E+03	1.473622E-15	3.982296E-17
2.360000E+03	1.760371E-15	4.627651E-17
2.400000E+03	2.222179E-15	5.680751E-17
2.440000E+03	2.923236E-15	7.265163E-17
2.480000E+03	3.946456E-15	9.533370E-17
2.520000E+03	5.378099E-15	1.262542E-16
2.560000E+03	7.273021E-15	1.658969E-16
2.600000E+03	9.599009E-15	2.127101E-16
2.640000E+03	1.219723E-14	2.625424E-16
2.680000E+03	1.484870E-14	3.104199E-16
2.720000E+03	1.735884E-14	3.524218E-16
2.760000E+03	1.957950E-14	3.860097E-16
2.800000E+03	2.141761E-14	4.100304E-16
2.840000E+03	2.283461E-14	4.245283E-16
2.880000E+03	2.384182E-14	4.304997E-16
2.920000E+03	2.448826E-14	4.295393E-16
2.960000E+03	2.485357E-14	4.236273E-16
3.000000E+03	2.503225E-14	4.147999E-16
3.010000E+03	2.506040E-14	4.123822E-16
3.020000E+03	2.508453E-14	4.099285E-16
3.030000E+03	2.510622E-14	4.074663E-16
3.040000E+03	2.512820E-14	4.050397E-16
3.050000E+03	2.515143E-14	4.026638E-16
3.060000E+03	2.517752E-14	4.003624E-16
3.070000E+03	2.520854E-14	3.981670E-16
3.080000E+03	2.524549E-14	3.960910E-16
3.090000E+03	2.528990E-14	3.941559E-16
3.100000E+03	2.534441E-14	3.923993E-16
3.110000E+03	2.540945E-14	3.908245E-16
3.120000E+03	2.548714E-14	3.894599E-16
3.130000E+03	2.557847E-14	3.883167E-16
3.140000E+03	2.568656E-14	3.874372E-16
3.150000E+03	2.581147E-14	3.868172E-16
3.160000E+03	2.595535E-14	3.864835E-16
3.170000E+03	2.612032E-14	3.864621E-16
3.180000E+03	2.630810E-14	3.867718E-16
3.190000E+03	2.651945E-14	3.874175E-16
3.200000E+03	2.675764E-14	3.884405E-16
3.210000E+03	2.702362E-14	3.898467E-16
3.220000E+03	2.731981E-14	3.916639E-16
3.230000E+03	2.764781E-14	3.939069E-16
3.240000E+03	2.801024E-14	3.966051E-16
3.250000E+03	2.840940E-14	3.997819E-16
3.260000E+03	2.884770E-14	4.034624E-16
3.270000E+03	2.932717E-14	4.076652E-16
3.280000E+03	2.985097E-14	4.124248E-16
3.290000E+03	3.042197E-14	4.177702E-16
3.300000E+03	3.104267E-14	4.237248E-16
3.310000E+03	3.171676E-14	4.303276E-16
3.320000E+03	3.244709E-14	4.376058E-16
3.330000E+03	3.323775E-14	4.456018E-16
3.340000E+03	3.409196E-14	4.543462E-16
3.350000E+03	3.603189E-14	4.773679E-16
3.352000E+03	3.606781E-14	4.772804E-16
3.354000E+03	3.610591E-14	4.772218E-16
3.356000E+03	3.614386E-14	4.771612E-16
3.358000E+03	3.620983E-14	4.774701E-16
3.360000E+03	3.628741E-14	4.779311E-16
3.362000E+03	3.637897E-14	4.785747E-16
3.364000E+03	3.647274E-14	4.792459E-16
3.366000E+03	3.655229E-14	4.797286E-16
3.368000E+03	3.664111E-14	4.803317E-16
3.370000E+03	3.672275E-14	4.808392E-16
3.372000E+03	3.679013E-14	4.811590E-16
3.374000E+03	3.686913E-14	4.816297E-16
3.376000E+03	3.695979E-14	4.822513E-16
3.378000E+03	3.706681E-14	4.830847E-16
3.380000E+03	3.719493E-14	4.841906E-16
3.382000E+03	3.729699E-14	4.849552E-16
3.384000E+03	3.745085E-14	4.863906E-16
3.386000E+03	3.761640E-14	4.879743E-16
3.388000E+03	3.777713E-14	4.894918E-16
3.390000E+03	3.796376E-14	4.913409E-16
3.392000E+03	3.813850E-14	4.930319E-16
3.394000E+03	3.834385E-14	4.951144E-16
