#wls	flux	fluxerr
1.600000E+03	1.813078E-15	9.150787E-17
1.640000E+03	1.618937E-15	8.071809E-17
1.680000E+03	1.436536E-15	7.073721E-17
1.720000E+03	1.267131E-15	6.160792E-17
1.760000E+03	1.111817E-15	5.336130E-17
1.800000E+03	9.712609E-16	4.600482E-17
1.840000E+03	8.456021E-16	3.951906E-17
1.880000E+03	7.348421E-16	3.387736E-17
1.920000E+03	6.384190E-16	2.902698E-17
1.960000E+03	5.556881E-16	2.491253E-17
2.000000E+03	4.857863E-16	2.147028E-17
2.040000E+03	4.277818E-16	1.863553E-17
2.080000E+03	3.808069E-16	1.634855E-17
2.120000E+03	3.444179E-16	1.456972E-17
2.160000E+03	3.184161E-16	1.327077E-17
2.200000E+03	3.030405E-16	1.244204E-17
2.240000E+03	2.986236E-16	1.207732E-17
2.280000E+03	3.059861E-16	1.218935E-17
2.320000E+03	3.261272E-16	1.279642E-17
2.360000E+03	3.605476E-16	1.393421E-17
2.400000E+03	4.112894E-16	1.565588E-17
2.440000E+03	4.810681E-16	1.803579E-17
2.480000E+03	5.726964E-16	2.114636E-17
2.520000E+03	6.885042E-16	2.503693E-17
2.560000E+03	8.293701E-16	2.970048E-17
2.600000E+03	9.933430E-16	3.502918E-17
2.640000E+03	1.175774E-15	4.082662E-17
2.680000E+03	1.370097E-15	4.684166E-17
2.720000E+03	1.569535E-15	5.283064E-17
2.760000E+03	1.767161E-15	5.855982E-17
2.800000E+03	1.956615E-15	6.382858E-17
2.840000E+03	2.132298E-15	6.847409E-17
2.880000E+03	2.289793E-15	7.238227E-17
2.920000E+03	2.426539E-15	7.550544E-17
2.960000E+03	2.542651E-15	7.788267E-17
3.000000E+03	2.640545E-15	7.962176E-17
3.010000E+03	2.662635E-15	7.997436E-17
3.020000E+03	2.683987E-15	8.030136E-17
3.030000E+03	2.704661E-15	8.060494E-17
3.040000E+03	2.724724E-15	8.088735E-17
3.050000E+03	2.744248E-15	8.115104E-17
3.060000E+03	2.763414E-15	8.140156E-17
3.070000E+03	2.782296E-15	8.164137E-17
3.080000E+03	2.801080E-15	8.187604E-17
3.090000E+03	2.819744E-15	8.210507E-17
3.100000E+03	2.838479E-15	8.233409E-17
3.110000E+03	2.857470E-15	8.256857E-17
3.120000E+03	2.876706E-15	8.280816E-17
3.130000E+03	2.896377E-15	8.305832E-17
3.140000E+03	2.916673E-15	8.332436E-17
3.150000E+03	2.937585E-15	8.360583E-17
3.160000E+03	2.959402E-15	8.391074E-17
3.170000E+03	2.982214E-15	8.424136E-17
3.180000E+03	3.006016E-15	8.459726E-17
3.190000E+03	3.031091E-15	8.498609E-17
3.200000E+03	3.057527E-15	8.540994E-17
3.210000E+03	3.085412E-15	8.587088E-17
